"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"ABC transporter disorders","4.080e-03","66","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RNF185, RPS27A, SEM1, UBA52, UBC"
"ABC-family proteins mediated transport","2.224e-02","84","ABCA5, ABCD3, EIF2S2, PEX3, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RNF185, RPS27A, SEM1, UBA52, UBC"
"APC-Cdc20 mediated degradation of Nek2A","1.534e-02","26","BUB3, CDC27, MAD2L1, NEK2, RPS27A, UBA52, UBC, UBE2D1, UBE2E1"
"APC/C-mediated degradation of cell cycle proteins","3.735e-06","85","AURKA, BUB3, CCNA2, CDC27, CDK1, FBXO5, MAD2L1, NEK2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RB1, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC, UBE2D1"
"APC/C:Cdc20 mediated degradation of Cyclin B","4.731e-02","24","CDC27, CDK1, RPS27A, UBA52, UBC, UBE2D1, UBE2E1"
"APC/C:Cdc20 mediated degradation of Securin","6.880e-05","66","CDC27, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"APC/C:Cdc20 mediated degradation of mitotic proteins","3.471e-06","73","BUB3, CCNA2, CDC27, CDK1, MAD2L1, NEK2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","3.900e-05","72","AURKA, CDC27, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RB1, RPS27A, SEM1, SKP2, UBA52, UBC, UBE2D1"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","3.799e-06","71","BUB3, CCNA2, CDC27, CDK1, MAD2L1, NEK2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC, UBE2D1"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","5.910e-04","54","HSPA8, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
