"Gene Symbol","Adjusted P-value","t Statistic","Average Expression","log2 Fold Change"
"ASPM","3.722e-02","-5.972","7.254","-0.348"
"LDHB","3.722e-02","-5.814","5.258","-0.441"
"ZNF292","3.722e-02","-5.805","5.420","-0.367"
"TRMT10C","6.747e-02","-5.435","6.215","-0.318"
"PHIP","8.688e-02","-5.149","6.273","-0.276"
"ATRX","8.688e-02","-5.137","6.293","-0.296"
"BRCA2","8.688e-02","-5.099","5.239","-0.363"
"EEA1","9.078e-02","-5.010","4.754","-0.331"
"BFSP1","9.078e-02","4.978","4.618","0.392"
"SNRPE","0.103","-4.842","6.468","-0.286"
"KIF20B","0.103","-4.800","6.949","-0.284"
"SLC39A8","0.103","-4.776","6.626","-0.249"
"HSP90AA1","0.103","-4.778","11.373","-0.246"
"CENPF","0.106","-4.713","7.768","-0.223"
"ZNF267","0.106","-4.677","4.835","-0.341"
"ZBTB41","0.106","-4.663","4.671","-0.376"
"DRAM2","0.106","-4.601","5.912","-0.253"
"NMD3","0.106","-4.580","7.283","-0.236"
"RIF1","0.106","-4.543","6.809","-0.257"
"CENPE","0.106","-4.529","6.986","-0.273"
"CEBPZ","0.106","-4.515","7.139","-0.235"
"SRSF1","0.106","-4.499","6.141","-0.254"
"SYNE2","0.106","-4.483","6.714","-0.264"
"SPCS3","0.106","-4.486","7.090","-0.221"
"IL6ST","0.106","-4.437","6.334","-0.258"
"EIF3M","0.106","-4.423","7.011","-0.225"
"POMP","0.106","-4.400","7.727","-0.214"
"H2AZ1","0.106","-4.401","9.370","-0.214"
"GEN1","0.106","-4.361","5.714","-0.309"
"NOC3L","0.106","-4.338","6.297","-0.257"
"ZNF148","0.106","-4.323","6.020","-0.250"
"ESCO1","0.106","-4.304","5.652","-0.264"
"STT3B","0.106","-4.325","7.978","-0.202"
"ARL6IP1","0.106","-4.323","8.157","-0.211"
"GLO1","0.106","-4.315","7.666","-0.203"
"RPL23A","0.106","-4.284","7.115","-0.210"
"FER","0.106","-4.258","5.235","-0.252"
"KNL1","0.106","-4.271","6.290","-0.290"
"TRIP11","0.106","-4.251","5.234","-0.263"
"SUMO1","0.106","-4.281","7.555","-0.200"
"TIMM17A","0.106","-4.266","7.300","-0.226"
"C1GALT1","0.106","-4.239","5.636","-0.257"
"VPS13A","0.106","-4.240","5.985","-0.282"
"CAB39","0.106","-4.245","7.785","-0.208"
"SELENOI","0.106","-4.233","7.448","-0.206"
"CEMIP","0.106","4.229","8.064","0.270"
"CNIH1","0.106","-4.216","7.385","-0.197"
"MAL2","0.106","-4.219","8.833","-0.220"
"OBI1","0.106","-4.148","4.744","-0.290"
"SCAMP1","0.106","-4.159","5.826","-0.244"
"NMU","0.106","-4.145","5.460","-0.277"
"SYNCRIP","0.106","-4.166","6.690","-0.240"
"ARL6","0.106","-4.187","3.462","-0.410"
"LSM8","0.106","-4.124","4.980","-0.263"
"CAV1","0.106","-4.130","4.137","-0.337"
"TRNT1","0.106","-4.124","5.427","-0.248"
"HMMR","0.106","-4.134","6.666","-0.252"
"MTERF1","0.106","-4.099","4.674","-0.304"
"SACS","0.106","-4.078","4.319","-0.368"
"ZNF518A","0.106","-4.089","5.868","-0.284"
"BDP1","0.106","-4.094","6.390","-0.237"
"POLR1F","0.106","-4.082","5.758","-0.259"
"FASTKD2","0.106","-4.093","6.623","-0.260"
"MMADHC","0.106","-4.104","7.713","-0.202"
"CSE1L","0.106","-4.098","8.994","-0.238"
"HMGB1","0.106","-4.095","8.528","-0.193"
"TMEM161B","0.107","-4.048","4.371","-0.321"
"TRAM1","0.106","-4.074","6.625","-0.232"
"RPLP0P6","0.106","-4.104","3.294","-0.418"
"SLC16A5","0.106","4.070","7.162","0.207"
"ERGIC2","0.106","-4.059","6.719","-0.222"
"RND3","0.106","-4.068","7.482","-0.232"
"ATP13A3","0.106","-4.069","8.358","-0.214"
"TMEM126B","0.107","-4.029","5.856","-0.308"
"EID1","0.107","-4.029","7.307","-0.207"
"SLC25A36","0.113","-3.990","5.756","-0.253"
"GNAI3","0.109","-4.015","7.577","-0.189"
"CYCS","0.112","-4.001","7.679","-0.189"
"CENPW","0.113","-3.941","5.191","-0.258"
"SMIM15","0.113","-3.954","5.953","-0.241"
"ARMC1","0.113","-3.926","4.668","-0.264"
"IFT74","0.113","-3.922","4.729","-0.257"
"MIB1","0.113","-3.943","5.865","-0.274"
"DHX29","0.113","-3.951","6.270","-0.214"
"ORC5","0.113","-3.920","4.743","-0.257"
"NRIP1","0.113","-3.947","6.296","-0.230"
"PLAT","0.113","3.942","6.111","0.280"
"BRWD1","0.113","-3.913","5.416","-0.260"
"LNPEP","0.113","-3.923","5.856","-0.218"
"RPS25","0.113","-3.958","9.258","-0.193"
"CHD1","0.113","-3.933","6.406","-0.231"
"ARL5B","0.113","-3.909","5.255","-0.283"
"DEK","0.113","-3.943","7.651","-0.215"
"SCLT1","0.114","-3.892","5.254","-0.237"
"HID1","0.113","3.907","6.051","0.275"
"EPS8L3","0.117","3.866","4.317","0.291"
"CREG1","0.113","-3.908","6.900","-0.199"
"LAMTOR3","0.116","-3.879","5.553","-0.244"
"CASP3","0.114","-3.890","6.187","-0.206"
"NDUFC2","0.119","-3.855","4.392","-0.421"
"COX6C","0.113","-3.911","8.143","-0.212"
"NCAPG","0.114","-3.889","6.446","-0.211"
"RLF","0.119","-3.839","5.477","-0.215"
"CLDND1","0.119","-3.823","4.950","-0.259"
"ALG8","0.119","-3.845","6.455","-0.214"
"MST1R","0.119","3.844","6.467","0.200"
"FPGT","0.121","-3.804","4.601","-0.275"
"TATDN1","0.119","-3.833","6.108","-0.244"
"CMTR2","0.119","-3.823","5.736","-0.218"
"TBC1D15","0.119","-3.824","6.202","-0.203"
"DYNC2H1","0.117","-3.872","2.916","-0.425"
"OTUD6B-AS1","0.120","-3.816","5.951","-0.205"
"ECHDC1","0.119","-3.825","6.455","-0.194"
"EIF3E","0.119","-3.839","10.087","-0.228"
"HS2ST1","0.121","-3.809","6.564","-0.197"
"BMI1","0.123","-3.768","5.210","-0.321"
"SLFN12","0.123","-3.770","3.611","-0.333"
"SGO2","0.123","-3.788","6.149","-0.281"
"ANKRD1","0.124","-3.749","4.607","-0.333"
"ZC3H15","0.121","-3.800","7.998","-0.194"
"C15orf62","0.124","3.733","4.617","0.325"
"PSMA3","0.123","-3.787","7.572","-0.195"
"SLC16A1","0.123","-3.783","7.935","-0.196"
"KIF18A","0.124","-3.726","4.963","-0.266"
"TFAM","0.123","-3.770","6.979","-0.200"
"TOP2B","0.123","-3.765","6.757","-0.191"
"FNTA","0.124","-3.751","6.198","-0.188"
"RTRAF","0.123","-3.765","7.658","-0.182"
"RPSA","0.123","-3.765","9.394","-0.186"
"CAPN5","0.124","3.711","5.359","0.224"
"TTK","0.124","-3.744","6.805","-0.202"
"SLF1","0.124","-3.707","5.401","-0.243"
"SAMD9","0.124","-3.755","8.423","-0.269"
"ZNF480","0.125","-3.686","4.480","-0.266"
"DEPDC1","0.124","-3.717","5.852","-0.248"
"ZBTB20","0.107","-4.038","1.804","-0.668"
"LSM3","0.124","-3.742","7.114","-0.216"
"ACTR6","0.125","-3.690","5.332","-0.276"
"CARD11","0.124","3.709","6.096","0.211"
"IFIT5","0.125","-3.685","5.278","-0.224"
"SELENOF","0.124","-3.729","7.283","-0.188"
"NAE1","0.124","-3.719","6.748","-0.197"
"MDH1","0.124","-3.733","8.030","-0.174"
"TOMM7","0.124","-3.724","7.314","-0.176"
"LRRC49","0.129","-3.661","4.167","-0.283"
"LGR6","0.125","3.688","5.856","0.219"
"NOP58","0.124","-3.714","7.653","-0.191"
"SCO1","0.130","-3.654","4.976","-0.228"
"RPL9","0.124","-3.716","9.080","-0.216"
"PFDN4","0.128","-3.666","5.534","-0.242"
"DESI2","0.125","-3.689","6.469","-0.186"
"SMCR8","0.130","3.655","5.323","0.215"
"UBE3A","0.125","-3.683","7.093","-0.187"
"AKR1B1","0.125","3.690","8.332","0.507"
"CWF19L2","0.135","-3.626","5.316","-0.216"
"RPS27A","0.126","-3.679","10.369","-0.172"
"ZFAND1","0.135","-3.631","6.032","-0.189"
"SOX21","0.127","3.672","2.656","0.435"
"VILL","0.137","3.611","5.769","0.243"
"AKAP9","0.135","-3.628","6.392","-0.212"
"SMC6","0.136","-3.618","6.267","-0.219"
"GOPC","0.141","-3.579","5.028","-0.217"
