"","x"
"1","Oas2"
"2","Oasl2"
"3","Lgals3bp"
"4","Irf7"
"5","Isg15"
"6","Ifi27l2b"
"7","Cst3"
"8","Rnf213"
"9","H2-Q6"
"10","Rtp4"
"11","Oas3"
"12","H2-K1"
"13","Usp18"
"14","Actg1"
"15","Lypd8"
"16","Oas1a"
"17","Xaf1"
"18","Apol9a"
"19","Bst2"
"20","B2m"
"21","Ifi27"
"22","Ddx60"
"23","Cfl1"
"24","Tap1"
"25","Tmem30b"
"26","Tapbp"
"27","Psca"
"28","Ethe1"
"29","Car2"
"30","Ifih1"
"31","Dhx58"
"32","Atp5d"
"33","Cd164"
"34","Tlnrd1"
"35","Carhsp1"
"36","Stat1"
"37","Clca1"
"38","Cybrd1"
"39","Muc5ac"
"40","Tle5"
"41","Tuba1c"
"42","Clic1"
"43","Serpinb6a"
"44","Arf1"
"45","Cox6b1"
"46","Ly6m"
"47","Phyh"
"48","Oas1g"
"49","Gnas"
"50","Fabp5"
"51","Stat2"
"52","Lmna"
"53","Sprr2a3"
"54","Rpp25"
"55","Chchd10"
"56","Atp5k"
"57","Ctsb"
"58","Parp9"
"59","Sod1"
"60","Mgst3"
"61","Palld"
"62","Gpx1"
"63","Itm2b"
"64","Helz2"
"65","Gsn"
"66","Irf9"
"67","Atp6v0c"
"68","Pld3"
"69","Perp"
"70","Tmed7"
"71","Slc25a5"
"72","Rhoa"
"73","Rfk"
"74","Ucp2"
"75","Tmbim6"
"76","Rsad2"
"77","Lrp10"
"78","Ctse"
"79","Shisa5"
"80","Psmb9"
"81","Lgals9"
"82","Jund"
"83","Agpat2"
"84","Gsta4"
"85","Tmed2"
"86","Chpt1"
"87","Atp5b"
"88","Mpst"
"89","Sp100"
"90","Ifi35"
"91","Gal3st1"
"92","Nlrc5"
"93","Suox"
"94","Pheta1"
"95","Paqr4"
"96","Cox6a1"
"97","Cox5a"
"98","Crip1"
"99","Ldha"
"100","Ifngr2"
"101","Tmem79"
"102","Dsg2"
"103","Prdx5"
"104","Eppk1"
"105","Fhl1"
"106","Cysrt1"
"107","Cnnm4"
"108","Parp12"
"109","Dag1"
"110","Tmem43"
"111","Fa2h"
"112","Cox5b"
"113","Hist1h2bc"
"114","Sgpp1"
"115","Tagln2"
"116","Nacc1"
"117","Ifi30"
"118","Atp5e"
"119","Sqstm1"
"120","Tspo"
"121","Smdt1"
"122","Aldh1a1"
"123","Irs2"
"124","Casp6"
"125","Pla2g1b"
"126","Odc1"
"127","Dap"
"128","Tap2"
"129","Cant1"
"130","Dynll2"
"131","Sdhd"
"132","Rnf208"
"133","Gde1"
"134","Actr2"
"135","Misp"
"136","Ogdh"
"137","Cldn18"
"138","Rnasek"
"139","Gnb1"
"140","Atox1"
"141","Adar"
"142","Por"
"143","Tfg"
"144","H2-D1"
"145","Mtch1"
"146","Parp14"
"147","Mia2"
"148","Ezr"
"149","Atp4a"
"150","Aldh2"
"151","Pip4k2c"
"152","Akr1a1"
"153","Lgals3"
"154","Dok4"
"155","Bmp2"
"156","Sfn"
"157","Cystm1"
"158","Chp1"
"159","Rab7"
"160","Ndufb9"
"161","Bmp8a"
"162","Foxa2"
"163","Rbm42"
"164","Rab2a"
"165","Ankrd9"
"166","Eef1a1"
"167","Naa20"
"168","Ugt2b34"
"169","Pgc"
"170","Cox4i1"
"171","Rhof"
"172","C77080"
"173","Pgd"
"174","Edf1"
"175","Mfn2"
"176","Epn3"
"177","Chia1"
"178","Vsig1"
"179","Rhod"
"180","Scamp2"
"181","Rap1gap2"
"182","Samhd1"
"183","Gsk3a"
"184","Pfn1"
"185","Fam32a"
"186","Ppp2ca"
"187","H2-Q7"
"188","Mdh2"
"189","Sult1d1"
"190","Calm1"
"191","Ndufa13"
"192","Serpinb1a"
"193","Prr13"
"194","Mid1ip1"
"195","Zfpm1"
"196","Zc3hav1"
"197","Mucl3"
"198","Wwc1"
"199","Aplp2"
"200","Krt80"
"201","Clic4"
"202","Hspa8"
"203","Tinagl1"
"204","Adipor1"
"205","Ifit1"
"206","Papss2"
"207","Retsat"
"208","Gch1"
"209","Gsto1"
"210","Cab39"
"211","Eif2ak2"
"212","Cyp2s1"
"213","Reep5"
"214","Pon2"
"215","Csrp1"
"216","Klf4"
"217","Txn1"
"218","Tax1bp3"
"219","Id2"
"220","Gata4"
"221","Fam102a"
"222","Krt8"
"223","Atp4b"
"224","Ssr2"
"225","Midn"
"226","Elovl1"
"227","Tcn2"
"228","Zbp1"
"229","Slc45a3"
"230","Ube2v1"
"231","Pdlim1"
"232","Tcf23"
"233","Ubl5"
"234","Chchd2"
"235","Ywhab"
"236","Ckmt1"
"237","Gprc5a"
"238","Fau"
"239","Chil4"
"240","Dtx3l"
"241","Slc9a3r1"
"242","Pttg1ip"
"243","Jup"
"244","Phgr1"
"245","Cbr1"
"246","Spats2l"
"247","Tmem59"
"248","Elob"
"249","Gabarap"
"250","S100a6"
"251","Cldnd1"
"252","Lnx2"
"253","Saraf"
"254","S100a10"
"255","Rxra"
"256","Ssu72"
"257","Rnh1"
"258","Ptdss1"
"259","Pcx"
"260","Eif5a"
