"","x"
"1","Igha"
"2","Rsrp1"
"3","Arglu1"
"4","mt-Nd6"
"5","Ddx17"
"6","Muc13"
"7","Reg1"
"8","Luc7l2"
"9","Pigr"
"10","Pabpn1"
"11","Brd8"
"12","Rbm25"
"13","Mgat4a"
"14","Tcf12"
"15","Akp3"
"16","Rbm33"
"17","Nupr1"
"18","Hnrnpm"
"19","Dbp"
"20","Crebzf"
"21","Upf3b"
"22","Khdc4"
"23","Nisch"
"24","Clasrp"
"25","Srsf1"
"26","Vmp1"
"27","Plekhs1"
"28","Als2cl"
"29","Camk2d"
"30","Noxo1"
"31","Klc1"
"32","Atp9b"
"33","U2af2"
"34","Tcf25"
"35","Cbx7"
"36","Tnip3"
"37","Tbcel"
"38","Vti1a"
"39","Mycbp2"
"40","Prom1"
"41","Bnip2"
"42","Paxbp1"
"43","Ppp4r3b"
"44","Gfpt1"
"45","Stambpl1"
"46","Igkc"
"47","Ltf"
"48","Vps53"
"49","Pnn"
"50","Tjp2"
"51","Phf20l1"
"52","Mthfsd"
"53","Cldn3"
"54","Ccnl2"
"55","Zfp397"
"56","Eid3"
"57","Rap1gap"
"58","Sgsm3"
"59","Ces2a"
"60","Zranb2"
"61","Tff3"
"62","Taz"
"63","Samd12"
"64","Lama5"
"65","Reg3b"
"66","Reg3g"
"67","AW554918"
"68","Clk4"
"69","Col4a3bp"
"70","Ppm1j"
"71","Gabpb2"
"72","Zfp991"
"73","Tmc4"
"74","Ppox"
"75","Hook2"
"76","Wdfy1"
"77","Stk11ip"
"78","Ppp5c"
"79","Senp6"
"80","Snx29"
"81","Ptbp2"
"82","Tnni2"
"83","Otud5"
"84","Gdi1"
"85","Smyd3"
"86","Afap1"
"87","Zfp692"
"88","B4galt6"
"89","Zc3h12a"
"90","Chd2"
"91","Tmem191c"
"92","Hunk"
"93","Msln"
"94","Hdac7"
"95","Ipo5"
"96","Mta1"
"97","Akap8"
"98","Gabbr1"
"99","Tbce"
"100","Brms1l"
"101","Slc4a4"
"102","Hjurp"
"103","Wdr45b"
"104","Tia1"
"105","Fgfr1op"
"106","Taok1"
"107","Camk1"
"108","Saa3"
"109","Dcst2"
"110","Mecom"
"111","Tgm2"
"112","Tead1"
"113","Rab24"
"114","Rabl3"
"115","Arhgef26"
"116","Ttll3"
"117","Sf3b1"
"118","Ube3b"
"119","Nfib"
"120","Pick1"
"121","Shf"
"122","Vtcn1"
"123","Aebp2"
"124","Ccdc141"
"125","Nebl"
"126","Ankrd22"
"127","Taf1a"
"128","Pnisr"
"129","Sec11c"
"130","Ssbp1"
"131","Ankrd46"
"132","Otop3"
"133","Ptpn13"
"134","Rasa2"
"135","Card10"
"136","Kdm4a"
"137","Metap1d"
"138","Nfx1"
"139","Mapk8ip3"
"140","Taf1d"
"141","Mlxipl"
"142","Mprip"
"143","Il18rap"
"144","Golga3"
"145","Snapc3"
"146","Ktn1"
"147","Nhej1"
"148","Rbp1"
"149","Smtn"
"150","Il4ra"
"151","Gmeb2"
"152","Il1a"
"153","Wdr37"
"154","Myo1b"
"155","Eme2"
"156","Pced1a"
"157","Prpf38b"
"158","Ppp1r12c"
"159","Kif12"
"160","Kri1"
"161","Ada"
"162","Myo7b"
"163","Cdc37l1"
"164","Hnrnpu"
"165","Ankrd13b"
"166","Pum3"
"167","Snrnp48"
"168","Lrrc31"
"169","Prss22"
"170","Wsb1"
"171","Arg1"
"172","Ampd2"
"173","Snapc4"
"174","Stam"
"175","Proser3"
"176","Ccdc114"
"177","Supt20"
"178","Zfp101"
"179","Luc7l3"
"180","Enpp3"
"181","Srsf6"
"182","Sh2d4b"
"183","Aspa"
"184","Ltc4s"
"185","Trp53bp1"
"186","Fermt1"
"187","Ttll10"
"188","Ccdc9b"
"189","Ubp1"
"190","Sirt7"
"191","Zmym2"
"192","Adam28"
"193","Kmt5b"
"194","Pde7a"
"195","Cyp4f15"
"196","Snx4"
"197","Srsf11"
"198","Arih1"
"199","Map2k7"
"200","Snrnp70"
"201","Lrch1"
"202","Casp8"
"203","Fuz"
"204","Itga2"
"205","Cirbp"
"206","Specc1"
"207","Cldn7"
"208","Trim40"
"209","Lars"
"210","Sult4a1"
"211","Pstpip2"
"212","Cers2"
"213","Kifc2"
"214","mt-Co1"
"215","Rtn4ip1"
"216","Cyb5r1"
"217","Grasp"
"218","Arrb2"
"219","Rsad1"
"220","Qrich1"
"221","Vamp5"
"222","S100g"
"223","Cux1"
"224","Qrsl1"
"225","Rnf25"
"226","Ccnl1"
"227","Tacc3"
"228","Hspa4l"
"229","mt-Nd4"
"230","Phf14"
"231","B3gntl1"
"232","Arhgef38"
"233","Rars"
"234","Dyrk1a"
"235","Abhd11"
"236","Rbmx2"
"237","Tnfrsf11b"
"238","Myef2"
"239","Lyz1"
"240","Cnot3"
"241","Vps13a"
"242","Pgap1"
"243","Fto"
"244","Rnmt"
"245","Fes"
"246","Rptor"
"247","Cps1"
"248","Pold1"
"249","Mib1"
"250","Elk4"
"251","Tm4sf20"
"252","Onecut2"
"253","Ttc4"
"254","Tbpl1"
"255","Tubgcp3"
"256","Srrt"
"257","Frk"
"258","Cluap1"
"259","Dclk1"
"260","Mlst8"
"261","Kdm5d"
"262","Sf3b3"
"263","Dnaaf3"
"264","Shank2"
"265","Ptk2"
"266","Gripap1"
"267","Sct"
"268","Pdss1"
"269","Iqce"
"270","Mcm7"
"271","Zfp697"
"272","Per3"
"273","Abcf1"
"274","mt-Nd3"
"275","Tardbp"
"276","Gtf3c2"
"277","Fam120b"
"278","Ecpas"
"279","Scai"
"280","Akap8l"
"281","Ccdc112"
"282","Thoc2"
"283","Ccdc28b"
"284","Ankle1"
"285","Spindoc"
"286","Ciz1"
"287","Ppfibp2"
"288","Csf2"
"289","Crocc"
"290","Mafg"
"291","Enkd1"
"292","Msi2"
"293","Plk2"
"294","Epha4"
"295","Sec16b"
"296","Stn1"
"297","Cryzl2"
"298","Prpf40b"
"299","Bin1"
"300","Rnf19a"
"301","Plekha7"
"302","Qtrt2"
"303","Ica1"
"304","Elmo3"
"305","Ctsc"
"306","Fadd"
"307","Kat2a"
"308","Hnrnpd"
"309","Scrn2"
"310","Rint1"
"311","Muc2"
"312","Spag5"
"313","Polr3gl"
"314","Tnf"
"315","Slc39a5"
"316","Wdr45"
"317","Kctd2"
"318","Prpf39"
"319","Fbf1"
"320","Metap2"
"321","Zfp57"
"322","Nln"
"323","Ttll5"
"324","AW549877"
"325","Slc7a6os"
"326","Epn2"
"327","Prpf6"
"328","Anln"
"329","Cep63"
"330","Clec2f"
"331","Arfrp1"
"332","Cog5"
"333","Omp"
"334","Orc6"
"335","Ankrd28"
"336","Sorbs2"
"337","Ppip5k1"
"338","Cep95"
"339","Pan2"
"340","Kat8"
"341","Ceacam1"
"342","Exosc7"
"343","Btg2"
"344","Eci2"
"345","Ip6k2"
"346","Herpud1"
"347","St3gal4"
"348","Ube4b"
"349","Agps"
"350","Myc"
"351","Ccdc28a"
"352","Cdk5"
"353","Fam204a"
"354","Cd276"
"355","Samd5"
"356","Lmbr1l"
"357","Zc3h7a"
"358","Hnrnph3"
"359","Wdr26"
"360","Dock1"
"361","Hmgb3"
"362","Flii"
"363","Rabgap1l"
"364","Eps8l3"
"365","Gabrp"
"366","Mapk11"
"367","Fbxl21"
"368","Ccl25"
"369","Rfx1"
"370","Leng1"
"371","Scara3"
"372","Cep250"
"373","Haus3"
"374","Tcf7l2"
"375","Krr1"
"376","Babam2"
"377","Chd8"
"378","Rgl2"
"379","Morf4l1"
"380","Srek1"
"381","Tmem259"
"382","Vps33b"
"383","Vdr"
"384","Ptprs"
"385","Ncbp2"
"386","Hnrnph1"
"387","Srpk2"
"388","Patj"
"389","Ccz1"
"390","Rfx5"
"391","Esyt2"
"392","BC003965"
"393","Zfp865"
"394","Hdac11"
"395","Kmt5a"
"396","Eif2b5"
"397","Ano6"
"398","Slc5a1"
"399","Sec11a"
"400","Mybbp1a"
"401","Nsfl1c"
"402","Flot1"
"403","Lsm5"
"404","Sec63"
"405","Gigyf1"
"406","Lin37"
"407","Gtpbp2"
"408","Bclaf1"
"409","Adcy6"
"410","Nlrp6"
"411","Plat"
"412","Tph1"
"413","Senp1"
"414","Ccnj"
"415","Stx1a"
"416","mt-Nd5"
"417","Tfpi"
"418","Arhgef1"
"419","Dimt1"
"420","Cftr"
"421","Plcg2"
"422","Ncoa7"
"423","Inha"
"424","Clca3a2"
"425","Ccdc61"
"426","Slc30a10"
"427","Cdh17"
"428","Gda"
"429","Ccar1"
"430","Lzts3"
"431","Ccdc167"
"432","Grhl3"
"433","Parp2"
"434","Dcun1d5"
"435","Etaa1"
"436","Snd1"
"437","Kcnab3"
"438","Chrnb1"
"439","Zfp652"
"440","Dgki"
"441","Runx2"
"442","Akap7"
"443","Atf2"
"444","BC055324"
"445","Cpsf6"
"446","Adam22"
"447","Fars2"
"448","Bora"
"449","Rbfox2"
"450","Usp8"
"451","Clec2d"
"452","Mospd2"
"453","Zfp335"
"454","Dyrk1b"
"455","Sestd1"
"456","Dmbt1"
"457","Pithd1"
"458","Xbp1"
"459","Nfe2l3"
"460","Sh3gl1"
"461","Gtf2i"
"462","Nsmaf"
"463","Hmgn3"
"464","Ahcyl2"
"465","Eya3"
"466","Soat2"
"467","Pik3r3"
"468","Stk38"
"469","Abcd4"
"470","Uri1"
"471","Impact"
"472","Dgkq"
"473","Uvssa"
"474","Ankrd52"
"475","Anxa4"
"476","Capn15"
"477","Nolc1"
"478","Trim11"
"479","Oga"
"480","Clca3b"
"481","Plekha5"
"482","Cep72"
"483","Angptl4"
"484","Tns4"
"485","Mical3"
"486","Ddx52"
"487","Dnajc10"
"488","Tbc1d7"
"489","Fam193b"
"490","Trabd"
"491","Zfp704"
"492","Shtn1"
"493","Fxr2"
"494","Mettl17"
"495","Ccdc142"
"496","Sox12"
"497","Npm2"
"498","Zwilch"
"499","Odf2l"
"500","Fam171a1"
"501","Tmprss11e"
"502","Npepl1"
"503","Padi1"
"504","Cfdp1"
"505","Efna4"
"506","Srsf10"
"507","Cdk6"
"508","Vamp1"
"509","Smpdl3b"
"510","Rbm3"
"511","Adam8"
"512","Pbld2"
"513","Cers3"
"514","Tefm"
"515","Maco1"
"516","Sugp1"
"517","Il1rl2"
"518","Ddx11"
"519","Alkbh1"
"520","Cntln"
"521","Ano8"
"522","Harbi1"
"523","Adamtsl4"
"524","Edaradd"
"525","Phkg2"
"526","Znrf1"
"527","Tcaim"
"528","Inpp1"
"529","Med4"
"530","Rnf8"
"531","Elovl5"
"532","Rgs22"
"533","Mapk12"
"534","Wnt7a"
"535","mt-Co2"
"536","Cyb5rl"
"537","Elp4"
"538","Nom1"
"539","Tatdn1"
"540","Ice1"
"541","Scel"
"542","Cdcp1"
"543","Tex9"
"544","Zfp276"
"545","Nsmf"
"546","Ergic2"
"547","Cyp2d34"
"548","Odf2"
"549","Etfbkmt"
"550","Sox17"
