"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.17922067198214e-73,6.68556918892824,0.925,0.097,2.24747667873076e-69,"17","Chga"
7.02788381159829e-83,6.62374315113684,0.917,0.189,1.33944437565252e-78,"12","Igkc"
1.35082946746255e-149,6.60751622596375,0.978,0.052,2.57454588203687e-145,"16","Il1b"
0.000633129078898976,6.54650396695844,0.381,0.307,1,"12","Igha"
1.53999725328949e-88,6.2930228869832,1,0.315,2.93508076504443e-84,"9","Atp4a"
4.67664310556422e-05,6.23101883565422,0.25,0.083,0.891321409489484,"17","Sst"
6.39560428438678e-80,6.15558995871288,1,0.017,1.21893822056128e-75,"18","Sh2d6"
2.47358770491244e-88,6.11566714570109,1,0.316,4.71441080679262e-84,"9","Atp4b"
1.06446537282463e-72,6.02351933062744,0.901,0.342,2.02876455406646e-68,"7","Muc6"
4.34456113232186e-240,5.86413143531628,0.946,0.07,8.28029906209223e-236,"8","Myh11"
8.70439556047803e-224,5.85233049343753,0.981,0.164,1.65897074987151e-219,"3","Slpi"
4.63737301099431e-177,5.70660129385073,0.849,0.068,8.83836922165406e-173,"10","Alpi"
1.9262484049604e-72,5.68528393231797,0.69,0.103,3.67123683501402e-68,"12","Ighm"
2.74623138028223e-26,5.647443440124,1,0.064,5.23404238767989e-22,"18","Dclk1"
3.68811312015579e-121,5.57760159353589,0.522,0.014,7.02917479570492e-117,"16","S100a9"
6.7725905062822e-95,5.56953450642491,0.381,0.016,1.29078802459232e-90,"12","Iglc1"
2.28867513280702e-61,5.5212043106817,0.36,0.024,4.36198593561691e-57,"13","Ccl21a"
1.56319289015159e-139,5.52057874900657,0.891,0.141,2.97928932933992e-135,"8","Tagln"
4.09192137103682e-08,5.45527482914411,1,0.325,0.000779879294105908,"18","Eppk1"
3.07816104458021e-108,5.37278311716664,0.457,0.012,5.86666713486542e-104,"16","S100a8"
1.34395613428881e-126,5.28327611975072,0.792,0.092,2.56144599634104e-122,"10","Akp3"
2.04235108550983e-33,5.26453143261727,0.345,0.049,3.89251693387318e-29,"12","Jchain"
3.31680139235693e-98,5.24709980700423,0.938,0.287,6.32149177369308e-94,"8","Tpm2"
4.34590864634734e-81,5.18154512007088,0.652,0.042,8.28286728907339e-77,"16","Csf3r"
2.76373310373908e-106,5.17356305442774,1,0.012,5.26739892241631e-102,"18","Trpm5"
1.55236905644851e-123,5.11966299474169,1,0.18,2.95866018468522e-119,"9","Clic6"
1.80675402971375e-110,5.10707206223849,0.99,0.201,3.44349250523144e-106,"9","Apoa1"
8.22237191933254e-16,5.08582878456957,1,0.118,1.56710186410559e-11,"18","Adh1"
3.0911386918003e-176,5.06417594309154,0.876,0.093,5.8914012327022e-172,"8","Acta2"
1.83404630316297e-54,5.05117260284468,0.396,0.046,3.4955088491983e-50,"10","Ada"
9.59214308776046e-149,5.03041928234667,1,0.008,1.82816655109627e-144,"18","Sh2d7"
3.09275933363988e-145,5.02563528026177,0.99,0.134,5.89449001398425e-141,"9","Smim38"
5.89215459793979e-214,4.88285768937397,0.868,0.065,1.12298574482134e-209,"8","Des"
2.00006347642019e-57,4.81920029090865,0.793,0.282,3.81192097970924e-53,"7","Gkn3"
1.53680571767746e-109,4.80576659741897,0.757,0.315,2.92899801732147e-105,"2","Apoe"
1.42496207069664e-36,4.80296903822795,0.857,0.031,2.71583521054072e-32,"18","Ccnj"
7.04087339545805e-150,4.73789001234729,0.868,0.112,1.34192006044035e-145,"8","Myl9"
0,4.73714908102687,0.96,0.02,0,"13","Egfl7"
1.42139354443014e-61,4.68969363950889,0.435,0.023,2.7090339563294e-57,"16","Cxcl2"
5.62919002885559e-295,4.68654059873663,0.745,0.015,1.07286732759959e-290,"10","Adh6a"
3.56181677851833e-07,4.63287610221434,1,0.407,0.00678846659817808,"18","Cd24a"
9.02903836876585e-65,4.61800420724466,1,0.169,1.72084442270308e-60,"16","Srgn"
7.31548086314786e-83,4.61010016232001,0.674,0.045,1.39425749770735e-78,"16","Slfn4"
2.49677500490553e-59,4.59308180378254,1,0.025,4.75860348184946e-55,"18","Strip2"
3.09236149586765e-195,4.58660006725992,0.752,0.049,5.89373177497415e-191,"8","Actg2"
1.0588975402926e-156,4.57834862416943,0.868,0.086,2.01815282204367e-152,"10","Muc13"
8.4932544164701e-262,4.52529954306835,0.933,0.031,1.61872935923504e-257,"13","Shank3"
2.07217731988741e-100,4.52048127256544,0.93,0.256,3.94936275397342e-96,"8","Smtn"
2.55518214077402e-131,4.51086775901539,0.915,0.162,4.86992164210121e-127,"8","Dmpk"
4.88340455664862e-105,4.50869488318651,0.55,0.017,9.3072807445166e-101,"17","Pcsk1n"
2.08080331354837e-111,4.50693731283897,0.774,0.102,3.96580303529183e-107,"10","Prap1"
7.43540911498699e-10,4.49621934567512,0.413,0.138,1.41711462322537e-05,"16","Thbs1"
4.49181980861966e-116,4.48839958949066,0.971,0.279,8.56095937324822e-112,"6","Cblif"
3.92753715170742e-96,4.48066804523755,0.992,0.354,7.48549305743918e-92,"8","Flna"
1.65803992910338e-152,4.45328089336918,0.674,0.136,3.16005830087813e-148,"2","C1qb"
2.50793683585667e-210,4.44687880968721,0.726,0.031,4.77987681545923e-206,"10","Mgam"
1.93257639818857e-225,4.43068204080141,0.783,0.042,3.68329735730759e-221,"8","Cnn1"
1.09918170891241e-46,4.42935310864185,0.967,0.79,2.09493041901616e-42,"7","Tff2"
1.99316776841467e-103,4.40777514261391,0.475,0.012,3.79877844982152e-99,"17","Rbpjl"
2.59582569492772e-205,4.40506979234867,1,0.858,4.94738419196275e-201,"0","Gkn1"
8.58120104092735e-208,4.39021005701312,1,0.828,1.63549110639034e-203,"0","Gkn2"
1.02225467355512e-108,4.38240842749991,0.725,0.032,1.9483151823287e-104,"17","Chgb"
6.58181400140935e-18,4.36123912625887,1,0.099,1.25442793052861e-13,"18","Hck"
1.35481735294791e-213,4.34640411751935,0.76,0.111,2.58214639298341e-209,"2","Lyz2"
8.28424531524493e-19,4.34502863036587,0.25,0.024,1.57889431463253e-14,"17","Cartpt"
1.29583243064228e-34,4.34332545840189,0.957,0.372,2.46972702956112e-30,"16","Cebpb"
5.29782764672154e-112,4.33105914032594,0.867,0.072,1.00971297118866e-107,"14","Pi16"
1.01784871121258e-125,4.3204990252472,0.95,0.213,1.93991785870006e-121,"6","Pdia2"
4.27338797111792e-61,4.31516259858887,0.942,0.679,8.14465013415365e-57,"6","Chia1"
4.01224618218514e-29,4.31135614938757,1,0.055,7.64693999862665e-25,"18","Cd300lf"
1.56168852287936e-74,4.2707123222978,0.921,0.429,2.97642215575577e-70,"6","Furin"
3.62622586035642e-78,4.2227584770378,0.675,0.042,6.9112238672533e-74,"17","Snhg11"
2.47479015766221e-65,4.21042637490489,0.522,0.033,4.71670256148841e-61,"16","Hdc"
3.29450174536636e-07,4.20783232360419,1,0.416,0.00627899087649375,"18","Atp2a3"
2.84913681598823e-75,4.19688634625301,0.804,0.076,5.43016985759198e-71,"16","Plek"
7.59225604200128e-63,4.18331201977623,0.491,0.064,1.44700807904502e-58,"10","Reg1"
2.39757354287435e-49,4.17437140448076,0.717,0.098,4.56953541536423e-45,"16","Cd14"
2.92376305257908e-47,4.15817319803304,0.472,0.079,5.57240000191046e-43,"10","Apoa4"
4.10359754921818e-249,4.11297991636195,0.966,0.118,7.82104656905494e-245,"3","Msln"
4.06324353281937e-148,4.09644389502476,1,0.359,7.74413584920044e-144,"3","C3"
7.89564931929035e-72,4.09617926334089,0.877,0.254,1.50483180376355e-67,"10","Myo15b"
9.1222058531054e-75,4.08550056031474,0.971,0.693,1.73860121354336e-70,"6","Pla2g1b"
5.46620831450287e-169,4.08376929474993,0.921,0.073,1.0418046426611e-164,"11","Enpp2"
5.9964865701702e-16,4.08267320583048,0.857,0.078,1.14287037540874e-11,"18","Rgs2"
7.31231350774346e-148,4.07297856375867,0.884,0.121,1.39365383144083e-143,"8","Mylk"
