"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"The citric acid (TCA) cycle and respiratory electron transport","8.195e-14","142","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Etfa, Fh1, Glo1, Idh2, Idh3a, Ldha, Mdh2, Me1, Me2, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs4, Ndufs7, Ndufv1, Ndufv3, Ogdh, Pdha1, Ppard, Rxra, Sdhb, Sdhc, Sdhd, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Cellular responses to stimuli","7.204e-12","394","Akt1, Apoa1, Atp6v0b, Atp6v0c, Atp6v0d2, Atp6v1b2, Atp6v1e1, Atp6v1f, Atp6v1g1, Bag1, Bag3, Bag4, Capzb, Ccna2, Cdk2, Cdkn1a, Cebpb, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Creb3l3, Cyba, Dctn2, Dctn3, Dctn5, Dctn6, Dnaja1, Dnaja2, Dnajb6, Dync1i2, Dynll1, Dynll2, Eef1a1, Egln2, Egln3, Eif2s1, Elob, Epas1, Ets2, Fnip2, Fos, Fzr1, Gpx1, Gpx2, Gsr, Gstp1, H1f0, Hbb-bs, Helz2, Hikeshi, Hmox1, Hsbp1, Hsp90aa1, Hsp90ab1, Hspa13, Hspa1b, Hspa8, Hsph1, Itfg2, Jun, Kdm6b, Lamtor3, Lmnb1, Mafk, Map1lc3b, Map2k3, Mapk1, Mapk3, Mapk8, Mapkapk2, Mt1, Mt2, Nfe2l2, Nudt2, P4hb, Pom121, Prdx1, Prdx2, Prdx3, Prdx5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Rxra, Sco2, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, St13, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Txn1, Ubc, Ubn1, Vcp, Wtip"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","7.204e-12","98","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Etfa, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs4, Ndufs7, Ndufv1, Ndufv3, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Cellular responses to stress","1.809e-11","391","Akt1, Apoa1, Atp6v0b, Atp6v0c, Atp6v0d2, Atp6v1b2, Atp6v1e1, Atp6v1f, Atp6v1g1, Bag1, Bag3, Bag4, Capzb, Ccna2, Cdk2, Cdkn1a, Cebpb, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Creb3l3, Cyba, Dctn2, Dctn3, Dctn5, Dctn6, Dnaja1, Dnaja2, Dnajb6, Dync1i2, Dynll1, Dynll2, Eef1a1, Egln2, Egln3, Eif2s1, Elob, Epas1, Ets2, Fnip2, Fos, Fzr1, Gpx1, Gpx2, Gsr, Gstp1, H1f0, Hbb-bs, Helz2, Hikeshi, Hmox1, Hsbp1, Hsp90aa1, Hsp90ab1, Hspa13, Hspa1b, Hspa8, Hsph1, Itfg2, Jun, Kdm6b, Lamtor3, Lmnb1, Mafk, Map1lc3b, Map2k3, Mapk1, Mapk3, Mapk8, Mapkapk2, Nfe2l2, Nudt2, P4hb, Pom121, Prdx1, Prdx2, Prdx3, Prdx5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Rxra, Sco2, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, St13, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Txn1, Ubc, Ubn1, Vcp, Wtip"
"Cellular response to chemical stress","2.668e-09","142","Akt1, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gsr, Gstp1, Hbb-bs, Helz2, Hmox1, Mafk, Map1lc3b, Nfe2l2, Nudt2, P4hb, Prdx1, Prdx2, Prdx3, Prdx5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rxra, Sco2, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, Txn1, Ubc, Vcp"
"Respiratory electron transport","1.368e-07","82","Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Etfa, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs4, Ndufs6, Ndufs7, Ndufv1, Ndufv3, Sco2, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Antigen processing-Cross presentation","3.573e-07","73","B2m, Calr, Cyba, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Stx4a, Tap1, Tap2, Tapbp, Vamp3, Vamp8"
"Downstream signaling events of B Cell Receptor (BCR)","3.573e-07","67","Calm1, Calm2, Fkbp1a, Kras, Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Fc epsilon receptor (FCERI) signaling","3.573e-07","108","Calm1, Calm2, Fos, Grb2, Jun, Kras, Mapk1, Mapk3, Mapk8, Nfkbia, Pak2, Pik3cb, Pik3r2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Tab2, Ubc, Ube2v1"
"PCP/CE pathway","3.573e-07","79","Ap2s1, Cltb, Cltc, Daam1, Dvl2, Dvl3, Fzd1, Pfn1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Smurf1, Ubc"
