"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Cellular responses to stimuli","3.122e-13","400","Aaas, Actr10, Akt1, Akt1s1, Akt3, Anapc1, Anapc16, Apob, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1a, Atp6v1b2, Atp6v1e1, Bag3, Blvrb, Capzb, Cat, Ccna2, Cdc26, Cdc27, Cdk2, Cdkn1b, Cebpb, Chd9, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cul2, Cyba, Dctn3, Dctn6, Dnaja2, Dnajb1, Dnajb6, Dync1li2, Dynll2, Eef1a1, Egln1, Egln2, Ehmt2, Eif2s1, Elob, Ep400, Erf, Ern1, Ets1, Ets2, Fkbp4, Fos, Fzr1, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, H13, H1f0, Hdac3, Hdac6, Helz2, Hif1a, Hikeshi, Hmox1, Hsbp1, Hsf1, Hsp90ab1, Hspa1a, Hspa1b, Hspa5, Hspa8, Hspa9, Hsph1, Kdm6b, Lamtor2, Lamtor3, Limd1, Lmnb1, Mafk, Map2k3, Map2k4, Mapk3, Mapkapk2, Mtor, Ndc1, Nfe2l2, Nploc4, Nup107, Nup54, Nup62, Nup93, Nupl2, P4hb, Pom121, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptges3, Rbbp4, Rbbp7, Rragc, Sh3bp4, Sin3b, Sod1, Sod2, Sqstm1, Srxn1, St13, Stip1, Surf1, Tbl1xr1, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Txn1, Ubc, Ube2c, Ube2d1, Ube2d2a, Ube2d3, Ube2s, Vcp, Wdr59, Xpo1, Ywhae"
"Cellular responses to stress","3.122e-13","397","Aaas, Actr10, Akt1, Akt1s1, Akt3, Anapc1, Anapc16, Apob, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1a, Atp6v1b2, Atp6v1e1, Bag3, Blvrb, Capzb, Cat, Ccna2, Cdc26, Cdc27, Cdk2, Cdkn1b, Cebpb, Chd9, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cul2, Cyba, Dctn3, Dctn6, Dnaja2, Dnajb1, Dnajb6, Dync1li2, Dynll2, Eef1a1, Egln1, Egln2, Ehmt2, Eif2s1, Elob, Ep400, Erf, Ern1, Ets1, Ets2, Fkbp4, Fos, Fzr1, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, H13, H1f0, Hdac3, Hdac6, Helz2, Hif1a, Hikeshi, Hmox1, Hsbp1, Hsf1, Hsp90ab1, Hspa1a, Hspa1b, Hspa5, Hspa8, Hspa9, Hsph1, Kdm6b, Lamtor2, Lamtor3, Limd1, Lmnb1, Mafk, Map2k3, Map2k4, Mapk3, Mapkapk2, Mtor, Ndc1, Nfe2l2, Nploc4, Nup107, Nup54, Nup62, Nup93, Nupl2, P4hb, Pom121, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptges3, Rbbp4, Rbbp7, Rragc, Sh3bp4, Sin3b, Sod1, Sod2, Sqstm1, Srxn1, St13, Stip1, Surf1, Tbl1xr1, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Txn1, Ubc, Ube2c, Ube2d1, Ube2d2a, Ube2d3, Ube2s, Vcp, Wdr59, Xpo1, Ywhae"
"The citric acid (TCA) cycle and respiratory electron transport","8.573e-11","142","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Ppard, Sdha, Sdhb, Sdhc, Sdhd, Surf1, Timmdc1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq, Vdac1"
"Cellular response to chemical stress","4.645e-10","142","Blvrb, Cat, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Txn1, Ubc, Vcp"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","2.760e-09","99","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Timmdc1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq"
"Mitotic Anaphase","7.685e-09","201","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Chmp4c, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mad2l1, Mapre1, Mis12, Ndc1, Nde1, Nudc, Nuf2, Nup107, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Rcc1, Sgo2a, Sirt2, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"Mitotic Metaphase and Anaphase","7.685e-09","202","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Chmp4c, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mad2l1, Mapre1, Mis12, Ndc1, Nde1, Nudc, Nuf2, Nup107, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Rcc1, Sgo2a, Sirt2, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"Developmental Biology","2.715e-07","302","Actg1, Actr2, Akt3, Ap2m1, Ap2s1, Aph1a, Arhgef7, Arpc1a, Arpc1b, Arpc2, Arpc3, Cltc, Col3a1, Col4a2, Col5a1, Col6a1, Col6a2, Ctnna1, Ctnnb1, Dag1, Dok1, Dok4, Dpysl2, Dsc2, Dsg2, Dsp, Efna1, Efnb1, Efnb2, Egfr, Enah, Epha2, Ephb2, Ephb3, Evpl, Ezr, Foxo3, Frs2, Git1, Gpc1, Grb2, Hdac3, Hras, Hsp90ab1, Irs2, Itgb1, Jup, Kazn, Kras, Krt14, Krt15, Krt17, Krt18, Krt19, Krt20, Krt23, Krt5, Krt6a, Krt7, Krt8, Krt80, Map2k1, Map2k2, Mef2d, Mmp2, Msn, Nck2, Pak2, Perp, Pfn1, Pik3ca, Pkp1, Pkp3, Pkp4, Plxna1, Plxna2, Ppl, Prkaca, Psenen, Ptpn11, Rac1, Rhoa, Rhob, Rock1, Rptn, Rras, Sdcbp, Sema3e, Sema7a, Shc1, Smad3, Sptbn2, Tgm1, Tln1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vasp"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","3.744e-07","67","Aurkb, Cdc20, Cdc26, Cdc27, Fzr1, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Respiratory electron transport","3.744e-07","82","Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Timmdc1, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq"
