"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Neutrophil degranulation","4.563e-05","353","Actr10, Actr2, Adam10, Aldoa, Alox5, Ampd3, Anpep, Anxa2, Ap1m1, Arhgap9, Arpc5, Atp11a, Atp6ap2, Atp6v0c, Atp6v1d, B2m, Bst2, Cand1, Cd14, Cd53, Cd55, Cd63, Cd68, Cdk13, Ceacam1, Cep290, Chil1, Ckap4, Cmtm6, Cotl1, Cpne3, Cr1l, Cst3, Ctsa, Ctsb, Ctsd, Ctsh, Ctss, Ctsz, Cyb5r3, Cyba, Cyfip1, Degs1, Diaph1, Dnajc3, Dnajc5, Eef1a1, Eef2, Enpp4, Erp44, Fabp5, Faf2, Fcer1g, Fgl2, Gca, Ggh, Glb1, Gpi1, Grn, Gsdmd, Gsn, Gstp1, Gyg, H2-K1, H2-M3, H2-Q6, H2-Q7, Hbb-bs, Hbb-bt, Hexb, Hgsnat, Hmgb1, Hsp90aa1, Hspa8, Huwe1, Impdh2, Ist1, Jup, Lyz2, Magt1, Man2b1, Manba, Nckap1l, Ncstn, Neu1, Nme2, Padi2, Pafah1b2, Pdxk, Prcp, Psap, Psma5, Psmd12, Psmd7, Ptprc, Ptprj, Rab14, Rab18, Rab37, Rab5b, Rab6a, Rab7, Rap2c, Rhoa, Rhof, Rhog, S100a11, Scamp1, Sdcbp, Slc44a2, Slpi, Snap23, Snap29, Surf4, Svip, Tbc1d10c, Tcirg1, Tmem179b, Tmem63a, Try10, Ttr, Tubb4b, Tubb5, Ubr4, Unc13d, Vat1, Vcp"
"Non-integrin membrane-ECM interactions","2.269e-03","25","Col1a1, Col1a2, Col3a1, Col4a2, Col4a5, Ddr1, Itga6, Itgb1, Itgb5, Sdc1, Sdc3, Sdc4, Vtn"
"Hemostasis","2.680e-03","333","Aamp, Actg1, Actn4, Adra2a, Akap1, Alb, Aldoa, Anxa2, Anxa5, Atp2a2, Bcar1, Brpf3, Calm3, Capzb, Cd36, Cd44, Cd63, Cd74, Cd84, Cd9, Cdc42, Ceacam1, Clu, Col1a1, Col1a2, Crk, Csk, Dagla, Dock6, Ecm1, Endod1, Epcam, Esam, F10, F11r, F8, Fcer1g, Gas6, Gata2, Glg1, Gna12, Gna14, Gnai3, Gnaq, Gnas, Gnb1, Gng10, Gng5, H3f3a, H3f3b, Habp4, Hdac1, Igf1, Igf2, Inpp5d, Itga2b, Itgb1, Itpr1, Itpr3, Jchain, Jmjd1c, Kdm1a, Kif16b, Kif21b, Kif2a, Kif3b, Kras, Lcp2, Lgals3bp, Maff, Mapk1, Mfn2, P2rx3, P2rx7, Pcyox1l, Pde5a, Pde9a, Pdgfa, Pdpk1, Pik3ca, Pik3r3, Pla2g4a, Plcg1, Plcg2, Ppp2r1a, Ppp2r5a, Ppp2r5b, Ppp2r5c, Prcp, Prkaca, Prkar1a, Prkar2b, Procr, Psap, Ptpn1, Ptpn6, Rac2, Racgap1, Raf1, Rarres2, Rcor1, Rhoa, Rhob, Rhog, Sdc1, Sdc3, Sdc4, Selenop, Serping1, Sh2b1, Sod1, Sos1, Srgn, Stx4a, Syk, Tagln2, Tek, Tex264, Tmsb4x, Tnfrsf10b, Tor4a, Trf, Tuba1a, Tuba1c, Tuba4a, Tubal3, Tubb2a, Tubb4a, Tubb4b, Vav1, Vegfb, Wdr1, Zfpm1"
"MHC class II antigen presentation","1.714e-02","82","Actr10, Actr1a, Ap1m1, Ap2b1, Arf1, Canx, Capzb, Cd74, Ctsa, Ctsb, Ctsd, Ctse, Ctsh, Ctsl, Ctso, Ctss, Dctn3, Dctn4, Dync1li2, Dynll1, Dynll2, Kif2a, Kif3b, Lag3, Rab7, Racgap1, Sec24a, Sec24b, Sec24d, Sh3gl2, Tuba1a, Tuba1c, Tuba4a, Tubal3, Tubb2a, Tubb4a, Tubb4b"
"Cell surface interactions at the vascular wall","2.674e-02","62","Cd74, Cd84, Ceacam1, Col1a1, Col1a2, Epcam, Esam, F11r, Fcer1g, Gas6, Inpp5d, Itgb1, Jchain, Kras, Pik3ca, Procr, Sdc1, Sdc3, Sdc4, Sos1, Tek, Tnfrsf10b"
"Golgi-to-ER retrograde transport","2.709e-02","101","Actr10, Actr1a, Agpat3, Arf1, Arf3, Arf5, Arfgap1, Arfgap2, Capzb, Copa, Cope, Copz2, Dctn3, Dctn4, Dync1li2, Dynll2, Galnt1, Kdelr1, Kif16b, Kif21b, Kif2a, Napg, Pafah1b1, Pafah1b2, Pla2g4a, Rab18, Rab1a, Rab3gap1, Rab6a, Racgap1, Stx18, Surf4, Tmed10, Tmed2, Tmed3, Tmed7, Tmed9, Tuba1a, Tuba1c, Tuba4a, Tubal3, Tubb2a, Tubb4a, Tubb4b"
"Antigen processing-Cross presentation","3.220e-02","68","B2m, Calr, Cyba, H2-K1, H2-Q6, Itgb5, Lnpep, Ncf4, Pdia3, Psma1, Psma4, Psma5, Psmb2, Psmb3, Psmb5, Psmc1, Psmd12, Psmd7, Psme3, Psme4, Psmf1, Snap23, Tapbp"
"Adaptive Immune System","4.483e-02","490","Actr10, Actr1a, Akt2, Anapc13, Ap1m1, Ap2b1, Arf1, Asb1, Asb2, Asb6, B2m, Blmh, Btbd1, Calm3, Calr, Canx, Capzb, Cd247, Cd34, Cd74, Cd81, Cdc20, Cdc27, Cdc42, Col1a1, Col1a2, Col3a1, Csk, Ctsa, Ctsb, Ctsd, Ctse, Ctsh, Ctsl, Ctso, Ctss, Cul1, Cyba, Dctn3, Dctn4, Dtx3l, Dync1li2, Dynll2, Elob, Erap1, Fbxl14, Fbxl3, Fbxo30, Fbxo9, Fbxw8, Gan, H2-K1, H2-M3, H2-Q6, H2-Q7, Herc1, Hspa5, Huwe1, Ifitm2, Inpp5d, Itgb1, Itgb5, Itgb7, Itpr1, Itpr3, Kbtbd8, Keap1, Kif2a, Kras, Lag3, Lcp2, Lmo7, Lnpep, Malt1, Map3k7, Mgrn1, Mylip, Ncf4, Nedd4, Nfkbib, Pdia3, Pdpk1, Pik3ca, Pik3cd, Plcg2, Ppp2r1a, Ppp2r5a, Ppp2r5b, Ppp2r5c, Prkaca, Prkn, Psma1, Psma4, Psma5, Psmb2, Psmb3, Psmb5, Psmb8, Psmc1, Psmc4, Psmd12, Psmd7, Psme3, Psme4, Psmf1, Ptprc, Ptprj, Pvr, Rab7, Racgap1, Raf1, Rbbp6, Rchy1, Rela, Rlim, Rnf123, Rnf126, Rnf220, Sec24a, Sec24b, Sec24d, Sh3gl2, Siah1a, Siglec1, Smurf2, Snap23, Sos1, Spsb1, Syk, Tapbp, Trip12, Trpc1, Tuba1a, Tuba1c, Tubal3, Tubb2a, Tubb4a, Tubb4b, Uba1, Uba7, Ubac1, Ube2d2a, Ube2e3, Ube2g2, Ube2m, Ube2o, Ube2q2, Ube2r2, Ube2s, Ube3c, Ubr4, Vav1, Vhl, Wsb1, Ywhab"
"Collagen degradation","4.483e-02","27","Col1a1, Col1a2, Col3a1, Col4a2, Col4a5, Col6a2, Ctsb, Ctsd, Ctsl, Furin, Mmp11, Mmp15, Try10"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","4.483e-02","36","B2m, Cd81, Col1a1, Col1a2, Col3a1, H2-K1, Itgb1, Itgb7, Pvr"
