"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Metabolism of RNA","3.135e-05","439","Adar, Alyref, Aqr, Bms1, C1d, Chtop, Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Cpsf1, Cpsf3, Cpsf6, Cstf1, Cstf2t, Dcaf13, Ddx49, Ddx6, Dhx16, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Emg1, Ercc2, Ercc3, Exosc5, Exosc9, Fbl, Fcf1, Fus, Gpkow, Gtf2f1, Gtf2h4, Heatr1, Hnrnpa1, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hspa8, Hspb1, Khsrp, Lsm2, Lsm4, Ltv1, Magoh, Mphosph6, Mtrex, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nudt21, Nup155, Nup188, Nxf7, Paip1, Patl1, Pcbp1, Phf5a, Pnrc2, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppie, Ppil1, Prcc, Prmt5, Prpf40a, Prpf8, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Puf60, Rbm42, Rbm5, Rbm8a, Rbmx, Rcl1, Rngtt, Rnps1, Rpp21, Rrp9, Sarnp, Senp3, Sf3b5, Sf3b6, Smg8, Smg9, Smndc1, Snrnp27, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snupn, Snw1, Srrm2, Srsf11, Srsf2, Sympk, Tbl3, Tgs1, Tnks1bp1, Tnpo1, U2surp, Upf2, Usp39, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr33, Wdr43, Wdr61, Wdr75, Wdr77, Xab2, Xpo1, Ybx1, Ywhab, Ywhaz"
"Phase II - Conjugation of compounds","5.411e-04","63","Akr1a1, Bpnt1, Chac2, Gclc, Gss, Gsta3, Gstm1, Gstm2, Gsto1, Gstp1, Gstt1, Gstt2, Gstz1, Mgst1, Mgst3, Papss2, Slc26a2, Slc35d1, Sult1b1, Sult1c2, Tpmt, Tpst2, Ugp2, Ugt2b34, Ugt2b35"
"GPCR ligand binding","5.819e-04","134","Adgre1, Adm, Adora1, Adora2a, Adora2b, Adra2a, Apln, App, C3ar1, C5ar1, Calcrl, Cck, Cckar, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr5, Chrm3, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Drd3, Ece1, Edn1, Ednra, F2, Gabbr1, Gal, Gipr, Gng12, Gng2, Gng4, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Ltb4r2, Mc5r, Nmb, Npb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rxfp1, S1pr1, S1pr3, Sct, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Ucn2, Uts2, Vipr2"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","2.465e-03","95","Acad9, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j2, Atp5k, Atp5l, Cox11, Cox14, Cox18, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Etfa, Ndufa12, Ndufab1, Ndufaf1, Ndufaf5, Ndufaf6, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc2, Ndufs2, Ndufs3, Ndufs4, Ndufs7, Ndufv1, Ndufv2, Slc25a27, Tmem186, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrh"
"Class A/1 (Rhodopsin-like receptors)","3.061e-03","107","Adora1, Adora2a, Adora2b, Adra2a, Apln, App, C3ar1, C5ar1, Cck, Cckar, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr5, Chrm3, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Drd3, Ece1, Edn1, Ednra, F2, Gal, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Ltb4r2, Mc5r, Nmb, Npb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Rxfp1, S1pr1, S1pr3, Sst, Sstr3, Taar3, Tacr3, Uts2"
"Signaling by GPCR","3.219e-03","298","Adcy7, Adcy9, Adgre1, Adm, Adora1, Adora2a, Adora2b, Adra2a, Akap13, Akt3, Apln, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef18, Arhgef3, Arhgef38, Arrb2, Btk, C3ar1, C5ar1, Calcrl, Cck, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr1, Ccr5, Cdk5, Chrm3, Creb1, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Dgke, Dgkg, Dgkh, Dgki, Drd3, Ece1, Edn1, Ednra, F2, Fgd1, Gabbr1, Gal, Gipr, Gna12, Gnai2, Gnaq, Gnat2, Gnaz, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Grb2, Grk2, Grk5, Hebp1, Hrh1, Htr1d, Htr4, Itga5, Itpr2, Kalrn, Kel, Ltb4r2, Mc5r, Mgll, Nmb, Npb, Npy, Npy1r, P2ry1, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Pik3r6, Plcb1, Plcb2, Plcb4, Plekhg2, Plppr3, Plxnb1, Pmch, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Prkcq, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs2, Rgs7, Rgs9, Rhoc, Rxfp1, S1pr1, S1pr3, Sct, Shc1, Sos2, Src, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Tiam2, Ucn2, Uts2, Vipr2"
"GPCR downstream signalling","3.636e-03","284","Adcy7, Adcy9, Adm, Adora1, Adora2a, Adora2b, Adra2a, Akap13, Akt3, Apln, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef18, Arhgef3, Arhgef38, Arrb2, Btk, C3ar1, C5ar1, Calcrl, Cck, Ccl11, Ccl25, Ccl4, Ccl6, Ccr1, Ccr5, Cdk5, Chrm3, Creb1, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Dgke, Dgkg, Dgkh, Dgki, Drd3, Edn1, Ednra, F2, Fgd1, Gabbr1, Gal, Gipr, Gna12, Gnai2, Gnaq, Gnat2, Gnaz, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Grb2, Grk2, Grk5, Hebp1, Hrh1, Htr1d, Htr4, Itga5, Itpr2, Kalrn, Ltb4r2, Mc5r, Mgll, Nmb, Npb, Npy, Npy1r, P2ry1, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Pik3r6, Plcb1, Plcb2, Plcb4, Plekhg2, Plxnb1, Pmch, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Prkcq, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs2, Rgs7, Rgs9, Rhoc, Rxfp1, S1pr3, Sct, Shc1, Sos2, Src, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Tiam2, Uts2, Vipr2"
"Biological oxidations","4.528e-03","132","Aadac, Acss1, Acy1, Adh7, Akr7a5, Aldh1a1, Bpnt1, Cbr3, Chac2, Cyb5b, Cyp3a13, Ephx1, Gclc, Gss, Gsta3, Gstm1, Gsto1, Gstp1, Gstt1, Gstz1, Mgst1, Mgst3, Papss2, Rxra, Slc26a2, Slc35d1, Sult1c2, Tbxas1, Tpmt, Tpst2, Ugt2b34"
"ISG15 antiviral mechanism","4.528e-03","26","Ddx58, Eif2ak2, Eif4a1, Eif4a2, Eif4e, Eif4e2, Eif4g1, Isg15, Mapk3, Ube2e1, Ube2n, Usp18"
"The citric acid (TCA) cycle and respiratory electron transport","4.528e-03","139","Acad9, Aco2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j2, Atp5k, Atp5l, Cox11, Cox14, Cox18, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, D2hgdh, Etfa, Glo1, Gstz1, Mdh2, Me1, Ndufa12, Ndufab1, Ndufaf1, Ndufaf5, Ndufaf6, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc2, Ndufs2, Ndufs3, Ndufs4, Ndufs7, Ndufv1, Ndufv2, Ogdh, Rxra, Sdhb, Sdhd, Slc25a27, Suclg1, Suclg2, Tmem186, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrh"
