"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Metabolism of RNA","1.680e-06","440","Adar, Alyref, Apobec3, Aqr, Bcas2, Bms1, Bud23, Cdc5l, Cdk7, Chtop, Cnot2, Cnot4, Cnot6, Cnot6l, Cpsf1, Cpsf2, Csnk1e, Cstf1, Cstf2, Dcaf13, Ddx21, Ddx23, Ddx39b, Ddx49, Dis3, Dnajc8, Eif4a1, Eif4a2, Eif4a3, Eif4b, Eif4g1, Emg1, Ercc2, Exosc1, Exosc4, Exosc8, Fbl, Fip1l1, Ftsj3, Fus, Gemin2, Gle1, Gtf2f1, Heatr1, Hnrnpa0, Hnrnpa1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hspa8, Khsrp, Lsm4, Ltv1, Magoh, Mapkapk2, Mettl14, Mphosph10, Ncbp1, Ncl, Nip7, Noc4l, Nol6, Nop58, Nup133, Nup214, Nup54, Nup88, Nup98, Nupl2, Nxf1, Parn, Pcbp1, Pdcd11, Phf5a, Plrg1, Polr2b, Polr2e, Ppie, Ppil4, Ppwd1, Prcc, Prpf31, Prpf38a, Psma2, Psma3, Psma6, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc5, Psmd10, Psmd3, Psmd8, Psmf1, Puf60, Pwp2, Rbm22, Rbm42, Rbm5, Rpp30, Sec13, Seh1l, Sf3a1, Sf3b6, Smg6, Smg7, Smn1, Snrnp25, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpf, Srrm1, Srrm2, Srsf2, Srsf5, Srsf7, Thoc2, Thoc3, Tra2b, Tut7, U2af1l4, Upf2, Utp25, Utp6, Wbp11, Wdr18, Wdr33, Wdr36, Wdr43, Wtap, Xab2, Xpo1, Ybx1, Zcrb1, Zfp36"
"Neutrophil degranulation","1.886e-05","386","Adam8, Adgre5, Agpat2, Aldoc, Ampd3, Anxa2, Ap1m1, Arl8a, Arpc5, Arsa, Atg7, Atp8a1, B2m, Bst2, C5ar1, Cab39, Cant1, Cct2, Cct8, Cd14, Cd44, Cd47, Cd63, Cfp, Clec4d, Clec4n, Cnn2, Cpne3, Cr1l, Cst3, Cstb, Ctsb, Ctsd, Ctss, Ctsz, Cxcl2, Cyba, Ddost, Dera, Dpp7, Dync1h1, Dync1li1, Eef1a1, Erp44, Fabp5, Fcer1g, Fcna, Fth1, Gaa, Ggh, Glb1, Gstp1, H2-K1, H2-Q6, Hmgb1, Hsp90aa1, Hspa8, Huwe1, Igf2r, Impdh1, Impdh2, Ist1, Jup, Kpnb1, Lamtor2, Lamtor3, Lyz2, Man2b1, Mgst1, Mmp9, Nckap1l, Ndufc2, Nme2, Pdap1, Pdxk, Pglyrp1, Pgm2, Pgrmc1, Pigr, Plau, Plaur, Ppia, Ppie, Prdx6, Psma2, Psmc2, Psmd3, Ptpn6, Rab14, Rap2c, Rhof, Rock1, S100a11, Sell, Serpinb6a, Sirpa, Slc11a1, Slpi, Svip, Ttr, Tubb4b, Tubb5, Tyrobp, Vamp8, Vat1, Vcp"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","3.333e-04","99","Acad9, Atp5a1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Ndufa10, Ndufa12, Ndufa2, Ndufa4, Ndufa9, Ndufaf7, Ndufb4, Ndufb7, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs8, Ndufv1, Nubpl, Slc25a27, Timmdc1, Ucp2, Uqcrc1, Uqcrq"
"The citric acid (TCA) cycle and respiratory electron transport","3.356e-04","143","Acad9, Aco2, Atp5a1, Atp5b, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, D2hgdh, Dlat, Dld, Dlst, Etfa, Etfdh, Hagh, Ldha, Mdh2, Me1, Ndufa10, Ndufa12, Ndufa2, Ndufa4, Ndufa9, Ndufaf7, Ndufb11, Ndufb4, Ndufb7, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs8, Ndufv1, Nubpl, Pdhb, Pdk1, Pdp2, Ppard, Sdhc, Sdhd, Slc25a27, Sucla2, Suclg1, Suclg2, Timmdc1, Ucp2, Uqcr10, Uqcrc1, Uqcrq"
"Cellular responses to stress","3.542e-04","390","Actr1a, Akt1s1, Alb, Anapc11, Anapc7, Arnt, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1f, Atp6v1g1, Bag1, Bag2, Bag3, Bag4, Bmt2, Cabin1, Capza2, Castor1, Cdc23, Cdc26, Cdk2, Cdk4, Cebpb, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Dctn2, Dctn3, Dnaja1, Dnaja2, Dync1h1, Dync1li1, Dync1li2, Dynll1, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt1, Ehmt2, Eif2s1, Elob, Ep300, Ep400, Erf, Ets1, Ets2, Fkbp4, Fos, Gpx1, Gpx2, Gpx8, Gstp1, H13, H1f0, Hdac3, Hif1a, Hmox1, Hsbp1, Hsp90aa1, Hspa13, Hspa5, Hspa8, Itfg2, Lamtor2, Lamtor3, Limd1, Map2k4, Mapk11, Mapk8, Mapkapk2, Mink1, Mul1, Ncf1, Ncf2, Ncf4, Ncor2, Ndufa4, Nfe2l2, Nprl2, Nprl3, Nr3c1, Nudt2, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Prdx2, Prdx5, Prdx6, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd6, Psmd8, Psme3, Psmf1, Rb1, Rpa3, Rraga, Sec13, Seh1l, Sin3a, Sirt1, Stip1, Tcirg1, Tlr4, Tuba1c, Tuba4a, Tubb2b, Tubb4b, Txn1, Txn2, Txnrd2, Ube2e1, Vcp, Vhl, Xpo1, Ywhae"
"Cellular responses to stimuli","3.889e-04","393","Actr1a, Akt1s1, Alb, Anapc11, Anapc7, Arnt, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1f, Atp6v1g1, Bag1, Bag2, Bag3, Bag4, Bmt2, Cabin1, Capza2, Castor1, Cdc23, Cdc26, Cdk2, Cdk4, Cebpb, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Dctn2, Dctn3, Dnaja1, Dnaja2, Dync1h1, Dync1li1, Dync1li2, Dynll1, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt1, Ehmt2, Eif2s1, Elob, Ep300, Ep400, Erf, Ets1, Ets2, Fkbp4, Fos, Gpx1, Gpx2, Gpx8, Gstp1, H13, H1f0, Hdac3, Hif1a, Hmox1, Hsbp1, Hsp90aa1, Hspa13, Hspa5, Hspa8, Itfg2, Lamtor2, Lamtor3, Limd1, Map2k4, Mapk11, Mapk8, Mapkapk2, Mink1, Mt1, Mt2, Mul1, Ncf1, Ncf2, Ncf4, Ncor2, Ndufa4, Nfe2l2, Nprl2, Nprl3, Nr3c1, Nudt2, Nup133, Nup153, Nup155, Nup160, Nup214, Nup54, Nup88, Nup98, Nupl2, Prdx2, Prdx5, Prdx6, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd6, Psmd8, Psme3, Psmf1, Rb1, Rpa3, Rraga, Sec13, Seh1l, Sin3a, Sirt1, Stip1, Tcirg1, Tlr4, Tuba1c, Tuba4a, Tubb2b, Tubb4b, Txn1, Txn2, Txnrd2, Ube2e1, Vcp, Vhl, Xpo1, Ywhae"
"Processing of Capped Intron-Containing Pre-mRNA","8.879e-04","214","Alyref, Aqr, Bcas2, Cdc5l, Chtop, Cpsf1, Cpsf2, Cstf1, Cstf2, Ddx23, Ddx39b, Dnajc8, Eif4a3, Fip1l1, Fus, Gle1, Gtf2f1, Hnrnpa0, Hnrnpa1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hspa8, Lsm4, Magoh, Mettl14, Ncbp1, Nup133, Nup214, Nup54, Nup88, Nup98, Nupl2, Nxf1, Pcbp1, Phf5a, Plrg1, Polr2b, Polr2e, Ppie, Ppil4, Ppwd1, Prcc, Prpf31, Prpf38a, Puf60, Rbm22, Rbm42, Rbm5, Sec13, Seh1l, Sf3a1, Sf3b6, Snrnp25, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpf, Srrm1, Srrm2, Srsf2, Srsf5, Srsf7, Thoc2, Thoc3, Tra2b, U2af1l4, Wbp11, Wdr33, Wtap, Xab2, Ybx1, Zcrb1"
"Translation","8.879e-04","59","Aurkaip1, Chchd1, Eef1a1, Eef1b2, Eef1g, Eif2b3, Eif2b5, Eif2s1, Eif3a, Eif3b, Eif3d, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4g1, Eif4h, Eif5b, Ppa1, Ptcd3, Srp68, Srp9, Trmt112"
"UCH proteinases","1.149e-03","71","Actg1, Actr8, Adrm1, Asxl2, Bap1, Hcfc1, Ino80, Ino80b, Ino80d, Mbd5, Mbd6, Ogt, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd6, Psmd8, Psme3, Psmf1, Ruvbl1, Senp8, Uchl3, Uchl5, Yy1"
"Signaling by Receptor Tyrosine Kinases","1.318e-02","332","Actg1, Akt2, Ap2a1, Ap2b1, Ap2m1, Ap2s1, Aph1a, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1f, Atp6v1g1, Bcar1, Braf, Brk1, Calm2, Calm3, Cav1, Cbl, Cdc37, Cdc42, Chd4, Col11a2, Col27a1, Col4a2, Col6a5, Creb1, Csk, Ctnnb1, Cyba, Dock1, Dusp4, Dusp7, Elmo1, Ep300, Eps15, Erbin, Esr1, Fgfbp3, Fgfr2, Fgfrl1, Flrt3, Flt3l, Fn1, Frs2, Frs3, Gab1, Gga3, Grb7, Gtf2f1, Hdac1, Hdac2, Hdac3, Hgfac, Hgs, Hnrnpa1, Hpn, Hras, Hsp90aa1, Irs1, Irs2, Itgb1, Jak3, Jup, Kidins220, Lrig1, Lyn, Map2k1, Map2k2, Mapk11, Mapkapk2, Mmp9, Nab2, Ncbp1, Ncf1, Ncf2, Ncf4, Nck2, Nckap1l, Nrp1, Pag1, Pcsk6, Pde3b, Pik3c3, Pik3r1, Plcg1, Polr2b, Polr2e, Polr2g, Polr2h, Ppp2cb, Prkaca, Prkce, Prkcz, Psen2, Psenen, Ptpn12, Ptpn18, Ptpn6, Ptprk, Ralgds, Ranbp10, Rhoa, Rnf41, Rock1, Sgk1, Sh3gl2, Spint1, Spp1, Spred1, Spred2, Stat5b, Stat6, Tcirg1, Tec, Tgfa, Vav1, Vegfa, Vegfb, Vrk3, Wasf2, Wwox"
"mRNA Splicing","1.318e-02","166","Alyref, Aqr, Bcas2, Cdc5l, Cpsf1, Cpsf2, Cstf1, Cstf2, Ddx23, Dnajc8, Eif4a3, Fip1l1, Fus, Gtf2f1, Hnrnpa0, Hnrnpa1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hspa8, Lsm4, Magoh, Ncbp1, Pcbp1, Phf5a, Plrg1, Polr2b, Polr2e, Ppie, Ppil4, Ppwd1, Prcc, Prpf31, Prpf38a, Puf60, Rbm22, Rbm42, Rbm5, Sf3b6, Snrnp25, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpf, Srrm1, Srrm2, Srsf2, Srsf5, Srsf7, Tra2b, U2af1l4, Wbp11, Wdr33, Xab2, Ybx1, Zcrb1"
"mRNA Splicing - Major Pathway","1.318e-02","160","Alyref, Aqr, Bcas2, Cdc5l, Cpsf1, Cpsf2, Cstf1, Cstf2, Ddx23, Dnajc8, Eif4a3, Fip1l1, Fus, Gtf2f1, Hnrnpa0, Hnrnpa1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hspa8, Lsm4, Magoh, Ncbp1, Pcbp1, Phf5a, Plrg1, Polr2b, Polr2e, Ppie, Ppil4, Ppwd1, Prcc, Prpf31, Prpf38a, Puf60, Rbm22, Rbm42, Rbm5, Sf3b6, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpf, Srrm1, Srrm2, Srsf2, Srsf5, Srsf7, Tra2b, U2af1l4, Wbp11, Wdr33, Xab2, Ybx1"
"Antigen processing-Cross presentation","1.578e-02","71","B2m, Cyba, H2-K1, H2-Q6, H2-Q7, Mrc1, Ncf1, Ncf2, Ncf4, Pdia3, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmb6, Psmc1, Psmc2, Psmc3, Psmc5, Psmd10, Psmd11, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Snap23, Stx4a, Tap1, Tap2, Tapbp, Vamp8"
"Cap-dependent Translation Initiation","1.578e-02","31","Eif2b3, Eif2b4, Eif2b5, Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h, Eif5, Eif5b"
"Eukaryotic Translation Initiation","1.578e-02","31","Eif2b3, Eif2b4, Eif2b5, Eif2s1, Eif3a, Eif3b, Eif3c, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif4h, Eif5, Eif5b"
"Mitochondrial biogenesis","1.578e-02","22","Atp5a1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Glud1"
