"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Cellular responses to stimuli","4.779e-06","393","Actr1a, Ajuba, Akt1s1, Akt3, Anapc1, Anapc5, Apoa1, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Bach1, Bag1, Bag5, Camk2b, Capzb, Carm1, Castor2, Cat, Cdc23, Cdkn1a, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cryab, Cul1, Cul2, Cyba, Dctn3, Dctn4, Dctn6, Dnaja1, Dnaja4, Dnajb6, Dync1h1, Dync1li1, Dync1li2, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt2, Eif2s1, Elob, Eloc, Ep300, Ep400, Erf, Fabp1, Flcn, Fos, Fzr1, Gpx1, Gsk3b, Gsr, Gstp1, H13, H1f0, Helz2, Hif1a, Hif1an, Hmox2, Hsp90aa1, Hspa14, Hspa5, Hspa8, Hsph1, Kdm6b, Keap1, Lamtor2, Limd1, Lrpprc, Ly96, Map1lc3b, Map2k4, Map2k6, Map3k5, Mapk1, Mapk14, Mapk3, Mapkapk2, Mdm2, Mdm4, Mre11a, Mt1, Mul1, Ncf1, Ncoa1, Ncoa2, Ndc1, Nfe2l2, Nploc4, Nprl2, Nprl3, Nup133, Nup188, Nup50, Nup54, Nup98, Pom121, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb9, Psmc2, Psmc4, Psmd11, Psmd12, Psmd14, Psmd8, Psmd9, Psme3, Psmf1, Rae1, Rb1, Rpa1, Rraga, Rxra, Sco2, Sesn2, Sin3a, Sin3b, Sod1, Sod2, Sod3, Sqstm1, Srxn1, Szt2, Tbl1xr1, Tcirg1, Tuba1a, Tuba1c, Tubb4a, Tubb4b, Txn2, Txnrd1, Txnrd2, Ubc, Ube2e1, Ube2s, Ubxn7, Vcp, Wdr59"
"Cellular responses to stress","4.779e-06","390","Actr1a, Ajuba, Akt1s1, Akt3, Anapc1, Anapc5, Apoa1, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Bach1, Bag1, Bag5, Camk2b, Capzb, Carm1, Castor2, Cat, Cdc23, Cdkn1a, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cryab, Cul1, Cul2, Cyba, Dctn3, Dctn4, Dctn6, Dnaja1, Dnaja4, Dnajb6, Dync1h1, Dync1li1, Dync1li2, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt2, Eif2s1, Elob, Eloc, Ep300, Ep400, Erf, Fabp1, Flcn, Fos, Fzr1, Gpx1, Gsk3b, Gsr, Gstp1, H13, H1f0, Helz2, Hif1a, Hif1an, Hmox2, Hsp90aa1, Hspa14, Hspa5, Hspa8, Hsph1, Kdm6b, Keap1, Lamtor2, Limd1, Lrpprc, Ly96, Map1lc3b, Map2k4, Map2k6, Map3k5, Mapk1, Mapk14, Mapk3, Mapkapk2, Mdm2, Mdm4, Mre11a, Mul1, Ncf1, Ncoa1, Ncoa2, Ndc1, Nfe2l2, Nploc4, Nprl2, Nprl3, Nup133, Nup188, Nup50, Nup54, Nup98, Pom121, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb9, Psmc2, Psmc4, Psmd11, Psmd12, Psmd14, Psmd8, Psmd9, Psme3, Psmf1, Rae1, Rb1, Rpa1, Rraga, Rxra, Sco2, Sesn2, Sin3a, Sin3b, Sod1, Sod2, Sod3, Sqstm1, Srxn1, Szt2, Tbl1xr1, Tcirg1, Tuba1a, Tuba1c, Tubb4a, Tubb4b, Txn2, Txnrd1, Txnrd2, Ubc, Ube2e1, Ube2s, Ubxn7, Vcp, Wdr59"
"The citric acid (TCA) cycle and respiratory electron transport","1.172e-05","143","Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10b, Cox14, Cox16, Cox18, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Fahd1, Hagh, Idh3a, Idh3g, Ldha, Ldhb, Lrpprc, Me1, Me2, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ogdh, Pdha1, Pdhb, Pdk2, Pdk3, Pdk4, Pdp2, Rxra, Sco2, Sdhb, Sdhd, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Class A/1 (Rhodopsin-like receptors)","2.659e-05","130","Adora2a, Adrb1, Adrb2, Apln, C3ar1, Cck, Ccl11, Ccl19, Ccr3, Ccrl2, Chrm1, Cnr1, Cort, Cxcl1, Cxcl10, Cxcl13, Cxcl5, Cxcr3, Cxcr6, Cysltr2, Ednra, Ednrb, Gal, Galr1, Galr3, Gnrh1, Gpr143, Gpr18, Gpr35, Gpr37, Gpr37l1, Gpr68, Hrh1, Hrh4, Htr5a, Lpar3, Ltb4r1, Ltb4r2, Mc5r, Nln, Npff, Npffr2, Opn1sw, Oprd1, Oxtr, P2ry1, P2ry6, Plppr1, Plppr2, Plppr3, Pomc, Ppbp, Prok2, Prokr1, Rho, S1pr1, S1pr2, S1pr3, S1pr4, Uts2"
"Cellular response to chemical stress","2.716e-05","141","Akt3, Bach1, Carm1, Cat, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cul1, Cyba, Ep300, Fabp1, Gpx1, Gsk3b, Gsr, Gstp1, H13, Helz2, Hmox2, Keap1, Lrpprc, Map1lc3b, Mul1, Ncf1, Ncoa1, Ncoa2, Nfe2l2, Nploc4, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb9, Psmc2, Psmc4, Psmd11, Psmd12, Psmd14, Psmd8, Psmd9, Psme3, Psmf1, Rxra, Sco2, Sesn2, Sin3a, Sin3b, Sod1, Sod2, Sod3, Sqstm1, Srxn1, Tbl1xr1, Txn2, Txnrd1, Txnrd2, Ubc, Ubxn7, Vcp"
"GPCR ligand binding","5.968e-05","163","Adm2, Adora2a, Adrb1, Adrb2, Apln, C3ar1, Cck, Ccl11, Ccl19, Ccr3, Ccrl2, Chrm1, Cnr1, Cort, Cxcl1, Cxcl10, Cxcl13, Cxcl5, Cxcr3, Cxcr6, Cysltr2, Ednra, Ednrb, Gal, Galr1, Galr3, Gcg, Gnb4, Gnrh1, Gpr143, Gpr18, Gpr35, Gpr37, Gpr37l1, Gpr68, Hrh1, Hrh4, Htr5a, Lpar3, Ltb4r1, Ltb4r2, Mc5r, Nln, Npff, Npffr2, Opn1sw, Oprd1, Oxtr, P2ry1, P2ry6, Plppr1, Plppr2, Plppr3, Pomc, Ppbp, Prok2, Prokr1, Pth1r, Ramp3, Rho, S1pr1, S1pr2, S1pr3, S1pr4, Sct, Sctr, Tas1r1, Uts2, Vip, Vipr1, Vipr2"
"Neutrophil degranulation","5.968e-05","385","Acly, Actr2, Adam10, Agl, Agpat2, Alad, Ano6, Anpep, Anxa2, Apeh, Arl8a, Arpc5, Arsa, Arsb, Asah1, Atad3a, Atg7, Atp11a, Atp6ap2, Atp6v0a1, Atp6v0c, Atp6v1d, B2m, B4galt1, Bri3, Bst2, C3, Cab39, Cand1, Cant1, Cat, Cct2, Cd177, Cd36, Cd44, Cd47, Cd55, Cd63, Cd68, Cfp, Ckap4, Copb1, Cotl1, Cpne3, Creg1, Cst3, Cstb, Ctsa, Ctsb, Ctsc, Ctsh, Ctsz, Cxcr1, Cyba, Cyfip1, Ddost, Degs1, Diaph1, Dnajc5, Dnase1l1, Dsp, Dync1h1, Dync1li1, Eef1a1, Eef2, Enpp4, Fabp5, Fcer1g, Fgl2, Fgr, Fuca1, Fuca2, Gaa, Galns, Glb1, Gm2a, Gpi1, Grn, Gsdmd, Gsn, Gstp1, Gusb, Gyg, H2-K1, H2-Q6, Hmox2, Hsp90aa1, Hspa1b, Hspa8, Huwe1, Igf2r, Impdh2, Iqgap2, Jup, Kcmf1, Lamtor2, Lyz2, Magt1, Man2b1, Manba, Mapk1, Mapk14, Mgst1, Mlec, Mvp, Ncstn, Ndufc2, Neu1, Nfasc, Nit2, Npc2, Ormdl3, Pdap1, Pfkl, Pglyrp1, Pgm2, Pgrmc1, Plaur, Pnp, Ppia, Ppie, Prdx4, Prdx6, Prkcd, Psap, Psmc2, Psmd11, Psmd12, Psmd14, Ptpn6, Ptprc, Ptprn2, Qsox1, Rab14, Rab24, Rab27a, Rab4b, Rab5b, Rab5c, Rab7, Rac1, Rap2c, Rhof, Serpinb1a, Serpinb6a, Slc15a4, Slc44a2, Snap23, Snap29, Surf4, Svip, Syngr1, Tcirg1, Tmbim1, Tmem30a, Tmem63a, Tnfrsf1b, Tollip, Tom1, Tspan14, Ttr, Tubb4b, Txndc5, Tyrobp, Ubr4, Unc13d, Vamp8, Vcp, Vps35l, Xrcc5"
"Respiratory electron transport","1.206e-04","82","Coq10b, Cox14, Cox16, Cox18, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","5.074e-04","99","Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Cox8a, Cyc1, Cycs, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf5, Ndufaf7, Ndufb10, Ndufb11, Ndufb3, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ndufv3, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
"Metabolism of lipids","1.767e-03","479","Abcc3, Abhd3, Acaca, Acacb, Acadl, Acads, Acat1, Acbd6, Acot13, Acot2, Acox1, Acsf2, Acsl1, Acsl3, Agpat1, Agpat2, Agpat3, Agpat4, Akr1b3, Akr1b8, Alox15, Arf1, Arsa, Arsb, Asah1, Carm1, Cbr1, Cdipt, Cers4, Cers5, Chd9, Chka, Chpt1, Cpt1a, Cpt2, Cptp, Crat, Ctsa, Cyp2c65, Cyp2j6, Cyp2u1, Ddhd1, Degs1, Degs2, Dgat2, Ehhadh, Elovl1, Elovl7, Esyt1, Fa2h, Fabp1, Fabp3, Fabp5, Far1, Fdps, Fdx2, Fig4, Fitm2, Galc, Gc, Gde1, Gltp, Gm2a, Gpam, Gpat3, Gpd1, Gpd1l, Gpx1, Hacd3, Hadh, Hadha, Helz2, Hexa, Hmgcr, Hsd17b11, Hsd17b2, Hsd17b7, Inpp4a, Lclat1, Liph, Lpcat3, Lpin2, Lpin3, Mapkapk2, Mboat1, Mboat7, Mcat, Mid1ip1, Mlycd, Mmut, Mogat1, Morc2a, Mtmr4, Mtmr9, Ncoa1, Ndufab1, Nudt19, Ocrl, Ormdl1, Ormdl2, Ormdl3, Osbpl2, Osbpl9, Pccb, Phyh, Pi4ka, Pik3c2a, Pik3c2b, Pik3cb, Pik3r1, Pik3r2, Pik3r3, Pik3r4, Pip4k2b, Pip4k2c, Pip4p1, Pitpnb, Pla2g10, Pla2g12a, Pla2g4a, Pla2g4f, Pla2g6, Plaat3, Pld6, Plekha2, Plekha8, Plpp1, Plpp6, Pmvk, Pnpla2, Pnpla6, Pnpla8, Pon2, Pon3, Ppt1, Ppt2, Prkag2, Psap, Ptdss1, Ptdss2, Ptgds, Rab14, Rxra, Samd8, Scap, Selenoi, Sgms1, Sgms2, Sgpl1, Sgpp1, Sgpp2, Sin3a, Slc22a5, Slc25a17, Slc25a20, Slc44a2, Slc44a3, Smpd2, Smpd3, Sphk2, Spns2, Sptlc1, Sptssb, Sqle, Stard3, Stard3nl, Stard4, Stard5, Sumf1, Tbl1xr1, Tm7sf2, Tmem86b, Ugcg"
