"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","1.824e-07","66","B2m, C3, Cd1d1, Cd22, Cd247, Cd33, Cd3d, Cd3e, Cd3g, Cd40, Col1a1, Col1a2, Col3a1, Fcgr2b, Fcgr4, H2-K1, H2-M2, H2-M3, H2-Q6, H2-Q7, Icam1, Ifitm2, Itga4, Itgal, Itgb1, Itgb2, Itgb7, Jaml, Klrk1, Lair1, Pvr, Sftpd, Siglece, Siglecg, Slamf7, Trem2, Treml4"
"Cell surface interactions at the vascular wall","5.952e-06","69","Cd244a, Cd48, Cd74, Cd84, Col1a1, Col1a2, Dok2, Gas6, Inpp5d, Itga4, Itgal, Itgax, Itgb1, Itgb2, Itgb3, Jaml, Jchain, Pf4, Pik3ca, Plcg1, Ptpn6, Sos1, Spn, Tgfb1"
"Hemostasis","2.188e-05","386","Actg1, Actn4, Apbb1ip, Arrb2, Brpf3, Calm2, Calm3, Cd244a, Cd48, Cd74, Cd84, Cdc42, Col1a1, Col1a2, Ctsw, Daglb, Dgke, Dock10, Dock2, Dock8, Dok2, F2r, Fam3c, Fermt3, Fgr, Flna, Gas6, Gata3, Gna12, Gnai2, Gnas, Gnb1, Gnb2, Gng10, Gng11, Gng2, Gngt2, Grb2, Hdac1, Inpp5d, Itga4, Itgal, Itgax, Itgb1, Itgb2, Itgb3, Itpr1, Jak2, Jaml, Jchain, Kif3b, Kifap3, Kifc5b, Lat, Mapk3, P2rx7, P2ry1, Pde1b, Pde2a, Pdpk1, Pf4, Pik3ca, Plaur, Plcg1, Plek, Ppp2ca, Ppp2r5a, Prkaca, Prkacb, Prkar1a, Prkcd, Ptpn6, Rac2, Rap1a, Rap1b, Rbsn, Rhoa, Rhog, Selenop, Sh2b3, Slc8a1, Sos1, Spn, Srgn, Syk, Tgfb1, Tgfb2, Tmsb4x, Tor4a, Trf, Tuba1c, Tubb4b, Vav2, Vegfb, Vegfd"
"Neutrophil degranulation","2.188e-05","408","Actr2, Adam8, Adgre5, Ap2a2, Apaf1, Arhgap45, Arhgap9, Arpc5, Arsb, Atp11a, Atp6v0c, B2m, B4galt1, Bst2, C3, C3ar1, Cand1, Cant1, Cct2, Cd33, Cd53, Cd68, Cnn2, Cotl1, Cpne3, Cr1l, Creg1, Cst3, Ctsb, Ctsd, Ctsh, Ctss, Ctsz, Cxcl2, Cyba, Cybb, Cyfip1, Dock2, Dpp7, Dynll1, Eef1a1, Fabp5, Fcgr2b, Fcgr4, Fgl2, Fgr, Fth1, Gdi2, Glb1, Gm2a, Gpi1, Gstp1, H2-K1, H2-M2, H2-M3, H2-Q6, H2-Q7, Hgsnat, Hmgb1, Hpse, Hsp90aa1, Hspa8, Huwe1, Ifi205, Igf2r, Iqgap2, Ist1, Itgal, Itgax, Itgb2, Jup, Kcnab2, Kpnb1, Krt1, Lair1, Lilra5, Lpcat1, Naprt, Nckap1l, Ncstn, Nfkb1, Nme2, Padi2, Pafah1b2, Pgrmc1, Pirb, Plaur, Plekho2, Pnp, Ppia, Prkcd, Psap, Psmd6, Ptpn6, Ptprc, Qpct, Rab37, Rab4b, Rab7, Rac1, Rap1a, Rap1b, Rap2b, Rhoa, Rhog, Slc11a1, Slc15a4, Slc2a3, Slc44a2, Slpi, Snap29, Stk10, Tbc1d10c, Tcirg1, Tmem30a, Tnfrsf1b, Tom1, Tubb4b, Tubb5, Tyrobp, Unc13d"
"Platelet activation, signaling and aggregation","2.905e-04","196","Actg1, Actn4, Apbb1ip, Arrb2, Brpf3, Calm2, Calm3, Cdc42, Col1a1, Col1a2, Ctsw, Daglb, Dgke, F2r, Fam3c, Fermt3, Flna, Gas6, Gna12, Gnai2, Gnb1, Gnb2, Gng10, Gng11, Gng2, Gngt2, Grb2, Itgb3, Itpr1, Lat, Mapk3, P2ry1, Pdpk1, Pf4, Pik3ca, Plek, Prkcd, Ptpn6, Rac2, Rap1a, Rap1b, Rhoa, Rhog, Selenop, Sos1, Srgn, Syk, Tgfb1, Tgfb2, Tmsb4x, Tor4a, Trf, Vav2, Vegfb, Vegfd"
"Assembly of collagen fibrils and other multimeric structures","1.663e-03","35","Bmp1, Col14a1, Col15a1, Col18a1, Col1a1, Col1a2, Col27a1, Col3a1, Col4a5, Col5a1, Col6a1, Col6a2, Col6a5, Col9a3, Ctsb, Ctss, Loxl1, Mmp13, Pcolce"
"Signaling by Receptor Tyrosine Kinases","1.806e-03","331","Actg1, Akt2, Akt3, Ap2a2, Ap2m1, Aph1a, Atp6v0b, Atp6v0c, Atp6v1b2, Atp6v1c1, Atp6v1g1, Axl, Brk1, Calm2, Calm3, Cdc37, Cdc42, Chd4, Col1a1, Col1a2, Col27a1, Col3a1, Col5a1, Col6a1, Col6a2, Col6a5, Cyba, Cybb, Cyfip1, Cyfip2, Dusp6, Dusp7, Elmo1, Epn1, Eps15l1, Fer, Fgfbp1, Flt3, Flt3l, Fyn, Gab1, Grap, Grb2, Grb7, Hdac1, Hpn, Hsp90aa1, Igf1r, Irs2, Itgb1, Itgb3, Jak2, Jak3, Jup, Kidins220, Kit, Mapk3, Mapk7, Mst1r, Ncbp1, Ncf1, Ncf2, Nckap1l, Ncstn, Nrp1, Pag1, Pde3b, Pdgfrb, Pdpk1, Pik3c3, Pik3ca, Pik3r4, Plat, Plcg1, Ppp2ca, Prkaca, Prkacb, Prkcd, Prr5, Psen2, Psenen, Ptpn6, Ptprz1, Rab4b, Rac1, Ralgds, Ranbp10, Rap1a, Rap1b, Rhoa, Rnf41, Sgk1, Sh2b3, Sh2d2a, Sos1, Spp1, Spred1, Srf, Tcirg1, Ubc, Vav2, Vegfb, Vegfd, Vrk3"
"Integrin cell surface interactions","2.971e-03","52","Col1a1, Col1a2, Col3a1, Col6a1, Col6a5, Fbn1, Itga4, Itgae, Itgal, Itgax, Itgb1, Itgb2, Itgb3, Itgb7"
"Activation of the pre-replicative complex","3.810e-03","30","Cdc45, Cdc6, Cdk2, Cdt1, Mcm2, Mcm3, Mcm4, Mcm5, Orc1, Orc2, Orc3, Pola1, Pole4, Prim1, Prim2, Rpa1, Rpa3"
"Interleukin-3, Interleukin-5 and GM-CSF signaling","4.412e-03","35","Il2ra, Il2rb, Il2rg, Inpp5d, Inppl1, Jak2, Jak3, Pik3ca, Pik3cd, Prkaca, Ptpn6, Sos1, Syk, Ubc"
