"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Extracellular matrix organization","2.979e-09","188","Adam10, Adamts2, Bgn, Bmp2, Bmp4, Capn13, Capn5, Capn8, Capn9, Cast, Cdh1, Col14a1, Col15a1, Col16a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Ddr1, Eln, F11r, Fbn1, Fn1, Furin, Htra1, Ibsp, Itgb2, Itgb4, Itgb6, Lox, Loxl1, Loxl2, Loxl3, Ltbp3, Ltbp4, Mfap4, Mmp13, Mmp15, Mmp19, Nid1, P4ha1, P4ha2, P4hb, Pcolce, Ppib, Pxdn, Scube1, Sdc1, Sdc3, Serpinh1, Sparc, Spp1, Tnc, Tnxb, Try10"
"Neutrophil degranulation","7.031e-06","410","Actr1b, Adam10, Agpat2, Alad, Anpep, Anxa2, Apeh, Armc8, Arpc5, Atp6v0a1, Atp6v0c, Atp6v1d, B2m, B4galt1, C3, Cab39, Cant1, Cap1, Cat, Cd300a, Cd55, Cd63, Chit1, Ckap4, Commd3, Cotl1, Crispld2, Cst3, Cstb, Ctsb, Ctsc, Ctsd, Ctss, Ddost, Dgat1, Dock2, Dsp, Dynll1, Eef1a1, Erp44, Fabp5, Faf2, Fcer1g, Fcgr2b, Fth1, Fuca2, Gca, Gdi2, Ggh, Gm2a, Grn, Gsn, Gstp1, H2-K1, H2-Q6, Hmox2, Hsp90ab1, Igf2r, Itgb2, Jup, Lamtor3, Lyz2, Manba, Mapk1, Mvp, Nme2, Pafah1b2, Pgm2, Pgrmc1, Pnp, Ppia, Prkcd, Psap, Psmb7, Psmd1, Psmd11, Psmd12, Psmd13, Pygb, Qsox1, Rab27a, Rab3d, Rab5b, Rap1a, Rap2b, Rap2c, Rhoa, Rhof, Rock1, S100a11, Sdcbp, Serpinb1a, Serpinb6a, Slc2a5, Slpi, Snap23, Tlr2, Tmem63a, Tnfrsf1b, Tollip, Try10, Tubb4b, Unc13d, Vamp8, Vapa, Vat1, Vcl, Vps35l"
"Developmental Biology","1.118e-05","300","Actg1, Actr3, Ap2a1, Ap2b1, Ap2s1, Aph1a, Arhgef7, Arpc2, Arpc3, Arpc5, Boc, Cdk4, Cdkn1a, Cdon, Col3a1, Col4a1, Col4a2, Col5a1, Col5a3, Col6a1, Col6a2, Ctnna1, Cxcl12, Dag1, Dnm3, Dok4, Dpysl2, Dpysl3, Dsc2, Dsg2, Dsp, Efna5, Egfr, Epha2, Evpl, Ezr, Farp2, Fgfr1, Git1, Gpc1, Grb7, Hsp90ab1, Irs2, Itga9, Itgb1, Jup, Kazn, Krt13, Krt16, Krt18, Krt19, Krt20, Krt23, Krt7, Krt78, Krt8, Krt80, Lgi2, Map2k1, Mapk1, Mapk11, Mapk13, Mapk3, Mef2c, Mef2d, Mmp2, Msn, Ncam1, Nck1, Nck2, Ncstn, Numb, Pak2, Perp, Pfn1, Pik3ca, Pik3r1, Pik3r2, Pip5k1c, Pkp3, Plxna2, Plxnb1, Pparg, Prkacb, Psenen, Rasa1, Rhoa, Rhob, Rhoc, Robo1, Rock1, Rptn, Rras, Rxra, Sdcbp, Sema3e, Sema4a, Sema7a, Slit2, Slit3, Sptbn1, Src, Stx1b, Tcf3, Trio, Tuba1a, Tuba1c, Tubb4b, Ubc, Vasp, Vav2"
"Degradation of the extracellular matrix","1.286e-05","78","Adam10, Capn13, Capn5, Capn8, Capn9, Cast, Cdh1, Col15a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Eln, Fbn1, Fn1, Furin, Htra1, Mmp13, Mmp15, Mmp19, Nid1, Scube1, Spp1, Try10"
"Signaling by Receptor Tyrosine Kinases","6.008e-05","348","Abi1, Actg1, Ap2a1, Ap2s1, Aph1a, Arf6, Arhgef7, Atp6ap1, Atp6v0a1, Atp6v0a2, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Axl, Baiap2, Bcar1, Brk1, Btc, Calm1, Calm2, Calm3, Cav1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col5a1, Col5a3, Col6a1, Col6a2, Csk, Ctnna1, Dusp4, Dusp6, Egfr, Epn1, Erbb3, Erbin, Fgfr1, Flrt3, Fn1, Furin, Hgs, Hpn, Igf2, Irs2, Jup, Kidins220, Kitl, Map2k1, Mapk1, Mapk11, Mapk13, Mapk3, Mapkapk2, Mst1r, Nck1, Ncstn, Nedd4, Pak2, Pdgfa, Pdgfrb, Pik3c3, Pik3ca, Pik3r1, Pik3r2, Plat, Polr2a, Ppp2ca, Ppp2r1b, Prkcd, Psenen, Ptpn1, Ptpn12, Ptpn2, Pxn, Ralgds, Ranbp10, Rap1a, Rasa1, Rhoa, Rock1, Sgk1, Spint1, Spint2, Spp1, Spred1, Spry1, Spry2, Srf, Tec, Thbs2, Ubc, Vav2, Vegfb, Vegfd, Vrk3, Wasf2, Ywhab"
"Cellular responses to stimuli","2.111e-04","398","Aaas, Akt1s1, Alb, Atf6, Atm, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Blvra, Camk2g, Capzb, Cat, Cdk4, Cdkn1a, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Dctn1, Dnaja4, Dnajb1, Dnajb6, Dynll1, Dynll2, Eef1a1, Egln1, Egln3, Elob, Ern1, Fnip1, Fnip2, Fos, Gpx1, Gpx3, Gpx8, Gsr, Gstp1, H1f0, Helz2, Hif1a, Hmox1, Hmox2, Hsbp1, Hsp90ab1, Hspa5, Jun, Kat5, Lamtor3, Mafk, Map2k3, Map4k4, Mapk1, Mapk3, Mapkapk2, Mt1, Mt2, Nploc4, Nup214, Nup93, Nup98, P4hb, Prdx5, Psmb2, Psmb7, Psmd1, Psmd10, Psmd11, Psmd12, Psmd13, Psmd8, Psmd9, Rbx1, Rheb, Rxra, Sco1, Smarcd3, Sod2, Sqstm1, Srxn1, Suz12, Trp53, Tuba1a, Tuba1c, Tubb4b, Txn1, Txnrd1, Txnrd2, Ubc, Ube2d2a, Ubn1"
"Collagen formation","2.111e-04","62","Adamts2, Col14a1, Col15a1, Col16a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctsl, Ctss, Lox, Loxl1, Loxl2, Loxl3, Mmp13, P4ha1, P4ha2, P4hb, Pcolce, Plod3, Ppib, Pxdn, Serpinh1"
"Assembly of collagen fibrils and other multimeric structures","2.300e-04","38","Col14a1, Col15a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctss, Lox, Loxl1, Loxl2, Loxl3, Mmp13, Pcolce, Pxdn"
"Cellular responses to stress","6.329e-04","395","Aaas, Akt1s1, Alb, Atf6, Atm, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v1a, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Blvra, Camk2g, Capzb, Cat, Cdk4, Cdkn1a, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Dctn1, Dnaja4, Dnajb1, Dnajb6, Dynll1, Dynll2, Eef1a1, Egln1, Egln3, Elob, Ern1, Fnip1, Fnip2, Fos, Gpx1, Gpx3, Gpx8, Gsr, Gstp1, H1f0, Helz2, Hif1a, Hmox1, Hmox2, Hsbp1, Hsp90ab1, Hspa5, Jun, Kat5, Lamtor3, Mafk, Map2k3, Map4k4, Mapk1, Mapk3, Mapkapk2, Nploc4, Nup214, Nup93, Nup98, P4hb, Prdx5, Psmb2, Psmb7, Psmd1, Psmd10, Psmd11, Psmd12, Psmd13, Psmd8, Psmd9, Rbx1, Rheb, Rxra, Sco1, Smarcd3, Sod2, Sqstm1, Srxn1, Suz12, Trp53, Tuba1a, Tuba1c, Tubb4b, Txn1, Txnrd1, Txnrd2, Ubc, Ube2d2a, Ubn1"
"Smooth Muscle Contraction","6.329e-04","27","Acta2, Actg2, Aldh2, Calm1, Calm2, Calm3, Gucy1a1, Gucy1b1, Itga1, Myl9, Pak2, Pxn, Sorbs3, Tpm1, Tpm2, Tpm4, Vcl"
"Post-translational protein phosphorylation","1.293e-03","86","Adam10, Alb, Ano8, Aplp2, Apoe, Apol7a, Apol9a, Bmp4, C3, Ckap4, Cst3, Fam20a, Fbn1, Fn1, Fstl1, Fuca2, Gas6, Igfbp5, Igfbp7, Mfge8, P4hb, Pdia6, Pnpla2, Qsox1, Shisa5, Sparcl1, Spp1, Stc2, Tgoln1, Tnc, Trf"
