"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Formation of the cornified envelope","1.331e-08","79","Cdsn, Dsc1, Dsc2, Dsc3, Dsg3, Evpl, Kazn, Krt1, Krt10, Krt13, Krt16, Krt4, Krt5, Krt6a, Krt80, Lipm, Lipn, Perp, Pkp1, Pkp2, Pkp3, Ppl, Spink5, Tgm1"
"Keratinization","1.990e-07","108","Cdsn, Dsc1, Dsc2, Dsc3, Dsg3, Evpl, Kazn, Krt1, Krt10, Krt13, Krt16, Krt4, Krt5, Krt6a, Krt80, Krtap19-4, Krtap3-1, Lipm, Lipn, Perp, Pkp1, Pkp2, Pkp3, Ppl, Spink5, Tgm1"
"Asparagine N-linked glycosylation","8.760e-05","247","Alg1, Alg3, Amfr, Ankrd28, Arcn1, Areg, Arf3, Arfgap2, Arfgap3, Asgr1, B4galt3, B4galt4, B4galt5, Chst8, Col7a1, Copa, Cope, Copg1, Copz1, Csnk1d, Dctn1, Dctn2, Dolk, Dpm2, Dync1h1, Dync1i2, Dync1li2, Dynll2, Engase, Fcsk, Fut8, Gbf1, Gfpt2, Golgb1, Ins2, Man1a, Man1a2, Man2a2, Mgat1, Mgat2, Mgat4a, Mgat4b, Mgat4c, Mgat5, Mia3, Mpi, Mvd, Nanp, Neu1, Nsf, Nudt14, Nus1, Pmm2, Psmc1, Rab1a, Renbp, Sec13, Sec16b, Sec23a, Slc35a1, Slc35c1, Sptbn1, Sptbn2, St3gal1, St3gal3, St3gal4, St3gal6, St6gal1, St6gal2, St6galnac1, St6galnac2, St8sia1, St8sia2, St8sia3, St8sia6, Stx17, Stx5a, Tfg, Tmed2, Tmed3, Tmed7, Tmem115, Trappc10, Trappc6b, Tuba1a, Tuba1b, Tubb4a, Tubb4b, Tubb6, Uap1, Ubxn1, Umod"
"Transport to the Golgi and subsequent modification","1.354e-03","166","Ankrd28, Arcn1, Areg, Arf3, Arfgap2, Arfgap3, B4galt3, B4galt4, B4galt5, Chst8, Col7a1, Copa, Cope, Copg1, Copz1, Csnk1d, Dctn1, Dctn2, Dync1h1, Dync1i2, Dync1li2, Dynll2, Fut8, Gbf1, Golgb1, Ins2, Man1a, Man1a2, Man2a2, Mgat1, Mgat2, Mgat4a, Mgat4b, Mgat4c, Mgat5, Mia3, Nsf, Rab1a, Sec13, Sec16b, Sec23a, Sptbn1, Sptbn2, St3gal4, St6gal1, St8sia2, St8sia3, St8sia6, Stx17, Stx5a, Tfg, Tmed2, Tmed3, Tmed7, Tmem115, Trappc10, Trappc6b, Tuba1a, Tuba1b, Tubb4a, Tubb4b, Tubb6"
"Collagen formation","2.216e-02","72","Adamts2, Bmp1, Col11a2, Col12a1, Col15a1, Col1a2, Col27a1, Col28a1, Col3a1, Col4a4, Col5a3, Col6a5, Col7a1, Col8a1, Col9a3, Ctsb, Ctsl, Ctss, Loxl1, Loxl4, Mmp13, P3h3, P4ha1, P4ha2, P4hb, Pcolce, Pcolce2, Plod1, Plod3, Ppib, Pxdn, Serpinh1, Tll2"
"N-glycan antennae elongation in the medial/trans-Golgi","2.216e-02","22","B4galt3, B4galt4, B4galt5, Cga, Chst10, Chst8, Fut8, Man2a2, Mgat2, Mgat4a, Mgat4b, Mgat4c, Mgat5, St3gal4, St6gal1, St8sia2, St8sia3, St8sia6"
"NRAGE signals death through JNK","2.216e-02","47","Abr, Akap13, Arhgef10, Arhgef16, Arhgef18, Arhgef2, Arhgef38, Arhgef7, Bcl2l11, Fgd2, Fgd4, Gna13, Kalrn, Plekhg5, Rasgrf2, Sos1, Trio, Vav1, Vav2"
"O-linked glycosylation of mucins","2.216e-02","51","A4gnt, B3gnt2, B3gnt3, B3gnt4, B3gnt6, B3gnt7, B3gnt8, B3gntl1, B4galt5, C1galt1, C1galt1c1, Chst4, Galnt1, Galnt10, Galnt11, Galnt14, Galnt16, Galnt2, Galnt3, Galnt4, Galnt5, Galnt6, Galnt7, Gcnt1, Gcnt3, Gcnt4, Gcnt7, Muc1, Muc13, Muc20, Muc4, Muc5b, St3gal1, St3gal3, St3gal4, St6gal1, St6galnac2, St6galnac3"
"Cell death signalling via NRAGE, NRIF and NADE","2.407e-02","60","Abr, Akap13, Aph1a, Arhgef10, Arhgef16, Arhgef18, Arhgef2, Arhgef38, Arhgef7, Bcl2l11, Casp3, Fgd2, Fgd4, Gna13, Kalrn, Plekhg5, Rasgrf2, Sos1, Trio, Vav1, Vav2, Ywhae"
"Assembly of collagen fibrils and other multimeric structures","3.547e-02","44","Bmp1, Col11a2, Col12a1, Col15a1, Col1a2, Col27a1, Col3a1, Col5a3, Col6a5, Col7a1, Col8a1, Col9a3, Ctsb, Ctsl, Ctss, Loxl1, Loxl4, Mmp13, Pcolce, Pxdn, Tll2"
