"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Class C/3 (Metabotropic glutamate/pheromone receptors)","9.842e-11","30","Gabbr1, Tas1r3"
"Olfactory Signaling Pathway","9.675e-05","77","Gnb1"
"Antigen processing-Cross presentation","1.443e-04","86","B2m, Calr, Cyba, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Mrc2, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme2b, Psme3, Psmf1, Tap1, Tap2, Tapbp, Vamp3, Vamp8"
"The citric acid (TCA) cycle and respiratory electron transport","1.443e-04","146","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Etfa, Ldha, Mdh2, Me1, Me2, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufa8, Ndufb7, Ndufb8, Ndufb9, Ndufc2, Ndufs7, Ndufs8, Ndufv3, Ogdh, Pdha1, Pdk2, Pdp2, Ppard, Rxra, Sdhc, Sdhd, Suclg2, Ucp2, Uqcr10, Uqcrc1, Uqcrc2, Uqcrq, Vdac1"
"ER-Phagosome pathway","2.186e-04","29","B2m, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Tap1, Tap2, Tapbp, Vamp3, Vamp8"
"Keratinization","6.671e-04","109","Dsg2, Dsp, Evpl, Jup, Krt19, Krt20, Krt8, Krt80, Perp"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6.732e-04","100","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Dmac2l, Etfa, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufa8, Ndufb7, Ndufb8, Ndufb9, Ndufc2, Ndufs4, Ndufs7, Ndufs8, Ndufv3, Ucp2, Uqcr10, Uqcrc1, Uqcrc2, Uqcrq"
"Cellular responses to stimuli","4.266e-03","416","Actr1a, Akt1, Anapc5, Anapc7, Apoa1, Atp6v0b, Atp6v0c, Atp6v1a, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Bag1, Bag3, Capzb, Castor2, Cdkn1b, Cdkn2b, Cebpb, Cox18, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Creb3l3, Cyba, Dctn1, Dctn3, Dctn5, Dctn6, Depdc5, Dnaja1, Dnaja2, Dnajb6, Dync1h1, Dync1li1, Dynll1, Dynll2, Eef1a1, Egln1, Egln2, Egln3, Ehmt1, Eif2s3x, Elob, Ep400, Epas1, Erf, Ets2, Fos, Fzr1, Gpx1, Gstp1, H1f0, Hbb-bs, Helz2, Hsbp1, Hsp90aa1, Hsp90ab1, Hspa1b, Hspb8, Hsph1, Jun, Lamtor2, Lamtor3, Lamtor5, Limd1, Mafk, Map1lc3b, Map2k3, Map4k4, Mapk3, Mapkapk2, Mt2, Nprl2, Nudt2, Nup160, Nup62, Pom121, Prdx2, Prdx5, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Rragd, Rxra, Sesn1, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, Tlr4, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Txn1, Ubc, Ube2e1"
"Developmental Biology","4.375e-03","401","Actg1, Actr2, Actr3, Adgrg6, Akt1, Ap2s1, Aph1a, Arpc1a, Arpc1b, Arpc2, Arpc3, Arpc5, Boc, Cdc42, Col6a1, Col6a5, Csnk2a1, Ctnna1, Dag1, Dok1, Dok4, Dsc2, Dsg2, Dsp, Efna1, Efnb1, Epha1, Epha2, Ephb3, Ephb6, Evl, Evpl, Ezr, Foxo1, Git1, Grb7, Hsp90aa1, Hsp90ab1, Irs2, Itga5, Itsn1, Jup, Kif4, Kras, Krt19, Krt20, Krt8, Krt80, Limk1, Lypla2, Map2k1, Map2k2, Mapk3, Mef2d, Nck2, Ncstn, Ngef, Perp, Pfn1, Pik3r1, Pik3r2, Plxna1, Plxna3, Plxnd1, Psenen, Ptpra, Rac1, Rhoa, Rhob, Rxra, Sdcbp, Sema3e, Sema4a, Sema6d, Sh3gl2, Sh3kbp1, Slit3, Sptbn2, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"Neutrophil degranulation","5.834e-03","473","Actr1b, Actr2, Adgre5, Agpat2, Aldh3b1, Aldoa, Alox5, Anxa2, Apeh, Arl8a, Arpc5, Arsa, Arsb, Asah1, Atp6ap2, Atp6v0c, Atp6v1d, B2m, B4galt1, Bri3, Bst2, Cab39, Cand1, Cant1, Cap1, Cd63, Cd68, Ckap4, Cmtm6, Cotl1, Cpne3, Cr1l, Cst3, Cstb, Ctsb, Ctsd, Ctsh, Ctss, Ctsz, Cyb5r3, Cyba, Cyfip1, Ddx3x, Dera, Diaph1, Dock2, Dsp, Dync1h1, Dync1li1, Dynll1, Dynlt1f, Eef1a1, Fabp5, Fuca2, Gdi2, Ggh, Golga7, Gsn, Gstp1, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Hbb-bs, Hebp2, Hgsnat, Hsp90aa1, Hsp90ab1, Hspa1b, Ifi205, Igf2r, Ilf2, Itgal, Jup, Lamp1, Lamtor2, Lamtor3, Magt1, Mvp, Ncstn, Ndufc2, Neu1, Ostf1, Padi2, Pecam1, Pgm1, Pgm2, Pgrmc1, Pnp, Ppia, Psmb7, Psmc2, Psmd11, Psmd13, Ptprj, Ptprn2, Pygl, Rab18, Rab27a, Rab37, Rab3a, Rab3d, Rab5c, Rab7, Rac1, Rap1a, Rap2c, Rhoa, Rhof, S100a11, Sdcbp, Serpinb1a, Serpinb6a, Snap23, Snap29, Surf4, Syngr1, Tollip, Tubb4b, Txndc5, Ubr4, Vamp8, Vapa, Xrcc6"
"Beta-catenin independent WNT signaling","9.115e-03","118","Ap2s1, Calm1, Calm3, Cltb, Ctnnb1, Daam1, Dvl2, Dvl3, Fzd1, Fzd3, Fzd4, Fzd6, Fzd8, Gnao1, Gnb1, Gnb2, Gng12, Gng2, Gng5, Gngt2, Kras, Nlk, Pfn1, Plcb3, Ppp3r1, Prickle1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psmd8, Psme1, Psme2b, Psme3, Psmf1, Rac1, Rac3, Rhoa, Ubc, Wnt11, Wnt5a"
"Formation of the cornified envelope","9.115e-03","79","Dsg2, Dsp, Evpl, Jup, Krt19, Krt20, Krt8, Krt80, Perp"
"Signaling by WNT","9.115e-03","221","Akt1, Ap2s1, Axin2, Bcl9l, Calm1, Calm3, Cav1, Cby1, Cltb, Csnk2a1, Ctbp2, Ctnnbip1, Daam1, Dact1, Dvl2, Dvl3, Frat1, Fzd4, Fzd6, Fzd8, Gnb1, Gnb2, Gng12, Gng5, Hdac1, Kras, Lgr4, Lgr5, Lrp5, Lrp6, Pfn1, Pip5k1b, Ppp2ca, Ppp2r5b, Prickle1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Tle1, Tle4, Tnks, Ubc, Wnt11, Wnt5a, Wnt9a, Xiap, Ywhaz"
"Cellular responses to stress","9.504e-03","413","Actr1a, Akt1, Anapc5, Anapc7, Apoa1, Atp6v0b, Atp6v0c, Atp6v1a, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Bag1, Bag3, Capzb, Castor2, Cdkn1b, Cdkn2b, Cebpb, Cox18, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Creb3l3, Cyba, Dctn1, Dctn3, Dctn5, Dctn6, Depdc5, Dnaja1, Dnaja2, Dnajb6, Dync1h1, Dync1li1, Dynll1, Dynll2, Eef1a1, Egln1, Egln2, Egln3, Ehmt1, Eif2s3x, Elob, Ep400, Epas1, Erf, Ets2, Fos, Fzr1, Gpx1, Gstp1, H1f0, Hbb-bs, Helz2, Hsbp1, Hsp90aa1, Hsp90ab1, Hspa1b, Hspb8, Hsph1, Jun, Lamtor2, Lamtor3, Lamtor5, Limd1, Mafk, Map1lc3b, Map2k3, Map4k4, Mapk3, Mapkapk2, Nprl2, Nudt2, Nup160, Nup62, Pom121, Prdx2, Prdx5, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rheb, Rraga, Rragc, Rragd, Rxra, Sesn1, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, Tlr4, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Txn1, Ubc, Ube2e1"
"Endosomal/Vacuolar pathway","1.400e-02","20","B2m, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23"
"TCF dependent signaling in response to WNT","1.488e-02","145","Akt1, Axin2, Bcl9l, Cav1, Cby1, Csnk2a1, Ctnnbip1, Dact1, Dvl2, Dvl3, Frat1, Fzd4, Fzd6, Fzd8, Hdac1, Lgr4, Lgr5, Lrp5, Lrp6, Pip5k1b, Ppp2ca, Ppp2r5b, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Tle1, Tle4, Tnks, Ubc, Wnt5a, Xiap, Ywhaz"
"Chromatin modifying enzymes","1.631e-02","132","Actl6a, Aebp2, Arid4a, Arid4b, Ash2l, Atf2, Atf7ip, Brpf3, Brwd1, Ccnd1, Chd3, Chd4, Coprs, Ehmt2, Hat1, Hmg20b, Ing4, Ing5, Jade1, Jmjd6, Kansl1, Kansl2, Kansl3, Kat6b, Kat7, Kat8, Kdm1a, Kdm2a, Kdm2b, Kdm3a, Kdm3b, Kdm4a, Kdm4c, Kdm5a, Kmt2e, Kmt5a, Kmt5b, Kmt5c, Mbd3, Mcrs1, Meaf6, Mecom, Msl1, Mta3, Ncoa1, Nsd2, Ogt, Padi1, Phf21a, Prmt1, Prmt3, Prmt7, Rbbp5, Rbbp7, Sap30, Setd1b, Setd7, Smarca2, Smarcb1, Smarcd1, Smyd2, Smyd3, Wdr77"
"Chromatin organization","1.631e-02","132","Actl6a, Aebp2, Arid4a, Arid4b, Ash2l, Atf2, Atf7ip, Brpf3, Brwd1, Ccnd1, Chd3, Chd4, Coprs, Ehmt2, Hat1, Hmg20b, Ing4, Ing5, Jade1, Jmjd6, Kansl1, Kansl2, Kansl3, Kat6b, Kat7, Kat8, Kdm1a, Kdm2a, Kdm2b, Kdm3a, Kdm3b, Kdm4a, Kdm4c, Kdm5a, Kmt2e, Kmt5a, Kmt5b, Kmt5c, Mbd3, Mcrs1, Meaf6, Mecom, Msl1, Mta3, Ncoa1, Nsd2, Ogt, Padi1, Phf21a, Prmt1, Prmt3, Prmt7, Rbbp5, Rbbp7, Sap30, Setd1b, Setd7, Smarca2, Smarcb1, Smarcd1, Smyd2, Smyd3, Wdr77"
"COPI-mediated anterograde transport","1.755e-02","89","Actr1a, Arcn1, Arf1, Arf4, Arf5, Arfgap3, Capzb, Copa, Copb2, Cope, Copg1, Copz1, Dctn1, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1li1, Dynll1, Dynll2, Golgb1, Gosr1, Napg, Rab1a, Sptbn2, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"Metabolism of amino acids and derivatives","2.114e-02","242","Aldh6a1, Aspg, Ass1, Bcat2, Bckdhb, Carnmt1, Ckmt1, Cth, Dbt, Ddc, Ddo, Dhtkd1, Dld, Duox1, Ethe1, Fah, Gamt, Gcsh, Gldc, Glul, Got1, Gpt, Gpt2, Ido1, Iyd, Lias, Mccc1, Mccc2, Mpst, Naalad2, Oaz1, Odc1, Ogdh, Pdha1, Phykpl, Ppm1k, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psmd8, Psme1, Psme2b, Psme3, Psmf1, Psph, Pycr1, Pycr2, Qdpr, Sardh, Scly, Sdsl, Sephs2, Serinc1, Serinc2, Slc25a10, Slc25a12, Slc25a13, Slc25a2, Slc3a2, Slc44a1, Sqor, Srm, Suox, Tst, Tstd1"
"PCP/CE pathway","2.192e-02","83","Ap2s1, Cltb, Daam1, Dvl2, Dvl3, Fzd4, Fzd6, Fzd8, Pfn1, Prickle1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rac1, Rhoa, Ubc, Wnt11, Wnt5a"
"MAPK6/MAPK4 signaling","2.487e-02","67","Ccnd3, Cdc14a, Cdc42, Cdc42ep2, Foxo1, Mapk6, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rac1, Ubc"
"Asymmetric localization of PCP proteins","2.787e-02","58","Dvl2, Fzd4, Fzd8, Prickle1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc, Wnt5a"
"Cellular response to chemical stress","2.787e-02","147","Akt1, Cox18, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyba, Gpx1, Gstp1, Hbb-bs, Helz2, Mafk, Map1lc3b, Nudt2, Prdx2, Prdx5, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Rxra, Sesn1, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, Txn1, Ubc"
"HATs acetylate histones","2.787e-02","29","Atf2, Brpf3, Hat1, Ing4, Ing5, Jade1, Kansl1, Kansl2, Kansl3, Kat6b, Kat7, Kat8, Mcrs1, Meaf6, Msl1, Ncoa1, Ogt, Rbbp7"
"RHO GTPase Effectors","2.787e-02","232","Actg1, Actr2, Actr3, Arpc1a, Arpc1b, Arpc2, Arpc3, Arpc5, Baiap2, Calm1, Calm3, Cdc42, Cdh1, Cenpc1, Cenpf, Ctnna1, Cyba, Cyfip1, Diaph1, Dvl2, Dvl3, Dynll1, Dynll2, Gopc, Limk1, Mapk3, Mrtfa, Myh14, Myh9, Myl12b, Myl9, Nup160, Pfn1, Pik3c3, Ppp1r12a, Ppp2ca, Ppp2r5b, Rac1, Rangap1, Rhoa, Rhob, Rhod, Rhpn2, Sfn, Spc24, Srf, Tax1bp3, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ywhab, Ywhag, Ywhah, Ywhaz"
"Golgi-to-ER retrograde transport","2.989e-02","122","Actr1a, Arcn1, Arf1, Arf4, Arf5, Arfgap3, Capzb, Copa, Copb2, Cope, Copg1, Copz1, Dctn1, Dctn3, Dctn5, Dctn6, Dync1h1, Dync1li1, Dynll1, Dynll2, Galnt2, Kif13b, Kif1c, Kif4, Napg, Rab18, Rab1a, Surf4, Tmed10, Tmed2, Tmed7, Tmed9, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b"
"TP53 Regulates Metabolic Genes","3.219e-02","67","Akt1, Cox18, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cycs, Lamtor2, Lamtor3, Lamtor5, Prdx2, Prdx5, Prkaa1, Prkag1, Rheb, Rraga, Rragc, Rragd, Sesn1, Sfn, Tigar, Txn1, Ywhab, Ywhag, Ywhah, Ywhaz"
"Axon guidance","3.241e-02","241","Actg1, Actr2, Actr3, Ap2s1, Aph1a, Arpc1a, Arpc1b, Arpc2, Arpc3, Arpc5, Cdc42, Col6a1, Col6a5, Csnk2a1, Dag1, Dok1, Dok4, Efna1, Efnb1, Epha1, Epha2, Ephb3, Ephb6, Evl, Ezr, Gfra1, Git1, Grb7, Hsp90aa1, Hsp90ab1, Irs2, Itga5, Itsn1, Kif4, Kras, Limk1, Lypla2, Map2k1, Map2k2, Mapk3, Nck2, Ncstn, Ngef, Pfn1, Pik3r1, Pik3r2, Plxna1, Plxna3, Plxnd1, Psenen, Ptpra, Rac1, Rhoa, Rhob, Sdcbp, Sema3e, Sema4a, Sema6d, Sh3gl2, Sh3kbp1, Slit3, Sptbn2, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"EPH-Ephrin signaling","3.545e-02","61","Actg1, Actr2, Actr3, Aph1a, Arpc1a, Arpc1b, Arpc2, Arpc3, Arpc5, Cdc42, Efna1, Efnb1, Epha1, Ephb3, Itsn1, Nck2, Ncstn, Ngef, Psenen, Rac1, Rhoa, Sdcbp"
"Degradation of DVL","4.142e-02","53","Dact1, Dvl2, Dvl3, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc"
"Respiratory electron transport","4.142e-02","82","Cox18, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cycs, Etfa, Etfdh, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufa8, Ndufaf1, Ndufaf6, Ndufaf7, Ndufb7, Ndufb8, Ndufb9, Ndufc2, Ndufs4, Ndufs6, Ndufs7, Ndufs8, Ndufv3, Sco2, Tmem126b, Uqcr10, Uqcrc1, Uqcrc2, Uqcrh, Uqcrq"
"The role of GTSE1 in G2/M progression after G2 checkpoint","4.142e-02","69","Hsp90aa1, Hsp90ab1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"Degradation of beta-catenin by the destruction complex","4.206e-02","72","Ctbp2, Frat1, Ppp2ca, Ppp2r5b, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Tle1, Tle4, Ubc"
"Regulation of ornithine decarboxylase (ODC)","4.206e-02","50","Oaz1, Odc1, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1"
"Nervous system development","4.266e-02","242","Actg1, Actr2, Actr3, Adgrg6, Ap2s1, Aph1a, Arpc1a, Arpc1b, Arpc2, Arpc3, Arpc5, Cdc42, Col6a1, Col6a5, Csnk2a1, Dag1, Dok1, Dok4, Efna1, Efnb1, Epha1, Epha2, Ephb3, Ephb6, Evl, Ezr, Gfra1, Git1, Grb7, Hsp90aa1, Hsp90ab1, Irs2, Itga5, Itsn1, Kif4, Kras, Limk1, Lypla2, Map2k1, Map2k2, Mapk3, Nck2, Ncstn, Ngef, Pfn1, Pik3r1, Pik3r2, Plxna1, Plxna3, Plxnd1, Psenen, Ptpra, Rac1, Rhoa, Rhob, Sdcbp, Sema3e, Sema4a, Sema6d, Sh3gl2, Sh3kbp1, Slit3, Sptbn2, Tuba1c, Tuba4a, Tubb2a, Tubb4b, Ubc"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","4.736e-02","52","Eif4g1, Hspa1b, Psma4, Psma6, Psma7, Psmb10, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc5, Psmd10, Psmd11, Psmd13, Psmd4, Psme1, Psme2b, Psme3, Psmf1, Ubc"
