"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Cellular responses to stimuli","3.895e-04","416","Actr10, Actr1a, Ajuba, Akt1, Akt1s1, Anapc5, Apob, Ar, Arnt, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1a, Atp6v1b2, Atp6v1d, Atp6v1e1, Atp6v1g3, Bag2, Bag3, Bag4, Blvra, Blvrb, Castor1, Cat, Ccna1, Ccna2, Cdc16, Cdc27, Cdkn1b, Cdkn2b, Cebpb, Chd9, Cited2, Cox14, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Cryab, Cul2, Cul3, Cyba, Dctn3, Dctn6, Dnaja1, Dnaja2, Dnajb1, Dnajb6, Dync1h1, Dynll1, Dynll2, Eef1a1, Egln1, Eif2s3x, Eloc, Erf, Ets1, Ets2, Fkbp4, Fos, Fzr1, Gpx1, Gpx7, Gsk3b, Gsr, Gstp1, H13, Hif1a, Hikeshi, Hmox1, Hsbp1, Hsf1, Hsp90ab1, Hspa1a, Hspa1b, Hspa5, Hspa8, Hspa9, Hsph1, Kdm6b, Keap1, Lamtor2, Lamtor3, Lamtor5, Lmnb1, Mafk, Map1lc3b, Map2k3, Map2k4, Mapk7, Mapkapk2, Mt3, Ncf4, Ndc1, Ndufa4, Nploc4, Nup153, Nup54, Nup62, Nup93, Nupl2, P4hb, Pom121, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psme1, Psme2b, Psme3, Ptges3, Rae1, Rbbp4, Rbbp7, Rbx1, Rraga, Rragc, Sco2, Sin3b, Sirt1, Slc46a1, Smarcd3, Sod1, Sod2, Sod3, Sqstm1, Srxn1, St13, Stip1, Surf1, Suz12, Szt2, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb1, Tubb2a, Tubb2b, Tubb3, Tubb4a, Tubb4b, Tubb6, Txn1, Txnrd1, Txnrd2, Ubc, Ube2c, Ube2d1, Ube2d2a, Ube2s, Vcp, Wdr59, Xpo1, Ywhae"
"Cellular responses to stress","3.895e-04","413","Actr10, Actr1a, Ajuba, Akt1, Akt1s1, Anapc5, Apob, Ar, Arnt, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1a, Atp6v1b2, Atp6v1d, Atp6v1e1, Atp6v1g3, Bag2, Bag3, Bag4, Blvra, Blvrb, Castor1, Cat, Ccna1, Ccna2, Cdc16, Cdc27, Cdkn1b, Cdkn2b, Cebpb, Chd9, Cited2, Cox14, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Cryab, Cul2, Cul3, Cyba, Dctn3, Dctn6, Dnaja1, Dnaja2, Dnajb1, Dnajb6, Dync1h1, Dynll1, Dynll2, Eef1a1, Egln1, Eif2s3x, Eloc, Erf, Ets1, Ets2, Fkbp4, Fos, Fzr1, Gpx1, Gpx7, Gsk3b, Gsr, Gstp1, H13, Hif1a, Hikeshi, Hmox1, Hsbp1, Hsf1, Hsp90ab1, Hspa1a, Hspa1b, Hspa5, Hspa8, Hspa9, Hsph1, Kdm6b, Keap1, Lamtor2, Lamtor3, Lamtor5, Lmnb1, Mafk, Map1lc3b, Map2k3, Map2k4, Mapk7, Mapkapk2, Ncf4, Ndc1, Ndufa4, Nploc4, Nup153, Nup54, Nup62, Nup93, Nupl2, P4hb, Pom121, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psme1, Psme2b, Psme3, Ptges3, Rae1, Rbbp4, Rbbp7, Rbx1, Rraga, Rragc, Sco2, Sin3b, Sirt1, Slc46a1, Smarcd3, Sod1, Sod2, Sod3, Sqstm1, Srxn1, St13, Stip1, Surf1, Suz12, Szt2, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb1, Tubb2a, Tubb2b, Tubb3, Tubb4a, Tubb4b, Tubb6, Txn1, Txnrd1, Txnrd2, Ubc, Ube2c, Ube2d1, Ube2d2a, Ube2s, Vcp, Wdr59, Xpo1, Ywhae"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","5.548e-04","100","Atp5a1, Atp5b, Atp5d, Atp5e, Atp5k, Atp5l, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Etfa, Etfb, Etfdh, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa8, Ndufaf3, Ndufaf7, Ndufb2, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs8, Ndufv1, Sco2, Surf1, Timmdc1, Tmem126b, Ucp1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrh"
"The citric acid (TCA) cycle and respiratory electron transport","5.548e-04","146","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5k, Atp5l, Coq10b, Cox14, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Dlat, Dld, Dlst, Etfa, Etfb, Etfdh, Hagh, Idh3a, Idh3b, Ldha, Ldhal6b, Ldhb, Mdh2, Me1, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa8, Ndufaf1, Ndufaf3, Ndufaf7, Ndufb11, Ndufb2, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv3, Pdk2, Pdk4, Pdp1, Sco2, Sdhb, Sdhc, Suclg1, Surf1, Timmdc1, Tmem126b, Ucp1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrh, Vdac1"
"The role of GTSE1 in G2/M progression after G2 checkpoint","5.548e-04","69","Ccnb2, Hsp90ab1, Mapre1, Plk1, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb1, Tubb2a, Tubb2b, Tubb3, Tubb4a, Tubb4b, Tubb6, Ubc"
"Beta-catenin independent WNT signaling","1.543e-03","118","Ap2b1, Ap2m1, Calm1, Calm2, Calm3, Cltb, Cltc, Daam1, Fzd1, Gnb1, Gnb2, Gng10, Gng11, Gng4, Gng5, Kras, Lef1, Map3k7, Pfn1, Plcb3, Ppp3r1, Prkca, Prkcb, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rac1, Rhoa, Smurf1, Ubc"
"Cellular response to chemical stress","1.543e-03","147","Akt1, Bach1, Blvra, Blvrb, Cat, Chd9, Cox14, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Cul3, Cyba, Gpx1, Gpx7, Gsk3b, Gsr, Gstp1, H13, Hmox1, Keap1, Mafk, Map1lc3b, Mul1, Ncf4, Ndufa4, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Rbx1, Rxra, Sco2, Sin3b, Smarcd3, Sod1, Sod2, Sod3, Sqstm1, Srxn1, Surf1, Txn1, Txnrd1, Txnrd2, Ubc, Vcp"
"Cytokine Signaling in Immune system","1.543e-03","364","Abce1, Akt1, Casp1, Cbl, Cdkn1b, Clcf1, Crk, Crlf1, Csk, Ctf1, Ctsg, Cul5, Dusp7, Eda2r, Eif4a1, Eif4a3, Eif4e, Eif4g1, Eloc, Flnb, Fos, Grb2, Hck, Hmgb1, Hras, Hsp90b1, Ifngr2, Il13ra1, Il1rn, Il21r, Il23r, Il27, Il27ra, Il2ra, Il2rb, Il33, Il4ra, Il5ra, Il9r, Inppl1, Irak4, Irf3, Isg15, Jak3, Kpna1, Kras, Lifr, Ltbr, Map2k3, Map2k4, Map3k7, Mapk7, Nfkb1, Nfkb2, Nfkbia, Nfkbib, Nkiras2, Nlrc5, Nlrx1, Osm, Osmr, Pde12, Peli2, Pik3ca, Pik3r2, Ppm1b, Ppp2ca, Ppp2cb, Ppp2r1b, Prkcd, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptpn1, Ptpn11, Ptprj, Rela, Relb, Sdc1, Sla, Smarca4, Socs2, Socs6, Sqstm1, Sumo1, Tab2, Tnfrsf13b, Tnfrsf1a, Tnfsf12, Tnfsf15, Tnfsf18, Tnfsf9, Trim25, Ubc, Ube2d1, Ube2d2a, Ube2l6, Ube2m, Ube2n, Usp18, Vamp2, Ywhaz"
"Keratinization","1.543e-03","109","Dsc2, Dsc3, Dsg2, Jup, Krt14, Krt17, Krt18, Krt19, Krt27, Krt5, Krt7, Krt78, Krt8, Krt80, Krt86, Perp, Pkp1, Rptn, Tgm1"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","1.563e-03","69","Anapc4, Anapc5, Bub1b, Bub3, Ccna1, Ccna2, Cdc16, Cdc20, Cdc27, Mad2l1, Nek2, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Antigen processing-Cross presentation","1.563e-03","86","B2m, Calr, Cyba, H2-K1, H2-M2, H2-M3, H2-Q4, H2-Q6, H2-Q7, H2-T23, Ncf4, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Sec22b, Tap1, Tap2, Tapbp, Vamp3, Vamp8"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","1.640e-03","68","Anapc4, Anapc5, Bub1b, Bub3, Ccna1, Ccna2, Cdc16, Cdc20, Cdc27, Mad2l1, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Selective autophagy","1.805e-03","61","Arl13b, Atg12, Dync1h1, Dynll1, Dynll2, Map1lc3b, Mfn2, Mterf3, Nbr1, Pink1, Prkn, Sqstm1, Src, Tomm20, Tomm22, Tomm40, Tomm6, Tomm7, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb1, Tubb2a, Tubb2b, Tubb3, Tubb4a, Tubb4b, Tubb6, Ubc, Ube2n, Vim"
"KEAP1-NFE2L2 pathway","2.506e-03","70","Akt1, Bach1, Cul3, Gsk3b, Keap1, Mafk, Map1lc3b, Mul1, Nploc4, Prdx1, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Rbx1, Sqstm1, Srxn1, Ubc, Vcp"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","2.521e-03","52","Eif4g1, Hnrnpd, Hspa1a, Hspa1b, Hspa8, Hspb1, Pabpc1, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Ubc"
"Neutrophil degranulation","2.521e-03","473","Acly, Actr10, Actr2, Adgre5, Adgrg3, Aldh3b1, Aldoa, Arhgap45, Atp6ap2, Atp6v0c, Atp6v1d, Atp8b4, B2m, B4galt1, Bri3, Bst2, C5ar1, Cab39, Cand1, Cant1, Cap1, Cct2, Cct8, Cd14, Cd47, Cd53, Cd63, Cd93, Cda, Cdk13, Ceacam1, Cfd, Cfp, Chit1, Ckap4, Clec12a, Cmtm6, Cnn2, Commd3, Copb1, Cotl1, Creg1, Crisp2, Cst3, Cstb, Ctsa, Ctsb, Ctsd, Ctsg, Ctsh, Ctsz, Cyb5r3, Cyba, Cyfip1, Ddx3x, Dera, Dnajc5, Dok3, Dync1h1, Dynll1, Eef1a1, Enpp4, Fabp5, Faf2, Fcer1g, Galns, Gdi2, Ggh, Gm2a, Gmfg, Golga7, Gpi1, Grn, Gsn, Gstp1, Gyg, H2-K1, H2-M2, H2-M3, H2-Q4, H2-Q6, H2-Q7, H2-T23, Hgsnat, Hmgb1, Hsp90ab1, Hspa1a, Hspa1b, Hspa8, Huwe1, Ifi204, Igf2r, Impdh1, Impdh2, Jup, Kcnab2, Lamtor2, Lilra6, Lta4h, Magt1, Mif, Mndal, Mvp, Ndufc2, Nfkb1, Nme2, Npc2, P2rx1, Pa2g4, Pafah1b2, Pdap1, Pgam1, Pgm2, Pgrmc1, Pira2, Pkp1, Plaur, Pnp, Ppbp, Ppia, Ppie, Prdx4, Prdx6, Prkcd, Psmb7, Psmc2, Psmc3, Psmd11, Psmd12, Psmd13, Psmd14, Psmd6, Psmd7, Ptprj, Ptprn2, Qpct, Qsox1, Rab18, Rab31, Rab5b, Rab7, Rac1, Rap1a, Rap1b, Rap2b, Rhoa, Rhof, Rock1, S100a11, Sdcbp, Serpinb6a, Slc11a1, Slc15a4, Slc2a5, Srp14, Surf4, Tmem179b, Tmem30a, Tmem63a, Tom1, Try10, Ttr, Tubb4b, Tubb5, Tyrobp, Vamp8, Vat1, Vcl, Vcp, Vnn1, Xrcc5"
"Downstream TCR signaling","2.542e-03","80","Cd3d, Cdc34, Map3k7, Nfkb1, Nfkbia, Pik3ca, Pik3r2, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2n"
"Respiratory electron transport","2.937e-03","82","Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox8a, Etfa, Etfb, Etfdh, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa8, Ndufaf3, Ndufaf7, Ndufb2, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs8, Ndufv1, Sco2, Surf1, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrh"
"Formation of the cornified envelope","2.959e-03","79","Dsc2, Dsc3, Dsg2, Jup, Krt14, Krt17, Krt18, Krt19, Krt27, Krt5, Krt7, Krt78, Krt8, Krt80, Krt86, Perp, Pkp1, Rptn, Tgm1"
"CLEC7A (Dectin-1) signaling","3.183e-03","85","Calm1, Calm2, Calm3, Cdc34, Map3k7, Nfkb1, Nfkb2, Nfkbia, Ppp3r1, Prkcd, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Relb, Src, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2m, Ube2n"
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","3.219e-03","71","Anapc4, Anapc5, Bub1b, Bub3, Ccna1, Ccna2, Cdc16, Cdc20, Cdc27, Mad2l1, Nek2, Plk1, Psma1, Psma4, Psma5, Psma6, Psmb2, Psmb4, Psmb5, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd14, Psmd3, Psmd5, Psmd6, Psmd7, Psmd8, Psmd9, Psme1, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"MAPK family signaling cascades","3.219e-03","281","Abhd17a, Actg1, Angpt1, Apbb1ip, Areg, Arl2, Braf, Brap, Btc, Calm1, Calm2, Calm3, Ccnd3, Cdc42, Cdc42ep2, Cdc42ep5, Cnksr1, Csk, Dlg1, Dlg4, Dnajb1, Dusp1, Dusp7, Dusp9, Egfr, Epgn, Erbb2, Ereg, Fgf17, Fgf2, Fgf7, Fgg, Fntb, Frs2, Golga7, Grb2, Hbegf, Hras, Il2ra, Il2rb, Il5ra, Irs2, Jak3, Klb, Kras, Lamtor2, Map2k1, Map2k2, Map3k11, Mapk6, Ncam1, Nf1, Nrg1, Nrtn, Pak3, Paqr3, Pde6d, Pdgfra, Pik3ca, Pik3r2, Ppp1cb, Ppp2ca, Ppp2cb, Ppp2r1b, Psma1, Psma6, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd11, Psmd12, Psmd13, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ptpn11, Rac1, Ralgds, Rap1a, Rap1b, Rasa3, Rasgrp4, Rce1, Ret, Shoc2, Spred1, Sptbn2, Src, Tgfa, Tln1, Ubc, Vcl, Ywhab, Zdhhc9"
