"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"GPCR ligand binding","9.126e-08","374","Adgre1, Adora2a, Adora2b, Adra2a, Anxa1, Apln, C3, C3ar1, C5ar1, Calcrl, Cck, Cckar, Ccl11, Ccl25, Ccl28, Ccl4, Ccl6, Ccl7, Ccr5, Cd55, Chrm3, Cx3cl1, Cxcl1, Cxcl13, Cxcl16, Cxcl5, Cxcr6, Cysltr1, Cysltr2, Drd3, Edn1, Ednra, F2, Gabbr1, Gal, Gipr, Gnb5, Gng12, Gng2, Gng4, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Kiss1r, Ltb4r1, Ltb4r2, Mc5r, Nmb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rxfp1, S1pr1, S1pr3, Sct, Sstr3, Taar3, Tacr3, Tas2r118, Ucn2, Uts2, Vipr2"
"Class A/1 (Rhodopsin-like receptors)","1.167e-05","291","Adora2a, Adora2b, Adra2a, Anxa1, Apln, C3, C3ar1, C5ar1, Cck, Cckar, Ccl11, Ccl25, Ccl28, Ccl4, Ccl6, Ccl7, Ccr5, Chrm3, Cx3cl1, Cxcl1, Cxcl13, Cxcl16, Cxcl5, Cxcr6, Cysltr1, Cysltr2, Drd3, Edn1, Ednra, F2, Gal, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Kiss1r, Ltb4r1, Ltb4r2, Mc5r, Nmb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Rxfp1, S1pr1, S1pr3, Sstr3, Taar3, Tacr3, Uts2"
"Metabolism of RNA","1.900e-05","448","Adar, Akt1, Alyref, Aqr, Bms1, Bop1, Bud31, Chtop, Cnot1, Cnot10, Cnot2, Cnot4, Cnot6, Cnot6l, Cnot7, Cpsf1, Cpsf3, Cpsf4, Cpsf6, Cpsf7, Csnk1d, Cstf1, Cstf2, Ctnnbl1, Cwc27, Dcaf13, Dcp1a, Dcp2, Ddx21, Ddx39b, Ddx47, Ddx49, Ddx6, Dhx15, Dhx37, Dhx9, Dis3, Dnajc8, Eif4a1, Eif4a2, Eif4a3, Eif4b, Eif4e, Eif4g1, Emg1, Ercc3, Exosc3, Exosc4, Exosc5, Exosc7, Exosc9, Fbl, Fcf1, Ftsj3, Fus, Gemin5, Gle1, Gpkow, Gtf2f1, Gtf2h1, Gtf2h4, Heatr1, Hnrnpa2b1, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpul1, Hspa8, Hspb1, Imp4, Khsrp, Lsm11, Lsm2, Lsm4, Ltv1, Magoh, Mphosph6, Mtrex, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nol11, Nol9, Nop56, Nop58, Nudt21, Nup133, Nup155, Nup188, Nup214, Nup35, Nup43, Nup50, Nup62, Nup88, Nup93, Nxf7, Paip1, Papola, Pcbp1, Pcf11, Pdcd11, Phf5a, Pno1, Poldip3, Polr2b, Polr2d, Polr2e, Polr2h, Ppie, Ppil1, Ppil3, Prpf19, Prpf3, Prpf4, Prpf40a, Prpf8, Psma1, Psma2, Psma5, Psma7, Psmb1, Psmb4, Psmb6, Psmb8, Psmb9, Psmc3, Psmc5, Psmd1, Psmd11, Psmd13, Psmd14, Psme2b, Psme3, Psme4, Psmf1, Puf60, Rae1, Rbm17, Rbm42, Rbm5, Rbm8a, Rbmx, Rcl1, Rpp21, Rpp40, Rrp9, Sarnp, Sart1, Set, Sf3a1, Sf3b4, Sf3b5, Sf3b6, Smg1, Smg5, Smg6, Smg8, Smg9, Snrnp27, Snrnp70, Snrpa, Snrpa1, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpg, Snu13, Snupn, Srrm2, Srsf11, Srsf2, Srsf5, Sympk, Tbl3, Tgs1, Thoc6, Thoc7, Tnks1bp1, Tsr1, Tut4, U2surp, Ubc, Upf2, Usp39, Utp14a, Utp15, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr33, Wdr43, Wdr46, Wdr61, Wdr75, Wdr77, Wtap, Xab2, Xpo1, Ybx1, Ywhab"
"Peptide ligand-binding receptors","3.443e-05","174","Anxa1, Apln, C3, C3ar1, C5ar1, Cck, Cckar, Ccl11, Ccl25, Ccl28, Ccl4, Ccl6, Ccl7, Ccr5, Cx3cl1, Cxcl1, Cxcl13, Cxcl16, Cxcl5, Cxcr6, Edn1, Ednra, F2, Gal, Gpr37l1, Hebp1, Kel, Kiss1r, Mc5r, Nmb, Npy, Npy1r, Penk, Pmch, Pyy, Rxfp1, Sstr3, Tacr3, Uts2"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC","5.064e-04","36","B2m, Calr, Canx, Erap1, H2-K1, H2-Q4, H2-Q6, H2-Q7, Pdia3, Sec23a, Sec24c, Sec31a, Tap1, Tap2, Tapbp"
"G alpha (i) signalling events","1.547e-03","257","Adcy7, Adra2a, Anxa1, Apln, C3, C3ar1, C5ar1, Calm2, Ccl11, Ccl25, Ccl28, Ccl4, Ccl6, Ccr1, Ccr5, Cx3cl1, Cxcl1, Cxcl13, Cxcl16, Cxcl5, Cxcr6, Drd3, Gabbr1, Gal, Gnaq, Gnat2, Gnb5, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Gpsm2, Hebp1, Htr1d, Npy, Npy1r, Pde4c, Pde4d, Penk, Plcb1, Plcb3, Plcb4, Pmch, Ppp1r1b, Ppp2ca, Ppp2r1a, Prkaca, Prkar1a, Prkar2b, Prkcd, Prkcg, Pyy, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs7, Rgs9, S1pr3, Src, Sstr3, Tas2r118"
"Processing of Capped Intron-Containing Pre-mRNA","2.451e-03","218","Alyref, Aqr, Bud31, Chtop, Cpsf1, Cpsf3, Cpsf4, Cpsf6, Cpsf7, Cstf1, Cstf2, Ctnnbl1, Cwc27, Ddx39b, Dhx15, Dhx9, Dnajc8, Eif4a3, Eif4e, Fus, Gle1, Gpkow, Gtf2f1, Hnrnpa2b1, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpul1, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Ndc1, Nudt21, Nup133, Nup155, Nup188, Nup214, Nup35, Nup43, Nup50, Nup62, Nup88, Nup93, Nxf7, Papola, Pcbp1, Pcf11, Phf5a, Poldip3, Polr2b, Polr2d, Polr2e, Polr2h, Ppie, Ppil1, Ppil3, Prpf19, Prpf3, Prpf4, Prpf40a, Prpf8, Puf60, Rae1, Rbm17, Rbm42, Rbm5, Rbm8a, Rbmx, Sarnp, Sart1, Sf3a1, Sf3b4, Sf3b5, Sf3b6, Snrnp27, Snrnp70, Snrpa, Snrpa1, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpg, Snu13, Srrm2, Srsf11, Srsf2, Srsf5, Sympk, Thoc6, Thoc7, U2surp, Usp39, Wdr33, Wtap, Xab2, Ybx1"
"Class C/3 (Metabotropic glutamate/pheromone receptors)","6.583e-03","30","Gabbr1, Gabbr2, Tas2r118"
"mRNA Splicing - Major Pathway","9.606e-03","162","Alyref, Aqr, Bud31, Cpsf1, Cpsf3, Cpsf4, Cpsf6, Cpsf7, Cstf1, Cstf2, Ctnnbl1, Cwc27, Dhx15, Dhx9, Dnajc8, Eif4a3, Fus, Gpkow, Gtf2f1, Hnrnpa2b1, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpul1, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Nudt21, Papola, Pcbp1, Pcf11, Phf5a, Polr2b, Polr2d, Polr2e, Polr2h, Ppie, Ppil1, Ppil3, Prpf19, Prpf3, Prpf4, Prpf40a, Prpf8, Puf60, Rbm17, Rbm42, Rbm5, Rbm8a, Rbmx, Sart1, Sf3a1, Sf3b4, Sf3b5, Sf3b6, Snrnp27, Snrnp70, Snrpa, Snrpa1, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpg, Snu13, Srrm2, Srsf11, Srsf2, Srsf5, Sympk, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"Extracellular matrix organization","1.202e-02","224","A2m, Adam10, Bgn, Bmp2, Bmp4, Capn13, Capn2, Capn3, Capn5, Capn8, Ceacam1, Cma1, Col11a2, Col12a1, Col14a1, Col15a1, Col18a1, Col20a1, Col23a1, Col4a1, Col4a2, Col4a6, Col5a2, Col6a6, Col7a1, Col9a3, Ctrb1, Ctsk, Ctsl, Ctss, F11r, Fbln5, Fn1, Furin, Icam2, Icam4, Icam5, Itga1, Itga2b, Itga5, Itgav, Itgb7, Itgb8, Loxl1, Loxl3, Ltbp1, Matn4, Mfap2, Mfap4, Mmp11, Mmp12, Mmp14, Mmp17, Mmp24, Mmp25, Mmp9, Nid1, P3h3, P4ha1, P4ha2, Pcolce2, Pxdn, Scube1, Sdc3, Sh3pxd2a, Sparc, Spock3, Tgfb1, Timp1, Tmprss6, Tnc, Tnn, Tnxb"
"mRNA Splicing","1.202e-02","168","Alyref, Aqr, Bud31, Cpsf1, Cpsf3, Cpsf4, Cpsf6, Cpsf7, Cstf1, Cstf2, Ctnnbl1, Cwc27, Dhx15, Dhx9, Dnajc8, Eif4a3, Fus, Gpkow, Gtf2f1, Hnrnpa2b1, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpul1, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Nudt21, Papola, Pcbp1, Pcf11, Phf5a, Polr2b, Polr2d, Polr2e, Polr2h, Ppie, Ppil1, Ppil3, Prpf19, Prpf3, Prpf4, Prpf40a, Prpf8, Puf60, Rbm17, Rbm42, Rbm5, Rbm8a, Rbmx, Sart1, Sf3a1, Sf3b4, Sf3b5, Sf3b6, Snrnp27, Snrnp70, Snrpa, Snrpa1, Snrpb, Snrpc, Snrpd1, Snrpd2, Snrpg, Snu13, Srrm2, Srsf11, Srsf2, Srsf5, Sympk, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"G alpha (q) signalling events","1.247e-02","190","Abhd6, Anxa1, Btk, Cck, Cckar, Ccl6, Chrm3, Creb1, Cysltr1, Cysltr2, Dgke, Dgkg, Dgkh, Dgki, Dgkq, Edn1, Ednra, Egfr, F2, Gnaq, Gnb5, Gng12, Gng2, Gng4, Grb2, Hbegf, Hrh1, Itpr2, Kalrn, Kiss1r, Ltb4r1, Ltb4r2, Mgll, Nmb, P2ry1, Pik3ca, Pik3r3, Plcb1, Plcb3, Plcb4, Pmch, Prkcd, Prkce, Prkch, Prkcq, Ptafr, Rgs1, Rgs13, Rgs16, Rgs17, Rgs19, Rgs2, Sos1, Tacr3, Uts2"
"ER-Phagosome pathway","1.283e-02","29","B2m, Calr, H2-K1, H2-Q4, H2-Q6, H2-Q7, Pdia3, Stx4a, Tap1, Tap2, Tapbp"
"Major pathway of rRNA processing in the nucleolus and cytosol","2.906e-02","86","Bms1, Bop1, Csnk1d, Dcaf13, Ddx21, Ddx47, Ddx49, Ddx52, Dhx37, Dis3, Ebna1bp2, Emg1, Exosc2, Exosc3, Exosc4, Exosc5, Exosc7, Exosc9, Fbl, Fcf1, Ftsj3, Heatr1, Imp4, Ltv1, Mphosph6, Mtrex, Ncl, Nip7, Nob1, Nol11, Nol9, Nop56, Nop58, Pdcd11, Pno1, Rcl1, Rpp14, Rpp21, Rpp40, Rrp9, Snu13, Tbl3, Tsr1, Utp14a, Utp15, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr43, Wdr46, Wdr75"
"rRNA processing","2.906e-02","86","Bms1, Bop1, Csnk1d, Dcaf13, Ddx21, Ddx47, Ddx49, Ddx52, Dhx37, Dis3, Ebna1bp2, Emg1, Exosc2, Exosc3, Exosc4, Exosc5, Exosc7, Exosc9, Fbl, Fcf1, Ftsj3, Heatr1, Imp4, Ltv1, Mphosph6, Mtrex, Ncl, Nip7, Nob1, Nol11, Nol9, Nop56, Nop58, Pdcd11, Pno1, Rcl1, Rpp14, Rpp21, Rpp40, Rrp9, Snu13, Tbl3, Tsr1, Utp14a, Utp15, Utp18, Utp25, Utp3, Utp6, Wdr3, Wdr43, Wdr46, Wdr75"
