"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Olfactory Signaling Pathway","1.818e-07","77","Olfr15, Olfr307, Olfr411, Olfr684, Olfr982"
"Metabolism of RNA","8.996e-05","448","Adar, Apobec3, Aqr, Bms1, Bop1, Bud23, Cdc5l, Cdk7, Chtop, Cnot1, Cnot2, Cnot4, Cnot6, Cnot6l, Cpsf1, Cpsf2, Csnk1e, Cstf1, Cstf2, Dcaf13, Dcps, Ddx20, Ddx21, Ddx23, Ddx39b, Ddx46, Ddx49, Dhx9, Dis3, Dnajc8, Eif4a1, Eif4a2, Eif4a3, Eif4b, Eif4e, Eif4g1, Emg1, Ercc2, Exosc1, Exosc10, Exosc4, Fbl, Fip1l1, Ftsj3, Fus, Gemin2, Gemin6, Gle1, Gspt1, Gtf2f1, Gtf2h2, Heatr1, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnph2, Hnrnpl, Hnrnpr, Hspa1b, Hspa8, Hspb1, Imp3, Isg20l2, Khsrp, Lsm10, Lsm11, Lsm4, Lsm7, Ltv1, Magoh, Mettl14, Mnat1, Mphosph10, Mphosph6, Ncbp1, Ncl, Nip7, Noc4l, Nol6, Nop58, Nudt21, Nup133, Nup155, Nup214, Nup35, Nup43, Nup88, Nup98, Nupl2, Nxf1, Parn, Pcbp1, Pcbp2, Pcf11, Pelp1, Phf5a, Plrg1, Poldip3, Polr2b, Polr2e, Polr2h, Ppie, Ppil3, Ppil4, Ppwd1, Prcc, Prkca, Prpf19, Prpf31, Prpf38a, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmc1, Psmc2, Psmc3, Psmc5, Psmc6, Psmd13, Psmd6, Psmd8, Psme3, Psmf1, Puf60, Pwp2, Ranbp2, Rbm22, Rbm42, Rbm5, Rbm8a, Rbmx, Rpp30, Rpp40, Sart1, Sec13, Seh1l, Sf3a1, Sf3b3, Smg6, Smg7, Smg8, Smn1, Smndc1, Snrpb, Snrpd1, Snrpd2, Snrpd3, Snrpe, Snrpf, Snw1, Srrm1, Srrm2, Srsf2, Srsf5, Srsf7, Srsf9, Supt5, Sympk, Thoc2, Tnfsf13, Tnpo1, Tra2b, Tut7, U2af1l4, U2af2, Upf2, Utp25, Utp3, Utp4, Utp6, Wdr18, Wdr33, Wdr36, Wdr43, Wtap, Xab2, Xpo1, Ybx1, Ywhaz, Zcrb1, Zfp36"
"Defensins","3.650e-04","27","Ccr6, Cd4, Defb18, Prss2, Tlr2"
"Cellular responses to stress","2.388e-02","413","Actr1a, Akt1s1, Alb, Anapc1, Anapc10, Anapc11, Anapc7, Ar, Arnt, Asf1a, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0d2, Atp6v0e, Atp6v0e2, Atp6v1a, Atp6v1b2, Atp6v1g1, Bag1, Bag2, Bag3, Bag4, Bag5, Cabin1, Capza2, Capzb, Castor1, Ccne1, Ccs, Cdc23, Cdk2, Cdk4, Cdkn2b, Cebpb, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cryab, Cul1, Cul2, Cyba, Cybb, Cycs, Dctn2, Dctn3, Dctn4, Dctn5, Dnaja1, Dnaja2, Dnajb6, Dync1h1, Dync1li1, Dynll1, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt2, Eif2ak3, Eif2s1, Eif2s3x, Elob, Ep300, Ep400, Epas1, Erf, Ets2, Fkbp4, Fkbp5, Fnip1, Fnip2, Fos, Gpx1, Gpx2, Gpx3, Gsr, H13, Hbb-bs, Hbb-bt, Hdac3, Hif1a, Hira, Hmox1, Hsbp1, Hsf1, Hsp90aa1, Hspa12a, Hspa13, Hspa1b, Hspa2, Hspa5, Hspa8, Hsph1, Itfg2, Kdm6b, Lamtor2, Lamtor3, Limd1, Mafk, Map2k3, Map2k4, Map2k7, Map3k5, Mapk11, Mapkapk2, Mdm4, Mink1, Mios, Mre11a, Mul1, Ncf1, Ncf4, Ncoa2, Ncor2, Ndc1, Ndufa4, Nfe2l2, Nprl2, Nprl3, Nup133, Nup153, Nup155, Nup210, Nup214, Nup35, Nup43, Nup54, Nup88, Nup98, Nupl2, Prdx2, Prdx5, Prdx6, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmc1, Psmc2, Psmc3, Psmc5, Psmc6, Psmd10, Psmd13, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1, Ranbp2, Rb1, Rbbp7, Rbx1, Rraga, Rragd, Rxra, Sco1, Sco2, Sec13, Seh1l, Sesn1, Sh3bp4, Sin3a, Sin3b, Sirt1, Skp2, Sod1, Sod3, St13, Stip1, Tcirg1, Tlr4, Tpr, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2b, Tubb4a, Tubb4b, Tubb6, Txn1, Txn2, Txnrd2, Ube2d3, Ube2e1, Ube2s, Ubn1, Vcp, Xpo1, Ywhae"
"Translation","2.388e-02","60","Apeh, Aurkaip1, Chchd1, Dap3, Eef1a1, Eef1b2, Eef1d, Eef1g, Eif2b3, Eif2b5, Eif2s1, Eif2s3x, Eif3a, Eif3b, Eif3d, Eif3e, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4ebp1, Eif4g1, Eif4h, Gfm1, Gspt1, Oxa1l, Ppa1, Ptcd3, Srp68, Srp9, Trmt112"
"Cellular responses to stimuli","2.428e-02","416","Actr1a, Akt1s1, Alb, Anapc1, Anapc10, Anapc11, Anapc7, Ar, Arnt, Asf1a, Atf6, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0d2, Atp6v0e, Atp6v0e2, Atp6v1a, Atp6v1b2, Atp6v1g1, Bag1, Bag2, Bag3, Bag4, Bag5, Cabin1, Capza2, Capzb, Castor1, Ccne1, Ccs, Cdc23, Cdk2, Cdk4, Cdkn2b, Cebpb, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cryab, Cul1, Cul2, Cyba, Cybb, Cycs, Dctn2, Dctn3, Dctn4, Dctn5, Dnaja1, Dnaja2, Dnajb6, Dync1h1, Dync1li1, Dynll1, Dynll2, Eed, Eef1a1, Egln2, Egln3, Ehmt2, Eif2ak3, Eif2s1, Eif2s3x, Elob, Ep300, Ep400, Epas1, Erf, Ets2, Fkbp4, Fkbp5, Fnip1, Fnip2, Fos, Gpx1, Gpx2, Gpx3, Gsr, H13, Hbb-bs, Hbb-bt, Hdac3, Hif1a, Hira, Hmox1, Hsbp1, Hsf1, Hsp90aa1, Hspa12a, Hspa13, Hspa1b, Hspa2, Hspa5, Hspa8, Hsph1, Itfg2, Kdm6b, Lamtor2, Lamtor3, Limd1, Mafk, Map2k3, Map2k4, Map2k7, Map3k5, Mapk11, Mapkapk2, Mdm4, Mink1, Mios, Mre11a, Mt1, Mt2, Mul1, Ncf1, Ncf4, Ncoa2, Ncor2, Ndc1, Ndufa4, Nfe2l2, Nprl2, Nprl3, Nup133, Nup153, Nup155, Nup210, Nup214, Nup35, Nup43, Nup54, Nup88, Nup98, Nupl2, Prdx2, Prdx5, Prdx6, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmc1, Psmc2, Psmc3, Psmc5, Psmc6, Psmd10, Psmd13, Psmd3, Psmd4, Psmd6, Psmd8, Psme3, Psmf1, Ranbp2, Rb1, Rbbp7, Rbx1, Rraga, Rragd, Rxra, Sco1, Sco2, Sec13, Seh1l, Sesn1, Sh3bp4, Sin3a, Sin3b, Sirt1, Skp2, Sod1, Sod3, St13, Stip1, Tcirg1, Tlr4, Tpr, Trp53, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2b, Tubb4a, Tubb4b, Tubb6, Txn1, Txn2, Txnrd2, Ube2d3, Ube2e1, Ube2s, Ubn1, Vcp, Xpo1, Ywhae"
"UCH proteinases","2.646e-02","74","Actg1, Actr8, Adrm1, Asxl2, Bap1, Bard1, Hcfc1, Ino80, Ino80d, Kdm1b, Mbd5, Ogt, Psma2, Psma3, Psma6, Psma7, Psmb3, Psmb4, Psmb5, Psmc1, Psmc2, Psmc3, Psmc5, Psmc6, Psmd13, Psmd8, Psme3, Psmf1, Ruvbl1, Senp8, Tfpt"
"Neutrophil degranulation","3.418e-02","473","Acaa1b, Acly, Acpp, Adam8, Adgre5, Adgrg3, Agpat2, Ahsg, Alad, Aldoa, Aldoc, Ampd3, Anxa2, Ap1m1, Apeh, Arl8a, Arpc5, Arsa, Arsb, Atg7, Atp6ap2, Atp6v0c, Atp8a1, Atp8b4, B2m, Bri3, Bst1, Bst2, C3, C3ar1, C5ar1, Cab39, Cand1, Cant1, Cap1, Cct2, Cd14, Cd177, Cd300a, Cd33, Cd44, Cd47, Cd63, Cd68, Cd93, Cda, Cdk13, Ceacam1, Cfp, Chit1, Clec12a, Clec4d, Clec4n, Cnn2, Copb1, Cotl1, Cpne3, Cr1l, Crispld2, Csnk2b, Cst3, Cstb, Ctsb, Ctsd, Ctsh, Ctss, Ctsz, Cxcl2, Cxcr2, Cyb5r3, Cyba, Cybb, Ddost, Degs1, Dera, Dpp7, Dync1h1, Dync1li1, Dynll1, Dynlt1f, Eef1a1, Erp44, Fabp5, Fcer1g, Fcgr4, Fcna, Fuca2, Gaa, Gca, Ggh, Glb1, Gm2a, Golga7, Gyg, H2-K1, H2-Q4, H2-Q7, Hbb-bs, Hbb-bt, Hebp2, Hgsnat, Hk3, Hmgb1, Hp, Hsp90aa1, Hspa1b, Hspa8, Huwe1, Idh1, Igf2r, Impdh1, Impdh2, Iqgap2, Ist1, Itgal, Itgb2, Jup, Lamp2, Lamtor2, Lamtor3, Lilra5, Lyz2, Man2b1, Mcemp1, Mgam, Mgst1, Mif, Mmp9, Naprt, Nckap1l, Ndufc2, Nfasc, Nfkb1, Nme2, Npc2, Ormdl3, Padi2, Pdap1, Pdxk, Pglyrp1, Pgm2, Pgrmc1, Pigr, Pirb, Pkm, Pkp1, Plac8, Plau, Plaur, Ppia, Ppie, Prdx6, Psap, Psma2, Psmc2, Psmc3, Psmd13, Psmd3, Psmd6, Ptafr, Ptges2, Ptpn6, Pygl, Rab14, Rab18, Rab24, Rab37, Rab3d, Rab5b, Rab5c, Rac1, Rap2c, Rhoa, Rhof, Rock1, S100a11, S100a9, Serpinb1a, Serpinb6a, Sirpa, Slc11a1, Slc15a4, Slpi, Snap23, Stbd1, Stk10, Svip, Syngr1, Tcirg1, Ticam2, Tmbim1, Tmem30a, Tmem63a, Ttr, Tubb4b, Tubb5, Tyrobp, Ubr4, Vamp8, Vat1, Vcp, Vnn1, Xrcc5, Ypel5"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","3.418e-02","100","Acad9, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Cycs, Dmac2l, Etfa, Etfdh, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa4, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs8, Ndufv1, Nubpl, Sco1, Sco2, Slc25a14, Slc25a27, Timmdc1, Tmem186, Ucp3, Uqcr10, Uqcr11, Uqcrc1, Uqcrq"
"The citric acid (TCA) cycle and respiratory electron transport","3.418e-02","146","Acad9, Aco2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Cycs, D2hgdh, Dld, Dlst, Dmac2l, Etfa, Etfdh, Fahd1, Glo1, Ldha, Ldhal6b, Ldhb, Mdh2, Me1, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa4, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs8, Ndufv1, Nubpl, Ogdh, Pdhb, Pdhx, Pdk1, Pdp2, Ppard, Rxra, Sco1, Sco2, Sdhc, Sdhd, Slc25a14, Slc25a27, Sucla2, Suclg1, Suclg2, Timmdc1, Tmem186, Ucp3, Uqcr10, Uqcr11, Uqcrc1, Uqcrq"
