"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Olfactory Signaling Pathway","6.772e-06","77","Olfr16, Olfr330"
"Antigen processing-Cross presentation","2.254e-04","86","B2m, Calr, Cybb, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Mrc2, Psma1, Psma6, Psmb10, Psmb2, Psmb3, Psmb4, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd3, Psmd4, Psmd5, Psmd6, Psmd8, Psme1, Psmf1, Sec22b, Snap23, Tap1, Tap2, Tapbp, Vamp3"
"Class C/3 (Metabotropic glutamate/pheromone receptors)","3.843e-04","30","Gabbr1, Gabbr2, Grm5"
"ER-Phagosome pathway","3.843e-04","29","B2m, H2-K1, H2-Q6, H2-Q7, H2-T23, Tap1, Tap2, Tapbp, Vamp3"
"Cellular response to chemical stress","3.567e-03","147","Akt1, Akt2, Akt3, Alb, Blvra, Cat, Cox11, Cox14, Cox19, Cox5a, Cox6a1, Cox7b, Cox7c, Cybb, Gpx1, Gpx2, Gpx3, H13, Hbb-bs, Helz2, Hmox2, Keap1, Med1, Nfe2l2, Prdx3, Prdx5, Psma1, Psma6, Psmb10, Psmb2, Psmb3, Psmb4, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd3, Psmd4, Psmd5, Psmd6, Psmd8, Psme1, Psmf1, Rxra, Sco1, Sco2, Sin3a, Sod1, Sod2, Srxn1, Taco1, Tbl1x, Txn1, Txnrd2, Ufd1, Vcp"
"Defensins","3.567e-03","27","Cd4, Defb18, Tlr1, Tlr2"
"The citric acid (TCA) cycle and respiratory electron transport","6.001e-03","146","Adhfe1, Atp5a1, Atp5b, Atp5d, Atp5k, Atp5o, Cox11, Cox14, Cox19, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Dlat, Dmac2l, Etfa, Etfb, Fahd1, Fh1, Idh3a, Idh3b, Mdh2, Me2, Ndufa10, Ndufa2, Ndufa8, Ndufab1, Ndufaf1, Ndufaf2, Ndufaf4, Ndufb10, Ndufb11, Ndufb4, Ndufs2, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ogdh, Pdha1, Pdhx, Rxra, Sco1, Sco2, Sdhb, Sdhc, Sdhd, Slc25a14, Suclg2, Taco1, Timmdc1, Ucp1, Ucp2, Uqcrc1, Uqcrc2, Vdac1"
"Endosomal/Vacuolar pathway","8.030e-03","20","B2m, H2-K1, H2-Q6, H2-Q7, H2-T23"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","8.804e-03","100","Atp5a1, Atp5b, Atp5d, Atp5k, Atp5o, Cox11, Cox14, Cox19, Cox5a, Cox6a1, Cox6b1, Cox7b, Cox7c, Dmac2l, Etfa, Etfb, Ndufa10, Ndufa2, Ndufa8, Ndufab1, Ndufaf1, Ndufaf2, Ndufaf4, Ndufb10, Ndufb11, Ndufb4, Ndufs2, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Sco1, Sco2, Slc25a14, Taco1, Timmdc1, Ucp1, Ucp2, Uqcrc1, Uqcrc2"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC","1.953e-02","36","B2m, H2-K1, H2-Q6, H2-Q7, H2-T23, Sec23a, Tap1, Tap2, Tapbp"
"Antimicrobial peptides","2.162e-02","64","Clu, Itln1, Ltf, Lyz2, Reg3b, Reg3g, S100a8, Slc11a1, Tlr1, Tlr2"
"Interleukin-1 family signaling","2.859e-02","107","Gsdmd, Ikbkg, Il1rl1, Il33, Irak2, Lrrc14, Myd88, Nfkb2, Nkiras2, Nlrc5, Psma1, Psma6, Psmb10, Psmb2, Psmb3, Psmb4, Psmb6, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc5, Psmd3, Psmd4, Psmd5, Psmd6, Psmd8, Psme1, Psmf1, Stat3, Tab1, Tbk1, Ube2n, Ube2v1, Usp18"
"Neutrophil degranulation","4.293e-02","473","Acpp, Actr10, Adgrg3, Aga, Agpat2, Aldh3b1, Anxa2, Ap2a2, Apaf1, Apeh, Atp6v0c, Atp8a1, B2m, B4galt1, Bst2, Cab39, Cant1, Cap1, Capn1, Cat, Cct8, Cd33, Cd93, Cfd, Cotl1, Cpne1, Cpped1, Cst3, Ctsb, Ddx3x, Dera, Diaph1, Dynll1, Dynlt1f, Eef1a1, Fabp5, Gca, Gdi2, Gns, Gsdmd, Gsn, H2-K1, H2-Q4, H2-Q6, H2-Q7, H2-T23, Hbb-bs, Hmox2, Hp, Hspa1a, Hspa8, Iqgap2, Jup, Kcnab2, Lta4h, Mapk1, Mvp, Ncstn, Ostf1, Pa2g4, Pafah1b2, Pirb, Pkm, Plac8, Plau, Pnp, Ppia, Psmb7, Psmc2, Psmc3, Psmd6, Ptges2, Pygb, Rab18, Rab27a, Rab37, Rab3a, Rab3d, Rab5c, Rab7, Rap1b, Rap2c, Rhoa, Rhof, S100a11, Serpinb1a, Serpinb6a, Tcirg1, Tmem63a, Ttr, Tubb4b, Tubb5, Unc13d, Vapa, Vcp, Vps35l"
"Interferon Signaling","4.424e-02","62","Ddx58, Eif2ak2, Eif4a2, Eif4e2, Eif4g1, Ifngr2, Irf9, Isg15, Mapk3, Pde12, Ptpn11, Socs3, Uba7, Ube2l6, Ube2n, Usp18"
"Keratinization","4.424e-02","109","Cdsn, Cela2a, Dsc2, Dsg2, Jup, Krt13, Krt18, Krt19, Krt20, Krt7, Krt8, Perp, Pkp3"
