"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Metabolism of RNA","1.546e-10","448","Aaas, Adar, Adarb1, Bcas2, Bud31, C1d, Cd2bp2, Cdk7, Cherp, Chtop, Cnot6, Cnot6l, Cnot9, Cpsf1, Cpsf3, Cpsf7, Crnkl1, Csnk1e, Cstf2, Cstf3, Cwc15, Cwc22, Ddx20, Ddx21, Ddx46, Dhx15, Dhx16, Dnajc8, Ebna1bp2, Eif4a1, Eif4a2, Eif4a3, Eif4b, Eif4g1, Elavl1, Emg1, Ercc2, Exosc1, Exosc2, Exosc3, Exosc7, Exosc8, Exosc9, Fcf1, Fip1l1, Ftsj3, Fus, Gemin4, Gnl3, Gtf2f1, Gtf2f2, Gtf2h3, Gtf2h5, Heatr1, Hnrnpa0, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hnrnpu, Hnrnpul1, Hspa8, Hspb1, Khsrp, Lsm11, Lsm4, Magoh, Mettl14, Mnat1, Mphosph10, Mphosph6, Mtrex, Ncbp1, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nol6, Nol9, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup93, Nup98, Nxf1, Nxt1, Pabpc1, Pabpn1, Pan2, Papola, Parn, Patl1, Pcbp2, Pcf11, Pelp1, Poldip3, Polr2b, Polr2e, Polr2f, Pom121, Ppie, Ppil4, Ppp2ca, Ppp2r2a, Pqbp1, Prcc, Prkcd, Prmt5, Prpf3, Prpf4, Prpf40a, Prpf8, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc5, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Psme2b, Psme3, Psme4, Puf60, Pwp2, Rae1, Rbm17, Rbm22, Rbm42, Rbm5, Rbmx, Riok1, Riok2, Sart1, Senp3, Sf3a3, Sf3b3, Skiv2l, Smg1, Smg5, Smn1, Snrnp200, Snrnp25, Snrnp35, Snrnp70, Snrpa, Snrpc, Snrpe, Snrpf, Snw1, Srrm1, Srrm2, Srrt, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, Supt5, Tex10, Tgs1, Thoc2, Thoc7, Tnks1bp1, Tnpo1, Tpr, U2af1, Ubc, Utp15, Utp25, Utp6, Wbp4, Wdr18, Wdr33, Wdr36, Wdr43, Wdr61, Wdr77, Xpo1, Ybx1, Ywhab, Zmat5"
"Formation of the cornified envelope","1.509e-06","79","Cdsn, Dsc1, Dsc2, Dsc3, Dsg3, Dsp, Evpl, Jup, Kazn, Klk13, Krt1, Krt10, Krt13, Krt15, Krt16, Krt4, Krt5, Krt80, Lipm, Perp, Pkp1, Pkp2, Pkp3, Ppl, Spink5, Tgm1"
"Processing of Capped Intron-Containing Pre-mRNA","1.509e-06","218","Aaas, Bcas2, Bud31, Cherp, Chtop, Cpsf1, Cpsf3, Cpsf7, Crnkl1, Cstf2, Cstf3, Cwc15, Cwc22, Ddx46, Dhx15, Dhx16, Dnajc8, Eif4a3, Fip1l1, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hnrnpu, Hspa8, Lsm4, Mettl14, Ncbp1, Ncbp2, Ndc1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Nxf1, Nxt1, Pabpn1, Papola, Pcbp2, Pcf11, Poldip3, Polr2b, Polr2e, Polr2f, Pom121, Ppie, Ppil4, Pqbp1, Prpf3, Prpf4, Prpf40a, Prpf8, Rae1, Rbm17, Rbm22, Rbm5, Rbmx, Sart1, Sf3a3, Sf3b3, Snrnp25, Snrnp35, Snrnp70, Snrpa, Snrpe, Snrpf, Snw1, Srrm1, Srrm2, Srrt, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, Thoc2, Thoc7, Tpr, U2af1, Wbp4, Ybx1, Zmat5"
"mRNA Splicing","6.660e-06","168","Bcas2, Bud31, Cd2bp2, Cherp, Cpsf1, Cpsf3, Cpsf7, Crnkl1, Cstf2, Cstf3, Cwc15, Cwc22, Ddx46, Dhx15, Dhx16, Dnajc8, Eif4a3, Elavl1, Fip1l1, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hnrnpu, Hnrnpul1, Hspa8, Lsm4, Magoh, Ncbp1, Ncbp2, Pabpn1, Papola, Pcbp2, Pcf11, Polr2b, Polr2e, Polr2f, Ppie, Ppil4, Pqbp1, Prcc, Prpf3, Prpf4, Prpf40a, Prpf8, Puf60, Rbm17, Rbm22, Rbm42, Rbm5, Rbmx, Sart1, Sf3a3, Sf3b3, Snrnp200, Snrnp25, Snrnp35, Snrnp70, Snrpa, Snrpc, Snrpe, Snrpf, Snw1, Srrm1, Srrm2, Srrt, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, U2af1, Wbp4, Wdr33, Ybx1, Zmat5"
"mRNA Splicing - Major Pathway","9.055e-06","162","Bcas2, Bud31, Cd2bp2, Cherp, Cpsf1, Cpsf3, Cpsf7, Crnkl1, Cstf2, Cstf3, Cwc15, Cwc22, Ddx46, Dhx15, Dhx16, Dnajc8, Eif4a3, Elavl1, Fip1l1, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa2b1, Hnrnpc, Hnrnpd, Hnrnph1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpr, Hnrnpu, Hnrnpul1, Hspa8, Lsm4, Magoh, Ncbp1, Ncbp2, Pabpn1, Papola, Pcbp2, Pcf11, Polr2b, Polr2e, Polr2f, Ppie, Ppil4, Pqbp1, Prcc, Prpf3, Prpf4, Prpf40a, Prpf8, Puf60, Rbm17, Rbm22, Rbm42, Rbm5, Rbmx, Sart1, Sf3a3, Sf3b3, Snrnp200, Snrnp70, Snrpa, Snrpc, Snrpe, Snrpf, Snw1, Srrm1, Srrm2, Srrt, Srsf11, Srsf2, Srsf5, Srsf7, Srsf9, U2af1, Wbp4, Wdr33, Ybx1"
"Cellular responses to stimuli","3.543e-05","416","Aaas, Abcc1, Actr1a, Ajuba, Akt2, Akt3, Anapc11, Anapc2, Anapc5, Apob, Atp6v0b, Atp6v0c, Atp6v1a, Atp6v1b2, Atp6v1d, Atp6v1f, Atp6v1h, Bach1, Bag4, Bag5, Cabin1, Camk2g, Capzb, Carm1, Castor1, Castor2, Cat, Cdk2, Cdk4, Cdkn1a, Cdkn1b, Cebpb, Cox14, Cox19, Cox4i1, Cox6a1, Cox6b1, Cox8a, Cul1, Cul3, Cyba, Dctn3, Dctn4, Dctn6, Dnajb1, Dync1h1, Dync1i1, Dync1li1, Eef1a1, Egln2, Eif2ak3, Elob, Ep300, Epas1, Erf, Ern1, Ets1, Fkbp4, Fnip1, Fos, Fzr1, Gpx1, Gpx2, Gsr, Gstp1, H1f0, Hdac6, Hikeshi, Hira, Hmox2, Hsbp1, Hsf1, Hsp90aa1, Hsp90ab1, Hspa13, Hspa14, Hspa8, Jun, Limd1, Lmnb1, Lrpprc, Map1lc3b, Map2k4, Map2k7, Map4k4, Mapk1, Mapk14, Mapk8, Mapk9, Mbtps2, Mdm4, Med1, Mink1, Mios, Mt1, Mt2, Ndc1, Nfe2l2, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, P4hb, Pom121, Ppara, Prdx1, Prdx3, Prdx5, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Psme3, Psme4, Rae1, Rb1, Rbbp7, Rragc, Sesn1, Sin3a, Slc46a1, Smarcd3, Sod1, Sqstm1, Srxn1, Szt2, Tcirg1, Tgs1, Tpr, Tuba8, Tubb2a, Tubb2b, Tubb4b, Tubb6, Txn1, Ubc, Ube2d2a, Ufd1, Vcp, Vhl, Wdr24"
"Cellular responses to stress","6.016e-05","413","Aaas, Abcc1, Actr1a, Ajuba, Akt2, Akt3, Anapc11, Anapc2, Anapc5, Apob, Atp6v0b, Atp6v0c, Atp6v1a, Atp6v1b2, Atp6v1d, Atp6v1f, Atp6v1h, Bach1, Bag4, Bag5, Cabin1, Camk2g, Capzb, Carm1, Castor1, Castor2, Cat, Cdk2, Cdk4, Cdkn1a, Cdkn1b, Cebpb, Cox14, Cox19, Cox4i1, Cox6a1, Cox6b1, Cox8a, Cul1, Cul3, Cyba, Dctn3, Dctn4, Dctn6, Dnajb1, Dync1h1, Dync1i1, Dync1li1, Eef1a1, Egln2, Eif2ak3, Elob, Ep300, Epas1, Erf, Ern1, Ets1, Fkbp4, Fnip1, Fos, Fzr1, Gpx1, Gpx2, Gsr, Gstp1, H1f0, Hdac6, Hikeshi, Hira, Hmox2, Hsbp1, Hsf1, Hsp90aa1, Hsp90ab1, Hspa13, Hspa14, Hspa8, Jun, Limd1, Lmnb1, Lrpprc, Map1lc3b, Map2k4, Map2k7, Map4k4, Mapk1, Mapk14, Mapk8, Mapk9, Mbtps2, Mdm4, Med1, Mink1, Mios, Ndc1, Nfe2l2, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, P4hb, Pom121, Ppara, Prdx1, Prdx3, Prdx5, Psma3, Psma4, Psma6, Psmb4, Psmb8, Psmc3, Psmc6, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Psme3, Psme4, Rae1, Rb1, Rbbp7, Rragc, Sesn1, Sin3a, Slc46a1, Smarcd3, Sod1, Sqstm1, Srxn1, Szt2, Tcirg1, Tgs1, Tpr, Tuba8, Tubb2a, Tubb2b, Tubb4b, Tubb6, Txn1, Ubc, Ube2d2a, Ufd1, Vcp, Vhl, Wdr24"
"Cell-cell junction organization","2.720e-04","39","Actg1, Afdn, Cdh17, Cdh5, Ctnnb1, Ctnnd1, F11r, Jup, Nectin1, Nectin4, Pard3, Pard6g, Prkci"
"Mitotic Prophase","2.720e-04","65","Aaas, Golga2, Gorasp1, Gorasp2, Lmna, Lmnb1, Mapk1, Ncaph2, Ndc1, Nek9, Numa1, Nup107, Nup155, Nup37, Nup50, Nup62, Nup85, Nup98, Pom121, Rab1b, Rae1, Rb1, Rbm39, Smc4, Tpr"
"Neutrophil degranulation","2.720e-04","473","Acly, Acpp, Actr1b, Adam10, Agl, Agpat2, Alad, Aldoa, Anxa2, Atad3a, Atg7, Atp11b, Atp6ap2, Atp6v0a1, Atp6v0c, Atp6v1d, Atp8a1, Bri3, Bst2, Cab39, Calm4, Cand1, Cat, Cct8, Cd177, Cd36, Cd44, Cd63, Ceacam2, Cfd, Chil1, Chit1, Cmtm6, Cnn2, Commd3, Commd9, Copb1, Cpne1, Cpped1, Cr1l, Creg1, Csnk2b, Cst3, Ctsa, Ctsb, Ctsc, Ctsd, Cxcl3, Cyb5r3, Cyba, Cyfip1, Ddost, Ddx3x, Degs1, Dnajc5, Dpp7, Dsc1, Dsn1, Dsp, Dync1h1, Dync1li1, Ear10, Eef1a1, Fabp5, Fcgr4, Fgr, Fth1, Fuca1, Fuca2, Gdi2, Ggh, Glipr1, Gm2a, Golga7, Gpi1, Grn, Gsn, Gstp1, H2-K1, H2-M2, H2-M9, H2-Q6, Hebp2, Hmox2, Hpse, Hsp90aa1, Hsp90ab1, Hspa8, Huwe1, Idh1, Ifi204, Igf2r, Ilf2, Iqgap1, Iqgap2, Ist1, Itgav, Jup, Kcmf1, Krt1, Lamp2, Lta4h, Mapk1, Mapk14, Mcemp1, Mlec, Ms4a3, Ndufc2, Nhlrc3, Nme2, Npc2, Olr1, Ostf1, Pa2g4, Pdap1, Pgam1, Pgrmc1, Pkp1, Plau, Plaur, Ppbp, Ppia, Ppie, Prdx4, Prg2, Prg3, Prkcd, Psap, Psmc3, Psmd1, Psmd11, Psmd14, Psmd3, Psmd6, Psmd7, Ptges2, Ptx3, Pygb, Rab18, Rab24, Rab3d, Rab44, Rab4b, Rab6a, Rap2b, Rap2c, Rhoa, Rhog, Scamp1, Serpina1c, Serpinb12, Serpinb3a, Serpinb3b, Serpinb3c, Sh3glb2, Slc44a2, Slpi, Stom, Svip, Tcirg1, Ticam2, Tmbim1, Tmem179b, Tmem30a, Tmem63a, Tnfaip6, Tollip, Trappc1, Try10, Tubb4b, Vat1, Vcl, Vcp, Vps35l, Ypel5"
