"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"The citric acid (TCA) cycle and respiratory electron transport","2.919e-11","140","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Dlst, Etfa, Fh1, Glo1, Idh3a, Ldha, Mdh2, Me1, Me2, Ndufa12, Ndufa13, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs7, Ndufv3, Ogdh, Pdha1, Ppard, Rxra, Sdha, Sdhb, Sdhc, Sdhd, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","3.667e-09","96","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5g3, Atp5j, Atp5j2, Atp5k, Atp5l, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Etfa, Ndufa12, Ndufa13, Ndufa3, Ndufa6, Ndufa7, Ndufa8, Ndufab1, Ndufb10, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs7, Ndufv3, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Cellular response to chemical stress","3.394e-07","141","Akt1, Blvrb, Cox14, Cox19, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cul1, Cyba, Gpx1, Gpx2, Gsr, Gstp1, H13, Hbb-bs, Hdac3, Helz2, Hmox1, Mafk, Map1lc3b, Ncor2, Nfe2l2, Nudt2, P4hb, Prdx1, Prdx2, Prdx3, Prdx5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rxra, Smarcd3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Txn1, Ubc, Vcp"
"AUF1 (hnRNP D0) binds and destabilizes mRNA","1.215e-06","49","Eif4g1, Hspa1b, Hspa8, Pabpc1, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Asymmetric localization of PCP proteins","1.215e-06","54","Dvl2, Fzd5, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Ubc"
"GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","1.215e-06","46","Cul1, Nfe2l2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
"Downstream signaling events of B Cell Receptor (BCR)","1.757e-06","66","Calm1, Calm2, Cul1, Fkbp1a, Kras, Nfkbia, Nfkbib, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Rela, Ubc"
"Regulation of RUNX3 expression and activity","1.757e-06","49","Mdm2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd12, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Smurf1, Src, Ubc"
"Dectin-1 mediated noncanonical NF-kB signaling","1.797e-06","50","Cul1, Map3k14, Nfkb2, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc, Ube2m"
"Degradation of DVL","1.797e-06","50","Dvl2, Dvl3, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmb4, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd10, Psmd13, Psmd14, Psmd3, Psmd4, Psmd6, Psmd8, Psme2b, Psme3, Psmf1, Ubc"
