"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Mitotic Anaphase","1.472e-07","199","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mapre1, Ndc1, Nde1, Nudc, Nup107, Nup155, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Ppp2r5e, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Rcc1, Rcc2, Smc3, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"The citric acid (TCA) cycle and respiratory electron transport","1.472e-07","138","Atp5a1, Atp5b, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf2, Ndufaf3, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Sdhb, Sdhc, Sdhd, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrq, Vdac1"
"Mitotic Metaphase and Anaphase","1.690e-07","200","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mapre1, Ndc1, Nde1, Nudc, Nup107, Nup155, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Ppp2r5e, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Rcc1, Rcc2, Smc3, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"Cellular response to chemical stress","2.802e-07","139","Blvrb, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, H13, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Tbl1xr1, Txn1, Ubc, Vcp"
"mRNA Splicing","3.150e-07","167","Cd2bp2, Cdc5l, Clp1, Cpsf2, Crnkl1, Ctnnbl1, Cwc15, Ddx42, Dhx15, Dhx38, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm3, Lsm4, Lsm6, Lsm7, Magoh, Ncbp1, Pcbp1, Pcf11, Phf5a, Polr2e, Polr2f, Polr2h, Polr2i, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm17, Rnps1, Sf3b2, Sf3b5, Sf3b6, Snrnp35, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpf, Snu13, Srsf11, Srsf2, Srsf3, Srsf9, Sympk, Tra2b, Txnl4a, Wbp11, Wbp4, Ybx1"
"APC/C-mediated degradation of cell cycle proteins","3.648e-07","78","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Cdk2, Fzr1, Nek2, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","3.648e-07","67","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Fzr1, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","3.648e-07","67","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Regulation of mitotic cell cycle","3.648e-07","78","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Cdk2, Fzr1, Nek2, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"mRNA Splicing - Major Pathway","4.370e-07","161","Cd2bp2, Cdc5l, Clp1, Cpsf2, Crnkl1, Ctnnbl1, Cwc15, Ddx42, Dhx15, Dhx38, Fus, Gtf2f1, Gtf2f2, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnph2, Hnrnpk, Hnrnpl, Hnrnpu, Hnrnpul1, Hspa8, Isy1, Lsm3, Lsm4, Lsm6, Lsm7, Magoh, Ncbp1, Pcbp1, Pcf11, Phf5a, Polr2e, Polr2f, Polr2h, Polr2i, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm17, Rnps1, Sf3b2, Sf3b5, Sf3b6, Snrpa, Snrpa1, Snrpc, Snrpd1, Snrpd2, Snrpf, Snu13, Srsf11, Srsf2, Srsf3, Srsf9, Sympk, Tra2b, Txnl4a, Wbp11, Wbp4, Ybx1"
