"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Metabolism of RNA","1.064e-05","433","Alyref, Aqr, Bms1, C1d, Chtop, Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dcaf13, Ddx49, Ddx6, Dhx16, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Emg1, Ercc2, Ercc3, Exosc5, Exosc9, Fbl, Fus, Gpkow, Gtf2h4, Heatr1, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Hspb1, Khsrp, Lsm2, Lsm4, Lsm8, Ltv1, Magoh, Mphosph10, Mphosph6, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nol11, Nudt21, Nup155, Nup62, Paip1, Patl1, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppil1, Prcc, Prpf40a, Prpf8, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Puf60, Rbm42, Rbm5, Rbm8a, Rngtt, Rnps1, Rpp21, Rrp9, Sarnp, Senp3, Sf3b6, Smg5, Smg9, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snupn, Srrm2, Srsf11, Srsf2, Supt5, Sympk, Tbl3, Tgs1, Tnpo1, Txnl4a, U2surp, Upf2, Usp39, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr33, Wdr61, Wdr75, Xab2, Xpo1, Ybx1, Ywhaz"
"Extracellular matrix organization","9.373e-04","120","Adam10, Adam19, Adam8, App, Bmp4, Capn13, Capn5, Cd44, Ceacam1, Cma1, Col11a2, Col12a1, Col15a1, Col16a1, Col18a1, Col20a1, Col27a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a2, Col6a1, Col6a5, Col7a1, Col9a3, Ctrb1, Ctsk, Ctss, Emilin1, Fbn1, Itga1, Itga2, Itga2b, Itga5, Itga9, Itgav, Itgb3, Itgb7, Lama4, Loxl1, Ltbp1, Mfap4, Mmp14, Mmp9, Nid1, P4ha1, P4ha2, Phykpl, Plod1, Pxdn, Scube1, Sdc3, Sh3pxd2a, Spp1, Tgfb1, Tgfb2, Tmprss6, Tnn, Tnxb"
"GPCR downstream signalling","9.373e-04","217","Adcy7, Adcy9, Adra2a, Akap13, Akt3, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef3, Arhgef37, Arhgef38, Arhgef5, Arhgef6, Arrb2, C5ar1, Cckar, Ccl25, Ccr5, Cdk5, Creb1, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Daglb, Dgke, Dgkh, Drd3, Edn1, Edn3, F2, Fgd1, Gabbr1, Gna12, Gnaz, Gng4, Gng5, Gper1, Gpr37l1, Gpr68, Gpsm1, Grb2, Grk2, Grk3, Grk5, Hrh2, Htr4, Itga5, Itpr2, Kalrn, Kiss1r, Ltb4r1, Ltb4r2, Mgll, Nmb, Npb, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Plcb2, Plcb4, Plekhg2, Plxnb1, Ppbp, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Pyy, Ramp1, Rgs12, Rgs13, Rgs17, Rgs19, Rgs2, Rgs7, Rhoc, Sct, Shc1, Sos1, Sos2, Tas1r3, Tiam2, Vipr2"
"Signaling by GPCR","9.373e-04","227","Adcy7, Adcy9, Adra2a, Akap13, Akt3, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef3, Arhgef37, Arhgef38, Arhgef5, Arhgef6, Arrb2, C5ar1, Cckar, Ccl25, Ccr5, Cdk5, Creb1, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Daglb, Dgke, Dgkh, Drd3, Edn1, Edn3, F2, Fgd1, Gabbr1, Gna12, Gnaz, Gng4, Gng5, Gper1, Gpr35, Gpr37l1, Gpr68, Gpsm1, Grb2, Grk2, Grk3, Grk5, Hrh2, Htr4, Itga5, Itpr2, Kalrn, Kiss1r, Ltb4r1, Ltb4r2, Mgll, Nmb, Npb, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Plcb2, Plcb4, Plekhg2, Plxnb1, Ppbp, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Pyy, Ramp1, Rgs12, Rgs13, Rgs17, Rgs19, Rgs2, Rgs7, Rhoc, S1pr1, Sct, Shc1, Sos1, Sos2, Tas1r3, Tiam2, Ucn2, Vipr2"
"mRNA Splicing - Major Pathway","1.479e-03","160","Alyref, Aqr, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dhx16, Fus, Gpkow, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Lsm2, Lsm4, Lsm8, Magoh, Ncbp2, Nudt21, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rnps1, Sf3b6, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Srrm2, Srsf11, Srsf2, Sympk, Txnl4a, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"CDK-mediated phosphorylation and removal of Cdc6","5.438e-03","62","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Cdc6, Cdk2, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"APC/C-mediated degradation of cell cycle proteins","1.177e-02","74","Anapc11, Anapc2, Anapc5, Aurkb, Bub1b, Cdc14a, Cdc23, Cdc27, Cdk1, Cdk2, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","1.177e-02","63","Anapc11, Anapc2, Anapc5, Bub1b, Cdc23, Cdc27, Cdk1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Autodegradation of Cdh1 by Cdh1:APC/C","1.177e-02","58","Anapc11, Anapc2, Anapc5, Cdc23, Cdc27, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A","1.177e-02","62","Anapc11, Anapc2, Anapc5, Bub1b, Cdc23, Cdc27, Cdk1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
"Collagen formation","1.177e-02","38","Col11a2, Col12a1, Col15a1, Col16a1, Col20a1, Col4a1, Col4a2, Col4a6, Col5a2, Col6a5, Col7a1, Col9a3, Ctss, Loxl1, Mmp9, P4ha1, P4ha2, Plod1, Pxdn"
"G alpha (i) signalling events","1.177e-02","93","Adcy7, Adcy9, Adra2a, C5ar1, Ccl25, Ccr5, Cxcl13, Cxcl16, Cxcr6, Gabbr1, Gng4, Gpr37l1, Gpsm1, Pde4c, Penk, Plcb2, Plcb4, Ppp1r1b, Prkar2b, Prkcg, Pyy, Rgs12, Rgs13, Rgs17, Rgs19, Rgs7"
"GPCR ligand binding","1.177e-02","83","Adcyap1r1, Adm, Adora1, Adra2a, Adrb2, App, C5ar1, Cckar, Ccl25, Ccr5, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Drd3, Ece1, Edn1, Edn3, F2, Gabbr1, Gng12, Gng4, Gng5, Gper1, Gpr35, Gpr37l1, Gpr55, Gpr68, Hebp1, Hrh2, Htr4, Kiss1r, Ltb4r1, Ltb4r2, Nmb, Npb, Penk, Ppbp, Pyy, Ramp1, S1pr1, S1pr4, Sct, Tas1r3, Ucn2, Vipr2"
