"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"The citric acid (TCA) cycle and respiratory electron transport","3.416e-10","141","Aco2, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Fahd1, Glo1, Hagh, Idh3a, Idh3g, Ldha, Ldhb, Lrpprc, Me2, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Ogdh, Pdha1, Pdhb, Pdk2, Rxra, Sco2, Sdhb, Sdhd, Sucla2, Suclg1, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Cellular response to chemical stress","1.644e-08","138","Akt2, Bach1, Carm1, Cat, Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cul1, Cul3, Ep300, Fabp1, Gpx1, Gsk3b, Gsr, Gstp1, H13, Hdac3, Helz2, Hmox2, Keap1, Lrpprc, Map1lc3b, Mul1, Nploc4, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd11, Psmd12, Psmd14, Psmd4, Psmd8, Psmd9, Psme3, Rxra, Sco2, Sesn2, Sin3a, Sod1, Sod2, Sqstm1, Srxn1, Txn1, Txn2, Txnrd2, Ubc, Vcp"
"Respiratory electron transport","1.295e-07","82","Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","1.721e-07","97","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Coq10a, Coq10b, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfdh, Lrpprc, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Sco2, Timmdc1, Tmem126b, Uqcr10, Uqcr11, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrq"
"Integrin cell surface interactions","5.566e-04","48","Col18a1, Col4a2, Col4a5, Col4a6, Col5a2, Col6a5, Col7a1, Fbn1, Itga1, Itga4, Itga5, Itgax, Itgb7, Pecam1, Tnc, Vwf"
"TP53 Regulates Metabolic Genes","2.826e-03","64","Akt2, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, G6pdx, Gls, Gpi1, Gsr, Lamtor2, Lrpprc, Prdx1, Prdx2, Prdx5, Prkaa1, Rheb, Rraga, Sco2, Sesn2, Tigar, Tsc1, Txn1, Ywhab, Ywhah"
"Cytoprotection by HMOX1","4.405e-03","46","Chd9, Cox14, Cox16, Cox18, Cox19, Cox20, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Fabp1, H13, Hdac3, Helz2, Hmox2, Lrpprc, Rxra, Sco2, Sin3a"
"KEAP1-NFE2L2 pathway","5.924e-03","68","Akt2, Bach1, Cul1, Cul3, Ep300, Gsk3b, Keap1, Map1lc3b, Mul1, Nploc4, Prdx1, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc4, Psmc5, Psmd11, Psmd12, Psmd14, Psmd4, Psmd8, Psmd9, Psme3, Sesn2, Sqstm1, Srxn1, Ubc, Vcp"
"Citric acid cycle (TCA cycle)","1.149e-02","20","Aco2, Fahd1, Idh3a, Idh3g, Mdh2, Me2, Me3, Ogdh, Sdhb, Sdhd, Sucla2, Suclg1"
"Class A/1 (Rhodopsin-like receptors)","1.149e-02","70","Ackr3, Adrb1, Anxa1, C3ar1, Cck, Cckar, Ccl11, Ccl21a, Ccl25, Ccl6, Ccl7, Ccl9, Cxcl12, Cxcl5, Edn1, Galr3, Gper1, Gpr55, Htr1b, Lpar1, Lpar5, Ltb4r2, Nln, Npb, Npff, Npy, Npy1r, Opn3, P2ry1, P2ry2, Penk, Pf4, Plppr2, Plppr3, Ptger1, Ptger2, S1pr2"
"Insulin receptor recycling","1.149e-02","21","Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Insr, Tcirg1"
"Mitochondrial biogenesis","1.149e-02","22","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Sirt3, Sirt4, Sirt5, Sod2"
"Pyruvate metabolism and Citric Acid (TCA) cycle","1.149e-02","44","Aco2, D2hgdh, Dlat, Fahd1, Glo1, Hagh, Idh3a, Idh3g, L2hgdh, Ldha, Ldhb, Mdh2, Me2, Me3, Ogdh, Pdha1, Pdhb, Pdk1, Pdk2, Pdk3, Pdp2, Pdpr, Rxra, Sdha, Sdhb, Sdhd, Sucla2, Suclg1, Suclg2"
"Signaling by ERBB4","1.525e-02","24","Aph1a, Erbb3, Kras, Ncstn, Pik3r1, Psen2, Psenen, Src"
"RAF activation","1.760e-02","32","Calm1, Calm2, Calm3, Kras, Map2k2, Mark3, Ppp2ca, Ppp2cb, Ppp2r5b, Src, Ywhab"
"HDR through Homologous Recombination (HRR)","1.797e-02","34","Blm, Eme2, Nbn, Palb2, Pcna, Pold1, Pole2, Pole3, Polh, Rad51c, Rbbp8, Rfc2, Rfc3, Rmi1, Slx1b, Spidr, Top3a, Wrn, Xrcc2, Xrcc3"
"Transport to the Golgi and subsequent modification","1.797e-02","147","Actr1a, Arcn1, Arf1, Arf5, Arfgap1, Arfgap3, B4galt1, Bet1l, Capzb, Cd55, Cnih1, Cog1, Cog2, Copa, Copb1, Copg1, Csnk1d, Ctsc, Ctsz, Dctn1, Dctn3, Dctn4, Dync1h1, Dync1li2, Dynll2, Fuca1, Golga2, Kdelr2, Lman1, Lman2, Lman2l, Man1a, Man1a2, Man2a1, Mgat1, Mgat2, Mgat4b, Ppp6r1, Ppp6r3, Rab1b, Scfd1, Sec16a, Sec22a, Tfg, Tmed10, Tmed2, Tmed7, Tmed9, Tmem115, Trappc10, Trappc2l, Trappc4, Trappc5, Trappc6a, Trappc9, Tuba1c, Tubb4b, Uso1, Ykt6"
"Extracellular matrix organization","1.803e-02","140","Adam8, Adamts2, Bmp1, Bmp4, Capn1, Capn15, Capn9, Col18a1, Col4a2, Col4a5, Col4a6, Col5a2, Col6a2, Col6a5, Col7a1, Colgalt2, Ctrb1, Ddr2, Efemp2, Emilin1, Fbln2, Fbn1, Htra1, Itga1, Itga4, Itga5, Itga9, Itgax, Itgb7, Lama4, Lox, Loxl2, Ltbp2, Ltbp3, Mmp11, Mmp14, Nid1, P3h3, P4ha1, Pecam1, Plod2, Prkca, Pxdn, Scube3, Sdc2, Sdc3, Spock3, Tnc, Tnr, Try10, Vwf"
"Signaling by Receptor Tyrosine Kinases","1.811e-02","303","Aamp, Abi1, Actg1, Ap2b1, Ap2m1, Aph1a, Arf6, Atp6ap1, Atp6v0a1, Atp6v0b, Atp6v0c, Atp6v0d1, Atp6v0e, Atp6v1b2, Atp6v1c1, Atp6v1d, Atp6v1e1, Atp6v1f, Atp6v1g1, Baiap2, Brk1, Calm1, Calm2, Calm3, Cbl, Cdc37, Cdc42, Chd4, Col1a1, Col3a1, Crk, Ctnna1, Ctnnb1, Ctnnd1, Cyfip1, Diaph1, Dnal4, Ep300, Epn1, Eps15, Erbb2, Erbb3, Erbin, Fgfrl1, Furin, Hdac1, Hsp90aa1, Insr, Irs1, Itgav, Itgb1, Jup, Kit, Kras, Lrig1, Map2k2, Mapk13, Mapk3, Mapkapk2, Ncbp2, Nckap1, Ncstn, Pde3b, Pdgfa, Pdpk1, Pik3c3, Pik3r1, Pik3r2, Plcg1, Polr2a, Polr2e, Ppp2ca, Ppp2cb, Prkaca, Prkcz, Psen2, Psenen, Ptk2b, Ptpn6, Ptprk, Rab4b, Rac1, Rock2, Sgk1, Shb, Spint1, Spp1, Spred1, Spred2, Src, Tcirg1, Ubc, Vav2, Vegfb, Ywhab"
"Complex I biogenesis","1.915e-02","48","Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa6, Ndufa7, Ndufaf2, Ndufaf4, Ndufaf7, Ndufb10, Ndufb11, Ndufb5, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs2, Ndufs3, Ndufs5, Ndufs7, Ndufs8, Ndufv1, Timmdc1, Tmem126b"
"VEGFA-VEGFR2 Pathway","2.059e-02","76","Abi1, Actg1, Baiap2, Brk1, Calm1, Calm2, Calm3, Cdc42, Crk, Ctnna1, Ctnnb1, Ctnnd1, Cyfip1, Hsp90aa1, Itgav, Jup, Kras, Mapk13, Mapkapk2, Nckap1, Pdpk1, Pik3cb, Pik3r1, Pik3r2, Plcg1, Prkaca, Prkacb, Prkcz, Ptk2b, Rac1, Rock2, Shb, Src, Vav2"
"Regulation of RUNX3 expression and activity","2.678e-02","49","Ep300, Mdm2, Psma4, Psma6, Psmb3, Psmb5, Psmb6, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd14, Psmd4, Psmd8, Psmd9, Psme3, Smurf1, Src, Ubc"
"HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","2.869e-02","65","Abl1, Abraxas1, Atm, Atrip, Blm, Eme2, Ercc4, Nbn, Palb2, Pcna, Pold1, Pole2, Pole3, Polh, Rad1, Rad17, Rad51c, Rad9a, Rad9b, Rbbp8, Rfc2, Rfc3, Rmi1, Rnf8, Slx1b, Spidr, Sumo2, Top3a, Topbp1, Ube2n, Uimc1, Wrn, Xrcc2, Xrcc3"
"Detoxification of Reactive Oxygen Species","4.540e-02","26","Cat, Gpx1, Gsr, Gstp1, Prdx1, Prdx2, Prdx3, Prdx5, Prdx6, Sod1, Sod2, Txn1, Txn2, Txnrd2"
