"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Apoptotic cleavage of cellular proteins","6.214e-03","30","Acin1, Add1, Birc2, Casp6, Cdh1, Dsg2, Dsp, Fnta, Gsn, Lmna, Lmnb1, Pkp1, Plec, Prkcd, Rock1, Tjp1, Tjp2, Vim"
"Cell Cycle","6.214e-03","428","Abl1, Ajuba, Alms1, Anapc16, Ankrd28, Atrx, Aurkb, Blm, Bora, Brip1, Cables1, Ccna2, Ccne2, Ccnh, Cdc14a, Cdc25a, Cdc26, Cdk1, Cdk11b, Cdk2, Cdt1, Cenpa, Cenpf, Cenpj, Cenpq, Cenpt, Cenpx, Cep152, Cep192, Cep41, Cep57, Cep63, Cep70, Cep72, Cetn2, Chek2, Chmp2a, Chmp6, Clasp2, Cnep1r1, Csnk2a2, Ctc1, Cul1, Dkc1, Dscc1, Dyrk1a, E2f5, Esco2, Gar1, Gins2, Gmnn, Gorasp1, Gtse1, Haus3, Haus5, Haus6, Haus8, Hdac8, Incenp, Kif23, Kntc1, Lin54, Lyn, Mau2, Mcm10, Mcm2, Mcm5, Mcm6, Mcm7, Mcph1, Mdc1, Mre11a, Mzt1, Ncapd2, Ncapg, Ncapg2, Ndc1, Nup133, Nup153, Nup188, Nup210, Ofd1, Orc5, Pds5b, Phf20, Pold2, Pole, Pole3, Ppp2r1a, Ppp2r5b, Ppp2r5c, Psma4, Psmb8, Psmd14, Psmd2, Psmd4, Psme1, Psme3, Pttg1, Rad17, Rad9a, Rae1, Ran, Rangap1, Rbl1, Rcc2, Rfc2, Rmi1, Rpa1, Sdccag8, Sfi1, Sgo1, Ska2, Smc3, Smc4, Spc24, Spc25, Ssna1, Stag1, Taok1, Ten1, Tfdp1, Top3a, Topbp1, Trp53bp1, Tuba1b, Tubb3, Tubgcp2, Ube2c, Ube2e1, Ube2s, Vrk1, Wrn, Xpo1, Zwilch"
"DNA Double-Strand Break Repair","6.214e-03","89","Abl1, Bap1, Blm, Brip1, Ccna2, Cdk2, Chek2, Dclre1c, Eme2, Eya3, Kdm4b, Mapk8, Mdc1, Mre11a, Mus81, Nhej1, Palb2, Parp2, Paxip1, Pold2, Pole, Pole3, Ppp4c, Ppp5c, Rad17, Rad51ap1, Rad51d, Rad9a, Rfc2, Rif1, Rmi1, Rpa1, Rpa3, Slx4, Sumo2, Tdp2, Timeless, Tipin, Top3a, Topbp1, Trp53bp1, Wrn, Xrcc4, Xrcc5, Xrcc6"
"DNA Repair","6.214e-03","206","Abl1, Actr8, Bap1, Blm, Brip1, Ccna2, Ccnh, Cdk2, Cenpx, Cetn2, Chd1l, Chek2, Cops3, Cops4, Cops5, Cul4a, Cul4b, Dclre1c, Ddb1, Ercc2, Eya3, Fan1, Fancd2, Fancg, Fancl, Fancm, Fto, Gtf2h1, Gtf2h3, Hmgn1, Ino80c, Kdm4b, Mapk8, Mbd4, Mcrs1, Mdc1, Mre11a, Msh6, Nfrkb, Nhej1, Palb2, Parp2, Paxip1, Pclaf, Pias3, Pold2, Pole, Pole3, Polr2b, Polr2g, Polr2l, Ppp4c, Ppp5c, Rad17, Rad51ap1, Rad51d, Rad9a, Rev3l, Rfc2, Rif1, Rmi1, Rpa1, Rpa3, Ruvbl1, Slx4, Sumo2, Tfpt, Timeless, Tipin, Top3a, Topbp1, Trp53bp1, Ufd1, Usp1, Usp10, Wrn, Xrcc4, Xrcc5, Xrcc6, Zfp830"
"Developmental Biology","6.214e-03","267","Actg1, Actr3, Ap2a1, Ap2s1, Arhgef7, Arpc2, Cdk4, Cdkn1a, Col3a1, Col4a1, Col4a2, Col5a1, Col6a1, Col6a2, Ctnna1, Dag1, Dnm3, Dok4, Dpysl2, Dpysl3, Dsg2, Dsp, Efna5, Egfr, Epha2, Ezr, Farp2, Git1, Gpc1, Grb7, Hsp90ab1, Itga9, Jup, Krt13, Krt16, Krt18, Krt19, Krt20, Krt7, Krt78, Krt8, Krt80, Lgi2, Map2k1, Mapk1, Mapk13, Mapk3, Mef2d, Mmp2, Msn, Ncam1, Ncstn, Numb, Pak2, Perp, Pfn1, Pik3ca, Pik3r1, Pik3r2, Pip5k1c, Pkp1, Pkp3, Plcg1, Plxna2, Pparg, Prkacb, Psenen, Rdx, Rhoa, Rhob, Robo1, Rock1, Rptn, Rxra, Sema3e, Sema4a, Sh3gl2, Slit3, Src, Stx1b, Tcf3, Trio, Tuba1a, Tuba1c, Tubb4b, Ubc, Vasp, Vav2"
"Mitotic Prometaphase","6.214e-03","139","Ahctf1, Alms1, Aurkb, Cdk1, Cenpa, Cenpf, Cenpj, Cenpo, Cenpq, Cenpt, Cep152, Cep192, Cep250, Cep41, Cep57, Cep63, Cep70, Cep72, Cetn2, Clasp2, Csnk2a2, Eml4, Haus3, Haus5, Haus6, Haus8, Hdac8, Hsp90aa1, Incenp, Kntc1, Mzt1, Ncapd2, Ncapg, Ninl, Nup133, Nup37, Ofd1, Pds5b, Ppp2r1a, Ppp2r5b, Ppp2r5c, Ranbp2, Rangap1, Rcc2, Sdccag8, Sfi1, Sgo1, Ska2, Smc1a, Smc3, Smc4, Spc24, Spc25, Ssna1, Stag1, Taok1, Tuba1b, Tubb3, Tubb6, Tubgcp2, Tubgcp4, Xpo1, Zwilch"
"Smooth Muscle Contraction","8.363e-03","25","Acta2, Actg2, Aldh2, Calm1, Calm2, Calm3, Gucy1b1, Itga1, Myl9, Pak2, Pxn, Sorbs3, Tpm1, Tpm2, Tpm4, Vcl"
"Cell Cycle, Mitotic","9.593e-03","360","Abl1, Ajuba, Alms1, Anapc16, Aurkb, Bora, Cables1, Ccna2, Ccne2, Ccnh, Cdc14a, Cdc25a, Cdc26, Cdk1, Cdk11b, Cdk2, Cdt1, Cenpa, Cenpf, Cenpj, Cenpq, Cenpt, Cep152, Cep192, Cep41, Cep57, Cep63, Cep70, Cep72, Cetn2, Chmp2a, Chmp6, Clasp2, Cnep1r1, Csnk2a2, Cul1, Dyrk1a, E2f5, Esco2, Gins2, Gmnn, Gorasp1, Gtse1, Haus3, Haus5, Haus6, Haus8, Hdac8, Incenp, Kif23, Kntc1, Lin54, Lyn, Mau2, Mcm10, Mcm2, Mcm5, Mcm6, Mcm7, Mcph1, Mzt1, Ncapd2, Ncapg, Ncapg2, Ndc1, Nup133, Nup153, Nup188, Nup210, Ofd1, Orc5, Pds5b, Pold2, Pole, Pole3, Ppp2r1a, Ppp2r5b, Ppp2r5c, Psma4, Psmb8, Psmd14, Psmd2, Psmd4, Psme1, Psme3, Pttg1, Rae1, Ran, Rangap1, Rbl1, Rcc2, Rfc2, Rpa1, Sdccag8, Sfi1, Sgo1, Ska2, Smc3, Smc4, Spc24, Spc25, Ssna1, Stag1, Taok1, Tfdp1, Tuba1b, Tubb3, Tubgcp2, Ube2c, Ube2e1, Ube2s, Vrk1, Xpo1, Zwilch"
"Extracellular matrix organization","9.705e-03","164","Adam15, Adamts2, Bgn, Bmp1, Bmp2, Capn13, Capn5, Capn8, Capn9, Cdh1, Col14a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a6, Col5a1, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Ddr1, Eln, Emilin1, F11r, Fbn1, Htra1, Ibsp, Itga9, Itgb2, Itgb4, Itgb6, Lox, Loxl1, Loxl2, Loxl3, Ltbp3, Ltbp4, Mfap4, Mmp13, Mmp15, Mmp19, Mmp2, Nid1, P4ha1, Pcolce, Scube1, Sdc1, Serpinh1, Sparc, Tnc, Tnxb, Try10"
"Formation of the cornified envelope","1.031e-02","31","Dsg2, Dsp, Jup, Krt13, Krt16, Krt18, Krt19, Krt20, Krt7, Krt78, Krt8, Krt80, Perp, Pkp1, Pkp3, Rptn"
