"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"The citric acid (TCA) cycle and respiratory electron transport","1.472e-07","138","Atp5a1, Atp5b, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf2, Ndufaf3, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Sdhb, Sdhc, Sdhd, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrq, Vdac1","8.573e-11","142","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Ppard, Sdha, Sdhb, Sdhc, Sdhd, Surf1, Timmdc1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq, Vdac1"
"Cellular response to chemical stress","2.802e-07","139","Blvrb, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, H13, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Tbl1xr1, Txn1, Ubc, Vcp","4.645e-10","142","Blvrb, Cat, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Txn1, Ubc, Vcp"
"Mitotic Anaphase","1.472e-07","199","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mapre1, Ndc1, Nde1, Nudc, Nup107, Nup155, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Ppp2r5e, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Rcc1, Rcc2, Smc3, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1","7.685e-09","201","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Chmp4c, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mad2l1, Mapre1, Mis12, Ndc1, Nde1, Nudc, Nuf2, Nup107, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Rcc1, Sgo2a, Sirt2, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"Mitotic Metaphase and Anaphase","1.690e-07","200","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mapre1, Ndc1, Nde1, Nudc, Nup107, Nup155, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Ppp2r5e, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Rcc1, Rcc2, Smc3, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1","7.685e-09","202","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Chmp4c, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mad2l1, Mapre1, Mis12, Ndc1, Nde1, Nudc, Nuf2, Nup107, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Rcc1, Sgo2a, Sirt2, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","3.648e-07","67","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Fzr1, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","3.744e-07","67","Aurkb, Cdc20, Cdc26, Cdc27, Fzr1, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","6.669e-07","96","Atp5a1, Atp5b, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf2, Ndufaf3, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrq","2.760e-09","99","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Etfa, Etfb, Etfdh, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Surf1, Timmdc1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq"
"APC/C-mediated degradation of cell cycle proteins","3.648e-07","78","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Cdk2, Fzr1, Nek2, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.767e-06","78","Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Fzr1, Nek2, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","3.648e-07","67","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.767e-06","67","Ccna2, Cdc20, Cdc26, Cdc27, Nek2, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"Regulation of mitotic cell cycle","3.648e-07","78","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Cdk2, Fzr1, Nek2, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Ubc, Ube2c, Ube2d1, Ube2s","1.767e-06","78","Aurkb, Ccna2, Cdc20, Cdc26, Cdc27, Fzr1, Nek2, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Ubc, Ube2c, Ube2d1, Ube2s"
"The role of GTSE1 in G2/M progression after G2 checkpoint","8.211e-07","64","Cdkn1a, Hsp90aa1, Hsp90ab1, Mapre1, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc","1.509e-06","65","Hsp90ab1, Mapre1, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc"
