"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Metabolism of RNA","1.064e-05","433","Alyref, Aqr, Bms1, C1d, Chtop, Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dcaf13, Ddx49, Ddx6, Dhx16, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Emg1, Ercc2, Ercc3, Exosc5, Exosc9, Fbl, Fus, Gpkow, Gtf2h4, Heatr1, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Hspb1, Khsrp, Lsm2, Lsm4, Lsm8, Ltv1, Magoh, Mphosph10, Mphosph6, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nol11, Nudt21, Nup155, Nup62, Paip1, Patl1, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppil1, Prcc, Prpf40a, Prpf8, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Puf60, Rbm42, Rbm5, Rbm8a, Rngtt, Rnps1, Rpp21, Rrp9, Sarnp, Senp3, Sf3b6, Smg5, Smg9, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snupn, Srrm2, Srsf11, Srsf2, Supt5, Sympk, Tbl3, Tgs1, Tnpo1, Txnl4a, U2surp, Upf2, Usp39, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr33, Wdr61, Wdr75, Xab2, Xpo1, Ybx1, Ywhaz","3.135e-05","439","Adar, Alyref, Aqr, Bms1, C1d, Chtop, Cnot10, Cnot2, Cnot4, Cnot6, Cnot7, Cpsf1, Cpsf3, Cpsf6, Cstf1, Cstf2t, Dcaf13, Ddx49, Ddx6, Dhx16, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Emg1, Ercc2, Ercc3, Exosc5, Exosc9, Fbl, Fcf1, Fus, Gpkow, Gtf2f1, Gtf2h4, Heatr1, Hnrnpa1, Hnrnpd, Hnrnpf, Hnrnph2, Hnrnpk, Hnrnpl, Hspa8, Hspb1, Khsrp, Lsm2, Lsm4, Ltv1, Magoh, Mphosph6, Mtrex, Ncbp2, Ncl, Ndc1, Nip7, Nob1, Nudt21, Nup155, Nup188, Nxf7, Paip1, Patl1, Pcbp1, Phf5a, Pnrc2, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Pom121, Ppie, Ppil1, Prcc, Prmt5, Prpf40a, Prpf8, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Puf60, Rbm42, Rbm5, Rbm8a, Rbmx, Rcl1, Rngtt, Rnps1, Rpp21, Rrp9, Sarnp, Senp3, Sf3b5, Sf3b6, Smg8, Smg9, Smndc1, Snrnp27, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snupn, Snw1, Srrm2, Srsf11, Srsf2, Sympk, Tbl3, Tgs1, Tnks1bp1, Tnpo1, U2surp, Upf2, Usp39, Utp14a, Utp18, Utp3, Utp6, Wdr3, Wdr33, Wdr43, Wdr61, Wdr75, Wdr77, Xab2, Xpo1, Ybx1, Ywhab, Ywhaz"
"Signaling by GPCR","9.373e-04","227","Adcy7, Adcy9, Adra2a, Akap13, Akt3, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef3, Arhgef37, Arhgef38, Arhgef5, Arhgef6, Arrb2, C5ar1, Cckar, Ccl25, Ccr5, Cdk5, Creb1, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Daglb, Dgke, Dgkh, Drd3, Edn1, Edn3, F2, Fgd1, Gabbr1, Gna12, Gnaz, Gng4, Gng5, Gper1, Gpr35, Gpr37l1, Gpr68, Gpsm1, Grb2, Grk2, Grk3, Grk5, Hrh2, Htr4, Itga5, Itpr2, Kalrn, Kiss1r, Ltb4r1, Ltb4r2, Mgll, Nmb, Npb, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Plcb2, Plcb4, Plekhg2, Plxnb1, Ppbp, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Pyy, Ramp1, Rgs12, Rgs13, Rgs17, Rgs19, Rgs2, Rgs7, Rhoc, S1pr1, Sct, Shc1, Sos1, Sos2, Tas1r3, Tiam2, Ucn2, Vipr2","3.219e-03","298","Adcy7, Adcy9, Adgre1, Adm, Adora1, Adora2a, Adora2b, Adra2a, Akap13, Akt3, Apln, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef18, Arhgef3, Arhgef38, Arrb2, Btk, C3ar1, C5ar1, Calcrl, Cck, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr1, Ccr5, Cdk5, Chrm3, Creb1, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Dgke, Dgkg, Dgkh, Dgki, Drd3, Ece1, Edn1, Ednra, F2, Fgd1, Gabbr1, Gal, Gipr, Gna12, Gnai2, Gnaq, Gnat2, Gnaz, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Grb2, Grk2, Grk5, Hebp1, Hrh1, Htr1d, Htr4, Itga5, Itpr2, Kalrn, Kel, Ltb4r2, Mc5r, Mgll, Nmb, Npb, Npy, Npy1r, P2ry1, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Pik3r6, Plcb1, Plcb2, Plcb4, Plekhg2, Plppr3, Plxnb1, Pmch, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Prkcq, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs2, Rgs7, Rgs9, Rhoc, Rxfp1, S1pr1, S1pr3, Sct, Shc1, Sos2, Src, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Tiam2, Ucn2, Uts2, Vipr2"
"GPCR downstream signalling","9.373e-04","217","Adcy7, Adcy9, Adra2a, Akap13, Akt3, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef3, Arhgef37, Arhgef38, Arhgef5, Arhgef6, Arrb2, C5ar1, Cckar, Ccl25, Ccr5, Cdk5, Creb1, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Daglb, Dgke, Dgkh, Drd3, Edn1, Edn3, F2, Fgd1, Gabbr1, Gna12, Gnaz, Gng4, Gng5, Gper1, Gpr37l1, Gpr68, Gpsm1, Grb2, Grk2, Grk3, Grk5, Hrh2, Htr4, Itga5, Itpr2, Kalrn, Kiss1r, Ltb4r1, Ltb4r2, Mgll, Nmb, Npb, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Plcb2, Plcb4, Plekhg2, Plxnb1, Ppbp, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Pyy, Ramp1, Rgs12, Rgs13, Rgs17, Rgs19, Rgs2, Rgs7, Rhoc, Sct, Shc1, Sos1, Sos2, Tas1r3, Tiam2, Vipr2","3.636e-03","284","Adcy7, Adcy9, Adm, Adora1, Adora2a, Adora2b, Adra2a, Akap13, Akt3, Apln, App, Arhgef10, Arhgef10l, Arhgef11, Arhgef17, Arhgef18, Arhgef3, Arhgef38, Arrb2, Btk, C3ar1, C5ar1, Calcrl, Cck, Ccl11, Ccl25, Ccl4, Ccl6, Ccr1, Ccr5, Cdk5, Chrm3, Creb1, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Dgke, Dgkg, Dgkh, Dgki, Drd3, Edn1, Ednra, F2, Fgd1, Gabbr1, Gal, Gipr, Gna12, Gnai2, Gnaq, Gnat2, Gnaz, Gng12, Gng2, Gng4, Gpr37l1, Gpsm1, Grb2, Grk2, Grk5, Hebp1, Hrh1, Htr1d, Htr4, Itga5, Itpr2, Kalrn, Ltb4r2, Mc5r, Mgll, Nmb, Npb, Npy, Npy1r, P2ry1, Pde2a, Pde4c, Pde4d, Pde7a, Penk, Pik3ca, Pik3cg, Pik3r3, Pik3r5, Pik3r6, Plcb1, Plcb2, Plcb4, Plekhg2, Plxnb1, Pmch, Ppp1r1b, Prkaca, Prkar2b, Prkce, Prkcg, Prkch, Prkcq, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rgs1, Rgs12, Rgs13, Rgs16, Rgs17, Rgs19, Rgs2, Rgs7, Rgs9, Rhoc, Rxfp1, S1pr3, Sct, Shc1, Sos2, Src, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Tiam2, Uts2, Vipr2"
"mRNA Splicing - Major Pathway","1.479e-03","160","Alyref, Aqr, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dhx16, Fus, Gpkow, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Lsm2, Lsm4, Lsm8, Magoh, Ncbp2, Nudt21, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rnps1, Sf3b6, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Srrm2, Srsf11, Srsf2, Sympk, Txnl4a, U2surp, Usp39, Wdr33, Xab2, Ybx1","4.528e-03","160","Alyref, Aqr, Cpsf1, Cpsf3, Cstf1, Cstf2t, Dhx16, Fus, Gpkow, Gtf2f1, Hnrnpa1, Hnrnpd, Hnrnpf, Hnrnpk, Hnrnpl, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Nudt21, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppie, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rbmx, Rnps1, Sf3b5, Sf3b6, Smndc1, Snrnp27, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snw1, Srsf11, Srsf2, Sympk, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"GPCR ligand binding","1.177e-02","83","Adcyap1r1, Adm, Adora1, Adra2a, Adrb2, App, C5ar1, Cckar, Ccl25, Ccr5, Cxcl12, Cxcl13, Cxcl16, Cxcr6, Drd3, Ece1, Edn1, Edn3, F2, Gabbr1, Gng12, Gng4, Gng5, Gper1, Gpr35, Gpr37l1, Gpr55, Gpr68, Hebp1, Hrh2, Htr4, Kiss1r, Ltb4r1, Ltb4r2, Nmb, Npb, Penk, Ppbp, Pyy, Ramp1, S1pr1, S1pr4, Sct, Tas1r3, Ucn2, Vipr2","5.819e-04","134","Adgre1, Adm, Adora1, Adora2a, Adora2b, Adra2a, Apln, App, C3ar1, C5ar1, Calcrl, Cck, Cckar, Ccl11, Ccl25, Ccl4, Ccl6, Ccl7, Ccr5, Chrm3, Cxcl1, Cxcl13, Cxcl16, Cxcr6, Cysltr1, Cysltr2, Drd3, Ece1, Edn1, Ednra, F2, Gabbr1, Gal, Gipr, Gng12, Gng2, Gng4, Gpr35, Gpr37l1, Hebp1, Hrh1, Htr1d, Htr4, Kel, Ltb4r2, Mc5r, Nmb, Npb, Npy, Npy1r, P2ry1, Penk, Plppr3, Pmch, Ptafr, Ptger2, Pyy, Ramp1, Ramp2, Rxfp1, S1pr1, S1pr3, Sct, Sst, Sstr3, Taar3, Tacr3, Tas2r118, Ucn2, Uts2, Vipr2"
"mRNA Splicing","1.177e-02","166","Alyref, Aqr, Cpsf1, Cpsf3, Cstf1, Cstf2t, Cwc27, Dhx16, Fus, Gpkow, Hnrnpa0, Hnrnpa1, Hnrnpa2b1, Hnrnpd, Hnrnpf, Hnrnpk, Hspa8, Lsm2, Lsm4, Lsm8, Magoh, Ncbp2, Nudt21, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rnps1, Sf3b6, Smndc1, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Srrm2, Srsf11, Srsf2, Sympk, Txnl4a, U2surp, Usp39, Wdr33, Xab2, Ybx1","8.053e-03","166","Alyref, Aqr, Cpsf1, Cpsf3, Cstf1, Cstf2t, Dhx16, Fus, Gpkow, Gtf2f1, Hnrnpa1, Hnrnpd, Hnrnpf, Hnrnpk, Hnrnpl, Hspa8, Lsm2, Lsm4, Magoh, Ncbp2, Nudt21, Pcbp1, Phf5a, Polr2a, Polr2b, Polr2d, Polr2e, Polr2g, Polr2h, Ppie, Ppil1, Prcc, Prpf40a, Prpf8, Puf60, Rbm42, Rbm5, Rbm8a, Rbmx, Rnps1, Sf3b5, Sf3b6, Smndc1, Snrnp27, Snrnp70, Snrpa, Snrpb, Snrpd2, Snu13, Snw1, Srsf11, Srsf2, Sympk, U2surp, Usp39, Wdr33, Xab2, Ybx1"
"Extracellular matrix organization","9.373e-04","120","Adam10, Adam19, Adam8, App, Bmp4, Capn13, Capn5, Cd44, Ceacam1, Cma1, Col11a2, Col12a1, Col15a1, Col16a1, Col18a1, Col20a1, Col27a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a2, Col6a1, Col6a5, Col7a1, Col9a3, Ctrb1, Ctsk, Ctss, Emilin1, Fbn1, Itga1, Itga2, Itga2b, Itga5, Itga9, Itgav, Itgb3, Itgb7, Lama4, Loxl1, Ltbp1, Mfap4, Mmp14, Mmp9, Nid1, P4ha1, P4ha2, Phykpl, Plod1, Pxdn, Scube1, Sdc3, Sh3pxd2a, Spp1, Tgfb1, Tgfb2, Tmprss6, Tnn, Tnxb","2.377e-02","161","A2m, Adam10, App, Bgn, Bmp4, Capn13, Capn2, Capn3, Capn5, Capn7, Capns1, Cd44, Ceacam1, Cma1, Col11a2, Col12a1, Col15a1, Col20a1, Col23a1, Col4a1, Col4a2, Col4a6, Col5a2, Col6a6, Col7a1, Col9a3, Ctrb1, Ctsk, Ctsl, Ctss, F11r, Fbln5, Furin, Icam2, Icam4, Icam5, Itga1, Itga2b, Itga5, Itgav, Itgb7, Itgb8, Lama4, Loxl1, Loxl3, Matn4, Mfap2, Mfap4, Mmp11, Mmp12, Mmp14, Mmp17, Mmp24, Mmp9, Nid1, P3h3, P4ha1, P4ha2, Pcolce2, Phykpl, Plod1, Pxdn, Sdc3, Sh3pxd2a, Spock3, Tgfb1, Tmprss6, Tnc, Tnxb"
"Mitotic Anaphase","1.181e-02","178","Anapc11, Anapc2, Anapc5, Aurkb, Banf1, Bub1b, Cdc23, Cdc27, Cdca8, Cdk1, Cenpf, Cenpk, Cenpq, Ckap5, Dync1h1, Dynll1, Hdac8, Kif18a, Lmna, Mad1l1, Mis12, Ndc1, Nudc, Nup155, Nup188, Pom121, Ppp2r5b, Psma3, Psma7, Psmb1, Psmb2, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Rangap1, Rbm39, Rcc1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Sumo1, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Vrk1, Xpo1","1.701e-02","193","Ahctf1, Anapc11, Anapc2, Anapc5, Aurkb, Cdc23, Cdc27, Cdca8, Cdk1, Cenpc1, Cenpf, Chmp3, Ckap5, Dync1h1, Dynll1, Emd, Hdac8, Kif18a, Lbr, Lmna, Mad1l1, Mis12, Ndc1, Nudc, Nup155, Nup188, Pom121, Ppp2r5b, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Rangap1, Rbm39, Rcc1, Rcc2, Ska2, Smc1a, Spc24, Spdl1, Stag2, Tuba1b, Tuba1c, Tuba4a, Tubb4b, Ube2d1, Ube2e1, Vrk1, Wapl, Xpo1"
"GTP hydrolysis and joining of the 60S ribosomal subunit","1.661e-02","23","Eif1ax, Eif2s1, Eif3a, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b","1.619e-02","24","Eif1ax, Eif2s1, Eif3b, Eif3c, Eif3i, Eif3l, Eif4a1, Eif4a2, Eif4b, Eif4e, Eif4g1, Eif5b"
"APC/C-mediated degradation of cell cycle proteins","1.177e-02","74","Anapc11, Anapc2, Anapc5, Aurkb, Bub1b, Cdc14a, Cdc23, Cdc27, Cdk1, Cdk2, Fzr1, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd10, Psmd11, Psmd14, Psmd3, Psmd4, Psmd5, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1","2.168e-02","76","Anapc11, Anapc2, Anapc5, Aurkb, Cdc14a, Cdc23, Cdc27, Cdk1, Cdk2, Fzr1, Psma2, Psma3, Psma7, Psmb1, Psmb2, Psmb4, Psmb6, Psmb9, Psmd1, Psmd11, Psmd14, Psmd3, Psmd9, Psme2b, Psme3, Ube2d1, Ube2e1"
