"Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"Developmental Biology","6.214e-03","267","Actg1, Actr3, Ap2a1, Ap2s1, Arhgef7, Arpc2, Cdk4, Cdkn1a, Col3a1, Col4a1, Col4a2, Col5a1, Col6a1, Col6a2, Ctnna1, Dag1, Dnm3, Dok4, Dpysl2, Dpysl3, Dsg2, Dsp, Efna5, Egfr, Epha2, Ezr, Farp2, Git1, Gpc1, Grb7, Hsp90ab1, Itga9, Jup, Krt13, Krt16, Krt18, Krt19, Krt20, Krt7, Krt78, Krt8, Krt80, Lgi2, Map2k1, Mapk1, Mapk13, Mapk3, Mef2d, Mmp2, Msn, Ncam1, Ncstn, Numb, Pak2, Perp, Pfn1, Pik3ca, Pik3r1, Pik3r2, Pip5k1c, Pkp1, Pkp3, Plcg1, Plxna2, Pparg, Prkacb, Psenen, Rdx, Rhoa, Rhob, Robo1, Rock1, Rptn, Rxra, Sema3e, Sema4a, Sh3gl2, Slit3, Src, Stx1b, Tcf3, Trio, Tuba1a, Tuba1c, Tubb4b, Ubc, Vasp, Vav2","1.118e-05","300","Actg1, Actr3, Ap2a1, Ap2b1, Ap2s1, Aph1a, Arhgef7, Arpc2, Arpc3, Arpc5, Boc, Cdk4, Cdkn1a, Cdon, Col3a1, Col4a1, Col4a2, Col5a1, Col5a3, Col6a1, Col6a2, Ctnna1, Cxcl12, Dag1, Dnm3, Dok4, Dpysl2, Dpysl3, Dsc2, Dsg2, Dsp, Efna5, Egfr, Epha2, Evpl, Ezr, Farp2, Fgfr1, Git1, Gpc1, Grb7, Hsp90ab1, Irs2, Itga9, Itgb1, Jup, Kazn, Krt13, Krt16, Krt18, Krt19, Krt20, Krt23, Krt7, Krt78, Krt8, Krt80, Lgi2, Map2k1, Mapk1, Mapk11, Mapk13, Mapk3, Mef2c, Mef2d, Mmp2, Msn, Ncam1, Nck1, Nck2, Ncstn, Numb, Pak2, Perp, Pfn1, Pik3ca, Pik3r1, Pik3r2, Pip5k1c, Pkp3, Plxna2, Plxnb1, Pparg, Prkacb, Psenen, Rasa1, Rhoa, Rhob, Rhoc, Robo1, Rock1, Rptn, Rras, Rxra, Sdcbp, Sema3e, Sema4a, Sema7a, Slit2, Slit3, Sptbn1, Src, Stx1b, Tcf3, Trio, Tuba1a, Tuba1c, Tubb4b, Ubc, Vasp, Vav2"
"Extracellular matrix organization","9.705e-03","164","Adam15, Adamts2, Bgn, Bmp1, Bmp2, Capn13, Capn5, Capn8, Capn9, Cdh1, Col14a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a6, Col5a1, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Ddr1, Eln, Emilin1, F11r, Fbn1, Htra1, Ibsp, Itga9, Itgb2, Itgb4, Itgb6, Lox, Loxl1, Loxl2, Loxl3, Ltbp3, Ltbp4, Mfap4, Mmp13, Mmp15, Mmp19, Mmp2, Nid1, P4ha1, Pcolce, Scube1, Sdc1, Serpinh1, Sparc, Tnc, Tnxb, Try10","2.979e-09","188","Adam10, Adamts2, Bgn, Bmp2, Bmp4, Capn13, Capn5, Capn8, Capn9, Cast, Cdh1, Col14a1, Col15a1, Col16a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Ddr1, Eln, F11r, Fbn1, Fn1, Furin, Htra1, Ibsp, Itgb2, Itgb4, Itgb6, Lox, Loxl1, Loxl2, Loxl3, Ltbp3, Ltbp4, Mfap4, Mmp13, Mmp15, Mmp19, Nid1, P4ha1, P4ha2, P4hb, Pcolce, Ppib, Pxdn, Scube1, Sdc1, Sdc3, Serpinh1, Sparc, Spp1, Tnc, Tnxb, Try10"
"Neutrophil degranulation","1.031e-02","365","Actr1b, Agpat2, Alad, Anpep, Anxa2, Apeh, Armc8, Atp6v0a1, Atp6v0c, Atp8a1, B2m, C3, Cant1, Cap1, Cat, Cd300a, Cd55, Cd63, Chit1, Ckap4, Cnn2, Commd3, Cotl1, Crispld2, Cst3, Cstb, Ctsb, Ctsc, Ctsd, Ctss, Ddost, Dgat1, Dock2, Dok3, Dsp, Dynll1, Eef1a1, Erp44, Fabp5, Faf2, Fcgr2b, Fuca2, Gca, Gdi2, Ggh, Gm2a, Gsn, Gstp1, H2-K1, H2-Q6, Hmox2, Hsp90ab1, Igf2r, Itgb2, Jup, Lamtor3, Lyz2, Manba, Mvp, Ncstn, Nme2, Pafah1b2, Pgm2, Pgrmc1, Ppia, Prkcd, Psap, Psmb7, Psmd1, Psmd11, Psmd12, Psmd6, Ptprn2, Pygb, Qsox1, Rab27a, Rab5b, Rap1a, Rap2b, Rap2c, Rhoa, Rhof, Rock1, Serpinb6a, Sirpa, Slc2a5, Slpi, Snap23, Syngr1, Tmem63a, Tnfrsf1b, Tollip, Try10, Tubb4b, Unc13d, Vamp8, Vapa, Vat1, Vcl","7.031e-06","410","Actr1b, Adam10, Agpat2, Alad, Anpep, Anxa2, Apeh, Armc8, Arpc5, Atp6v0a1, Atp6v0c, Atp6v1d, B2m, B4galt1, C3, Cab39, Cant1, Cap1, Cat, Cd300a, Cd55, Cd63, Chit1, Ckap4, Commd3, Cotl1, Crispld2, Cst3, Cstb, Ctsb, Ctsc, Ctsd, Ctss, Ddost, Dgat1, Dock2, Dsp, Dynll1, Eef1a1, Erp44, Fabp5, Faf2, Fcer1g, Fcgr2b, Fth1, Fuca2, Gca, Gdi2, Ggh, Gm2a, Grn, Gsn, Gstp1, H2-K1, H2-Q6, Hmox2, Hsp90ab1, Igf2r, Itgb2, Jup, Lamtor3, Lyz2, Manba, Mapk1, Mvp, Nme2, Pafah1b2, Pgm2, Pgrmc1, Pnp, Ppia, Prkcd, Psap, Psmb7, Psmd1, Psmd11, Psmd12, Psmd13, Pygb, Qsox1, Rab27a, Rab3d, Rab5b, Rap1a, Rap2b, Rap2c, Rhoa, Rhof, Rock1, S100a11, Sdcbp, Serpinb1a, Serpinb6a, Slc2a5, Slpi, Snap23, Tlr2, Tmem63a, Tnfrsf1b, Tollip, Try10, Tubb4b, Unc13d, Vamp8, Vapa, Vat1, Vcl, Vps35l"
"Smooth Muscle Contraction","8.363e-03","25","Acta2, Actg2, Aldh2, Calm1, Calm2, Calm3, Gucy1b1, Itga1, Myl9, Pak2, Pxn, Sorbs3, Tpm1, Tpm2, Tpm4, Vcl","6.329e-04","27","Acta2, Actg2, Aldh2, Calm1, Calm2, Calm3, Gucy1a1, Gucy1b1, Itga1, Myl9, Pak2, Pxn, Sorbs3, Tpm1, Tpm2, Tpm4, Vcl"
"Apoptotic cleavage of cellular proteins","6.214e-03","30","Acin1, Add1, Birc2, Casp6, Cdh1, Dsg2, Dsp, Fnta, Gsn, Lmna, Lmnb1, Pkp1, Plec, Prkcd, Rock1, Tjp1, Tjp2, Vim","2.685e-03","32","Acin1, Add1, Casp6, Cdh1, Dsg2, Dsp, Gsn, Lmna, Ocln, Plec, Prkcd, Rock1, Tjp1, Tjp2, Vim"
"Degradation of the extracellular matrix","1.697e-02","69","Adam10, Adam15, Capn13, Capn5, Capn8, Capn9, Cast, Cdh1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Col8a1, Ctsb, Ctsd, Ctss, Dcn, Eln, Fbn1, Furin, Htra1, Mmp13, Mmp15, Mmp19, Mmp2, Nid1, Scube1, Try10","1.286e-05","78","Adam10, Capn13, Capn5, Capn8, Capn9, Cast, Cdh1, Col15a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctsd, Ctss, Dcn, Eln, Fbn1, Fn1, Furin, Htra1, Mmp13, Mmp15, Mmp19, Nid1, Scube1, Spp1, Try10"
"Assembly of collagen fibrils and other multimeric structures","2.746e-02","35","Bmp1, Col14a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Col8a1, Ctsb, Ctss, Lox, Loxl1, Loxl2, Loxl3, Mmp13, Pcolce","2.300e-04","38","Col14a1, Col15a1, Col1a1, Col1a2, Col3a1, Col4a1, Col4a2, Col4a5, Col4a6, Col5a1, Col5a3, Col6a1, Col6a2, Ctsb, Ctss, Lox, Loxl1, Loxl2, Loxl3, Mmp13, Pcolce, Pxdn"
"Formation of the cornified envelope","1.031e-02","31","Dsg2, Dsp, Jup, Krt13, Krt16, Krt18, Krt19, Krt20, Krt7, Krt78, Krt8, Krt80, Perp, Pkp1, Pkp3, Rptn","5.447e-03","42","Dsg2, Dsp, Jup, Krt13, Krt18, Krt19, Krt20, Krt78, Krt8, Krt80, Perp"
"Keratinization","1.031e-02","31","Dsg2, Dsp, Jup, Krt13, Krt16, Krt18, Krt19, Krt20, Krt7, Krt78, Krt8, Krt80, Perp, Pkp1, Pkp3, Rptn","9.130e-03","44","Dsg2, Dsp, Jup, Krt13, Krt18, Krt19, Krt20, Krt78, Krt8, Krt80, Perp"
"Metabolism of lipids","4.214e-02","454","Acot2, Acox1, Acsf2, Acsl3, Agpat1, Agpat2, Agpat4, Akr1b8, Akr1c14, Alb, Aldh3b2, Arf1, Asah2, B4galnt1, Cbr1, Chpt1, Cidec, Cpt1a, Cpt2, Crot, Cyp1b1, Cyp27a1, Cyp2c65, Cyp2j6, Dgat1, Dgat2, Dpep1, Ebp, Ehhadh, Esyt3, Etnk1, Fa2h, Fabp4, Fabp5, Fdps, Gde1, Ggps1, Gk, Gm2a, Gpat3, Gpd1l, Gpx1, Hacd3, Hadhb, Helz2, Hmgcs2, Hsd17b11, Kdsr, Lpcat4, Lpin2, Mboat7, Mgll, Mid1ip1, Mlycd, Mogat1, Mogat2, Msmo1, Mtmr6, Ndufab1, Nudt19, Osbpl2, Osbpl3, Pcca, Pcyt1a, Phyh, Pik3c3, Pik3r1, Pip4k2b, Pip4k2c, Pitpnm1, Pla2g10, Pla2g12a, Pla2g15, Pla2g4a, Plbd1, Plpp3, Plpp6, Pnpla2, Pon2, Ppt1, Psap, Ptgis, Ptgs1, Rxra, Samd8, Sc5d, Sgpp1, Slc25a1, Smarcd3, Sptlc2, Sptssb, Stard3nl, Stard5, Stard7, Tspo, Ugcg","1.612e-03","493","Abcc3, Abcd1, Abhd3, Abhd4, Acaca, Acad11, Acadl, Acat2, Acbd6, Acot2, Acot7, Acox1, Acox3, Acsf2, Acsl3, Agpat1, Agpat2, Agpat3, Agpat4, Akr1b8, Akr1c14, Alb, Aldh3a2, Aldh3b2, Amacr, Arf1, Asah2, B4galnt1, Cbr1, Chpt1, Cidec, Cpt1a, Cpt2, Cptp, Crot, Cyp1b1, Cyp27a1, Cyp2c65, Cyp2j6, Cyp51, Ddhd1, Dgat1, Dgat2, Dpep1, Ebp, Ehhadh, Elovl1, Elovl6, Esyt3, Etnk1, Fa2h, Fabp4, Fabp5, Fasn, Fdps, Fdx1, Fig4, Gba, Gde1, Ggps1, Gk, Gm2a, Gnpat, Gpam, Gpat3, Gpd1l, Gpd2, Gpx1, H2-Ke6, Hacd3, Hadhb, Helz2, Hmgcs2, Hpgd, Hsd17b11, Hsd17b2, Kdsr, Lbr, Lpcat2, Lpcat4, Lpin2, Lpin3, Mapkapk2, Mboat7, Mbtps1, Mgll, Mid1ip1, Miga2, Mlycd, Mogat1, Mogat2, Msmo1, Mtmr4, Mtmr6, Ndufab1, Nudt19, Osbpl2, Osbpl3, Osbpl8, Pcca, Pcyt1a, Phyh, Pik3c3, Pik3ca, Pik3r1, Pik3r2, Pip4k2b, Pip4k2c, Pip4p1, Pip5k1b, Pip5k1c, Pitpnm1, Pla2g10, Pla2g15, Pla2g1b, Pla2g4a, Plbd1, Plekha3, Plekha6, Plpp3, Plpp6, Pnpla2, Pon2, Ppt1, Psap, Ptgis, Ptgs1, Rxra, Samd8, Sbf1, Sc5d, Scap, Sgms2, Sgpl1, Sgpp1, Slc25a1, Smarcd3, Spns2, Sptlc1, Sptlc2, Sptssb, Srebf2, Star, Stard3, Stard3nl, Stard5, Stard7, Tnfaip8l3, Tspo, Ugcg"
