"Parent Reactome Pathway Term","Adjusted P-Value (limma)","Size (limma)","Leading Edge (limma)","Adjusted P-Value (DESeq2)","Size (DESeq2)","Leading Edge (DESeq2)"
"The citric acid (TCA) cycle and respiratory electron transport","1.472e-07","138","Atp5a1, Atp5b, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf2, Ndufaf3, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Sdhb, Sdhc, Sdhd, Surf1, Ucp2, Uqcr10, Uqcr11, Uqcrq, Vdac1","8.573e-11","142","Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5o, Coq10b, Cox14, Cox4i1, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7b, Cox7c, Cox8a, Cyc1, Dlat, Etfa, Etfb, Etfdh, Fh1, Hagh, Idh3a, Idh3b, Ldha, Mdh2, Me1, Ndufa1, Ndufa10, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa6, Ndufa8, Ndufab1, Ndufaf1, Ndufaf3, Ndufaf5, Ndufb10, Ndufb2, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs5, Ndufs6, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Ogdh, Pdk2, Pdk4, Ppard, Sdha, Sdhb, Sdhc, Sdhd, Surf1, Timmdc1, Ucp2, Uqcr10, Uqcr11, Uqcrc1, Uqcrfs1, Uqcrq, Vdac1"
"Mitotic Anaphase","1.472e-07","199","Anapc1, Anapc11, Anapc16, Anapc4, Anapc7, Aurkb, Cdc20, Cdc26, Cdc27, Cdca8, Cenpa, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Clip1, Dync1li1, Dync1li2, Dynll2, Espl1, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mapre1, Ndc1, Nde1, Nudc, Nup107, Nup155, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Ppp2r5e, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Rangap1, Rcc1, Rcc2, Smc3, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1","7.685e-09","201","Anapc1, Anapc11, Anapc16, Aurkb, Bub1, Bub3, Cdc20, Cdc26, Cdc27, Cdca5, Cdca8, Cenpa, Cenph, Cenpk, Cenpo, Cenpq, Chmp2b, Chmp3, Chmp4b, Chmp4c, Ckap5, Clip1, Dync1li2, Dynll2, Espl1, Incenp, Kif2c, Kpnb1, Lbr, Lmna, Lmnb1, Mad1l1, Mad2l1, Mapre1, Mis12, Ndc1, Nde1, Nudc, Nuf2, Nup107, Nup93, Pafah1b1, Plk1, Pom121, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Ppp2r2a, Ppp2r5b, Psma1, Psma3, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd1, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rad21, Rangap1, Rcc1, Sgo2a, Sirt2, Spc24, Stag2, Sumo1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ubc, Ube2c, Ube2d1, Ube2s, Vrk1, Wapl, Xpo1"
"Cellular response to chemical stress","2.802e-07","139","Blvrb, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7a2l, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, H13, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Prdx6, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Tbl1xr1, Txn1, Ubc, Vcp","4.645e-10","142","Blvrb, Cat, Cox14, Cox5a, Cox6a1, Cox6b1, Cox7c, Cox8a, Cyba, Gpx1, Gpx2, Gpx3, Gsr, Gstp1, Hdac3, Helz2, Hmox1, Mafk, Nploc4, P4hb, Prdx1, Prdx2, Prdx5, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Sod1, Sod2, Sqstm1, Srxn1, Surf1, Txn1, Ubc, Vcp"
"Regulation of mRNA stability by proteins that bind AU-rich elements","6.669e-07","77","Anp32a, Dcp2, Eif4g1, Exosc4, Exosc5, Exosc7, Hnrnpd, Hspa1a, Hspa1b, Hspa8, Khsrp, Mapkapk2, Nup214, Pabpc1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Psme4, Set, Tnpo1, Ubc, Xpo1, Ywhab, Ywhaz, Zfp36","1.767e-06","77","Anp32a, Eif4g1, Exosc5, Hspa1a, Hspa1b, Hspa8, Khsrp, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd8, Psme2b, Psme3, Ubc, Ywhab, Ywhaz, Zfp36"
"The role of GTSE1 in G2/M progression after G2 checkpoint","8.211e-07","64","Cdkn1a, Hsp90aa1, Hsp90ab1, Mapre1, Plk1, Psma1, Psma4, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb9, Psmc1, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc","1.509e-06","65","Hsp90ab1, Mapre1, Plk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc"
"Developmental Biology","2.496e-06","278","Abl1, Actg1, Actr2, Ap2a1, Ap2m1, Ap2s1, Aph1a, Arhgef7, Arpc1a, Arpc1b, Arpc2, Arpc3, Cdk2, Cdk4, Cdkn1a, Cltc, Col3a1, Col5a1, Creb1, Csnk2b, Ctnna1, Ctnnb1, Dag1, Dok4, Dsc2, Dsg2, Dsp, Efna1, Efna5, Efnb2, Egfr, Enah, Epha1, Ephb2, Ephb4, Evpl, Ezr, Foxo3, Frs2, Git1, Gpc1, Grb2, Hdac3, Hras, Hsp90aa1, Hsp90ab1, Irs2, Itgb1, Jup, Kazn, Kras, Krt14, Krt15, Krt18, Krt19, Krt20, Krt5, Krt7, Krt8, Krt80, Map2k2, Mef2d, Msn, Nck2, Pak2, Perp, Pfn1, Pik3ca, Pip5k1c, Pkp1, Pkp3, Pkp4, Plxna1, Plxna2, Ppl, Prkaca, Psenen, Rac1, Rhoa, Rhob, Rock1, Rock2, Rras, Sdcbp, Sema3e, Sema4d, Shc1, Smad3, Sptbn2, Tgm1, Tln1, Trio, Tuba1a, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vasp, Yes1","2.715e-07","302","Actg1, Actr2, Akt3, Ap2m1, Ap2s1, Aph1a, Arhgef7, Arpc1a, Arpc1b, Arpc2, Arpc3, Cltc, Col3a1, Col4a2, Col5a1, Col6a1, Col6a2, Ctnna1, Ctnnb1, Dag1, Dok1, Dok4, Dpysl2, Dsc2, Dsg2, Dsp, Efna1, Efnb1, Efnb2, Egfr, Enah, Epha2, Ephb2, Ephb3, Evpl, Ezr, Foxo3, Frs2, Git1, Gpc1, Grb2, Hdac3, Hras, Hsp90ab1, Irs2, Itgb1, Jup, Kazn, Kras, Krt14, Krt15, Krt17, Krt18, Krt19, Krt20, Krt23, Krt5, Krt6a, Krt7, Krt8, Krt80, Map2k1, Map2k2, Mef2d, Mmp2, Msn, Nck2, Pak2, Perp, Pfn1, Pik3ca, Pkp1, Pkp3, Pkp4, Plxna1, Plxna2, Ppl, Prkaca, Psenen, Ptpn11, Rac1, Rhoa, Rhob, Rock1, Rptn, Rras, Sdcbp, Sema3e, Sema7a, Shc1, Smad3, Sptbn2, Tgm1, Tln1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ubc, Vasp"
"ER to Golgi Anterograde Transport","1.468e-06","127","Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb1, Copb2, Cope, Csnk1d, Ctsc, Ctsz, Dctn3, Dync1li1, Dync1li2, Dynll2, Golga2, Kdelr2, Lman1, Lman2, Mcfd2, Mia3, Napa, Preb, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn2, Tfg, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc6b, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6, Ykt6","4.518e-06","129","Actr10, Arcn1, Areg, Arf1, Arf4, Arf5, Arfgap2, Arfgap3, Bet1, Bet1l, Capzb, Cnih1, Cog8, Col7a1, Copa, Copb2, Cope, Copz1, Csnk1d, Ctsc, Ctsz, Dctn3, Dctn6, Dync1li2, Dynll1, Dynll2, Golga2, Gorasp1, Kdelr1, Kdelr2, Lman1, Lman2, Lman2l, Mcfd2, Mia3, Napa, Rab1a, Rab1b, Sec16a, Sec23a, Sec24b, Sptbn1, Sptbn2, Tfg, Tgfa, Tmed2, Tmed7, Tmed9, Tmem115, Trappc1, Trappc3, Trappc4, Trappc5, Trappc9, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb3, Tubb4b, Tubb6, Ykt6"
"CLEC7A (Dectin-1) signaling","1.892e-06","83","Calm1, Calm2, Calm3, Cdc34, Nfkb1, Nfkb2, Pdpk1, Psma1, Psma6, Psmb10, Psmb4, Psmb5, Psmb7, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd12, Psmd13, Psmd3, Psmd6, Psmd8, Psme3, Rela, Relb, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2m, Ube2n","5.421e-06","83","Calm1, Calm2, Calm3, Cdc34, Nfkb1, Nfkb2, Pdpk1, Psma1, Psma6, Psmb10, Psmb2, Psmb4, Psmb5, Psmb7, Psmb8, Psmb9, Psmc2, Psmc3, Psmc4, Psmc5, Psmd11, Psmd13, Psmd3, Psmd6, Psmd7, Psmd8, Psme2b, Psme3, Rela, Relb, Tab2, Ubc, Ube2d1, Ube2d2a, Ube2m, Ube2n"
"RHO GTPases activate IQGAPs","2.071e-05","25","Actg1, Calm1, Calm2, Calm3, Ctnna1, Ctnnb1, Iqgap3, Men1, Rac1, Tuba1a, Tuba1c, Tubb2a, Tubb2b, Tubb4b, Tubb6","7.786e-06","26","Actg1, Calm1, Calm2, Calm3, Clip1, Ctnna1, Ctnnb1, Iqgap1, Iqgap3, Men1, Rac1, Tuba1a, Tuba1b, Tuba1c, Tuba4a, Tubb2a, Tubb2b, Tubb4b, Tubb6"
"Signaling by NTRKs","4.803e-05","68","Ap2a1, Ap2m1, Ap2s1, Chd4, Cltc, Creb1, Dusp6, Dusp7, Frs2, Furin, Grb2, Hras, Irs2, Kidins220, Kras, Map2k2, Ngf, Ntf5, Pcsk6, Pik3ca, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Rac1, Ralgds, Rhoa, Sgk1, Shc1, Srf, Ywhab","5.421e-06","68","Ap2a1, Ap2m1, Ap2s1, Bdnf, Chd4, Cltc, Crk, Dusp6, Dusp7, Frs2, Furin, Grb2, Hras, Irs1, Irs2, Kras, Map2k1, Map2k2, Mapk3, Mapkapk2, Ngf, Ntf5, Pcsk5, Pcsk6, Pik3ca, Ppp2ca, Ppp2cb, Ppp2r1a, Ppp2r1b, Rac1, Ralgds, Rap1a, Rhoa, Sgk1, Shc1, Sos1, Src, Srf, Ywhab"
