"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Muc13","0.188","4.336","44.874","4.190"
"Sox17","1.000","0.469","0.395","2.254"
"Lypla1","1.000","-0.248","7.808","-0.360"
"Tcea1","1.000","-7.141e-02","2.522","-0.161"
"Atp6v1h","1.000","0.174","7.901","0.243"
"Rb1cc1","1.000","0.131","2.827","0.285"
"St18","1.000","-0.126","1.021","-0.402"
"Pcmtd1","1.000","0.145","1.581","0.419"
"Rrs1","1.000","1.022","3.083","2.266"
"Adhfe1","1.000","0.408","0.282","1.964"
"Mybl1","1.000","0.405","0.141","1.958"
"Vcpip1","1.000","-2.507e-02","2.743","-5.500e-02"
"Sgk3","1.000","1.794e-02","1.077","5.617e-02"
"Cops5","1.000","-8.977e-02","7.410","-0.136"
"Cspp1","1.000","0.206","5.182","0.344"
"Arfgef1","1.000","0.391","20.130","0.403"
"Cpa6","1.000","0.563","0.113","2.730"
"Prex2","1.000","0.240","2.825e-02","1.166"
"Sulf1","1.000","-0.488","0.852","-1.802"
"Slco5a1","1.000","0.563","0.113","2.730"
"Ncoa2","1.000","-0.153","6.441","-0.255"
"Tram1","1.000","-0.806","38.410","-0.738"
"Lactb2","1.000","0.799","7.898","1.145"
"Xkr9","1.000","0.309","9.324","0.446"
"Eya1","1.000","0.563","0.113","2.730"
"Msc","1.000","0.563","0.113","2.730"
"Kcnb2","1.000","0.240","2.825e-02","1.166"
"Terf1","1.000","-7.729e-02","1.445","-0.214"
"Rdh10","1.000","0.150","116.150","0.111"
"Stau2","1.000","-0.112","1.501","-0.306"
"Ube2w","1.000","-0.536","3.322","-1.115"
"Eloc","1.000","0.185","0.677","0.750"
"Tmem70","1.000","-8.169e-02","0.965","-0.267"
"Ly96","1.000","0.431","5.403","0.708"
"Jph1","1.000","0.650","0.226","3.148"
"Pkhd1","1.000","0.637","0.931","2.278"
"Mcm3","1.000","-0.317","0.654","-1.317"
"Paqr8","1.000","-1.139","60.082","-0.948"
"Efhc1","1.000","0.139","3.952","0.289"
"Tram2","1.000","1.348","2.491","3.296"
"Tmem14a","1.000","-8.316e-02","1.590","-0.233"
"Gsta3","1.000","0.413","21.574","0.421"
"Ogfrl1","1.000","0.240","2.825e-02","1.166"
"Smap1","1.000","-0.556","7.710","-0.812"
"Sdhaf4","1.000","0.117","0.311","0.564"
"Fam135a","1.000","-0.150","19.581","-0.173"
"Lmbrd1","1.000","-3.516e-02","9.475","-4.921e-02"
"Phf3","1.000","-0.331","2.579","-0.734"
"Prim2","1.000","-0.334","7.124","-0.528"
"Rab23","1.000","0.243","1.811","0.624"
"Bag2","1.000","0.177","0.254","0.854"
"Zfp451","1.000","-0.142","2.555","-0.333"
"Dst","1.000","-0.247","7.678","-0.373"
"Ccdc115","1.000","0.361","0.649","1.488"
"Imp4","1.000","0.141","1.557","0.381"
"Ptpn18","1.000","0.563","8.314","0.777"
"Arhgef4","1.000","1.403","2.208","3.720"
"Fam168b","1.000","-8.258e-02","7.587","-0.118"
"Plekhb2","1.000","-1.052","99.850","-0.816"
"Hs6st1","1.000","-0.309","12.904","-0.372"
"Uggt1","1.000","0.102","5.796","0.168"
"Neurl3","1.000","0.338","45.627","0.292"
"Arid5a","1.000","-0.440","2.358","-1.037"
"Kansl3","1.000","0.455","5.734","0.771"
"Lman2l","1.000","-0.355","2.917","-0.752"
"Cnnm4","1.000","-1.496","42.288","-1.373"
"Cnnm3","1.000","1.062","3.365","2.266"
"Ankrd23","1.000","0.417","0.593","1.784"
"Ankrd39","1.000","-0.534","1.760","-1.377"
"Sema4c","1.000","1.141","2.406","2.847"
"Cox5b","1.000","-0.935","52.453","-0.774"
"Actr1b","1.000","-0.511","12.403","-0.659"
"Zap70","1.000","-4.711e-02","1.162","-0.142"
"Tmem131","1.000","-0.115","5.881","-0.191"
"Vwa3b","1.000","0.553","0.367","2.666"
"Cnga3","1.000","-0.180","0.395","-0.871"
"Inpp4a","1.000","-0.137","2.663","-0.302"
"Coa5","1.000","-0.447","9.304","-0.622"
"Unc50","1.000","0.417","6.654","0.622"
"Mgat4a","1.000","1.275","56.727","1.089"
"Tsga10","1.000","0.568","0.818","2.134"
"Mitd1","1.000","9.339e-02","2.315","0.235"
"Txndc9","1.000","0.241","10.517","0.316"
"Eif5b","1.000","-0.288","3.684","-0.564"
"Rev1","1.000","0.177","0.254","0.854"
"Aff3","1.000","0.240","2.825e-02","1.166"
"Chst10","1.000","0.240","2.825e-02","1.166"
"Pdcl3","1.000","0.784","14.156","0.964"
"Npas2","1.000","-1.139","11.704","-1.517"
"Tbc1d8","1.000","1.328","2.914","3.010"
"Cnot11","1.000","0.184","1.698","0.483"
"Rnf149","1.000","-0.580","15.370","-0.661"
"Map4k4","1.000","0.658","10.152","0.883"
"Il1r2","1.000","9.646e-02","8.474e-02","0.467"
"Il1r1","1.000","-0.604","5.792","-1.066"
"Il1rl2","1.000","-0.280","1.365","-0.827"
"Il1rl1","1.000","-7.781e-02","0.711","-0.292"
"Il18r1","1.000","0.952","9.822","1.234"
"Il18rap","1.000","1.183","2.688","2.786"
"Slc9a4","1.000","1.012","36.468","0.886"
"Slc9a2","1.000","-0.836","28.666","-0.905"
"Mfsd9","1.000","-3.691e-02","2.771","-8.067e-02"
"Tmem182","1.000","0.563","0.113","2.730"
"Tgfbrap1","1.000","-7.132e-02","5.832","-0.114"
"AI597479","1.000","4.796e-02","1.844","0.127"
"Fhl2","1.000","0.372","46.997","0.318"
"Nck2","1.000","-0.682","10.216","-0.944"
"Uxs1","1.000","0.113","1.388","0.320"
"Tpp2","1.000","0.225","16.601","0.249"
"Tex30","1.000","0.405","0.141","1.958"
"Poglut2","1.000","0.721","0.592","3.097"
"Bivm","1.000","0.261","0.198","1.259"
"Ercc5","1.000","1.240","2.378","3.111"
"Col3a1","1.000","1.422","15.794","1.714"
"Col5a2","1.000","0.199","0.908","0.690"
"Wdr75","1.000","0.408","0.282","1.964"
"Slc40a1","1.000","0.298","1.359","0.866"
"Slc39a10","1.000","0.126","1.162","0.385"
"Tmeff2","1.000","0.405","0.141","1.958"
"Cavin2","1.000","-0.393","0.739","-1.543"
"Nabp1","1.000","-0.152","7.032","-0.230"
"Myo1b","1.000","-8.856e-02","5.641","-0.151"
"Stat4","1.000","0.493","0.254","2.375"
"Stat1","1.000","-1.087","8.631","-1.632"
"Gls","1.000","6.219e-02","3.594","0.123"
"Nab1","1.000","-9.342e-02","14.294","-0.108"
"Nemp2","1.000","1.017","2.293","2.628"
"Mfsd6","1.000","-0.445","9.025","-0.638"
"Inpp1","1.000","0.302","0.339","1.454"
"Hibch","1.000","-3.381e-02","0.682","-0.130"
"Pms1","1.000","0.650","0.226","3.148"
"Ormdl1","1.000","-0.188","1.760","-0.489"
"Osgepl1","1.000","0.240","2.825e-02","1.166"
"Asnsd1","1.000","-0.484","5.818","-0.837"
"Stk17b","1.000","-2.057e-04","12.082","-2.554e-04"
"Gtf3c3","1.000","0.810","0.987","2.834"
"Pgap1","1.000","0.727","20.726","0.760"
"Ankrd44","1.000","-8.604e-03","3.392","-1.759e-02"
"Sf3b1","1.000","1.279","38.070","1.122"
"Coq10b","1.000","0.524","9.536","0.699"
"Hspd1","1.000","-0.601","5.025","-1.098"
"Hspe1","1.000","1.540e-02","0.852","5.349e-02"
"Mob4","1.000","0.163","6.147","0.252"
"Mars2","1.000","-0.393","0.739","-1.543"
"Plcl1","1.000","0.261","0.198","1.259"
"Satb2","1.000","0.563","0.113","2.730"
"Tyw5","1.000","0.321","0.169","1.546"
"Maip1","1.000","-0.368","0.711","-1.471"
"Spats2l","1.000","-1.109","23.628","-1.253"
"Kctd18","1.000","-9.492e-02","1.473","-0.261"
"Aox1","1.000","0.261","0.198","1.259"
"Aox3","1.000","0.156","5.650e-02","0.754"
"Bzw1","1.000","0.233","24.726","0.234"
"Clk1","1.000","0.518","27.605","0.484"
"Ppil3","1.000","1.120","2.716","2.627"
"Nif3l1","1.000","0.205","0.423","0.982"
"Orc2","1.000","0.563","0.113","2.730"
"Fam126b","1.000","0.142","0.508","0.649"
"Ndufb3","1.000","0.241","0.593","1.032"
"Cflar","1.000","0.296","16.174","0.327"
"Casp8","1.000","0.741","18.203","0.778"
"Trak2","1.000","-0.239","12.783","-0.309"
"Stradb","1.000","-0.269","1.783","-0.688"
"Tmem237","1.000","0.261","0.198","1.259"
"Als2","1.000","5.469e-03","0.734","2.144e-02"
"Fzd7","1.000","-0.171","1.732","-0.449"
"Sumo1","1.000","-0.201","12.101","-0.250"
