"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Ngf","0.685","-3.890","18.977","-4.859"
"Tnfaip2","0.685","3.943","43.187","4.293"
"Xkr4","1.000","0.401","0.768","1.442"
"Sox17","1.000","-8.427e-02","19.804","-8.816e-02"
"Lypla1","1.000","-0.122","8.094","-0.167"
"Tcea1","1.000","-0.262","6.617","-0.396"
"Atp6v1h","1.000","-0.193","8.040","-0.279"
"Rb1cc1","1.000","-0.228","6.933","-0.339"
"St18","1.000","0.253","7.907e-02","1.230"
"Pcmtd1","1.000","0.473","5.067","0.779"
"Rrs1","1.000","-0.578","9.193","-0.796"
"Mybl1","1.000","0.158","0.689","0.546"
"Vcpip1","1.000","0.115","5.262","0.186"
"Sgk3","1.000","-0.214","2.778","-0.457"
"Cops5","1.000","-0.120","25.278","-0.116"
"Cspp1","1.000","0.434","15.997","0.476"
"Arfgef1","1.000","-1.451e-02","20.425","-1.505e-02"
"Cpa6","1.000","0.694","0.169","3.398"
"Prex2","1.000","0.342","0.135","1.661"
"Sulf1","1.000","0.148","1.874","0.345"
"Slco5a1","1.000","0.396","1.343","1.143"
"Prdm14","1.000","0.592","5.643e-02","2.901"
"Ncoa2","1.000","9.043e-02","5.544","0.145"
"Tram1","1.000","-1.047","33.324","-1.031"
"Lactb2","1.000","-0.262","8.365","-0.355"
"Xkr9","1.000","-9.163e-02","1.604","-0.229"
"Msc","1.000","0.342","0.135","1.661"
"Trpa1","1.000","0.342","0.135","1.661"
"Terf1","1.000","0.368","12.201","0.445"
"Sbspon","1.000","-1.507e-02","0.994","-4.867e-02"
"Rdh10","1.000","-0.898","280.099","-0.645"
"Stau2","1.000","1.294","13.587","1.553"
"Ube2w","1.000","0.119","7.791","0.171"
"Eloc","1.000","-6.632e-03","1.050","-1.942e-02"
"Tmem70","1.000","-0.470","2.665","-0.959"
"Ly96","1.000","0.257","3.737","0.476"
"Jph1","1.000","0.413","0.440","1.862"
