"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Bpifb1","0.216","-4.282","776.286","-3.062"
"Lypla1","1.000","-6.387e-02","1.234","-0.174"
"Tcea1","1.000","-0.693","1.109","-1.968"
"Atp6v1h","1.000","0.180","4.092","0.280"
"Rb1cc1","1.000","-0.249","1.928","-0.601"
"Pcmtd1","1.000","4.740e-02","3.582","9.050e-02"
"Rrs1","1.000","-0.699","2.678","-1.437"
"Adhfe1","1.000","7.841e-02","0.684","0.286"
"Vcpip1","1.000","-0.175","1.633","-0.441"
"Sgk3","1.000","0.657","0.810","2.262"
"Tcf24","1.000","-0.248","0.160","-1.220"
"Cops5","1.000","0.530","3.131","0.985"
"Cspp1","1.000","0.110","4.710","0.161"
"Arfgef1","1.000","-0.680","4.888","-1.052"
"Sulf1","1.000","-0.136","7.986e-02","-0.671"
"Ncoa2","1.000","0.104","0.886","0.342"
"Tram1","1.000","-0.566","20.543","-0.490"
"Lactb2","1.000","0.261","2.027","0.553"
"Terf1","1.000","0.275","2.228","0.557"
"Rdh10","1.000","0.158","4.147","0.245"
"Stau2","1.000","7.455e-02","2.468","0.144"
"Ube2w","1.000","0.355","3.840","0.573"
"Eloc","1.000","-0.147","0.441","-0.642"
"Tmem70","1.000","-0.757","1.189","-2.094"
"Ly96","1.000","0.117","0.873","0.404"
"Pkhd1","1.000","0.261","2.027","0.553"
"Mcm3","1.000","-0.248","0.160","-1.220"
"Paqr8","1.000","-0.581","1.781","-1.369"
"Efhc1","1.000","1.142","1.627","2.982"
"Tram2","1.000","-0.306","1.272","-0.814"
"Tmem14a","1.000","0.321","0.848","1.079"
"Gsta3","1.000","0.472","0.243","2.326"
"Kcnq5","1.000","-0.136","7.986e-02","-0.671"
"Smap1","1.000","-1.057","1.067","-3.307"
"Sdhaf4","1.000","-0.586","1.138","-1.851"
"Fam135a","1.000","0.269","7.652","0.325"
"Lmbrd1","1.000","-9.187e-02","2.280","-0.192"
"Phf3","1.000","0.238","1.801","0.553"
"Prim2","1.000","-0.147","0.441","-0.642"
"Rab23","1.000","4.612e-02","0.483","0.194"
"Bag2","1.000","0.486","1.397","1.266"
"Zfp451","1.000","0.189","1.893","0.455"
"Dst","1.000","-0.139","0.831","-0.450"
"Ccdc115","1.000","0.573","1.745","1.542"
"Imp4","1.000","-0.302","0.991","-0.892"
"Ptpn18","1.000","-4.268e-02","7.805","-5.410e-02"
"Prss39","1.000","0.358","0.122","1.767"
"Arhgef4","1.000","-0.484","30.724","-0.387"
"Fam168b","1.000","-0.378","2.558","-0.760"
"Plekhb2","1.000","-0.968","4.213","-1.604"
"Hs6st1","1.000","-8.941e-02","2.707","-0.166"
"Uggt1","1.000","-0.408","5.186","-0.615"
"Neurl3","1.000","-4.586e-02","0.844","-0.154"
"Arid5a","1.000","-0.761","0.748","-2.732"
"Kansl3","1.000","-0.595","3.023","-1.095"
"Lman2l","1.000","-0.366","1.352","-0.951"
"Cnnm4","1.000","-0.509","2.625","-1.008"
"Cnnm3","1.000","0.564","2.349","1.201"
"Ankrd23","1.000","7.455e-02","2.468","0.144"
"Ankrd39","1.000","-0.203","2.347","-0.422"
"Sema4c","1.000","0.448","0.566","1.774"
"Cox5b","1.000","-0.102","11.919","-0.109"
"Actr1b","1.000","-0.243","5.307","-0.344"
"Tmem131","1.000","0.275","2.228","0.557"
"Vwa3b","1.000","-0.321","0.240","-1.580"
"Inpp4a","1.000","-0.562","1.311","-1.483"
"Coa5","1.000","0.109","2.614","0.218"
"Unc50","1.000","1.032","2.999","1.974"
"Mgat4a","1.000","-0.112","0.924","-0.361"
"Mitd1","1.000","-0.440","1.151","-1.221"
"Txndc9","1.000","0.289","3.517","0.482"
"Eif5b","1.000","-0.136","2.360","-0.281"
"Rev1","1.000","0.298","1.734","0.745"
"Lonrf2","1.000","0.358","0.122","1.767"
"Pdcl3","1.000","-0.190","3.592","-0.336"
"Npas2","1.000","-0.248","0.160","-1.220"
"Tbc1d8","1.000","-0.432","5.765","-0.633"
"Cnot11","1.000","-0.507","1.982","-1.142"
"Rnf149","1.000","-0.785","24.009","-0.675"
"Creg2","1.000","-1.099","2.957","-2.192"
"Map4k4","1.000","0.809","3.134","1.512"
"Il1r2","1.000","-0.425","0.508","-1.975"
"Il1r1","1.000","-0.580","0.588","-2.322"
"Il1rl1","1.000","-0.321","0.240","-1.580"
"Il18r1","1.000","-1.746e-04","0.281","-8.491e-04"
"Slc9a4","1.000","0.124","6.469","0.163"
"Slc9a2","1.000","-0.300","2.398","-0.618"
"Mfsd9","1.000","-0.580","0.588","-2.322"
"Tgfbrap1","1.000","-7.480e-03","3.984","-1.174e-02"
"AI597479","1.000","-0.343","2.842","-0.664"
"Fhl2","1.000","-0.321","0.240","-1.580"
"Nck2","1.000","5.256e-02","1.167","0.155"
"Uxs1","1.000","-0.172","1.113","-0.485"
"Tpp2","1.000","0.512","4.444","0.826"
"Tex30","1.000","-0.162","1.487","-0.433"
"Poglut2","1.000","-0.618","1.390","-1.596"
"Bivm","1.000","4.612e-02","0.483","0.194"
"Ercc5","1.000","-0.175","1.633","-0.441"
"Col3a1","1.000","-2.013","2.693","-4.668"
"Col5a2","1.000","-0.136","7.986e-02","-0.671"
"Wdr75","1.000","-0.147","0.441","-0.642"
"Slc40a1","1.000","0.358","0.122","1.767"
"Slc39a10","1.000","0.472","0.243","2.326"
"Cavin2","1.000","0.112","0.202","0.549"
"Nabp1","1.000","1.025","2.847","2.180"
"Myo1b","1.000","0.902","3.183","1.723"
"Stat4","1.000","-0.136","7.986e-02","-0.671"
"Stat1","1.000","-0.569","0.559","-2.481"
"Gls","1.000","-0.503","2.734","-0.998"
"Nab1","1.000","7.872e-02","3.824","0.126"
"Mfsd6","1.000","-0.131","2.506","-0.252"
"Inpp1","1.000","0.475","1.666","1.144"
"Hibch","1.000","0.197","3.677","0.322"
"Pms1","1.000","0.246","0.928","0.798"
"Ormdl1","1.000","-1.746e-04","0.281","-8.491e-04"
"Osgepl1","1.000","0.123","0.403","0.558"
"Asnsd1","1.000","0.253","1.838","0.583"
"Stk17b","1.000","0.355","2.148","0.733"
"Gtf3c3","1.000","-2.138e-02","0.563","-8.438e-02"
"Pgap1","1.000","-9.033e-02","3.379","-0.152"
"Ankrd44","1.000","0.472","0.243","2.326"
"Sf3b1","1.000","0.616","16.901","0.572"
"Coq10b","1.000","0.229","0.525","0.931"
"Hspd1","1.000","-0.440","1.151","-1.221"
"Hspe1","1.000","-1.746e-04","0.281","-8.491e-04"
"Mob4","1.000","-3.276e-02","2.237","-7.008e-02"
"Rftn2","1.000","0.358","0.122","1.767"
"Mars2","1.000","-1.746e-04","0.281","-8.491e-04"
"Plcl1","1.000","-0.761","0.748","-2.732"
"Satb2","1.000","-0.248","0.160","-1.220"
"Tyw5","1.000","0.455","0.792","1.640"
"Maip1","1.000","-7.651e-03","0.752","-2.791e-02"
"Spats2l","1.000","-0.421","0.399","-2.064"
"Kctd18","1.000","0.515","0.890","1.695"
"Aox1","1.000","0.472","0.243","2.326"
"Bzw1","1.000","-0.515","3.615","-0.854"
"Clk1","1.000","0.167","15.326","0.160"
"Ppil3","1.000","-0.377","0.319","-1.848"
"Nif3l1","1.000","0.340","0.445","1.483"
"Orc2","1.000","-0.321","0.240","-1.580"
"Fam126b","1.000","0.228","0.323","1.108"
"Ndufb3","1.000","-0.580","0.588","-2.322"
"Cflar","1.000","-0.612","2.503","-1.247"
"Casp8","1.000","-3.443e-02","1.436","-8.780e-02"
"Trak2","1.000","0.198","2.993","0.351"
"Stradb","1.000","-9.739e-02","1.516","-0.242"
"Tmem237","1.000","0.472","0.243","2.326"
"Mpp4","1.000","0.358","0.122","1.767"
"Als2","1.000","4.612e-02","0.483","0.194"
"Fzd7","1.000","-0.136","7.986e-02","-0.671"
"Sumo1","1.000","-0.555","0.949","-1.674"
"Nop58","1.000","-0.397","1.042","-1.225"
