"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Nupr1","1.771e-05","5.941","143.518","3.873"
"Tff2","1.771e-05","-5.961","1025.512","-2.858"
"Xkr4","1.000","0.312","8.048e-02","1.535"
"Sox17","1.000","0.312","8.048e-02","1.535"
"Lypla1","1.000","-0.580","6.359","-0.809"
"Tcea1","1.000","-0.991","6.113","-1.357"
"Atp6v1h","1.000","0.300","10.420","0.317"
"Rb1cc1","1.000","0.573","2.756","1.142"
"Alkal1","1.000","0.796","0.913","3.053"
"St18","1.000","0.770","0.644","3.249"
"Pcmtd1","1.000","0.143","3.227","0.251"
"Rrs1","1.000","0.446","3.158","0.866"
"Adhfe1","1.000","0.152","0.294","0.743"
"Vcpip1","1.000","-0.347","2.569","-0.699"
"Sgk3","1.000","1.014","1.528","2.710"
"Tcf24","1.000","0.152","0.294","0.743"
"Cops5","1.000","0.221","12.738","0.216"
"Cspp1","1.000","0.930","5.267","1.342"
"Arfgef1","1.000","-0.246","18.867","-0.209"
"Prex2","1.000","0.312","8.048e-02","1.535"
"Sulf1","1.000","0.152","0.294","0.743"
"Ncoa2","1.000","-0.234","4.811","-0.364"
"Tram1","1.000","-0.844","35.095","-0.674"
"Lactb2","1.000","9.449e-02","5.199","0.135"
"Xkr9","1.000","0.329","8.280","0.392"
"Kcnb2","1.000","0.312","8.048e-02","1.535"
"Terf1","1.000","0.117","3.441","0.200"
"Rdh10","1.000","7.435e-02","17.205","6.618e-02"
"Stau2","1.000","0.270","3.570","0.448"
"Ube2w","1.000","-0.808","2.363","-1.734"
"Eloc","1.000","-0.526","1.587","-1.284"
"Tmem70","1.000","-0.126","1.280","-0.363"
"Ly96","1.000","-0.292","4.936","-0.424"
"Defb18","1.000","0.796","0.913","3.053"
"Pkhd1","1.000","1.745e-02","2.524","3.512e-02"
"Mcm3","1.000","-0.102","1.349","-0.274"
"Paqr8","1.000","0.244","19.497","0.209"
"Efhc1","1.000","0.976","2.378","2.064"
"Tram2","1.000","-0.347","1.321","-0.920"
"Tmem14a","1.000","0.595","1.420","1.622"
"Gsta3","1.000","-1.484","21.203","-1.425"
"Ogfrl1","1.000","-0.283","0.266","-1.385"
"Smap1","1.000","-0.367","4.247","-0.569"
"Sdhaf4","1.000","-7.728e-02","0.346","-0.376"
"Fam135a","1.000","0.114","16.464","0.102"
"Col19a1","1.000","-0.304","0.367","-1.490"
"Lmbrd1","1.000","0.106","11.919","0.108"
"Phf3","1.000","-0.270","3.373","-0.464"
"Prim2","1.000","0.259","5.466","0.364"
"Rab23","1.000","0.526","1.445","1.458"
"Bag2","1.000","0.169","0.588","0.671"
"Zfp451","1.000","-0.323","2.468","-0.660"
"Bend6","1.000","-0.304","0.367","-1.490"
"Dst","1.000","0.780","9.689","0.873"
"Ccdc115","1.000","0.159","4.559","0.241"
"Imp4","1.000","0.120","2.934","0.220"
"Ptpn18","1.000","-0.148","9.895","-0.165"
"Arhgef4","1.000","0.259","3.276","0.446"
"Arhgef4.1","1.000","-0.151","0.133","-0.747"
"Fam168b","1.000","-0.606","8.123","-0.791"
"Plekhb2","1.000","-0.453","77.321","-0.281"
"Hs6st1","1.000","-0.828","12.516","-0.836"
"Uggt1","1.000","-0.310","10.156","-0.332"
"Neurl3","1.000","-0.225","26.147","-0.180"
"Arid5a","1.000","0.222","0.374","1.067"
"Kansl3","1.000","0.191","9.804","0.207"
"Lman2l","1.000","0.151","2.371","0.316"
"Cnnm4","1.000","-0.377","18.080","-0.369"
"Cnnm3","1.000","0.777","4.546","1.239"
"Ankrd23","1.000","-0.347","1.321","-0.920"
"Ankrd39","1.000","0.356","3.731","0.580"
"Sema4c","1.000","1.300","1.315","3.914"
"Cox5b","1.000","-0.621","65.610","-0.401"
"Actr1b","1.000","8.535e-02","14.217","8.062e-02"
"Zap70","1.000","0.477","0.241","2.339"
"Tmem131","1.000","-0.540","6.453","-0.701"
"Vwa3b","1.000","0.312","8.048e-02","1.535"
"Cnga3","1.000","-0.304","0.367","-1.490"
"Inpp4a","1.000","-0.284","1.615","-0.692"
"Coa5","1.000","-0.264","13.766","-0.260"
"Unc50","1.000","1.906e-02","6.436","2.453e-02"
"Mgat4a","1.000","4.492e-02","15.714","4.099e-02"
"Tsga10","1.000","-7.728e-02","0.346","-0.376"
"Lipt1","1.000","0.212","1.493","0.554"
"Mitd1","1.000","-0.101","1.574","-0.271"
"Txndc9","1.000","-0.374","10.061","-0.413"
"Eif5b","1.000","-0.846","5.550","-1.264"
"Rev1","1.000","0.726","1.581","1.884"
"Aff3","1.000","0.477","0.241","2.339"
"Lonrf2","1.000","0.312","8.048e-02","1.535"
"Pdcl3","1.000","-0.509","10.588","-0.549"
"Npas2","1.000","0.860","8.123","1.038"
"Tbc1d8","1.000","-7.113e-02","1.248","-0.193"
"Cnot11","1.000","0.294","4.394","0.454"
"Rnf149","1.000","-0.458","23.933","-0.363"
"Map4k4","1.000","-0.341","3.322","-0.617"
"Il1r1","1.000","5.933e-02","5.514","8.186e-02"
"Il1rl1","1.000","-0.151","0.133","-0.747"
"Il18r1","1.000","5.927e-02","2.210","0.127"
"Il18rap","1.000","2.169e-02","0.427","9.837e-02"
"Slc9a4","1.000","-0.219","27.011","-0.166"
"Slc9a2","1.000","-1.471","24.864","-1.269"
"Mfsd9","1.000","6.496e-02","1.703","0.155"
"Gpr45","1.000","-0.151","0.133","-0.747"
"Tgfbrap1","1.000","0.302","5.794","0.424"
"AI597479","1.000","0.706","2.699","1.441"
"Fhl2","1.000","0.633","30.709","0.455"
"Nck2","1.000","-0.294","12.744","-0.296"
"Uxs1","1.000","0.207","1.256","0.604"
"Tpp2","1.000","-0.268","13.750","-0.255"
"Tex30","1.000","-0.327","0.612","-1.273"
"Poglut2","1.000","0.432","0.616","1.701"
"Bivm","1.000","-0.198","0.479","-0.855"
"Ercc5","1.000","-3.841e-02","2.367","-7.827e-02"
"Gulp1","1.000","0.410","0.161","2.016"
"Col3a1","1.000","1.994e-02","7.992","2.435e-02"
"Col5a2","1.000","0.410","0.161","2.016"
"Wdr75","1.000","-0.425","0.713","-1.441"
"Slc40a1","1.000","0.152","0.294","0.743"
"Slc39a10","1.000","-0.333","2.024","-0.754"
"Cavin2","1.000","0.411","1.259","1.197"
"Nabp1","1.000","1.112","2.679","2.309"
"Myo1b","1.000","0.211","1.550","0.562"
"Stat1","1.000","-1.686","8.418","-2.169"
"Gls","1.000","-4.152e-02","4.416","-6.265e-02"
