"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Gip","2.008e-02","4.801","76.236","22.977"
"Xkr4","0.998","0.200","0.371","0.990"
"Sox17","0.998","0.625","0.573","3.083"
"Lypla1","0.998","-0.373","5.236","-0.404"
"Tcea1","0.998","-0.972","4.799","-1.123"
"Atp6v1h","0.998","0.359","10.974","0.274"
"Npbwr1","0.998","0.625","0.573","3.083"
"Rb1cc1","0.998","-0.815","5.184","-0.923"
"St18","0.998","1.274","1.146","4.122"
"Pcmtd1","0.998","0.167","3.707","0.218"
"Rrs1","0.998","-0.751","1.334","-1.776"
"Adhfe1","0.998","0.615","0.445","3.034"
"Mybl1","0.998","0.481","0.222","2.389"
"Vcpip1","0.998","7.250e-02","4.457","8.479e-02"
"Sgk3","0.998","0.705","6.139","0.730"
"Mcmdc2","0.998","0.962","0.795","3.662"
"Cops5","0.998","0.371","14.542","0.271"
"Cspp1","0.998","0.356","11.958","0.262"
"Arfgef1","0.998","-0.198","14.698","-0.136"
"Prex2","0.998","-5.824e-02","0.149","-0.291"
"Sulf1","0.998","-0.724","0.892","-2.773"
"Slco5a1","0.998","0.625","0.573","3.083"
"Ncoa2","0.998","-0.364","4.680","-0.421"
"Tram1","0.998","2.320e-02","27.560","1.343e-02"
"Lactb2","0.998","0.559","6.663","0.528"
"Xkr9","0.998","0.613","1.186","1.677"
"Msc","0.998","0.481","0.222","2.389"
"Terf1","0.998","0.407","3.018","0.604"
"Sbspon","0.998","0.625","0.573","3.083"
"Rdh10","0.998","-0.428","17.040","-0.298"
"Stau2","0.998","0.741","8.864","0.643"
"Ube2w","0.998","0.725","9.255","0.596"
"Eloc","0.998","-4.705e-02","1.517","-9.772e-02"
"Tmem70","0.998","0.119","1.297","0.278"
"Ly96","0.998","0.355","4.757","0.389"
"Pkhd1","0.998","0.743","2.129","1.196"
"Mcm3","0.998","0.109","3.314","0.138"
"Paqr8","0.998","-0.553","10.216","-0.954"
"Efhc1","0.998","0.168","0.407","0.833"
"Tram2","0.998","2.782","5.700","3.393"
"Tmem14a","0.998","-6.327e-02","2.037","-0.108"
"Gsta3","0.998","-4.192e-02","4.893","-4.991e-02"
"Ogfrl1","0.998","0.481","0.222","2.389"
"Smap1","0.998","-1.346","4.241","-1.725"
"Sdhaf4","0.998","0.620","3.148","0.817"
"Fam135a","0.998","0.848","11.469","0.666"
"Lmbrd1","0.998","0.229","9.780","0.189"
"Phf3","0.998","-0.103","3.699","-0.129"
"Khdrbs2","0.998","0.625","0.573","3.083"
"Prim2","0.998","0.860","1.815","1.641"
"Rab23","0.998","0.193","2.687","0.284"
"Bag2","0.998","-0.426","0.553","-2.066"
"Zfp451","0.998","0.331","5.205","0.353"
"Dst","0.998","-0.705","4.148","-0.867"
"Ccdc115","0.998","-0.733","2.553","-1.160"
"Imp4","0.998","-8.463e-02","4.682","-9.475e-02"
"Ptpn18","0.998","-0.756","23.603","-0.452"
"Arhgef4","0.998","0.234","4.977","0.257"
"Fam168b","0.998","-0.111","8.062","-0.108"
"Plekhb2","0.998","-0.255","23.315","-0.164"
"Hs6st1","0.998","4.683e-02","4.441","5.220e-02"
"Uggt1","0.998","0.884","19.229","0.568"
"Neurl3","0.998","-1.421","9.432","-1.309"
"Arid5a","0.998","-0.595","1.705","-1.196"
"Kansl3","0.998","0.785","11.948","0.640"
"Lman2l","0.998","0.716","4.883","0.795"
"Cnnm4","0.998","-0.510","4.477","-0.622"
"Cnnm3","0.998","0.898","7.217","0.844"
"Ankrd23","0.998","0.750","4.348","0.851"
"Ankrd39","0.998","9.414e-02","4.848","0.101"
"Sema4c","0.998","-0.389","4.165","-0.452"
"Cox5b","0.998","-0.942","26.768","-0.557"
"Actr1b","0.998","0.669","17.490","0.429"
"Tmem131","0.998","0.880","9.364","0.717"
"Vwa3b","0.998","6.864e-02","2.424","0.102"
"Inpp4a","0.998","4.524e-02","13.334","3.297e-02"
"Coa5","0.998","-0.578","4.570","-0.660"
"Unc50","0.998","0.938","10.220","0.742"
"Mgat4a","0.998","1.925","27.166","1.293"
"Tsga10","0.998","-5.824e-02","0.149","-0.291"
"Lipt1","0.998","-0.365","0.924","-1.109"
"Mitd1","0.998","-0.550","1.664","-1.127"
"Eif5b","0.998","-0.665","4.790","-0.763"
"Rev1","0.998","-1.062","2.443","-1.792"
"Aff3","0.998","-5.824e-02","0.149","-0.291"
"Chst10","0.998","0.625","0.573","3.083"
"Pdcl3","0.998","-0.183","7.372","-0.168"
"Npas2","0.998","0.504","1.942","0.872"
"Tbc1d8","0.998","1.156","5.443","1.204"
"Cnot11","0.998","-0.121","3.199","-0.161"
"Rnf149","0.998","-0.582","12.871","-0.438"
"Map4k4","0.998","0.123","6.273","0.118"
"Il1r1","0.998","0.482","1.535","0.967"
"Il1rl1","0.998","-0.244","0.297","-1.194"
"Il18r1","0.998","0.386","8.015","0.333"
"Il18rap","0.998","0.615","0.445","3.034"
"Slc9a4","0.998","0.301","20.166","0.222"
"Slc9a2","0.998","-7.334e-03","10.455","-5.887e-03"
"Mfsd9","0.998","0.701","5.238","0.722"
"Tgfbrap1","0.998","-0.248","3.888","-0.311"
"AI597479","0.998","-0.102","4.204","-0.125"
"Fhl2","0.998","-0.363","9.632","-0.333"
"Nck2","0.998","-0.933","4.660","-1.115"
"Uxs1","0.998","0.314","3.074","0.422"
"Tpp2","0.998","-0.246","10.051","-0.213"
"Tex30","0.998","-0.373","1.408","-0.830"
"Poglut2","0.998","0.651","4.810","0.709"
"Bivm","0.998","0.335","1.648","0.637"
"Ercc5","0.998","0.321","3.552","0.397"
"Gulp1","0.998","-8.998e-02","0.184","-0.448"
"Col3a1","0.998","0.739","6.958","0.675"
"Wdr75","0.998","0.584","2.277","0.896"
"Slc40a1","0.998","-0.520","2.189","-0.923"
"Slc39a10","0.998","0.717","1.351","1.590"
"Nabp1","0.998","-0.666","2.409","-1.077"
"Myo1b","0.998","1.047","7.275","0.956"
"Stat4","0.998","-4.821e-02","1.055","-0.136"
"Stat1","0.998","-0.961","4.926","-1.118"
"Gls","0.998","-2.345e-02","7.481","-2.117e-02"
"Nab1","0.998","-7.525e-03","9.659","-6.267e-03"
"Nemp2","0.998","-0.386","0.482","-1.878"
"Mfsd6","0.998","-0.317","4.572","-0.354"
"Inpp1","0.998","0.613","1.186","1.677"
"Hibch","0.998","0.830","3.329","1.114"
"Pms1","0.998","8.647e-03","0.962","2.518e-02"
"Ormdl1","0.998","-0.373","1.408","-0.830"
"Osgepl1","0.998","-0.339","0.888","-1.043"
"Asnsd1","0.998","-0.489","4.941","-0.535"
"Stk17b","0.998","-0.193","3.385","-0.283"
"Ccdc150","0.998","-8.998e-02","0.184","-0.448"
"Gtf3c3","0.998","-0.829","2.707","-1.295"
"Pgap1","0.998","0.796","10.183","0.670"
"Ankrd44","0.998","1.595","1.833","3.431"
"Sf3b1","0.998","0.148","34.109","8.157e-02"
"Coq10b","0.998","-0.187","2.222","-0.303"
"Hspd1","0.998","-1.320","5.925","-1.453"
"Hspe1","0.998","-0.722","3.740","-0.931"
"Mob4","0.998","-0.387","11.644","-0.296"
