"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Chil4","4.183e-09","-7.280","508.849","-5.296"
"Isg15","1.252e-02","-4.752","106.884","-10.354"
"Rnf213","1.252e-02","-4.670","83.545","-4.156"
"Irf7","2.644e-02","-4.453","73.944","-4.169"
"Oas2","3.157e-02","-4.366","60.268","-6.113"
"Bst2","0.512","-3.666","37.636","-6.428"
"Oas3","0.576","-3.596","27.977","-8.487"
"Usp18","0.591","-3.555","32.908","-5.241"
"Krt13","0.758","-3.457","38.307","-4.692"
"Rtp4","0.919","-3.376","38.288","-3.798"
"Sprr2f","0.942","3.343","16.790","5.241"
"Sox17","1.000","0.473","0.680","2.732"
"Lypla1","1.000","5.968e-02","18.028","7.698e-02"
"Tcea1","1.000","-0.224","8.982","-0.397"
"Atp6v1h","1.000","-2.773e-02","12.264","-4.348e-02"
"Rb1cc1","1.000","0.685","9.130","1.186"
"Alkal1","1.000","-0.348","9.534e-02","-2.108"
"St18","1.000","0.669","1.872","2.429"
"Pcmtd1","1.000","0.550","10.189","0.905"
"Rrs1","1.000","-0.102","3.336","-0.276"
"Adhfe1","1.000","-0.562","0.572","-3.395"
"Mybl1","1.000","0.194","0.227","1.147"
"Vcpip1","1.000","-0.152","11.128","-0.240"
"Sgk3","1.000","0.268","3.407","0.727"
"Tcf24","1.000","0.194","0.227","1.147"
"Cops5","1.000","-0.160","13.835","-0.232"
"Cspp1","1.000","-0.197","11.414","-0.307"
"Arfgef1","1.000","-5.081e-02","30.467","-5.387e-02"
"Cpa6","1.000","0.194","0.227","1.147"
"Prex2","1.000","-0.348","9.534e-02","-2.108"
"Sulf1","1.000","0.194","0.227","1.147"
"Ncoa2","1.000","0.133","12.145","0.208"
"Tram1","1.000","-1.164","79.804","-0.927"
"Lactb2","1.000","-0.388","8.614","-0.685"
"Xkr9","1.000","0.636","30.091","0.676"
"Eya1","1.000","0.194","0.227","1.147"
"Terf1","1.000","-0.468","1.657","-1.892"
"Rdh10","1.000","1.083","43.323","1.023"
"Stau2","1.000","-1.096e-02","3.658","-2.829e-02"
"Ube2w","1.000","0.469","3.279","1.342"
"Eloc","1.000","-0.468","1.657","-1.892"
"Tmem70","1.000","-0.348","9.534e-02","-2.108"
"Ly96","1.000","0.917","9.750","1.549"
"Pi15","1.000","-0.348","9.534e-02","-2.108"
"Pkhd1","1.000","0.847","4.543","2.120"
"Paqr8","1.000","0.958","58.258","0.841"
"Efhc1","1.000","0.451","2.861","1.367"
"Tram2","1.000","0.252","1.478","1.018"
"Tmem14a","1.000","3.962e-02","0.930","0.197"
"Gsta3","1.000","-0.491","7.257","-0.950"
"Khdc1a","1.000","0.194","0.227","1.147"
"Ogfrl1","1.000","-0.348","9.534e-02","-2.108"
"Smap1","1.000","8.038e-02","4.995","0.192"
"Sdhaf4","1.000","0.366","1.192","1.619"
"Fam135a","1.000","0.763","48.005","0.698"
"Lmbrd1","1.000","0.358","26.383","0.399"
"Phf3","1.000","0.403","2.539","1.286"
"Prim2","1.000","0.195","16.769","0.264"
"Rab23","1.000","-0.342","3.395","-0.919"
"Bag2","1.000","-6.523e-02","0.513","-0.383"
"Zfp451","1.000","-0.572","4.776","-1.372"
"Dst","1.000","0.129","8.176","0.234"
"Ccdc115","1.000","-0.370","3.490","-0.984"
"Imp4","1.000","1.694e-02","2.336","5.636e-02"
"Ptpn18","1.000","0.234","15.980","0.316"
"Arhgef4","1.000","0.271","2.990","0.791"
"Fam168b","1.000","0.290","22.036","0.350"
"Plekhb2","1.000","-5.577e-02","236.905","-3.609e-02"
"Hs6st1","1.000","-0.477","31.264","-0.500"
"Uggt1","1.000","0.241","15.267","0.335"
"Neurl3","1.000","-0.505","104.410","-0.395"
"Arid5a","1.000","0.112","0.739","0.618"
"Kansl3","1.000","0.302","11.418","0.481"
"Lman2l","1.000","0.324","7.640","0.603"
"Cnnm4","1.000","-0.755","90.357","-0.593"
"Cnnm3","1.000","-0.239","6.445","-0.483"
"Ankrd23","1.000","0.159","3.694","0.410"
"Ankrd39","1.000","0.575","8.234","1.060"
"Sema4c","1.000","-0.523","2.179","-1.824"
"Cox5b","1.000","-1.151","114.921","-0.842"
"Actr1b","1.000","-0.245","41.678","-0.234"
"Zap70","1.000","6.935e-03","1.025","3.307e-02"
"Tmem131","1.000","-4.609e-03","13.812","-6.677e-03"
