"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Xkr4","1.000","0.784","0.172","3.859"
"Rp1","1.000","0.166","0.171","0.809"
"Sox17","1.000","0.784","0.172","3.859"
"Lypla1","1.000","-0.298","8.295","-0.385"
"Tcea1","1.000","0.749","7.699","1.020"
"Atp6v1h","1.000","-0.184","14.167","-0.193"
"Rb1cc1","1.000","-0.436","5.616","-0.645"
"St18","1.000","-0.312","0.566","-1.133"
"Pcmtd1","1.000","-0.182","6.872","-0.249"
"Rrs1","1.000","-0.932","29.682","-0.931"
"Adhfe1","1.000","0.346","8.539","0.440"
"Vcpip1","1.000","-0.428","6.968","-0.575"
"Sgk3","1.000","0.667","6.416","0.877"
"Mcmdc2","1.000","3.667e-02","0.225","0.178"
"Tcf24","1.000","0.203","0.113","0.992"
"Cops5","1.000","-0.467","11.472","-0.553"
"Cspp1","1.000","-0.352","4.370","-0.565"
"Arfgef1","1.000","0.296","22.347","0.272"
"Sulf1","1.000","0.339","0.341","1.535"
"Slco5a1","1.000","0.203","0.113","0.992"
"Ncoa2","1.000","-0.348","3.919","-0.578"
"Tram1","1.000","-0.662","21.908","-0.692"
"Lactb2","1.000","-0.852","8.054","-1.133"
"Xkr9","1.000","-1.078","2.379","-2.191"
"Msc","1.000","0.784","0.172","3.859"
"Terf1","1.000","-1.400e-02","1.079","-3.654e-02"
"Rdh10","1.000","-0.588","13.680","-0.670"
"Stau2","1.000","-0.517","7.431","-0.699"
"Ube2w","1.000","-0.316","4.711","-0.493"
"Eloc","1.000","-0.485","3.862","-0.812"
"Tmem70","1.000","-0.372","6.815","-0.511"
"Ly96","1.000","-0.612","0.906","-1.856"
"Jph1","1.000","0.239","0.455","0.880"
"Pkhd1","1.000","0.221","0.795","0.651"
"Mcm3","1.000","0.849","5.147","1.533"
"Paqr8","1.000","-0.881","12.265","-1.047"
"Efhc1","1.000","-0.221","0.967","-0.617"
"Tram2","1.000","0.491","1.139","1.274"
"Tmem14a","1.000","0.172","1.535","0.396"
"Gsta3","1.000","-0.550","15.171","-0.619"
"Kcnq5","1.000","0.532","0.228","2.597"
