"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Prom1","0.747","3.693","37.026","2.825"
"Mcpt1","0.747","3.721","16.710","6.036"
"Muc13","0.747","3.956","17.409","4.466"
"Cfl1","0.747","-3.777","19.017","-3.257"
"Sox17","1.000","0.547","0.581","2.667"
"Lypla1","1.000","0.242","4.463","0.324"
"Tcea1","1.000","0.364","4.198","0.534"
"Rgs20","1.000","-0.505","0.482","-2.475"
"Atp6v1h","1.000","1.543","6.174","1.934"
"Oprk1","1.000","-0.304","0.241","-1.516"
"Rb1cc1","1.000","0.223","3.472","0.321"
"Pcmtd1","1.000","-0.747","2.411","-1.347"
"Rrs1","1.000","-0.939","4.218","-1.288"
"Mybl1","1.000","-0.310","2.096","-0.694"
"Vcpip1","1.000","-0.178","3.760","-0.246"
"Sgk3","1.000","-0.299","4.412","-0.384"
"Tcf24","1.000","-0.304","0.241","-1.516"
"Cops5","1.000","0.545","10.924","0.501"
"Cspp1","1.000","0.593","11.416","0.512"
"Arfgef1","1.000","0.235","10.182","0.207"
"Prex2","1.000","-0.677","0.746","-3.101"
"Sulf1","1.000","0.470","1.013","1.612"
"Ncoa2","1.000","-0.127","4.727","-0.156"
"Tram1","1.000","-0.179","12.172","-0.148"
"Lactb2","1.000","-0.936","6.529","-0.987"
"Xkr9","1.000","0.315","0.289","1.565"
"Eya1","1.000","2.859e-02","0.530","0.142"
"Msc","1.000","0.255","0.194","1.271"
"Terf1","1.000","0.373","7.962","0.354"
"Sbspon","1.000","-0.304","0.241","-1.516"
"Rdh10","1.000","0.638","16.883","0.476"
"Stau2","1.000","0.805","2.052","1.629"
"Ube2w","1.000","-0.407","5.911","-0.472"
"Eloc","1.000","-0.724","1.228","-2.188"
"Tmem70","1.000","-0.661","1.639","-1.593"
"Ly96","1.000","-0.893","1.564","-2.323"
"Jph1","1.000","1.504e-02","0.554","7.459e-02"
"Pkhd1","1.000","0.255","0.194","1.271"
"Mcm3","1.000","-0.788","8.555","-0.737"
"Paqr8","1.000","-5.543e-02","8.099","-5.413e-02"
"Efhc1","1.000","0.273","0.820","1.187"
