"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Gkn1","3.684e-03","-4.551","3256.257","-2.735"
"Gkn2","1.709e-02","-3.962","2527.192","-2.097"
"Muc5ac","1.709e-02","-4.016","260.178","-2.830"
"Cftr","1.746e-02","3.887","15.861","4.170"
"Mgp","3.784e-02","-3.638","27.425","-3.538"
"Lgals9","5.344e-02","-3.500","24.652","-3.105"
"Aqp3","5.401e-02","-3.407","41.873","-2.579"
"Psca","5.401e-02","-3.387","345.166","-1.969"
"mt-Nd6","5.401e-02","3.439","215.659","2.428"
"Ces2c","5.956e-02","-3.331","62.444","-2.445"
"Lypd8","6.284e-02","-3.290","71.320","-2.591"
"Igkc","6.718e-02","3.246","12.679","3.223"
"Tff1","7.085e-02","-3.208","4199.977","-1.916"
"Dpt","7.818e-02","-3.158","12.673","-3.725"
"Mucl3","8.229e-02","-3.123","103.357","-2.197"
"Epn3","9.142e-02","-3.072","20.941","-2.995"
"Gsn","9.778e-02","-3.029","184.068","-1.952"
"Dsg2","9.778e-02","-3.017","15.939","-2.970"
"Tob1","0.145","-2.879","40.713","-2.130"
"Lgals3","0.145","-2.861","21.781","-2.459"
"Capn8","0.214","-2.690","26.551","-2.114"
"Krt20","0.214","-2.714","26.794","-2.640"
"Ndrg1","0.214","-2.697","11.325","-3.271"
"S100a6","0.229","-2.614","56.428","-2.250"
"Dsp","0.229","-2.619","25.580","-2.056"
"Ctsb","0.229","-2.648","39.061","-2.100"
"Prr13","0.229","-2.637","18.323","-2.278"
"Mal","0.242","-2.569","21.802","-2.076"
"Tmem189","0.242","-2.580","34.388","-2.081"
"Aldh2","0.294","-2.478","12.384","-2.493"
"Gsto1","0.294","-2.482","162.877","-1.704"
"Gsta4","0.347","-2.395","82.430","-1.797"
"Misp","0.347","-2.404","12.426","-2.573"
"Ucp2","0.350","-2.381","85.325","-1.708"
"Mogat1","0.380","-2.332","11.019","-2.333"
"Ctse","0.380","-2.306","89.081","-1.889"
"Sdcbp2","0.380","-2.276","11.146","-2.350"
"Tpm2","0.380","-2.308","20.718","-1.935"
"Hsd17b11","0.380","-2.246","28.046","-1.746"
"Muc6","0.380","2.263","230.090","1.698"
"Mmp15","0.380","-2.286","11.261","-2.382"
"Col1a1","0.380","-2.297","66.528","-1.823"
"Acox1","0.380","-2.239","19.242","-1.909"
"Lgals3bp","0.380","-2.282","26.894","-2.211"
"Foxq1","0.380","-2.258","33.818","-1.784"
"mt-Co1","0.380","2.236","151.279","1.368"
"Klf4","0.392","-2.171","44.301","-1.866"
"Jun","0.392","-2.154","15.829","-1.933"
"Tmem51","0.392","-2.197","16.324","-1.902"
"Cyp2s1","0.392","-2.205","79.873","-1.649"
"Camsap3","0.392","-2.157","14.035","-1.951"
"Sfrp1","0.392","-2.182","25.609","-1.781"
"Itgb4","0.392","-2.154","13.426","-2.065"
"Igha","0.392","2.172","27.161","1.950"
"Tff2","0.392","2.190","673.882","1.083"
"Tagln2","0.393","-2.140","69.901","-1.584"
"H2-D1","0.393","-2.138","10.933","-2.101"
"Mt1","0.403","-2.121","27.729","-1.799"
"Myo15b","0.404","-2.113","17.216","-2.002"
"Lsr","0.409","-2.088","11.980","-2.058"
"Chchd10","0.409","-2.098","11.666","-2.033"
"Fhl1","0.409","-2.093","38.355","-1.662"
"Krt8","0.418","-2.072","167.083","-1.391"
"Mxd1","0.420","-2.064","38.591","-1.856"
"Lgals2","0.436","-2.042","17.771","-1.705"
"Atp5o","0.451","2.022","15.570","1.798"
"Ckmt1","0.457","-2.000","20.895","-1.698"
"Ptgr1","0.457","-2.006","60.515","-1.510"
"Gkn3","0.457","1.998","97.527","1.450"
"Cybrd1","0.466","-1.977","21.858","-4.434"
"Etnk1","0.466","-1.981","20.669","-1.611"
"Itm2b","0.478","-1.961","64.602","-1.370"
"Cdh1","0.481","-1.946","19.492","-1.640"
"Tmem30b","0.481","-1.947","11.702","-1.841"
"C3","0.493","-1.924","31.779","-1.643"
