"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Lgals3bp","5.716e-24","-13.747","1.934","-1.368"
"Irf7","1.448e-23","-13.480","1.024","-1.137"
"Ifi27l2b","1.783e-21","-12.626","1.100","-1.364"
"Oas2","3.144e-20","-12.111","0.704","-1.005"
"Eppk1","2.294e-16","-10.620","1.894","-1.465"
"Ucp2","4.992e-16","-10.462","2.508","-1.144"
"H2-K1","1.419e-15","-10.264","2.396","-1.163"
"Oasl2","5.130e-15","-10.030","1.045","-1.045"
"Igha","7.200e-14","9.570","0.426","0.946"
"Lypd8","2.791e-13","-9.325","2.927","-1.556"
"Cst3","3.192e-13","-9.287","2.114","-1.209"
"Psca","6.045e-13","-9.164","3.991","-1.499"
"Oas1a","1.048e-12","-9.048","0.602","-0.681"
"Tagln2","1.048e-12","-9.045","3.055","-0.991"
"H2-Q6","2.498e-12","-8.886","1.103","-1.080"
"Tmem43","6.231e-12","-8.719","1.470","-0.895"
"Fhl1","7.158e-12","-8.684","2.514","-1.277"
"Actg1","1.308e-11","-8.571","1.835","-0.942"
"Muc5ac","1.325e-11","-8.560","3.646","-2.000"
"Cnnm4","2.162e-11","-8.466","1.147","-0.786"
"Lmna","3.433e-11","-8.378","1.672","-0.893"
"Oas3","8.418e-11","-8.213","0.373","-0.528"
"Gipc2","1.473e-10","-8.108","0.743","-0.623"
"Slc45a3","1.616e-10","-8.084","1.389","-0.803"
"Isg15","2.338e-10","-8.012","0.683","-0.972"
"Vmp1","3.548e-10","7.931","2.344","0.987"
"Tlnrd1","6.971e-10","-7.805","1.358","-0.765"
"Ethe1","7.137e-10","-7.794","0.972","-0.733"
"mt-Nd6","9.813e-10","7.731","1.321","1.185"
"S100a6","1.219e-09","-7.686","3.125","-0.896"
"Arf1","1.602e-09","-7.631","0.844","-0.618"
"Luc7l2","2.059e-09","7.581","0.951","0.778"
"Crip1","2.214e-09","-7.562","1.185","-1.070"
"Tnni2","2.531e-09","7.532","1.303","0.974"
"Rfk","4.021e-09","-7.443","1.163","-0.789"
"Clic1","7.282e-09","-7.330","0.953","-0.712"
"Ctsb","7.400e-09","-7.322","1.913","-0.867"
"Dsg2","8.906e-09","-7.284","1.769","-0.783"
"Jund","9.990e-09","-7.256","2.848","-1.075"
"Aqp3","9.990e-09","-7.253","2.582","-1.069"
"Pla2g1b","1.070e-08","-7.234","1.989","-0.930"
"Xaf1","1.070e-08","-7.232","0.412","-0.497"
"Bmp2","1.200e-08","-7.206","1.187","-0.877"
"Noxo1","1.351e-08","7.180","0.226","0.591"
