"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Trak1","6.850e-03","5.455","1.375","0.671"
"Sqstm1","3.689e-02","-4.836","0.743","-0.627"
"Txn1","3.689e-02","-4.791","0.612","-0.528"
"mt-Atp6","6.300e-02","4.571","3.060","0.900"
"mt-Nd5","6.300e-02","4.529","1.853","0.863"
"Actg1","6.777e-02","-4.463","1.405","-0.687"
"Ktn1","9.708e-02","4.296","0.908","0.462"
"Ppp4r3b","9.708e-02","4.295","0.519","0.384"
"Cfl1","0.115","-4.218","1.435","-0.651"
"Crip1","0.131","-4.155","1.188","-0.731"
"Rsrp1","0.131","4.087","2.249","0.495"
"Scand1","0.131","-4.069","0.691","-0.425"
"mt-Co1","0.131","4.061","3.135","0.830"
"mt-Co3","0.131","4.052","2.621","0.828"
"Nr1d1","0.131","-4.032","0.443","-0.401"
"Upf3b","0.131","4.028","0.571","0.399"
"mt-Nd4","0.150","3.966","1.215","0.678"
"Lmna","0.150","-3.959","1.713","-0.652"
"mt-Nd3","0.167","3.913","0.813","0.587"
"Cavin1","0.185","-3.870","1.244","-0.596"
"Tent5b","0.185","-3.852","0.193","-0.269"
"Eef1a1","0.185","-3.845","1.801","-0.590"
"Igsf23","0.185","-3.807","0.235","-0.281"
"Bnip2","0.185","3.806","0.879","0.415"
"Gkn2","0.185","3.778","2.553","0.730"
"Krcc1","0.185","3.774","0.349","0.329"
"Pan2","0.185","3.766","0.411","0.353"
"Gnas","0.185","-3.765","1.011","-0.475"
"Epop","0.185","-3.760","0.386","-0.396"
"Zmynd11","0.185","3.745","0.887","0.449"
"Paxbp1","0.185","3.737","0.878","0.440"
"Asb6","0.185","-3.736","0.364","-0.308"
"Gprc5a","0.185","-3.729","1.171","-0.599"
"Ppip5k1","0.185","3.720","0.615","0.402"
"Muc5ac","0.190","3.704","1.054","0.544"
"Pfn1","0.205","-3.673","2.119","-0.516"
"Ndufa13","0.206","-3.665","0.796","-0.439"
"Slc5a3","0.208","-3.653","0.316","-0.338"
"Kif12","0.209","3.644","0.538","0.483"
"Mpst","0.209","-3.627","0.289","-0.286"
"Pik3r3","0.209","3.624","0.460","0.411"
"Ngf","0.209","-3.623","0.214","-0.365"
"Cyth2","0.210","3.615","1.183","0.326"
"Tspo","0.216","-3.599","1.270","-0.580"
"Yap1","0.225","3.581","0.595","0.368"
"Junb","0.233","-3.564","1.283","-0.531"
"Stx17","0.240","3.546","0.285","0.283"
"Fau","0.240","-3.543","1.616","-0.505"
"Vcp","0.240","-3.537","1.550","-0.499"
"Zfp865","0.244","3.526","0.409","0.322"
"Fam76b","0.246","3.517","0.633","0.419"
"mt-Co2","0.246","3.508","3.389","0.804"
"Tmc4","0.246","3.501","2.275","0.451"
"Erf","0.246","-3.490","0.394","-0.310"
"B4galnt1","0.246","3.490","0.714","0.367"
"mt-Cytb","0.246","3.490","2.437","0.805"
"Eif3a","0.249","-3.476","0.242","-0.249"
"Rbm25","0.249","3.474","1.140","0.425"
"Rbbp7","0.249","-3.470","1.016","-0.408"
"Slc3a2","0.254","-3.455","1.032","-0.439"
"Psmb5","0.254","-3.454","1.522","-0.450"
"Mal","0.254","-3.449","1.236","-0.576"
"Efnb1","0.272","-3.424","0.559","-0.338"
"Dusp9","0.273","-3.417","4.773e-02","-9.740e-02"
"Slc52a3","0.278","-3.404","0.259","-0.235"
"Cdk9","0.278","-3.402","0.775","-0.368"
"S100a6","0.278","-3.394","2.777","-0.569"
"Naa20","0.278","-3.393","0.229","-0.230"
"Usp24","0.280","-3.387","0.420","-0.296"
"Snrpa","0.306","-3.352","0.464","-0.331"
"Atp5e","0.306","-3.350","0.806","-0.407"
"Chd8","0.306","3.347","0.404","0.307"
"Ppp1r13b","0.328","3.317","0.850","0.404"
"Prr13","0.328","-3.314","1.237","-0.444"
"Stk38","0.328","3.312","0.971","0.370"
"Phf23","0.331","-3.304","0.449","-0.306"
"Lpin2","0.331","3.299","0.531","0.386"
"Gkn1","0.331","3.297","2.891","0.659"
"Ppp2ca","0.335","-3.284","1.026","-0.398"
"Tbcel","0.335","3.284","0.294","0.263"
"Emp1","0.335","-3.279","1.291","-0.638"
"Lgals9","0.335","3.278","0.620","0.370"
"Muc13","0.335","3.274","0.132","0.185"
"Pdlim1","0.337","-3.267","1.691","-0.468"
"Gfpt1","0.337","3.262","1.036","0.428"
"Lsr","0.337","-3.261","1.375","-0.415"
"Nlrc4","0.337","3.257","0.354","0.272"
"mt-Nd2","0.338","3.253","1.175","0.545"
"Vps53","0.355","3.230","1.019","0.368"
"Tpcn1","0.355","3.228","0.207","0.243"
"Calm1","0.355","-3.227","1.077","-0.438"
"Efcab14","0.355","-3.217","0.375","-0.275"
"Rhof","0.355","-3.215","0.769","-0.401"
"Ywhab","0.355","-3.214","0.628","-0.336"
"mt-Atp8","0.355","3.213","2.669","0.742"
"Ybx3","0.359","-3.204","1.021","-0.481"
"Ywhae","0.359","-3.203","1.057","-0.385"
"Pmepa1","0.363","-3.194","1.361","-0.470"
"Eif3i","0.363","-3.193","0.239","-0.223"
"Nisch","0.363","3.190","1.580","0.403"
"Ubash3b","0.364","-3.186","8.777e-02","-0.121"
"Fam120b","0.371","3.177","0.502","0.336"
"Relch","0.371","3.174","0.417","0.256"
"mt-Nd1","0.373","3.168","1.499","0.651"
"Lypd3","0.391","-3.151","0.121","-0.220"
"Tcp1","0.396","-3.142","0.862","-0.369"
"Psapl1","0.396","3.139","0.666","0.354"
"Fam129b","0.396","-3.137","0.915","-0.413"
"Ndufa8","0.396","-3.135","0.874","-0.405"
"mt-Nd6","0.406","3.123","3.367","0.691"
"Arpc1b","0.407","-3.120","1.246","-0.384"
"Klc3","0.417","-3.109","0.437","-0.293"
"Gsk3a","0.426","-3.099","0.753","-0.357"
"Vti1a","0.429","3.085","0.968","0.388"
"Shtn1","0.429","3.085","1.226","0.337"
"Tpt1","0.429","-3.080","0.970","-0.352"
"Togaram1","0.429","-3.078","0.424","-0.285"
"Plin2","0.429","-3.077","0.607","-0.393"
"Cct6a","0.429","-3.076","0.368","-0.258"
"Fam83f","0.429","-3.074","0.149","-0.153"
"Tmem79","0.429","-3.068","0.332","-0.257"
"Arid2","0.429","3.067","0.715","0.349"
"Mapk8ip3","0.429","3.065","0.627","0.323"
"Uty","0.429","3.065","0.318","0.267"
"Anxa8","0.429","-3.063","0.742","-0.433"
"Slc35c1","0.429","-3.061","0.896","-0.377"
"Camk2d","0.452","3.041","1.235","0.369"
"Sirt7","0.455","3.034","0.990","0.359"
"Upf3a","0.455","3.033","0.291","0.235"
"Ppm1g","0.455","-3.032","0.564","-0.345"
"Rnf11","0.463","-3.023","0.531","-0.322"
"Rnf43","0.469","3.015","0.428","0.285"
"Mthfsd","0.469","3.014","0.640","0.381"
"Smarcad1","0.486","2.999","0.874","0.420"
"Rnf103","0.486","-2.996","0.932","-0.322"
"Anks3","0.486","2.994","0.431","0.294"
"Csf2","0.486","2.990","0.202","0.315"
"Pitpnm3","0.486","2.990","0.411","0.317"
"Cldn23","0.490","-2.985","0.632","-0.363"
"Brd8","0.495","2.979","0.898","0.369"
"Luc7l2","0.495","2.974","1.189","0.397"
"Lrrc45","0.495","2.967","0.392","0.288"
"Bok","0.495","-2.967","1.705","-0.403"
"Tcf19","0.495","2.966","0.181","0.244"
"S100a10","0.495","-2.965","1.560","-0.515"
"Ppp1r15a","0.495","-2.963","0.392","-0.295"
"Klhl2","0.495","2.962","0.268","0.226"
"Sertad2","0.495","-2.960","0.226","-0.206"
"Tefm","0.496","2.950","0.104","0.148"
"Card10","0.496","2.949","0.947","0.370"
"Supt20","0.496","2.949","1.072","0.346"
"Msh3","0.496","2.948","0.343","0.286"
"Csf2ra","0.496","2.944","0.467","0.324"
"Nsd1","0.496","2.940","1.084","0.395"
"Rdh13","0.496","2.938","0.369","0.258"
"mt-Nd4l","0.496","2.932","1.833","0.647"
"Haus6","0.496","2.930","0.208","0.219"
"Rbm17","0.496","-2.925","0.964","-0.325"
"Tbc1d23","0.496","2.923","0.228","0.216"
"Rcbtb1","0.496","2.922","0.468","0.296"
"Tjp2","0.496","2.921","1.277","0.359"
"Ap3m1","0.496","2.915","0.176","0.207"
"Thap3","0.496","2.914","0.256","0.246"
"Nectin1","0.496","-2.914","0.128","-0.144"
"Map2k2","0.496","-2.914","1.081","-0.353"
"Peak1","0.496","-2.914","0.175","-0.195"
"Trp53bp1","0.496","2.914","0.316","0.237"
"Bag3","0.496","-2.912","0.343","-0.249"
"Dgat1","0.496","2.911","0.262","0.246"
"Smpd4","0.496","2.910","0.268","0.240"
"Gsdma2","0.496","2.909","0.272","0.265"
"Dbn1","0.496","2.909","0.163","0.217"
"Pgm2l1","0.497","2.902","0.294","0.244"
"Tcf4","0.497","2.901","0.398","0.270"
"Foxo4","0.497","-2.900","0.243","-0.229"
"Tfcp2","0.497","2.899","0.155","0.197"
"Zdhhc5","0.497","-2.898","0.553","-0.309"
"Polr2i","0.505","-2.890","0.220","-0.213"
"Serbp1","0.505","-2.889","0.848","-0.345"
"Xdh","0.513","2.879","0.493","0.355"
"Fat1","0.513","-2.878","1.020","-0.374"
"Ywhag","0.513","-2.876","1.979","-0.412"
"Aldh2","0.513","-2.875","0.762","-0.327"
"Zfp991","0.513","2.875","0.163","0.196"
"Ereg","0.523","-2.865","0.228","-0.235"
"Tonsl","0.523","2.863","0.143","0.162"
"Snapc3","0.523","2.862","0.729","0.351"
"Isg15","0.525","-2.857","0.146","-0.208"
"Mynn","0.525","2.857","0.255","0.209"
"Chp1","0.527","-2.854","0.757","-0.318"
"Rbfox2","0.527","2.853","0.561","0.301"
"Ube3b","0.527","2.851","0.539","0.304"
"Tubgcp5","0.540","2.836","0.143","0.181"
"Rhbdl1","0.540","2.835","0.341","0.262"
"Zdhhc12","0.540","-2.834","0.301","-0.216"
"Gbe1","0.540","2.831","8.419e-02","0.132"
"Myo1c","0.540","-2.830","1.454","-0.399"
"Ncbp1","0.540","-2.829","0.386","-0.257"
"Mycl","0.540","-2.827","0.178","-0.181"
"Sfn","0.540","-2.826","1.381","-0.554"
"Ahcyl2","0.540","2.825","0.809","0.373"
"Wnk4","0.540","2.824","0.181","0.200"
"Trim47","0.542","-2.822","0.386","-0.287"
"Kcnk1","0.545","-2.818","1.472","-0.387"
"Tuba1c","0.549","-2.810","1.069","-0.471"
"Mfhas1","0.549","-2.809","0.310","-0.244"
"Gabarapl1","0.549","-2.809","0.588","-0.328"
"Slf1","0.549","2.809","9.743e-02","0.133"
"Eef1g","0.549","-2.807","0.324","-0.239"
"Dnajc21","0.550","2.804","0.439","0.290"
"Pi4ka","0.563","2.793","0.288","0.206"
"Vat1","0.563","-2.790","0.658","-0.329"
"Lpgat1","0.563","-2.790","0.833","-0.328"
"Mtpn","0.563","-2.789","0.305","-0.222"
"BC031181","0.563","-2.787","0.368","-0.248"
"Zranb2","0.563","2.785","0.426","0.296"
"Hspa8","0.563","-2.785","1.254","-0.389"
"Igha","0.574","2.776","0.987","0.358"
"Vps13a","0.581","2.770","0.334","0.216"
"M6pr","0.581","-2.769","0.522","-0.266"
"Krit1","0.582","2.766","0.353","0.252"
"Nfil3","0.582","-2.766","0.134","-0.151"
"Celsr2","0.584","-2.761","0.130","-0.147"
"Cox8a","0.584","-2.761","1.156","-0.378"
"Pmm2","0.584","2.759","0.606","0.280"
"Slc49a4","0.584","2.758","0.538","0.296"
"Prpsap1","0.585","-2.755","0.544","-0.282"
"Tnni2","0.585","2.754","1.136","0.400"
"H2-Q6","0.585","-2.753","0.368","-0.275"
"Slc35a4","0.586","2.750","0.489","0.286"
"Il18rap","0.586","2.749","0.368","0.282"
"Sertad3","0.590","-2.745","0.288","-0.236"
