"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Pgc","6.179e-07","-7.354","7.277","-0.932"
"Clca1","3.401e-05","-6.403","0.481","-0.781"
"Muc5ac","3.673e-04","-5.771","1.147","-1.060"
"Lypd8","3.673e-04","-5.749","0.661","-0.838"
"Pla2g1b","6.056e-04","-5.590","5.539","-0.835"
"Actg1","4.132e-03","-5.113","0.245","-0.481"
"Clps","9.057e-03","-4.892","5.930","-0.880"
"Sprr2a3","1.721e-02","-4.705","0.317","-0.495"
"Gsta4","7.144e-02","-4.308","0.495","-0.579"
"Psca","7.144e-02","-4.276","2.139","-0.980"
"Xbp1","7.144e-02","4.267","2.381","0.724"
"Tmed6","7.207e-02","-4.243","1.227","-0.758"
"Lgals3bp","9.770e-02","-4.142","0.304","-0.460"
"Ddx17","0.104","4.107","2.261","0.824"
"Dbp","0.109","4.076","0.377","0.604"
"Ly6e","0.150","-3.971","1.221","-0.756"
"Ptk2","0.167","3.915","0.606","0.665"
"Krt19","0.167","-3.905","0.984","-0.697"
"Tlnrd1","0.167","-3.894","0.288","-0.432"
"Cst3","0.196","-3.837","0.538","-0.543"
"Ifi27","0.205","-3.811","0.405","-0.566"
"Trabd","0.232","3.763","1.361","0.735"
"AA467197","0.255","-3.723","0.217","-0.379"
"Krt8","0.255","-3.704","1.200","-0.700"
"Rsrp1","0.255","3.700","2.583","0.758"
"Ctse","0.268","-3.674","0.495","-0.486"
"Tff1","0.268","-3.664","4.001","-0.456"
"Pnliprp2","0.333","-3.586","1.084","-0.665"
"Bpifb1","0.333","-3.575","2.414","-1.241"
"Helz2","0.333","-3.569","0.225","-0.354"
"Kpna6","0.333","-3.554","0.236","-0.351"
"Ttr","0.333","-3.552","1.263","-0.764"
"Luc7l2","0.358","3.521","2.349","0.821"
"Gkn2","0.372","-3.501","2.507","-0.729"
"Mucl3","0.509","-3.399","0.644","-0.544"
"Pbrm1","0.516","3.380","0.313","0.427"
"Tppp3","0.516","3.378","0.591","0.616"
"Dhx36","0.626","-3.311","0.292","-0.371"
"Cxxc1","0.636","3.298","0.596","0.542"
"Suox","0.642","-3.287","9.761e-02","-0.197"
"Fam91a1","0.657","3.262","0.281","0.391"
"Zfp407","0.657","-3.258","0.173","-0.281"
"Srsf1","0.657","3.258","1.351","0.647"
"Zadh2","0.661","-3.249","0.185","-0.282"
"Gsto1","0.661","-3.239","0.806","-0.532"
"Anxa10","0.661","-3.228","0.713","-0.547"
"Chia1","0.661","-3.228","5.282","-1.025"
"Serinc3","0.688","3.204","1.110","0.604"
"Col3a1","0.688","-3.200","0.126","-0.255"
"Ndufb11","0.688","-3.185","0.112","-0.226"
"Snrnp70","0.688","3.182","1.868","0.635"
"Cic","0.688","-3.177","0.182","-0.288"
"Zfp143","0.688","-3.177","0.108","-0.217"
"Rnf213","0.688","-3.172","9.523e-02","-0.192"
"Sh3yl1","0.688","3.166","0.255","0.385"
"Pet100","0.697","-3.156","9.444e-02","-0.191"
"Gsn","0.741","-3.119","0.514","-0.468"
"Tcf12","0.741","3.116","0.901","0.589"
"Fcgbp","0.741","-3.116","0.272","-0.342"
"Ces2g","0.741","-3.115","7.832e-02","-0.158"
"Gemin7","0.750","-3.103","0.101","-0.191"
"Hdac11","0.750","3.100","1.264","0.642"
"Cnot3","0.759","3.091","0.445","0.456"
"Tmem11","0.773","-3.076","0.109","-0.221"
"Fxr1","0.773","3.073","0.336","0.418"
"Klf4","0.773","-3.066","0.286","-0.331"
