"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Oas2","1.396e-12","-9.845","0.562","-1.335"
"Lgals3bp","1.417e-09","-8.406","1.122","-1.327"
"Ifi27l2b","2.834e-07","-7.297","0.526","-0.953"
"Oasl2","1.006e-06","-6.987","0.426","-0.893"
"Dhx58","2.298e-05","-6.298","0.249","-0.547"
"Tff2","2.766e-04","-5.726","2.799","-1.426"
"Rnf213","1.248e-03","-5.339","0.367","-0.608"
"Irf7","1.248e-03","-5.325","0.333","-0.641"
"Xaf1","1.575e-03","-5.245","0.251","-0.493"
"Rhoc","2.228e-03","5.140","0.624","0.754"
"Car2","2.302e-03","-5.102","1.994","-0.948"
"Ugt2b34","2.302e-03","-5.090","0.538","-0.629"
"Asph","3.112e-03","-5.001","0.526","-0.618"
"Eif2ak2","3.378e-03","-4.964","0.282","-0.450"
"Sp100","3.807e-03","-4.919","0.244","-0.478"
"H2-Q6","4.726e-03","-4.852","0.371","-0.531"
"Usp18","5.227e-03","-4.813","0.146","-0.347"
"B3gnt2","1.057e-02","-4.609","0.354","-0.478"
"Stat2","1.057e-02","-4.598","0.351","-0.510"
"Vps4b","1.057e-02","-4.592","0.257","-0.420"
"Agrn","1.057e-02","-4.580","0.704","-0.653"
"Isg15","1.057e-02","-4.571","0.186","-0.427"
"Slc44a2","1.057e-02","-4.567","0.683","-0.573"
"Plk3","1.747e-02","4.430","0.606","0.741"
"Wiz","2.655e-02","-4.313","0.201","-0.366"
"Gmds","2.775e-02","-4.291","1.263","-0.793"
"Oas1a","2.834e-02","-4.276","0.356","-0.477"
"Tap1","2.857e-02","-4.264","0.231","-0.391"
"H2-K1","4.048e-02","-4.164","1.487","-0.726"
"Smpd3","5.673e-02","-4.065","0.483","-0.545"
"Lrrc47","5.966e-02","-4.043","0.332","-0.419"
"Pgc","6.396e-02","-4.016","3.746","-0.963"
"Smarca4","7.225e-02","-3.972","0.691","-0.566"
"Zdhhc3","7.225e-02","-3.962","0.789","-0.540"
"Adar","7.225e-02","-3.958","0.964","-0.598"
"Lipe","7.486e-02","-3.926","0.295","-0.396"
"Tspan15","7.486e-02","-3.922","1.339","-0.582"
"Myzap","7.486e-02","3.922","0.622","0.602"
"Slc35g1","7.486e-02","-3.908","0.728","-0.553"
"Capn5","7.486e-02","3.907","1.656","0.753"
"Irs2","7.486e-02","-3.905","0.318","-0.378"
"Rtp4","7.647e-02","-3.893","0.169","-0.327"
"Ifi35","7.896e-02","-3.878","0.289","-0.413"
"Cst3","8.165e-02","-3.847","1.489","-0.770"
"Btg2","8.165e-02","3.844","1.583","0.727"
"Gas6","8.165e-02","-3.843","0.840","-0.645"
"Xpo1","8.165e-02","-3.837","0.301","-0.369"
"Lypd8","8.165e-02","-3.828","1.958","-0.867"
"Lrp1","8.165e-02","-3.823","1.005","-0.661"
"Oas1g","8.165e-02","-3.823","0.181","-0.334"
"Ifih1","8.165e-02","-3.821","0.270","-0.383"
"Slc5a5","8.511e-02","-3.804","1.317","-0.863"
"Nupr1","9.288e-02","3.774","1.107","0.981"
"Pdlim7","9.377e-02","3.764","0.872","0.679"
"Ifi27","9.377e-02","-3.761","0.176","-0.306"
"Chordc1","0.107","-3.719","0.259","-0.331"
"Abcb6","0.119","-3.683","0.341","-0.358"
"Fgfbp1","0.125","-3.664","0.356","-0.432"
"Psme3","0.128","-3.652","0.565","-0.447"
"Pla2g1b","0.129","-3.645","1.890","-0.821"
"Galnt6","0.130","-3.638","0.445","-0.491"
"Dram2","0.134","-3.617","0.271","-0.305"
"Cdipt","0.134","-3.616","0.169","-0.301"
"Ces2c","0.134","3.610","2.134","0.739"
"Acly","0.134","-3.606","0.483","-0.461"
"Golim4","0.134","-3.605","0.256","-0.336"
"Tmem214","0.134","-3.602","0.175","-0.257"
"Eif4a2","0.135","-3.596","1.080","-0.589"
"Igha","0.136","3.585","0.617","0.570"
"Tmx4","0.136","-3.585","0.221","-0.323"
"Ddx27","0.137","-3.578","0.273","-0.349"
"Umad1","0.137","-3.575","0.127","-0.229"
"Anxa10","0.140","3.561","2.897","0.607"
"Suox","0.140","-3.560","0.472","-0.419"
"S100a13","0.145","3.547","0.427","0.423"
"Cebpa","0.154","-3.523","0.129","-0.259"
"Pcmt1","0.154","-3.520","9.887e-02","-0.221"
"Parp14","0.154","-3.518","0.254","-0.394"
"Brd1","0.159","-3.505","0.514","-0.412"
"Bri3","0.166","-3.487","0.585","-0.461"
"Psmb9","0.177","-3.465","0.112","-0.209"
"Irf9","0.182","-3.453","0.143","-0.263"
"Cmtr1","0.192","-3.431","0.252","-0.320"
"Arhgap11a","0.192","-3.429","0.167","-0.257"
"Sema7a","0.192","3.426","0.466","0.507"
"Degs2","0.193","-3.419","1.118","-0.563"
"Zgpat","0.193","-3.418","0.611","-0.470"
"Igsf5","0.196","3.408","1.617","0.795"
"Mxi1","0.196","3.405","0.388","0.442"
"Mdh1","0.223","-3.363","0.306","-0.334"
"Thrap3","0.229","-3.349","0.275","-0.320"
"Nfs1","0.229","-3.349","0.146","-0.214"
"Ubap2l","0.233","-3.341","0.244","-0.306"
"Mfsd14a","0.235","-3.333","0.129","-0.220"
"Slc39a14","0.235","-3.330","0.229","-0.321"
"Tmed2","0.239","-3.323","0.408","-0.351"
"Upf2","0.240","-3.317","0.150","-0.245"
"Mef2d","0.240","-3.315","0.594","-0.446"
"Stat1","0.245","-3.306","0.300","-0.357"
"Acad9","0.245","-3.295","0.222","-0.299"
"Slc9a1","0.245","-3.292","1.431","-0.643"
"Dusp5","0.245","3.291","0.725","0.590"
"Col6a2","0.245","-3.288","8.077e-02","-0.171"
"Chia1","0.245","-3.287","1.758","-0.868"
"Slfn2","0.245","-3.286","9.353e-02","-0.215"
"Mtdh","0.245","-3.284","0.471","-0.371"
"Plp2","0.245","-3.281","0.444","-0.426"
"Lgr4","0.247","-3.272","0.503","-0.401"
"Tmtc2","0.247","-3.269","0.141","-0.236"
"Plet1","0.247","3.266","0.597","0.545"
"Gpt","0.247","-3.266","0.692","-0.491"
"Ccng2","0.247","3.264","0.518","0.494"
"Uhrf2","0.247","-3.263","0.389","-0.355"
"Fbln1","0.250","-3.255","0.238","-0.276"
"Atp5d","0.250","-3.253","0.876","-0.511"
"Arel1","0.263","-3.233","0.107","-0.207"
"Polr2j","0.263","-3.232","7.746e-02","-0.162"
"Sdc1","0.265","-3.227","1.217","-0.535"
"Slc9a2","0.267","-3.221","0.711","-0.443"
"Sult1c2","0.267","-3.219","1.363","-0.600"
"Parp9","0.275","-3.207","9.372e-02","-0.182"
"Zfp111","0.276","-3.200","8.113e-02","-0.173"
"Tars","0.276","-3.199","0.447","-0.368"
"Myh14","0.276","3.198","1.323","0.577"
"Atp6v0c","0.281","-3.190","0.244","-0.271"
"Adamts15","0.285","-3.183","0.265","-0.326"
"Edrf1","0.288","-3.176","9.570e-02","-0.184"
"Hs6st1","0.288","-3.175","0.382","-0.333"
"Ulk1","0.289","-3.169","0.195","-0.279"
"Ddx60","0.289","-3.169","0.292","-0.397"
"Snta1","0.290","-3.165","7.877e-02","-0.180"
"Stat5b","0.298","-3.155","0.164","-0.219"
"Hs3st3b1","0.310","-3.137","1.304","-0.595"
"Mrtfa","0.310","-3.137","0.456","-0.392"
"Srsf2","0.319","-3.126","0.682","-0.471"
"Tfg","0.321","-3.121","0.175","-0.235"
"Atp5b","0.333","-3.107","0.549","-0.423"
"Tgm2","0.333","3.105","0.244","0.360"
"Gnb2","0.339","-3.095","0.429","-0.369"
