"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Fbxl6","0.151","-4.699","0.289","-0.485"
"Myo18a","0.174","4.403","0.799","0.737"
"Letm1","0.174","-4.387","0.476","-0.551"
"Copg1","0.202","-4.213","0.664","-0.667"
"Rsrp1","0.202","4.152","2.836","0.723"
"Manf","0.202","-4.120","0.504","-0.554"
"H2-K1","0.202","-4.113","1.358","-0.791"
"Igha","0.202","4.071","0.609","0.771"
"Ankrd46","0.202","4.058","0.376","0.516"
"Esyt2","0.211","3.997","0.858","0.729"
"Clca1","0.211","-3.991","0.564","-0.639"
"Arhgap1","0.269","-3.883","0.597","-0.597"
"Tle1","0.269","-3.878","0.367","-0.473"
"Srrm2","0.274","-3.848","1.167","-0.714"
"Sra1","0.274","-3.826","0.554","-0.554"
"Brk1","0.274","-3.815","0.308","-0.394"
"Nxf1","0.288","-3.742","0.890","-0.618"
"Slc27a4","0.288","-3.741","0.203","-0.348"
"Trim44","0.288","-3.734","0.514","-0.508"
"Ogt","0.288","-3.716","1.332","-0.695"
"Wasf2","0.288","-3.711","0.494","-0.523"
"Cldn2","0.288","-3.710","0.854","-0.753"
"Mbnl2","0.311","-3.676","0.492","-0.494"
"Pdia4","0.324","-3.652","0.422","-0.450"
"Matr3","0.366","-3.593","0.351","-0.387"
"Plcg1","0.366","-3.593","0.432","-0.481"
"Id2","0.407","-3.547","0.609","-0.546"
"Ccdc47","0.407","-3.536","0.412","-0.453"
"Sdhd","0.407","-3.529","0.535","-0.510"
"Nfxl1","0.424","-3.507","0.392","-0.445"
"Cd44","0.428","-3.493","1.289","-0.815"
"Rnf213","0.428","-3.478","0.216","-0.335"
"Glud1","0.428","-3.475","0.416","-0.420"
"Gsta4","0.441","-3.441","1.264","-0.767"
"Ttc23","0.441","-3.441","0.287","-0.410"
"Lypd8","0.441","-3.441","0.722","-0.602"
"Fxyd3","0.443","-3.411","1.418","-0.702"
"Eif2ak4","0.443","-3.401","0.403","-0.448"
"Acly","0.443","-3.396","0.825","-0.565"
"Cops6","0.443","-3.394","0.270","-0.321"
"Srsf2","0.443","-3.391","0.731","-0.589"
"Cyb561a3","0.443","-3.390","0.177","-0.267"
"Clic4","0.443","-3.386","0.278","-0.366"
"Eif2s3y","0.444","-3.374","0.666","-0.520"
"Erbin","0.444","-3.371","0.503","-0.493"
"Arpc1b","0.457","-3.351","0.658","-0.522"
"Man1a2","0.457","-3.347","0.285","-0.361"
"Eef1g","0.457","-3.343","0.176","-0.277"
"Nrbf2","0.459","-3.335","0.185","-0.307"
"Nme1","0.472","-3.317","0.164","-0.259"
"Usp5","0.472","-3.314","0.408","-0.453"
"Celsr1","0.493","-3.293","0.442","-0.432"
"Glmp","0.493","-3.279","0.540","-0.454"
"Ephb3","0.493","-3.276","0.814","-0.650"
"Epb41","0.493","-3.269","0.624","-0.507"
"Gpank1","0.493","-3.268","0.153","-0.248"
"Sgms1","0.493","-3.266","0.435","-0.449"
"Lzts2","0.496","-3.256","0.903","-0.531"
"Ulk1","0.496","-3.253","0.290","-0.356"
"Ilf3","0.513","-3.234","0.198","-0.303"
"Elob","0.513","-3.232","0.440","-0.416"
"Exoc4","0.541","-3.202","0.481","-0.426"
"Tapbp","0.541","-3.197","0.499","-0.453"
"Aen","0.541","-3.192","0.356","-0.386"
"Cyp51","0.541","-3.190","0.301","-0.357"
"Sphk2","0.541","-3.180","0.504","-0.402"
"Cacfd1","0.541","-3.179","0.542","-0.447"
"Ctbp2","0.541","-3.166","0.350","-0.388"
"Phf12","0.541","-3.165","0.568","-0.479"
"Atxn2","0.541","-3.158","0.216","-0.311"
"Tnk1","0.541","-3.151","0.452","-0.427"
"Uvrag","0.541","-3.150","0.201","-0.308"
"Gnpat","0.541","-3.150","0.394","-0.387"
"Golga2","0.541","-3.145","0.390","-0.393"
"Ggnbp1","0.541","3.143","0.277","0.398"
"Tor4a","0.541","-3.139","0.151","-0.251"
"Tmem176b","0.541","-3.139","0.439","-0.432"
"Ctse","0.541","-3.130","1.483","-0.728"
"Ankhd1","0.541","-3.130","0.238","-0.302"
"Cox5b","0.541","-3.129","0.728","-0.523"
"Brd2","0.541","-3.125","0.485","-0.425"
"Ppdpf","0.546","-3.118","0.471","-0.412"
"Pura","0.553","-3.108","0.682","-0.480"
"Glb1","0.553","-3.106","0.393","-0.388"
"Tcf3","0.570","-3.089","0.259","-0.320"
"P2rx4","0.570","-3.083","0.511","-0.420"
"Bap1","0.570","-3.082","0.215","-0.312"
"Psmb5","0.570","-3.080","0.529","-0.461"
"Btf3","0.570","-3.077","0.353","-0.374"
"Cpeb4","0.575","-3.071","0.274","-0.312"
"Mcur1","0.580","-3.064","0.182","-0.262"
