"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Oasl2","4.956e-20","-13.109","1.166","-1.412"
"Oas2","7.085e-15","-10.723","0.956","-1.340"
"Car2","3.609e-14","-10.341","2.195","-1.167"
"Lgals3bp","6.757e-14","-10.169","2.105","-1.200"
"H2-K1","8.756e-13","-9.616","2.427","-0.975"
"Ifi27l2b","8.756e-13","-9.607","0.898","-1.213"
"Oas3","8.756e-13","-9.582","0.599","-0.857"
"Rassf4","1.106e-11","9.077","0.447","0.887"
"Irf7","3.137e-11","-8.857","0.817","-1.007"
"Isg15","6.938e-11","-8.686","0.890","-1.273"
"Igha","1.079e-10","8.583","0.424","0.823"
"Rnf213","2.967e-09","-7.928","0.859","-1.051"
"Btg2","8.660e-09","7.703","1.811","1.054"
"Ifih1","8.998e-08","-7.226","0.811","-0.767"
"H2-Q6","2.493e-07","-7.008","1.123","-0.926"
"Usp18","2.514e-07","-6.993","0.581","-0.791"
"Bst2","2.781e-07","-6.960","0.492","-0.682"
"Rtp4","3.024e-07","-6.932","0.543","-0.678"
"mt-Nd3","4.084e-07","6.860","0.337","0.494"
"Lgals9","4.683e-07","-6.822","2.439","-0.611"
"mt-Nd4l","5.660e-07","6.773","0.999","0.848"
"Cystm1","7.092e-07","-6.717","2.613","-0.582"
"Ero1l","1.042e-06","6.629","2.073","0.981"
"Stat1","1.290e-06","-6.576","0.659","-0.699"
"mt-Nd4","2.981e-06","6.394","0.720","0.658"
"Lypd8","3.209e-06","-6.370","3.532","-0.689"
"Tap1","3.500e-06","-6.338","0.650","-0.672"
"Anxa2","3.500e-06","-6.336","1.462","-0.706"
"mt-Nd6","5.333e-06","6.240","0.902","0.726"
"Misp","6.190e-06","-6.202","1.635","-0.727"
"Ces2b","6.277e-06","6.192","0.756","0.716"
"Errfi1","1.095e-05","6.063","0.467","0.644"
"Hilpda","1.095e-05","6.060","0.160","0.380"
"Rnf128","1.358e-05","6.007","1.589","0.655"
"Vmp1","1.886e-05","5.930","1.811","0.813"
"Xaf1","2.049e-05","-5.906","0.624","-0.662"
"Stat2","2.154e-05","-5.890","0.556","-0.656"
"Ddit4","3.357e-05","5.787","0.366","0.527"
"B2m","3.461e-05","-5.775","0.490","-0.539"
"Dusp1","4.211e-05","5.726","0.938","0.829"
"AA467197","4.623e-05","5.700","2.321","0.751"
"Gsto1","5.707e-05","-5.648","3.755","-0.641"
"Parp12","7.255e-05","-5.588","0.628","-0.633"
"mt-Nd2","7.255e-05","5.585","0.607","0.555"
"mt-Atp8","7.532e-05","5.567","1.643","0.822"
"Ucp2","7.532e-05","-5.567","2.806","-0.566"
"Krt19","7.766e-05","-5.555","3.725","-0.593"
"mt-Nd5","8.437e-05","5.532","0.802","0.677"
"Etv3","8.736e-05","5.519","1.086","0.573"
"Ces2a","1.179e-04","5.447","0.570","0.793"
"Oas1a","1.582e-04","-5.376","0.720","-0.578"
"Egr1","1.835e-04","5.338","0.425","0.620"
"Clic1","2.003e-04","-5.314","1.054","-0.513"
"Ifi35","2.352e-04","-5.273","0.431","-0.511"
"C77080","2.629e-04","-5.241","1.390","-0.510"
"Fam162a","2.629e-04","5.239","0.294","0.402"
"Aldh3a1","3.171e-04","-5.192","0.676","-0.700"
"Fth1","4.481e-04","5.104","1.196","0.530"
"mt-Atp6","4.481e-04","5.103","1.999","0.776"
"mt-Co2","5.521e-04","5.050","2.032","0.896"
"Ppp1r15a","6.496e-04","5.008","0.373","0.435"
"Parp9","6.848e-04","-4.992","0.368","-0.421"
"Apol9a","8.914e-04","-4.925","0.374","-0.444"
"Nlrc5","8.914e-04","-4.922","0.385","-0.492"
"P4ha1","9.064e-04","4.914","0.242","0.349"
"Adar","1.034e-03","-4.878","1.060","-0.506"
"Sp100","1.034e-03","-4.875","0.360","-0.499"
"Pmaip1","1.156e-03","4.845","1.131","0.680"
"Cnnm4","1.500e-03","-4.777","1.102","-0.528"
"Ddx60","1.500e-03","-4.775","0.989","-0.838"
"Nrd1","1.543e-03","4.765","0.416","0.387"
"Sprr1a","1.808e-03","4.723","1.165","0.813"
"Chd3","2.068e-03","4.686","0.714","0.494"
"Foxo3","2.075e-03","4.682","1.136","0.551"
"Lgals2","2.146e-03","-4.671","1.426","-0.716"
"mt-Co1","2.237e-03","4.657","1.711","0.857"
"Krt8","2.380e-03","-4.639","3.792","-0.508"
"Ly6d","2.459e-03","4.627","1.619","0.781"
"Gsn","2.459e-03","-4.624","2.494","-0.520"
"Lgals4","2.478e-03","-4.619","2.094","-0.623"
"Lmo4","2.739e-03","-4.591","1.773","-0.426"
"Pdlim1","3.070e-03","-4.560","1.766","-0.425"
"mt-Cytb","3.795e-03","4.504","1.387","0.668"
"mt-Nd1","3.836e-03","4.498","0.812","0.530"
"Dcst2","3.992e-03","4.485","0.132","0.239"
"Mat2a","4.248e-03","4.467","1.121","0.630"
"Cavin1","4.704e-03","4.438","0.155","0.262"
"Plet1","4.706e-03","4.435","1.334","0.755"
"Tagln2","5.471e-03","-4.394","2.943","-0.409"
"Adh7","5.517e-03","-4.389","0.814","-0.514"
"Lpin2","5.651e-03","4.380","0.232","0.379"
"Irf9","6.196e-03","-4.353","0.425","-0.426"
"Tbc1d9","6.411e-03","4.342","0.389","0.324"
"Dtx3l","6.685e-03","-4.328","0.344","-0.406"
"Sptssb","7.129e-03","-4.309","2.007","-0.396"
"Suox","7.794e-03","-4.283","0.722","-0.497"
"Ppox","8.004e-03","4.271","0.279","0.306"
"Ethe1","8.004e-03","-4.271","1.173","-0.526"
"Reg1","8.011e-03","4.268","5.510e-02","0.139"
"Abca1","8.172e-03","4.260","6.285e-02","0.139"
"Plk3","8.614e-03","4.244","1.078","0.625"
"Trim27","8.747e-03","4.237","0.296","0.316"
"Cd14","8.873e-03","4.231","5.676e-02","0.154"
"Pip5k1c","8.974e-03","4.221","0.163","0.223"
"Shmt2","8.974e-03","4.221","9.711e-02","0.197"
"Pias2","8.974e-03","4.220","0.171","0.246"
"Tsc22d1","8.974e-03","-4.218","1.052","-0.443"
"Abcc3","9.124e-03","4.211","2.015","0.349"
"Psapl1","9.249e-03","4.205","3.308","0.486"
"Helz2","1.028e-02","-4.174","1.259","-0.597"
"Rnd3","1.028e-02","4.173","0.541","0.447"
"Ak4","1.030e-02","4.170","7.829e-02","0.173"
"Ctsl","1.057e-02","4.161","0.295","0.314"
"Slc5a5","1.076e-02","-4.154","0.714","-0.563"
"Snx30","1.079e-02","4.151","5.447e-02","0.151"
"Akp3","1.094e-02","4.145","0.139","0.206"
"H3f3b","1.170e-02","-4.123","0.263","-0.294"
"Tom1l2","1.170e-02","4.122","0.398","0.328"
"Dusp5","1.202e-02","4.113","1.308","0.684"
"Zbp1","1.204e-02","-4.110","0.356","-0.413"
"Ccnl1","1.204e-02","4.108","0.599","0.453"
"Pfkfb3","1.299e-02","4.086","9.468e-02","0.199"
"Phgr1","1.377e-02","-4.068","0.955","-0.496"
"Tcea3","1.443e-02","-4.052","0.751","-0.481"
"Lmna","1.443e-02","-4.050","1.211","-0.423"
"Nectin4","1.443e-02","4.049","0.418","0.360"
"Fam78a","1.465e-02","4.043","3.837e-02","0.109"
"Sema7a","1.511e-02","4.032","0.911","0.475"
"Zfand2a","1.577e-02","4.019","0.660","0.431"
"Sult1b1","1.609e-02","-4.011","0.497","-0.340"
"Mfge8","1.768e-02","3.983","0.334","0.334"
"Tbpl1","1.768e-02","3.981","7.200e-02","0.151"
"Ces2c","1.810e-02","3.973","3.110","0.359"
"Cadm4","1.838e-02","3.967","9.329e-02","0.168"
"Cln3","1.839e-02","3.965","0.194","0.235"
"Spats2l","1.844e-02","-3.962","0.831","-0.437"
"Ube2l6","1.885e-02","-3.954","0.268","-0.284"
"Ppfibp2","1.923e-02","3.945","0.697","0.450"
"Pdzd7","1.923e-02","3.944","9.536e-02","0.178"
"Plat","1.950e-02","3.939","0.269","0.378"
"Ablim2","2.096e-02","3.917","4.206e-02","0.125"
"Tbl1xr1","2.209e-02","3.900","0.207","0.226"
"Tgm2","2.209e-02","3.899","0.426","0.501"
"Dhx58","2.252e-02","-3.891","0.347","-0.330"
"Rsad2","2.257e-02","-3.886","0.285","-0.391"
"Psmb10","2.257e-02","-3.886","0.199","-0.239"
"Capn1","2.257e-02","-3.885","0.622","-0.352"
"Atp2a3","2.299e-02","3.878","1.838","0.433"
"Ifit1","2.380e-02","-3.867","0.180","-0.257"
"Ctsc","2.491e-02","3.852","0.449","0.423"
"Hist1h1e","2.537e-02","-3.845","0.478","-0.359"
"Vsig2","2.566e-02","3.840","1.543","0.409"
"Btbd7","2.647e-02","3.830","0.171","0.202"
"Chit1","2.727e-02","3.819","0.555","0.448"
"Taf1a","2.727e-02","3.818","0.240","0.287"
"Akr1a1","2.872e-02","-3.802","1.712","-0.369"
"Klf6","2.966e-02","3.791","1.117","0.477"
"Lzts3","2.966e-02","3.789","4.873e-02","0.124"
"Vdac2","3.043e-02","-3.780","0.718","-0.349"
"Dsg2","3.049e-02","-3.778","1.894","-0.361"
"Reg3b","3.057e-02","3.775","5.059e-02","0.134"
"Jdp2","3.138e-02","3.766","2.800e-02","9.305e-02"
"Dedd2","3.146e-02","3.763","0.840","0.384"
"Prr15","3.146e-02","3.762","0.110","0.176"
"Creb5","3.173e-02","3.758","0.219","0.279"
"Mcoln1","3.179e-02","3.754","0.178","0.252"
"Gtf3c2","3.179e-02","3.754","0.327","0.286"
"Ogfr","3.198e-02","-3.750","0.455","-0.340"
"Tmprss11e","3.228e-02","3.746","5.716e-02","0.150"
"Nr1d2","3.256e-02","3.742","5.530e-02","0.117"
"Itprid2","3.312e-02","3.735","1.825","0.367"
"Rsad1","3.312e-02","3.734","0.166","0.223"
"Spop","3.368e-02","3.727","0.451","0.315"
"Nupr1","3.418e-02","3.719","1.860","0.941"
"Nr1d1","3.418e-02","3.717","0.298","0.306"
"Tmem176b","3.418e-02","3.717","0.118","0.200"
"Atox1","3.418e-02","-3.717","0.479","-0.359"
"Smyd3","3.418e-02","3.715","0.143","0.215"
"Pigr","3.432e-02","3.712","0.158","0.309"
"Gsta4","3.432e-02","-3.711","3.083","-0.560"
"Ier2","3.432e-02","3.709","0.500","0.392"
"Wdr45b","3.494e-02","3.703","5.926e-02","0.109"
"Frk","3.627e-02","3.690","0.256","0.257"
"Zfp809","3.776e-02","3.676","0.127","0.169"
"Ppfia4","3.776e-02","3.675","3.379e-02","9.024e-02"
"Phf1","3.776e-02","3.673","0.203","0.220"
"Bak1","3.776e-02","-3.672","0.805","-0.343"
"Sema3e","3.776e-02","3.671","1.121","0.479"
"Bnip3","3.776e-02","3.670","0.342","0.294"
"Rnf31","3.870e-02","-3.661","0.349","-0.323"
"Cst3","3.926e-02","-3.655","2.037","-0.626"
"Rev1","3.950e-02","3.652","3.724e-02","9.060e-02"
"Mob1a","4.008e-02","3.646","0.298","0.243"
"Tspyl1","4.067e-02","3.640","0.528","0.326"
"Cldn7","4.067e-02","3.639","0.100","0.165"
"Rap2c","4.067e-02","-3.638","0.246","-0.274"
"Pdpr","4.095e-02","3.634","0.119","0.174"
"Ltc4s","4.107e-02","3.632","0.128","0.206"
