"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"mt-Nd6","1.161e-04","6.431","3.176","1.126"
"Ifi27","2.097e-04","-6.143","2.024","-1.451"
"Lgals3bp","3.222e-04","-5.953","1.309","-1.287"
"Cldn18","6.031e-03","-5.198","2.265","-0.965"
"Slc3a2","1.866e-02","-4.865","1.235","-0.745"
"Krt20","2.150e-02","-4.783","0.446","-0.569"
"Prkcsh","2.497e-02","-4.706","0.736","-0.585"
"Atp5b","2.904e-02","-4.633","1.825","-0.876"
"Tusc3","3.299e-02","-4.570","0.801","-0.610"
"Rrbp1","4.432e-02","-4.466","0.878","-0.614"
"C2cd2l","5.179e-02","-4.400","0.595","-0.506"
"Akp3","5.358e-02","4.368","0.106","0.319"
"Atp4a","5.683e-02","-4.331","5.433","-0.451"
"Aplp2","6.568e-02","-4.272","1.840","-0.683"
"Pqlc1","8.682e-02","-4.162","0.785","-0.576"
"Tmed7","8.682e-02","-4.141","0.898","-0.606"
"Neu3","8.682e-02","4.122","5.363e-02","0.185"
"Tmem30b","8.682e-02","-4.113","1.176","-0.652"
"Naga","8.682e-02","-4.088","0.908","-0.575"
"Adcyap1r1","8.682e-02","-4.085","1.049","-0.696"
"Car2","8.682e-02","-4.065","2.388","-0.695"
"Scamp2","8.682e-02","-4.064","0.479","-0.454"
"Sdc4","8.682e-02","-4.056","1.819","-0.703"
"Fzd4","8.682e-02","-4.049","1.339","-0.696"
"Tmx2","9.280e-02","-4.019","1.988","-0.672"
"Ephb3","9.293e-02","-4.008","0.836","-0.584"
"Yipf1","9.521e-02","-3.990","0.448","-0.453"
"Usf1","0.117","-3.923","0.370","-0.406"
"Bst2","0.119","-3.906","0.271","-0.338"
"Sprr2a3","0.138","-3.853","0.613","-0.580"
"Rce1","0.138","-3.846","0.388","-0.376"
"Actg1","0.139","-3.836","1.684","-0.700"
"Tmed2","0.160","-3.785","0.587","-0.474"
"Krt19","0.168","-3.754","1.445","-0.721"
"Oasl2","0.168","-3.749","0.390","-0.477"
"Canx","0.168","-3.747","0.405","-0.390"
"Clca1","0.169","-3.736","0.703","-0.649"
"Smg5","0.172","-3.725","0.424","-0.374"
"Sqstm1","0.182","-3.700","0.703","-0.528"
"Man2a1","0.186","-3.686","0.750","-0.463"
"Cox6b1","0.186","-3.679","2.430","-0.687"
"Upf1","0.197","-3.655","0.375","-0.360"
"Lgals9","0.210","-3.625","1.229","-0.675"
"Chchd10","0.210","-3.616","2.617","-0.690"
"Lypd8","0.210","-3.615","0.991","-0.686"
"Cox6c","0.210","-3.606","1.498","-0.599"
"Epn1","0.210","-3.593","1.665","-0.573"
"Pdgfd","0.210","3.590","0.400","0.438"
"Tor1aip1","0.210","-3.589","0.829","-0.509"
"Rab17","0.218","-3.573","0.202","-0.256"
"Stard3","0.223","-3.558","0.557","-0.390"
"Por","0.223","-3.554","0.674","-0.488"
"Cst3","0.225","-3.541","2.276","-0.683"
"Eppk1","0.225","-3.535","1.447","-0.701"
"Calm1","0.225","-3.534","0.577","-0.443"
"Gjb1","0.226","-3.528","0.305","-0.349"
"Ciao2a","0.228","-3.519","1.360","-0.601"
"Ermp1","0.235","-3.489","1.864","-0.619"
"Fam234a","0.235","-3.478","1.292","-0.585"
"Slc35c1","0.235","-3.478","0.344","-0.336"
"Rab7","0.235","-3.473","0.434","-0.373"
"Kras","0.235","-3.472","0.430","-0.373"
"Prnp","0.235","-3.471","1.490","-0.653"
"Rab2a","0.235","-3.466","0.783","-0.505"
"Midn","0.235","-3.462","0.979","-0.514"
"Dbp","0.235","3.452","0.316","0.414"
"Vps13c","0.235","-3.449","0.380","-0.332"
"Lmna","0.235","-3.446","0.724","-0.461"
"Smg9","0.235","-3.445","0.173","-0.228"
"Srcap","0.235","-3.444","0.876","-0.527"
"Tmem106b","0.235","-3.444","1.486","-0.522"
"Enpp5","0.235","-3.439","0.864","-0.508"
"Wwtr1","0.236","3.434","4.294e-02","0.156"
"Src","0.238","-3.427","0.578","-0.429"
"Prdx2","0.238","-3.419","1.474","-0.602"
"Psen2","0.238","-3.416","0.597","-0.417"
"Foxa2","0.238","-3.415","0.611","-0.491"
"Cpm","0.241","-3.407","0.668","-0.436"
"Dag1","0.242","-3.402","1.083","-0.552"
"Sgms2","0.242","-3.397","1.348","-0.590"
"Tmem151a","0.261","-3.367","1.056","-0.561"
"Retreg1","0.261","-3.362","0.902","-0.470"
"Smtn","0.261","3.362","0.134","0.335"
"Vwa8","0.261","-3.359","0.322","-0.351"
"Gm2a","0.262","-3.355","1.465","-0.615"
"Muc5ac","0.272","-3.336","1.434","-0.808"
"Fam57a","0.272","-3.332","0.290","-0.285"
"Lrrc59","0.272","-3.330","0.444","-0.391"
"Cnpy3","0.272","-3.329","0.381","-0.386"
"Tapbp","0.274","-3.322","1.070","-0.530"
"Syngr2","0.274","-3.319","0.700","-0.497"
"Dctn4","0.284","-3.304","0.348","-0.321"
"Pip4k2c","0.284","-3.301","0.364","-0.339"
