"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Igha","2.230e-05","7.145","0.744","1.379"
"Arglu1","8.725e-04","6.036","1.466","1.400"
"mt-Nd6","8.725e-04","5.878","2.137","1.701"
"S100g","8.725e-04","5.868","0.200","0.660"
"Sltm","1.666e-03","5.642","0.700","0.946"
"Igkc","1.966e-03","5.552","0.468","1.015"
"Ciz1","3.567e-03","5.355","0.452","0.805"
"Vmp1","1.137e-02","5.004","1.327","1.293"
"Srpk2","1.137e-02","4.978","0.342","0.658"
"Kif21b","1.295e-02","4.914","0.245","0.660"
"Arfrp1","1.392e-02","4.849","0.266","0.622"
"Ampd2","1.392e-02","4.844","0.261","0.635"
"Aebp2","1.637e-02","4.778","0.239","0.623"
"Pnisr","1.785e-02","4.734","1.005","0.957"
"St3gal4","1.814e-02","4.705","0.327","0.782"
"Galnt7","1.814e-02","4.692","0.601","0.854"
"Maco1","2.579e-02","4.577","0.250","0.546"
"Cftr","2.579e-02","4.554","0.368","0.978"
"Cdk11b","2.579e-02","4.546","0.681","0.819"
"Pigr","2.776e-02","4.507","0.525","0.901"
"Als2cl","2.776e-02","4.497","0.230","0.552"
"Rsrp1","2.885e-02","4.473","2.218","0.879"
"Ada","3.026e-02","4.447","0.119","0.372"
"Nfxl1","3.083e-02","4.430","0.398","0.742"
"Cep95","3.276e-02","4.401","0.116","0.347"
"Slc7a6os","3.427e-02","4.377","0.357","0.667"
"Khsrp","3.522e-02","4.354","0.534","0.723"
"Rabgap1l","3.522e-02","4.348","0.384","0.604"
"Rgs3","3.557e-02","4.335","0.241","0.533"
"Gtf2f2","3.589e-02","4.323","0.246","0.483"
"Nudcd3","3.730e-02","4.302","0.516","0.748"
"Muc6","3.730e-02","4.284","1.729","1.737"
"Tmem191c","3.730e-02","4.282","0.247","0.480"
"Erc1","3.730e-02","4.276","0.387","0.630"
"Abcc5","3.764e-02","4.261","0.425","0.700"
"Ppp1r12c","3.764e-02","4.256","0.652","0.722"
"Arih1","3.963e-02","4.234","0.420","0.688"
"Lgals9","4.717e-02","-4.175","1.089","-0.943"
"Aldh2","5.463e-02","-4.118","0.742","-0.776"
"Exoc5","5.463e-02","4.117","0.410","0.634"
"Mta1","5.670e-02","4.099","0.373","0.608"
"Tspan12","5.834e-02","4.078","0.120","0.377"
"Ddx17","5.834e-02","4.067","1.485","1.008"
"Actg1","5.834e-02","-4.063","1.003","-0.806"
"Hnrnpd","5.834e-02","4.062","0.632","0.802"
"Card10","5.834e-02","4.057","0.236","0.536"
"Inpp4a","5.889e-02","4.048","0.289","0.494"
"Dcaf6","5.893e-02","4.034","0.311","0.540"
"Surf2","5.893e-02","4.030","0.237","0.461"
"Psmd3","5.893e-02","4.029","0.215","0.450"
"Nfatc2","6.280e-02","4.004","0.251","0.603"
"Fars2","6.641e-02","3.982","0.403","0.669"
"Supt20","6.802e-02","3.969","0.581","0.736"
"Rbm33","6.975e-02","3.953","0.504","0.639"
"Sf3b3","6.975e-02","3.950","0.553","0.753"
"Utp25","7.046e-02","3.942","0.134","0.404"
"Sec11c","7.358e-02","3.924","0.998","0.768"
"Stx12","8.444e-02","3.877","0.549","0.707"
"Mybbp1a","8.603e-02","3.866","0.238","0.459"
"Epn3","8.750e-02","-3.856","0.944","-0.867"
"Vrk1","8.800e-02","3.847","7.790e-02","0.248"
"Habp4","8.800e-02","3.835","8.312e-02","0.258"
"Znrf1","8.800e-02","3.835","0.414","0.640"
"Kmt2e","8.800e-02","3.831","0.308","0.544"
"Mecom","8.800e-02","3.830","0.819","0.865"
"Vps33a","8.981e-02","3.819","0.158","0.444"
"Med13l","9.401e-02","3.800","0.474","0.602"
"Relch","0.101","3.775","0.289","0.497"
"Akp3","0.106","3.754","0.309","0.614"
"Agr2","0.117","3.719","1.515","1.132"
"Taf1d","0.118","3.713","0.469","0.679"
"Gabpb2","0.118","3.708","0.385","0.550"
"Reg1","0.118","3.702","0.104","0.350"
"Anp32e","0.118","3.695","0.289","0.479"
"Rassf6","0.118","3.695","0.193","0.411"
"Ubp1","0.119","3.689","0.477","0.613"
"Plekha7","0.120","3.681","0.329","0.506"
"Sgsm3","0.120","3.675","0.599","0.740"
"Smg5","0.120","3.671","0.245","0.391"
"Mreg","0.120","3.668","0.172","0.465"
"Rnf135","0.120","3.666","0.100","0.315"
"mt-Co1","0.124","3.653","2.384","0.937"
"Glyr1","0.124","3.645","0.610","0.696"
"Zdhhc23","0.124","3.644","0.116","0.356"
"Jund","0.125","-3.637","1.707","-0.833"
"Krcc1","0.125","3.633","0.292","0.501"
"Vps53","0.125","3.633","0.694","0.704"
"Clk4","0.127","3.622","0.684","0.718"
"Map2k2","0.128","3.613","0.710","0.647"
"Pan3","0.128","3.612","0.444","0.571"
"Atg7","0.128","3.605","0.194","0.388"
"Srrm1","0.128","3.603","0.341","0.485"
"Immp1l","0.128","3.599","0.184","0.439"
"Arl13b","0.128","3.588","0.203","0.482"
