"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Acsl1","1.045e-04","-6.711","0.209","-1.018"
"Wnk4","1.136e-04","-6.519","0.206","-0.912"
"Krtdap","1.965e-04","-6.282","0.393","-1.919"
"Serbp1","2.590e-04","-6.141","0.106","-0.635"
"Krt13","2.595e-04","-6.085","0.436","-1.959"
"Krt4","2.805e-04","-6.020","0.312","-1.375"
"Gltp","2.858e-04","-5.976","0.215","-1.023"
"Actg1","5.620e-04","-5.756","0.562","-1.369"
"Nfxl1","5.620e-04","-5.741","0.162","-0.760"
"Porcn","7.379e-04","-5.644","8.481e-02","-0.509"
"Degs1","1.554e-03","-5.428","0.174","-0.646"
"Eef1akmt3","2.242e-03","-5.300","0.111","-0.513"
"Snx12","2.242e-03","-5.289","7.490e-02","-0.449"
"Evpl","4.302e-03","-5.074","0.261","-1.029"
"Afap1l2","4.302e-03","-5.063","9.524e-02","-0.571"
"Atp6v1h","4.302e-03","-5.059","0.129","-0.560"
"Bcl10","4.302e-03","-5.046","0.226","-0.816"
"Dmkn","4.344e-03","-5.024","0.206","-0.935"
"Kremen1","4.344e-03","-5.014","7.827e-02","-0.470"
"Rapgefl1","4.386e-03","-4.998","0.406","-1.158"
"Sipa1l2","5.841e-03","-4.908","6.640e-02","-0.398"
"Plcd1","6.172e-03","-4.879","0.147","-0.631"
"Pcid2","6.172e-03","-4.869","8.808e-02","-0.467"
"Perp","6.352e-03","-4.827","0.427","-1.173"
"Slc52a3","6.352e-03","-4.824","0.234","-0.753"
"Grk2","6.352e-03","-4.818","0.292","-0.874"
"Pum1","6.352e-03","-4.802","0.206","-0.758"
"Hnrnpl","6.352e-03","-4.801","0.140","-0.639"
"Meis1","6.352e-03","-4.798","0.361","-1.061"
"Cnbp","7.420e-03","-4.747","0.308","-0.949"
"Itprip","8.258e-03","-4.709","0.211","-0.733"
"Slc9a9","8.681e-03","-4.686","0.149","-0.596"
"Fat2","8.883e-03","-4.666","8.762e-02","-0.425"
"Prdx5","8.883e-03","-4.663","0.288","-0.831"
"Naa15","1.102e-02","-4.596","0.105","-0.533"
"Eif1ad","1.193e-02","-4.561","9.761e-02","-0.431"
"Prickle3","1.193e-02","-4.559","0.223","-0.824"
"Smpd1","1.241e-02","-4.540","0.121","-0.573"
"Elp5","1.248e-02","-4.532","0.159","-0.643"
"Chl1","1.248e-02","-4.518","6.975e-02","-0.419"
"S100a16","1.248e-02","-4.516","0.281","-0.985"
"Ube2k","1.248e-02","-4.508","0.108","-0.435"
"Nrd1","1.248e-02","-4.505","0.282","-0.844"
"Psma6","1.347e-02","-4.477","0.146","-0.576"
"Cyc1","1.380e-02","-4.464","0.184","-0.631"
"Srsf5","1.479e-02","-4.436","0.363","-0.933"
"Pkp1","1.479e-02","-4.432","0.440","-1.133"
"Ssu72","1.496e-02","-4.423","0.236","-0.713"
"Setd2","1.496e-02","-4.407","0.403","-1.041"
"Dapl1","1.496e-02","-4.401","0.103","-0.619"
"Tpp2","1.496e-02","-4.400","0.294","-0.808"
"Plch2","1.496e-02","-4.396","0.250","-0.902"
"Pmvk","1.496e-02","-4.395","0.137","-0.595"
"Cyp4f39","1.561e-02","-4.377","9.338e-02","-0.560"
"Anapc5","1.561e-02","-4.373","5.526e-02","-0.332"
"Srsf2","1.613e-02","-4.358","0.333","-0.997"
"Fabp5","1.810e-02","-4.321","0.738","-1.494"
"Pcnt","1.910e-02","-4.300","0.138","-0.548"
"Adam10","2.232e-02","-4.251","0.274","-0.758"
"Lrig3","2.289e-02","-4.237","0.133","-0.506"
"Pard3","2.289e-02","-4.234","0.339","-1.104"
"Parn","2.514e-02","-4.200","4.771e-02","-0.286"
"Il17rc","2.514e-02","-4.198","0.235","-0.774"
"Vezt","2.528e-02","-4.188","0.124","-0.521"
"Plekhn1","2.528e-02","-4.187","0.655","-1.373"
"Krt5","2.652e-02","-4.164","0.307","-1.260"
"Ube2a","2.652e-02","-4.162","7.481e-02","-0.387"
"Eif4g1","2.652e-02","-4.161","0.162","-0.560"
"Chil4","2.709e-02","-4.150","0.166","-0.804"
"Ankrd17","2.735e-02","-4.143","0.152","-0.535"
"Fam160a2","2.770e-02","-4.135","0.179","-0.539"
"Pkp3","2.999e-02","-4.108","0.186","-0.615"
"Nbeal2","3.048e-02","-4.096","0.374","-0.965"
"Pkp2","3.048e-02","-4.096","4.406e-02","-0.264"
"Adgrf4","3.174e-02","-4.080","0.107","-0.470"
"Coq3","3.320e-02","-4.061","0.117","-0.472"
"Pdpk1","3.320e-02","-4.055","0.312","-0.791"
"Calm4","3.320e-02","-4.055","0.172","-0.717"
"Srrm2","3.518e-02","-4.031","0.326","-0.842"
"Kynu","3.518e-02","-4.030","0.108","-0.533"
"Tpm2","3.518e-02","-4.027","0.251","-0.809"
"Lgals7","3.720e-02","-4.007","0.315","-1.157"
"Kptn","3.849e-02","-3.994","0.107","-0.442"
"Aldh3b2","4.109e-02","-3.971","0.238","-0.829"
"Hdac4","4.182e-02","-3.962","0.215","-0.659"
"Yme1l1","4.184e-02","-3.955","0.310","-0.744"
"Endou","4.184e-02","-3.954","6.180e-02","-0.371"
"Arhgef39","4.184e-02","-3.951","6.128e-02","-0.368"
"Nectin1","4.198e-02","-3.947","0.176","-0.580"
"Lipm","4.202e-02","-3.940","0.254","-0.817"
"Sept5","4.202e-02","-3.936","0.279","-0.814"
"Fus","4.202e-02","-3.935","0.272","-0.766"
"Rnf13","4.202e-02","-3.934","0.161","-0.536"
"Elp2","4.344e-02","-3.918","6.048e-02","-0.363"
"Sbsn","4.344e-02","-3.916","0.283","-0.866"
"Sytl1","4.344e-02","-3.914","0.296","-0.857"
"Zc2hc1a","4.423e-02","-3.906","0.134","-0.475"
"Eif4a3","4.627e-02","-3.887","9.600e-02","-0.459"
"Lypd3","4.627e-02","-3.886","0.294","-1.003"
"H2-D1","4.854e-02","-3.869","0.167","-0.524"
"Gtf3c2","5.323e-02","-3.838","0.297","-0.693"
"Cdc14b","5.346e-02","-3.831","0.121","-0.524"
"Snrnp70","5.346e-02","-3.829","0.452","-0.968"
"Rassf5","5.346e-02","-3.828","0.281","-0.755"
"Bnipl","5.389e-02","-3.823","0.286","-0.775"
"Pacc1","5.479e-02","-3.815","0.140","-0.519"
"Tial1","5.486e-02","-3.811","0.309","-0.754"
"Atp6ap2","5.486e-02","-3.807","0.163","-0.493"
"Spink5","5.486e-02","-3.798","0.144","-0.624"
"Hmbs","5.486e-02","-3.797","0.109","-0.486"
"Dlg3","5.486e-02","-3.795","8.419e-02","-0.362"
"Rb1cc1","5.486e-02","-3.793","0.136","-0.498"
"Gpx1","5.486e-02","-3.793","0.275","-0.715"
"Mall","5.486e-02","-3.793","6.646e-02","-0.399"
"Tacstd2","5.692e-02","-3.778","0.191","-0.629"
"Clps","5.692e-02","-3.771","2.019","-1.981"
"Ppm1l","5.692e-02","-3.768","0.149","-0.594"
