"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Reg3b","0.876","4.915","4.348","4.756"
"Stxbp5l","0.876","4.061","4.287","3.741"
"Muc13","0.876","3.967","6.889","3.786"
"Vnn1","0.876","3.852","4.636","3.891"
"Jdp2","0.876","3.785","4.601","3.426"
"Msln","0.876","3.749","6.256","3.529"
"Slc38a6","0.876","3.734","3.970","3.348"
"B4galnt2","0.876","3.540","3.807","3.312"
"Il1a","0.876","3.498","5.623","4.092"
"Noxo1","0.876","3.497","5.243","3.124"
"Padi1","0.876","3.444","2.938","4.744"
"Nom1","0.876","3.443","4.550","3.214"
"Ccl17","0.876","3.426","3.238","3.758"
"Rin3","0.876","3.419","3.771","3.239"
"Tnip3","0.876","3.413","6.801","3.584"
"Cldn3","0.876","3.384","5.013","3.221"
"Reg1","0.876","3.326","4.018","3.733"
"Reg3g","0.876","3.317","3.915","3.528"
"Tnf","0.876","3.306","3.131","3.544"
"Msh3","0.876","3.284","3.731","3.159"
"Il1b","0.876","3.272","3.105","3.493"
"Cxcl2","0.876","3.270","3.339","3.224"
"Atf2","0.876","3.240","4.433","2.876"
"Myef2","0.876","3.238","3.595","3.250"
"Rhbdd3","0.876","3.238","3.595","3.250"
"Dll1","0.876","3.238","3.595","3.250"
"Ceacam12","0.876","3.233","3.077","3.437"
"Galntl6","0.876","3.233","3.077","3.437"
"Adam8","0.876","3.197","4.883","3.348"
"Mgam","0.876","3.160","3.261","3.069"
"Kri1","0.876","3.144","4.499","2.821"
"Cdh17","0.876","3.136","3.436","2.933"
"Pogk","0.876","3.131","3.685","3.069"
"Tars2","0.876","3.131","3.685","3.069"
"Tnfaip2","0.876","3.131","3.685","3.069"
"Ikbke","0.876","3.128","4.392","2.794"
"Pla2g7","0.876","3.123","2.781","4.430"
"Haus3","0.876","3.089","3.177","3.638"
"Adh6a","0.876","3.060","2.582","4.032"
"Clec2h","0.876","3.060","2.582","4.032"
