"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Cldn1","0.832","5.248","3.593","3.694"
"Hdc","0.832","5.239","3.537","3.581"
"Ptgs2","0.832","-5.215","6.992","-4.723"
"Slc26a4","0.832","5.186","3.482","3.472"
"Cym","0.832","5.043","3.206","4.504"
"Mgam2-ps","0.832","5.028","3.403","3.314"
"Trim17","0.832","5.020","3.351","4.793"
"Padi1","0.832","5.012","3.151","4.394"
"Csf2","0.832","4.932","5.609","4.024"
"Cd274","0.832","4.808","3.735","3.978"
"Ces2f","0.832","4.733","2.976","4.045"
"Slc5a8","0.832","4.733","2.976","4.045"
"Myh11","0.832","4.703","3.811","3.392"
"Tpsab1","0.832","4.688","3.848","3.467"
"Plek","0.832","4.685","3.302","3.111"
"Hist2h3c1","0.832","4.664","3.882","3.535"
"Tmprss11d","0.832","4.648","2.943","3.978"
"Krt6b","0.832","4.615","3.667","3.103"
"Trim58","0.832","4.601","3.282","3.071"
"Scin","0.832","4.595","3.654","3.079"
"Csf3","0.832","4.584","3.958","3.687"
"P2rx5","0.832","4.544","2.906","3.904"
"Acod1","0.832","4.507","3.261","3.029"
"G0s2","0.832","4.417","2.864","3.821"
"Erich3","0.832","4.287","3.214","2.936"
"Defb14","0.832","4.260","2.818","3.728"
"Ngf","0.832","-4.227","5.903","-3.840"
"Lilrb4a","0.832","4.183","3.505","2.781"
"Muc2","0.832","4.168","2.792","3.676"
"Dnaja4","0.832","4.165","3.940","3.165"
"Ncf1","0.832","4.140","3.881","3.047"
"Prss27","0.832","4.116","4.085","3.455"
"Il1r2","0.832","4.066","2.764","3.621"
"Slc7a2","0.832","4.066","2.764","3.621"
"Hist1h1t","0.832","4.030","3.466","2.703"
"Themis2","0.832","4.016","3.161","2.828"
"Rab44","0.832","4.016","3.161","2.828"
"Pcdhgb2","0.832","4.016","3.161","2.828"
"St8sia3","0.832","4.016","3.161","2.828"
"Tcf19","0.832","4.011","4.518","3.429"
"Sprr2d","0.832","4.006","4.349","5.206"
"Akr1c19","0.832","3.984","3.763","2.812"
"Cd33","0.832","3.953","2.734","3.561"
"Hdac9","0.832","3.941","3.445","2.660"
"Alpl","0.832","3.928","3.737","2.759"
"Ifitm1","0.832","3.895","3.723","2.732"
"S100a9","0.832","3.862","4.326","3.936"
"Speg","0.832","3.859","3.130","2.768"
"Odaph","0.832","3.859","3.709","2.703"
"Tnfaip2","0.832","3.836","6.531","3.878"
"Ifi202b","0.832","3.826","2.701","3.495"
"Calml3","0.832","3.826","2.701","3.495"
"Ankrd33b","0.832","3.826","2.701","3.495"
"Hs6st2","0.832","3.826","2.701","3.495"
"Crip1","0.832","-3.701","9.143","-2.829"
"Cd36","0.832","3.686","3.098","2.703"
"Itgam","0.832","3.686","3.098","2.703"
"Cnn1","0.832","3.686","3.098","2.703"
"Pcsk4","0.832","3.686","3.098","2.703"
"Cybb","0.832","3.686","3.098","2.703"
"Gatm","0.832","3.685","2.665","3.423"
"Cnbd2","0.832","3.685","2.665","3.423"
"Clec4d","0.832","3.685","2.665","3.423"
"Ankk1","0.832","3.685","2.665","3.423"
"Vwa2","0.832","3.685","2.665","3.423"
"Tmem80","0.832","3.671","3.645","2.574"
"Iqank1","0.832","3.636","3.795","3.360"
"Dennd1c","0.832","3.633","4.149","3.220"
"Ltf","0.832","3.610","10.951","2.707"
"Zfp991","0.832","3.584","4.407","3.207"
"Disp1","0.832","3.526","2.625","3.343"
"Tgfb2","0.832","3.526","2.625","3.343"
"Adam33","0.832","3.526","2.625","3.343"
"Dkk2","0.832","3.526","2.625","3.343"
"Cxcl10","0.832","3.526","2.625","3.343"
"Clec4e","0.832","3.526","2.625","3.343"
"Clec2e","0.832","3.526","2.625","3.343"
"Zfp94","0.832","3.526","2.625","3.343"
"Il10ra","0.832","3.526","2.625","3.343"
"Acpp","0.832","3.526","2.625","3.343"
"Actn2","0.832","3.526","2.625","3.343"
"Retnlg","0.832","3.526","2.625","3.343"
"Pcdhga9","0.832","3.507","3.854","2.630"
"Swt1","0.832","3.496","3.062","2.630"
"Ppp1r16b","0.832","3.496","3.062","2.630"
"Cenps","0.832","3.496","3.062","2.630"
"Gpr146","0.832","3.496","3.062","2.630"
"Apoc2","0.832","3.496","3.062","2.630"
"Casp12","0.832","3.496","3.062","2.630"
"Slc16a10","0.832","3.496","3.062","2.630"
"Slc7a8","0.832","3.496","3.062","2.630"
"Hhat","0.832","3.479","3.345","2.460"
"Zeb2","0.832","3.479","3.345","2.460"
"Pi4kb","0.832","3.479","3.345","2.460"
"Fgr","0.832","3.479","3.345","2.460"
"Tspan33","0.832","3.479","3.345","2.460"
"Ces2a","0.832","3.479","3.345","2.460"
"Sult4a1","0.832","3.479","3.345","2.460"
"Cep97","0.832","3.473","3.587","2.460"
"Ivl","0.832","-3.447","6.131","-2.398"
"Tfcp2","0.832","3.447","4.316","3.554"
"Kctd1","0.832","3.426","3.494","3.495"
"Tmprss11g","0.832","3.421","4.221","3.075"
"Primpol","0.832","3.393","3.566","2.418"
"Nmnat3","0.832","3.393","3.566","2.418"
"Mogat1","0.832","3.385","3.799","2.521"
"Lrrn4","0.832","3.347","2.580","3.252"
"Npr1","0.832","3.347","2.580","3.252"
"Hist2h4","0.832","3.347","2.580","3.252"
"Htra3","0.832","3.347","2.580","3.252"
"Zfp316","0.832","3.347","2.580","3.252"
"Igkv8-27","0.832","3.347","2.580","3.252"
"Zfp619","0.832","3.347","2.580","3.252"
"Htra4","0.832","3.347","2.580","3.252"
"Palm3","0.832","3.347","2.580","3.252"
"Crispld2","0.832","3.347","2.580","3.252"
"Hap1","0.832","3.347","2.580","3.252"
"Mrc2","0.832","3.347","2.580","3.252"
"Serpina3g","0.832","3.347","2.580","3.252"
"Cmah","0.832","3.347","2.580","3.252"
"Atp13a4","0.832","3.347","2.580","3.252"
"Mmp25","0.832","3.347","2.580","3.252"
"Sapcd1","0.832","3.347","2.580","3.252"
"Abcg5","0.832","3.347","2.580","3.252"
"Cfap43","0.832","3.347","2.580","3.252"
"Ank","0.832","3.347","3.784","2.491"
