"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Col3a1","0.965","-3.584","4.584","-3.372"
"Kifc2","0.965","3.581","5.402","2.843"
"Apoa4","0.965","3.534","4.760","3.145"
"Dbp","0.965","3.532","5.438","2.914"
"Ifi27","0.965","-3.396","5.762","-2.921"
"Fbxl15","0.965","3.336","3.968","3.145"
"Gnb1","0.965","-3.271","4.447","-3.098"
"Rnf213","0.965","-3.269","4.416","-3.036"
"Bpifb1","0.965","-3.267","12.367","-3.018"
"Aqp4","0.965","3.262","4.020","3.248"
"Tlnrd1","0.965","-3.242","5.573","-2.543"
"Purg","0.965","3.194","3.908","3.024"
"Ggh","0.965","-3.182","4.959","-2.538"
"Cited2","0.965","-3.163","6.649","-2.980"
"Helz2","0.965","-3.154","5.285","-2.454"
"Pet100","0.965","-3.140","4.358","-2.921"
"Cds2","0.965","3.093","4.784","2.456"
"Adal","0.965","3.075","4.416","2.456"
"Wdr45b","0.965","3.075","4.416","2.456"
"Sprr2a3","0.965","-3.027","5.760","-2.554"
"Ccdc112","0.965","3.014","3.835","2.880"
"Piga","0.965","3.014","3.835","2.880"
"Dhps","0.965","2.973","5.027","2.456"
"Fbxo6","0.965","2.941","4.364","2.352"
"Orc6","0.965","2.941","4.364","2.352"
"Pnliprp2","0.965","-2.929","8.911","-2.447"
"Ybx1","0.965","-2.925","5.335","-2.552"
"Sdc4","0.965","-2.922","6.275","-2.667"
"Igfbp2","0.965","2.913","4.951","2.303"
"Kpna6","0.965","-2.909","5.190","-2.263"
"Polk","0.965","2.892","4.685","2.258"
"Top1","0.965","2.875","5.311","2.372"
"Phc2","0.965","-2.874","4.249","-2.703"
"Cd81","0.965","-2.853","5.488","-2.373"
"Tpst1","0.965","2.850","4.416","2.456"
"Ncoa4","0.965","2.850","4.416","2.456"
"Crocc","0.965","2.825","4.933","2.268"
"Pnrc1","0.965","-2.803","6.441","-2.695"
