"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"P4ha1","0.704","5.084","4.182","3.757"
"Nupr1","0.704","4.827","8.740","3.671"
"Kcne3","0.704","4.571","3.239","3.455"
"Lyz1","0.704","4.387","3.181","3.340"
"Meis3","0.704","4.331","3.845","3.083"
"Scnn1b","0.704","4.273","3.148","3.274"
"Iglc1","0.704","4.174","4.618","4.628"
"Zbtb10","0.704","4.143","3.112","3.202"
"Fam102b","0.704","4.143","3.112","3.202"
"Rab37","0.704","4.133","3.256","3.490"
"Tff2","0.704","-4.087","12.066","-2.843"
"Cluap1","0.704","4.072","4.218","3.093"
"Cldn4","0.704","4.041","3.685","2.763"
"Ttc30a1","0.704","3.992","3.072","3.122"
"Tdrp","0.704","3.992","3.072","3.122"
"Rhoc","0.704","3.958","6.950","2.851"
"Ezh2","0.704","3.953","3.761","2.916"
"Rab31","0.704","3.953","3.761","2.916"
"Scnn1g","0.704","3.933","3.211","3.400"
"Mxi1","0.704","3.861","5.271","3.614"
"Brms1l","0.704","3.849","3.850","3.093"
"Tmc8","0.704","3.825","4.076","2.808"
"Plet1","0.704","3.823","6.702","2.674"
"Bmf","0.704","3.817","3.027","3.031"
"Ccdc154","0.704","3.817","3.027","3.031"
"Ss18l2","0.704","3.801","3.729","2.850"
"Atf3","0.704","3.769","6.067","2.604"
"Samd5","0.704","3.739","4.053","2.763"
"Zfp46","0.704","3.707","3.281","3.539"
"Camk1d","0.704","3.634","3.693","2.778"
"Jchain","0.704","3.634","3.693","2.778"
"Accs","0.704","3.612","2.975","2.928"
"Bmp8a","0.704","3.612","2.975","2.928"
"Prss23","0.704","3.612","2.975","2.928"
"Pde4c","0.704","3.612","2.975","2.928"
"Pdgfd","0.704","3.612","2.975","2.928"
"Zdhhc17","0.704","3.612","2.975","2.928"
"Ybx2","0.704","3.612","2.975","2.928"
"Mmp14","0.704","3.612","2.975","2.928"
"Adgrb1","0.704","3.581","6.042","2.492"
"Fabp3","0.704","3.563","4.532","2.873"
"Adprm","0.704","3.562","3.544","2.482"
"Cyp1b1","0.704","3.562","3.544","2.482"
"Rpap2","0.704","3.544","4.004","2.663"
"Apoa4","0.704","3.544","4.004","2.663"
"AW554918","0.704","3.544","4.004","2.663"
"Ephx1","0.704","-3.452","5.744","-2.765"
"Rin2","0.704","3.450","3.099","3.176"
"Fbxl3","0.704","3.450","3.099","3.176"
"Tm4sf4","0.704","3.422","3.508","2.409"
"Edn1","0.704","3.398","3.892","2.439"
"Muc13","0.704","3.398","3.892","2.439"
"Bex3","0.704","3.373","4.218","2.607"
"Sema4c","0.704","3.369","2.915","2.808"
