"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Pde9a","0.840","5.850","3.652","4.080"
"Eaf2","0.840","5.413","3.419","3.614"
"Reg4","0.840","5.289","3.346","3.469"
"Zfp948","0.840","5.289","3.346","3.469"
"Tbc1d24","0.840","5.289","3.346","3.469"
"Rnase1","0.840","5.111","3.724","4.225"
"Susd1","0.840","5.036","3.256","3.288"
"Cd36","0.840","5.036","3.256","3.288"
"Proz","0.840","5.036","3.256","3.288"
"Caprin2","0.840","4.640","3.319","3.413"
"Arsg","0.840","4.640","3.319","3.413"
"Tbc1d7","0.840","4.640","3.319","3.413"
"Them7","0.840","4.548","3.134","3.045"
"Focad","0.840","4.548","3.134","3.045"
"Slc5a9","0.840","4.548","3.134","3.045"
"Shisa3","0.840","4.548","3.134","3.045"
"Tmem86a","0.840","4.548","3.134","3.045"
"Letm2","0.840","4.548","3.134","3.045"
"Zmat5","0.840","4.548","3.134","3.045"
"Kcnab3","0.840","4.548","3.134","3.045"
"Klhdc1","0.840","4.548","3.134","3.045"
"Pus7l","0.840","4.548","3.134","3.045"
"Cd200r1","0.840","4.548","3.134","3.045"
"Pram1","0.840","4.548","3.134","3.045"
"Tram2","0.840","4.390","5.116","3.100"
"Cidea","0.840","4.159","3.927","3.045"
"Chil4","0.840","-4.003","7.205","-4.480"
"Lyz1","0.840","3.964","4.965","3.899"
"Slc27a4","0.840","-3.940","4.777","-2.562"
"Adamts10","0.840","3.893","3.958","3.106"
"Stom","0.840","3.866","4.048","3.288"
"Ankrd44","0.840","3.835","3.815","2.821"
"Lyplal1","0.840","3.835","3.815","2.821"
"Rpgrip1l","0.840","3.835","3.815","2.821"
"Cep19","0.840","3.835","3.815","2.821"
"Zfp991","0.840","3.802","3.836","2.864"
"Fzd1","0.840","3.802","3.836","2.864"
"Prkn","0.840","3.783","5.110","2.604"
"Uvrag","0.840","-3.737","4.714","-2.436"
"Sox2","0.840","-3.709","4.060","-2.712"
"Igha","0.840","3.705","7.763","4.739"
"Atp8b2","0.840","3.692","3.743","2.676"
"Rab11fip5","0.840","3.692","3.743","2.676"
"Cemip2","0.840","-3.633","4.692","-2.391"
"Stra6l","0.840","3.624","3.134","3.045"
"Fzd10","0.840","3.624","3.134","3.045"
"Ccdc189","0.840","3.624","3.134","3.045"
"Sct","0.840","3.624","3.134","3.045"
"Gins3","0.840","3.624","3.134","3.045"
"Ust","0.840","3.624","3.134","3.045"
"Ccdc112","0.840","3.624","3.134","3.045"
"S100pbp","0.840","3.610","3.972","3.135"
"Adh6a","0.840","3.558","3.256","3.288"
"Ggnbp1","0.840","3.540","5.707","2.408"
"Alpk1","0.840","-3.504","4.694","-2.395"
"Cpa2","0.840","3.496","3.346","3.469"
"Mcts2","0.840","-3.479","4.629","-2.266"
"Ascc2","0.840","-3.468","4.668","-2.344"
"Fam189b","0.840","3.454","3.652","2.495"
"Tshz3","0.840","3.454","3.652","2.495"
"Mt3","0.840","3.454","3.652","2.495"
"Ces2a","0.840","3.454","3.652","2.495"
"Zswim7","0.840","3.454","3.652","2.495"
"Vcan","0.840","3.454","3.652","2.495"
"Bst2","0.840","-3.420","3.999","-2.592"
"Isg15","0.840","-3.404","3.948","-2.488"
"Capn9","0.840","3.394","4.323","2.252"
"Bap1","0.840","-3.386","4.692","-2.391"
"Wdr6","0.840","-3.360","4.598","-2.204"
"Hgh1","0.840","-3.360","4.598","-2.204"
"Stmn1","0.840","-3.329","5.097","-2.466"
"Psma3","0.840","-3.317","3.927","-2.447"
"P2rx3","0.840","3.317","2.950","2.676"
"Bfsp1","0.840","3.317","2.950","2.676"
"Zfyve28","0.840","3.317","2.950","2.676"
"Ttc26","0.840","3.317","2.950","2.676"
"Ppp1r14a","0.840","3.317","2.950","2.676"
"Fcrls","0.840","3.308","3.023","2.821"
"Cd200","0.840","3.308","3.023","2.821"
"Grem2","0.840","3.301","2.860","2.495"
"Lingo4","0.840","3.301","2.860","2.495"
"Reln","0.840","3.301","2.860","2.495"
"Wnt2","0.840","3.301","2.860","2.495"
"Zfp108","0.840","3.301","2.860","2.495"
"Muc2","0.840","3.301","4.445","2.495"
"Megf11","0.840","3.301","2.860","2.495"
"Rad51b","0.840","3.301","2.860","2.495"
