"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Isg15","0.998","-10.287","5.686","-8.805"
"Irgm1","0.998","-6.742","3.409","-5.391"
"Bst2","0.998","-6.293","5.194","-5.691"
"Herc6","0.998","-5.732","2.991","-4.762"
"Sprr2f","0.998","5.709","3.884","4.668"
"Oas3","0.998","-5.701","4.245","-6.644"
"Trim30a","0.998","-5.697","3.013","-4.796"
"Chil4","0.998","-5.695","9.077","-5.143"
"Ifit1","0.998","-5.385","3.156","-5.010"
"Rnf213","0.998","-5.248","6.923","-4.073"
"Gbp2","0.998","-5.016","4.011","-3.916"
"Pirb","0.998","-5.011","2.547","-4.097"
"Hpx","0.998","4.985","3.761","3.937"
"Irf7","0.998","-4.909","6.742","-4.018"
"Usp18","0.998","-4.721","5.260","-4.683"
"Oas2","0.998","-4.681","5.741","-5.405"
"Gbp3","0.998","-4.632","3.787","-3.580"
"Ifi47","0.998","-4.610","2.793","-4.466"
"Chac1","0.998","4.600","3.912","3.569"
"Rtp4","0.998","-4.513","5.936","-3.630"
"Tppp3","0.998","-4.474","5.301","-3.473"
"Igtp","0.998","-4.459","3.865","-3.696"
"Nup54","0.998","-4.384","2.413","-3.897"
"Rgs10","0.998","-4.384","2.413","-3.897"
"Stat2","0.998","-4.344","5.964","-3.362"
"Sp100","0.998","-4.332","4.248","-4.272"
"Sh2d6","0.998","4.161","3.259","4.500"
"Oas1g","0.998","-4.039","4.778","-3.232"
"Pfkfb3","0.998","3.987","3.498","3.149"
"Chchd4","0.998","-3.982","2.330","-3.771"
"Zfp668","0.998","-3.982","2.330","-3.771"
"Rnf135","0.998","-3.944","2.659","-4.265"
"Tuba4a","0.998","-3.833","1.885","-3.104"
"Snai3","0.998","-3.833","1.885","-3.104"
"Cmpk2","0.998","-3.833","3.470","-3.104"
"Nol12","0.998","-3.833","1.885","-3.104"
"Kcne2","0.998","-3.833","1.885","-3.104"
"Eln","0.998","-3.833","3.483","-3.123"
"Vps9d1","0.998","-3.828","1.922","-3.160"
"Ifi27l2a","0.998","-3.828","1.922","-3.160"
"Cab39l","0.998","-3.825","1.845","-3.044"
"Hhip","0.998","-3.814","1.957","-3.211"
"Sf3b5","0.998","-3.814","1.957","-3.211"
"Ifit3","0.998","-3.814","1.957","-3.211"
"Arc","0.998","3.813","3.133","4.123"
"Parp9","0.998","-3.801","5.482","-2.949"
"Atic","0.998","-3.798","1.801","-2.979"
"Ro60","0.998","-3.758","2.281","-3.699"
"Ifi35","0.998","-3.753","5.847","-2.915"
"Dtx3l","0.998","-3.750","5.457","-2.912"
"Sox5","0.998","-3.745","1.753","-2.906"
"Gramd2","0.998","-3.745","1.753","-2.906"
"Ift27","0.998","-3.745","1.753","-2.906"
"Zc3h7b","0.998","-3.745","1.753","-2.906"
"Tnxb","0.998","-3.745","1.753","-2.906"
"Zfp182","0.998","-3.745","3.338","-2.906"
"Eif3h","0.998","-3.741","2.047","-3.347"
"Krt13","0.998","-3.713","5.453","-4.245"
"Dhx58","0.998","-3.685","5.640","-2.876"
"Nif3l1","0.998","-3.658","1.700","-2.826"
"Rapgef4","0.998","-3.658","1.700","-2.826"
"Tspyl3","0.998","-3.658","1.700","-2.826"
"Loxl4","0.998","-3.658","1.700","-2.826"
"Ddx58","0.998","-3.635","4.010","-2.809"
"Tfg","0.998","-3.625","4.491","-2.801"
"Zfp51","0.998","-3.620","2.146","-3.496"
"Hbb-bs","0.998","-3.590","2.168","-3.528"
"Sfxn2","0.998","-3.570","2.575","-4.140"
"Ywhaz","0.998","-3.555","3.974","-2.755"
"Scnn1b","0.998","3.537","3.379","2.794"
"Alb","0.998","-3.532","2.209","-3.590"
"Btbd18","0.998","-3.524","1.639","-2.736"
"Zfp341","0.998","-3.524","1.639","-2.736"
"Mxra8","0.998","-3.524","1.639","-2.736"
"Cdk6","0.998","-3.524","1.639","-2.736"
"Rbm19","0.998","-3.524","1.639","-2.736"
"Eogt","0.998","-3.524","1.639","-2.736"
"Mfap5","0.998","-3.524","1.639","-2.736"
