"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Neu3","0.618","6.017","3.271","3.979"
"Ccdc9b","0.618","5.760","3.038","3.512"
"Abi2","0.618","5.443","2.965","3.368"
"Chic1","0.618","5.443","2.965","3.368"
"Zfp697","0.618","5.353","2.569","4.160"
"Mgam","0.618","5.353","2.569","4.160"
"Reg3b","0.618","5.353","2.569","4.160"
"Zfp811","0.618","5.353","2.569","4.160"
"Wwtr1","0.618","5.147","2.965","4.953"
"Tmem198","0.618","4.979","2.479","3.979"
"Inpp5d","0.618","4.979","2.479","3.979"
"Cyp2j5","0.618","4.979","2.479","3.979"
"Eva1a","0.618","4.979","2.479","3.979"
"Cecr2","0.618","4.979","2.479","3.979"
"Vwf","0.618","4.979","2.479","3.979"
"Zfp667","0.618","4.979","2.479","3.979"
"Vsig10l","0.618","4.979","2.479","3.979"
"Acsm5","0.618","4.979","2.479","3.979"
"Rnf122","0.618","4.979","2.479","3.979"
"Hebp2","0.618","4.979","2.479","3.979"
"Mylip","0.618","4.979","2.479","3.979"
"Gpr161","0.618","4.933","2.875","3.186"
"Lix1l","0.618","4.933","2.875","3.186"
"Stk32b","0.618","4.933","2.875","3.186"
"Tmtc1","0.618","4.933","2.875","3.186"
"Col7a1","0.618","4.933","2.875","3.186"
"Arhgef25","0.618","4.933","2.875","3.186"
"Adamts2","0.618","4.933","2.875","3.186"
"Obscn","0.618","4.933","2.875","3.186"
"Tnfaip2","0.618","4.933","2.875","3.186"
"Galnt15","0.618","4.933","2.875","3.186"
"Iqcb1","0.618","4.933","2.875","3.186"
"Kifc1","0.618","4.933","2.875","3.186"
"Ltf","0.618","4.851","3.222","3.144"
"Edaradd","0.618","4.851","3.222","3.144"
"Rgs5","0.618","4.569","3.150","2.999"
"Mterf1b","0.618","4.569","3.150","2.999"
"Adam8","0.618","4.569","3.150","2.999"
"Arntl2","0.618","4.412","3.500","3.215"
"Itln1","0.618","4.400","2.357","3.736"
"Slc43a3","0.618","4.400","2.357","3.736"
"She","0.618","4.400","2.357","3.736"
"Gstm6","0.618","4.400","2.357","3.736"
"Gem","0.618","4.400","2.357","3.736"
"Zkscan16","0.618","4.400","2.357","3.736"
"Zswim5","0.618","4.400","2.357","3.736"
"Ubxn11","0.618","4.400","2.357","3.736"
"Rad9b","0.618","4.400","2.357","3.736"
"Aass","0.618","4.400","2.357","3.736"
"Tacstd2","0.618","4.400","2.357","3.736"
"Adamts9","0.618","4.400","2.357","3.736"
"Rad18","0.618","4.400","2.357","3.736"
"C3ar1","0.618","4.400","2.357","3.736"
"Ckm","0.618","4.400","2.357","3.736"
"Cyp2b10","0.618","4.400","2.357","3.736"
"Kif7","0.618","4.400","2.357","3.736"
"Mrvi1","0.618","4.400","2.357","3.736"
"Sox6","0.618","4.400","2.357","3.736"
"Itgax","0.618","4.400","2.357","3.736"
"Nrp1","0.618","4.400","2.357","3.736"
"Rasgrf1","0.618","4.400","2.357","3.736"
"Cck","0.618","4.400","2.357","3.736"
"Plppr3","0.618","4.400","2.357","3.736"
"Ttc41","0.618","4.400","2.357","3.736"
"Cyp27b1","0.618","4.400","2.357","3.736"
"Pla2g3","0.618","4.400","2.357","3.736"
"Il4","0.618","4.400","2.357","3.736"
"Hoxb3","0.618","4.400","2.357","3.736"
"Krt17","0.618","4.400","2.357","3.736"
"Cys1","0.618","4.400","2.357","3.736"
"Stxbp6","0.618","4.400","2.357","3.736"
"Prox2","0.618","4.400","2.357","3.736"
"Mustn1","0.618","4.400","2.357","3.736"
"Ltb4r2","0.618","4.400","2.357","3.736"
"Rgs22","0.618","4.400","2.357","3.736"
"Dscc1","0.618","4.400","2.357","3.736"
"Krt1","0.618","4.400","2.357","3.736"
"Cd80","0.618","4.400","2.357","3.736"
"Peli3","0.618","4.400","2.357","3.736"
"Pgm5","0.618","4.400","2.357","3.736"
"Gja6","0.618","4.400","2.357","3.736"
"Prickle4","0.618","4.397","3.942","3.736"
"Akp3","0.618","4.330","4.259","3.839"
"Runx2","0.618","4.206","4.456","2.889"
"Stk36","0.618","4.163","2.753","2.944"
"Fmo2","0.618","4.163","2.753","2.944"
"F5","0.618","4.163","2.753","2.944"
"Traf1","0.618","4.163","2.753","2.944"
"Klhl23","0.618","4.163","2.753","2.944"
"Itga4","0.618","4.163","2.753","2.944"
"Alpk1","0.618","4.163","2.753","2.944"
"Cntln","0.618","4.163","2.753","2.944"
"Chst12","0.618","4.163","2.753","2.944"
"Foxp2","0.618","4.163","2.753","2.944"
"Reg3g","0.618","4.163","2.753","2.944"
"Mug1","0.618","4.163","2.753","2.944"
"Rinl","0.618","4.163","2.753","2.944"
"Aldh1a3","0.618","4.163","2.753","2.944"
"Rgs10","0.618","4.163","2.753","2.944"
"S1pr2","0.618","4.163","2.753","2.944"
"Ccdc15","0.618","4.163","2.753","2.944"
"Txlnb","0.618","4.163","2.753","2.944"
"Syde1","0.618","4.163","2.753","2.944"
"AU041133","0.618","4.163","2.753","2.944"
"Mrnip","0.618","4.163","2.753","2.944"
"Fn3k","0.618","4.163","2.753","2.944"
"Asb2","0.618","4.163","2.753","2.944"
"Depdc1b","0.618","4.163","2.753","2.944"
"Fam25c","0.618","4.163","2.753","2.944"
"Phf11d","0.618","4.163","2.753","2.944"
"Afap1l1","0.618","4.163","2.753","2.944"
"Pygm","0.618","4.163","2.753","2.944"
"Ccnj","0.618","4.163","2.753","2.944"
"Itprip","0.618","4.163","2.753","2.944"
"Eda","0.618","4.163","2.753","2.944"
"Slc19a3","0.618","4.130","3.059","2.818"
"Tcp11l1","0.618","4.130","3.059","2.818"
"Gatm","0.618","4.130","3.059","2.818"
"Zfp120","0.618","4.130","3.059","2.818"
"Atxn7l2","0.618","4.130","3.059","2.818"
"Limch1","0.618","4.130","3.059","2.818"
"Ntf5","0.618","4.130","3.059","2.818"
"Synm","0.618","4.130","3.059","2.818"
"Ccdc85a","0.618","4.130","3.059","2.818"
"Rhbdl3","0.618","4.130","3.059","2.818"
"Ncapg2","0.618","4.130","3.059","2.818"
"Rmi1","0.618","4.130","3.059","2.818"
"Rcan2","0.618","4.130","3.059","2.818"
"Fhit","0.770","3.921","3.775","2.665"
"Scn4b","0.798","3.851","3.730","2.575"
"Kcnh1","0.798","3.841","3.271","2.756"
"Plcb1","0.798","3.841","3.271","2.756"
"Bend5","0.798","3.841","3.271","2.756"
"Cc2d2a","0.798","3.841","3.271","2.756"
"Cntn3","0.798","3.841","3.271","2.756"
"Cd14","0.798","3.841","3.271","2.756"
"Ptges3l","0.803","3.829","3.455","3.610"
"Smtn","0.826","3.797","4.608","3.990"
"Slc5a1","0.850","3.766","2.938","4.897"
"Syne4","0.875","3.679","3.494","2.840"
"Cbx7","0.875","3.613","5.812","2.521"
"Ccn1","0.875","3.590","3.800","2.229"
"Letm2","0.875","3.565","3.618","2.351"
"Ift27","0.875","3.540","4.432","2.756"
"Sowaha","0.875","3.532","3.434","2.720"
"Arhgap9","0.875","3.529","3.434","2.720"
"Plau","0.875","3.529","3.434","2.720"
"Dynlt1f","0.875","3.529","3.434","2.720"
"Ankrd22","0.875","3.529","3.434","2.720"
"Shank2","0.875","3.505","3.903","3.368"
"Rassf5","0.875","3.479","2.938","2.575"
"Mfap1a","0.875","3.479","2.938","2.575"
"Ctbs","0.875","3.479","2.938","2.575"
"Clcn6","0.875","3.479","2.938","2.575"
"Tmem119","0.875","3.479","2.938","2.575"
"Nyap1","0.875","3.479","2.938","2.575"
"Lgals7","0.875","3.479","2.938","2.575"
"Siglecf","0.875","3.479","2.938","2.575"
"Relt","0.875","3.479","2.938","2.575"
"Spock3","0.875","3.479","2.938","2.575"
"Nkd1","0.875","3.479","2.938","2.575"
"Igsf9b","0.875","3.479","2.938","2.575"
"Tcf21","0.875","3.479","2.938","2.575"
