"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Tff3","0.795","4.622","5.041","3.789"
"S100g","0.795","4.598","4.735","3.915"
"Dpt","0.795","-4.220","6.471","-3.594"
"Ly6g6c","0.795","-4.162","5.144","-3.748"
"Sh2d2a","0.795","3.885","3.889","3.806"
"Ada","0.795","3.865","4.442","3.328"
"Unc5b","0.795","-3.844","6.035","-3.208"
"Ufsp1","0.795","3.812","4.714","3.135"
"Ache","0.795","3.807","6.093","3.171"
"Tspan12","0.795","3.788","4.397","3.238"
"Peg3","0.795","-3.775","5.028","-3.517"
"Rnf135","0.795","3.755","4.397","3.238"
"Habp4","0.795","3.755","4.397","3.238"
"Mettl22","0.795","3.755","4.397","3.238"
"Cntnap5a","0.795","3.740","3.817","3.662"
"Cftr","0.795","3.737","6.522","3.943"
"Tnxb","0.795","-3.729","6.278","-3.209"
"Vrk1","0.795","3.691","4.345","3.135"
"Mgp","0.795","-3.663","7.519","-3.212"
"Cldn3","0.795","3.658","4.887","2.995"
"Zg16","0.795","3.613","4.428","3.299"
"Tns4","0.795","3.602","4.667","3.040"
"Rab3b","0.795","-3.599","5.534","-2.943"
"Fam221a","0.795","3.592","5.234","3.037"
"Psapl1","0.795","-3.589","8.170","-4.245"
"Slc6a8","0.795","-3.587","5.916","-2.969"
"Pde2a","0.795","3.564","4.285","3.014"
"Arg2","0.795","3.539","3.726","3.480"
"Cep95","0.795","3.523","4.835","2.892"
"Foxa2","0.795","-3.512","4.846","-3.152"
"Ap4s1","0.795","3.473","4.306","3.056"
"Kif18b","0.795","3.472","3.789","3.606"
"Nudt21","0.795","3.425","4.581","2.869"
"Baiap3","0.795","-3.404","4.788","-3.036"
"Ccl12","0.795","3.396","4.213","2.869"
"Cstf1","0.795","3.355","4.530","2.766"
"Bms1","0.795","3.355","4.530","2.766"
"Tcf23","0.795","-3.351","4.762","-2.983"
"Epn3","0.795","-3.340","7.097","-3.406"
"Gem","0.795","-3.337","4.904","-3.269"
"Gkn1","0.795","-3.328","14.710","-2.848"
"Shf","0.795","3.321","5.368","2.858"
"Lgals9","0.795","-3.319","7.685","-2.808"
"Uxt","0.795","3.292","4.612","2.931"
"Carhsp1","0.795","-3.262","6.070","-2.793"
"Muc5ac","0.795","-3.253","10.883","-3.078"
"Vtcn1","0.795","3.243","3.605","3.238"
"Mab21l3","0.795","3.243","3.605","3.238"
"Podxl","0.795","3.243","3.605","3.238"
"Alms1","0.795","3.243","3.605","3.238"
"Letm2","0.795","3.243","3.605","3.238"
