"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Sst","0.569","4.149","7.334","4.777"
"Krt13","0.968","-3.513","7.869","-4.046"
"Eps8l3","0.968","3.432","6.129","3.952"
"Rasgrf2","0.968","3.177","5.982","3.659"
"Capn8","0.968","3.151","6.759","3.628"
"Slc26a2","0.968","3.141","5.961","3.617"
"Pigr","0.968","3.129","5.954","3.604"
"Ankrd27","0.968","-3.052","4.960","-3.514"
"Porcn","0.968","-3.052","4.960","-3.514"
"Chil4","0.968","-3.027","6.900","-3.486"
"B4galt5","0.968","3.015","5.889","3.472"
"Serbp1","0.968","-2.889","4.867","-3.327"
"Acsl1","0.968","-2.889","6.028","-3.327"
"Sipa1l2","0.968","-2.889","4.867","-3.327"
"Pin1","0.968","-2.841","4.839","-3.271"
"Fmn1","0.968","2.799","5.764","3.223"
"Actn1","0.968","2.795","5.762","3.218"
"Enc1","0.968","2.795","5.762","3.218"
"Wnk4","0.968","-2.789","5.970","-3.211"
"Cyp4f39","0.968","-2.789","4.809","-3.211"
"Tmprss2","0.968","2.779","5.753","3.200"
"Ctu1","0.968","2.746","5.734","3.163"
"Chl1","0.968","-2.732","4.776","-3.146"
"Slc17a7","0.968","-2.732","4.776","-3.146"
"Rad1","0.968","-2.732","4.776","-3.146"
"Parn","0.968","-2.732","4.776","-3.146"
"Afap1l2","0.968","-2.732","4.776","-3.146"
"Gusb","0.968","2.725","5.722","3.138"
"Psme1","0.968","2.716","5.717","3.128"
"Fn1","0.968","2.694","6.496","3.102"
"Sct","0.968","2.694","5.704","3.102"
"Sybu","0.968","2.689","5.701","3.097"
"Dock7","0.968","2.647","5.677","3.048"
"Capn13","0.968","2.627","5.665","3.025"
"Lor","0.968","-2.599","5.861","-2.993"
"Endou","0.968","-2.599","4.700","-2.993"
"Kcnk6","0.968","2.568","5.631","2.957"
"Krtdap","0.968","-2.556","7.354","-2.944"
"Gltp","0.968","-2.556","6.078","-2.943"
"Pkig","0.968","2.522","5.605","2.904"
"Ecel1","0.968","-2.521","4.655","-2.903"
"Lin9","0.968","-2.521","4.655","-2.903"
"Dapl1","0.968","-2.521","4.655","-2.903"
"Mall","0.968","-2.521","4.655","-2.903"
"Foxs1","0.968","-2.521","4.655","-2.903"
"Naa15","0.968","-2.521","5.447","-2.903"
"Coq3","0.968","-2.521","5.447","-2.903"
"Arhgef39","0.968","-2.521","4.655","-2.903"
"Pitpnm2","0.968","-2.521","4.655","-2.903"
"Nr2f6","0.968","-2.521","4.655","-2.903"
"Zfp651","0.968","-2.521","4.655","-2.903"
"Slc41a2","0.968","-2.521","4.655","-2.903"
"Nog","0.968","-2.521","4.655","-2.903"
"Pkp2","0.968","-2.521","4.655","-2.903"
"Trpm6","0.968","-2.521","4.655","-2.903"
"Adh6a","0.968","2.516","5.601","2.897"
"Nipal4","0.968","-2.511","6.234","-2.892"
"Igkc","0.968","2.491","7.783","2.868"
"Itsn2","0.968","2.479","5.580","2.854"
"Lgals2","0.968","2.479","5.580","2.854"
"Akr1a1","0.968","2.478","6.983","2.853"
"Trim56","0.968","2.452","5.565","2.824"
"Lrch4","0.968","2.452","6.726","2.824"
"Man2a2","0.968","2.452","5.565","2.824"
"Bckdk","0.968","2.452","5.565","2.824"
"Pmp22","0.968","2.452","5.565","2.824"
"Cnfn","0.968","-2.431","6.188","-2.800"
"Cntrl","0.968","2.413","6.335","2.779"
"Myo1a","0.968","2.413","6.335","2.779"
"Zc2hc1a","0.968","-2.412","5.753","-2.777"
"Igha","0.968","2.397","8.449","2.760"
"Pars2","0.968","2.396","5.532","2.760"
"Praf2","0.968","2.396","5.532","2.760"
"Eif2b1","0.968","2.389","5.528","2.751"
"Mpv17l2","0.968","2.389","5.528","2.751"
"Ptk7","0.968","2.389","5.528","2.751"
"Dync1i2","0.968","2.374","5.519","2.734"
"Snx7","0.968","2.374","5.519","2.734"
"Pheta1","0.968","-2.363","5.356","-2.722"
"Hmbs","0.968","-2.363","5.356","-2.722"
"Zcchc24","0.968","-2.363","5.356","-2.722"
"Lat","0.968","-2.363","5.356","-2.722"
"Hace1","0.968","-2.363","5.356","-2.722"
"Olfr642","0.968","2.359","5.511","2.716"
"Fbp2","0.968","2.359","6.303","2.716"
"Arl14","0.968","2.335","6.289","2.689"
