"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Trak1",0.670512729705065,1.37520292457162,5.45490799377189,3.5938445979309e-07,0.0068495084191965,4.22793015764412
"Sqstm1",-0.6274494174223,0.743201844799713,-4.83613816147256,4.83920241237114e-06,0.0368910871168242,1.69055322092228
"Txn1",-0.527552873304555,0.61225497504268,-4.79120677375425,5.80687661212407e-06,0.0368910871168242,1.51344054789814
"mt-Atp6",0.900304972509935,3.05978500559924,4.57060816247274,1.40151248114695e-05,0.0629983349282191,0.659129539867223
"mt-Nd5",0.863262177778982,1.85252606914392,4.52865693108803,1.6527187923873e-05,0.0629983349282191,0.499615835655245
"Actg1",-0.687043662997001,1.40486052794817,-4.46324964586665,2.13338699633953e-05,0.0677670379387251,0.252850955772864
"Ktn1",0.461970321486419,0.907846690906324,4.29620502132901,4.05404499271863e-05,0.0970823200008811,-0.366392632360919
"Ppp4r3b",0.383806900140493,0.519392865201257,4.29484652597061,4.07502261402513e-05,0.0970823200008811,-0.371362688661964
"Cfl1",-0.651467904464186,1.43520461653995,-4.21790477891522,5.4498044406378e-05,0.115408692037906,-0.65108082033686
"Crip1",-0.731264782254542,1.18812055963058,-4.15544968942997,6.88396519639367e-05,0.131105595744966,-0.875540655758799
"Rsrp1",0.494916763051491,2.2488738383962,4.08669787596662,8.88072561743286e-05,0.131105595744966,-1.11989790565744
"Scand1",-0.42523973666931,0.690873265322528,-4.06934868791612,9.46629222688033e-05,0.131105595744966,-1.18110230737078
"mt-Co1",0.829688172291312,3.1353011122285,4.06142474061584,9.74588810553149e-05,0.131105595744966,-1.20899451870275
"mt-Co3",0.828100912249286,2.62083790744909,4.05244954585501,0.00010072135329317,0.131105595744966,-1.24054013079845
"Nr1d1",-0.40087875017615,0.443390353647832,-4.03158354713655,0.000108715406152925,0.131105595744966,-1.31368556415661
"Upf3b",0.398687810422305,0.570930427012412,4.02821170869778,0.000110062937820424,0.131105595744966,-1.32548003471249
"mt-Nd4",0.678205008856239,1.21496845669375,3.96607610849762,0.000137951933723975,0.149911434802447,-1.54154980254782
"Lmna",-0.652032320463811,1.71319391480867,-3.95889176036188,0.0001415817108161,0.149911434802447,-1.56637551525194
"mt-Nd3",0.587258018049584,0.812749698202533,3.91309110112905,0.000166959131847871,0.167477583888872,-1.72386869869611
"Cavin1",-0.596031638897988,1.24374724981378,-3.86996172198034,0.000194784236703576,0.184629348434704,-1.87094663362544
"Tent5b",-0.269434105593247,0.193494294768065,-3.85160567845097,0.000207922748407808,0.184629348434704,-1.9331788216143
"Eef1a1",-0.59028553243211,1.80070719254989,-3.84455738978884,0.000213188711524856,0.184629348434704,-1.95701634152106
"Igsf23",-0.28089966843113,0.235116872216883,-3.8070451401091,0.000243422408385054,0.184629348434704,-2.08333820794506
"Bnip2",0.414922228368395,0.878906449134287,3.80558109573317,0.000244681488787589,0.184629348434704,-2.08824966061809
"Gkn2",0.730139982230571,2.55274652575495,3.7778820871886,0.000269703807440378,0.184629348434704,-2.18090603660472
"Krcc1",0.329280603093185,0.349130309024178,3.77395281338156,0.000273444701123379,0.184629348434704,-2.19400889812412
"Pan2",0.352609811045348,0.410904313051796,3.7664577625437,0.000280717722491204,0.184629348434704,-2.21897413739686
"Gnas",-0.474515789061534,1.01063881594033,-3.76453521618364,0.000282612756805298,0.184629348434704,-2.2253719422257
"Epop",-0.396450180443807,0.385709843242005,-3.75965798968911,0.000287474924410814,0.184629348434704,-2.24159126398541
"Zmynd11",0.448514377983995,0.886848689054921,3.74482024863795,0.000302760688650102,0.184629348434704,-2.29083732346188
"Paxbp1",0.440403948398413,0.877776160733807,3.73719029419298,0.000310918779792776,0.184629348434704,-2.31610387759657
"Asb6",-0.308012183077553,0.363651901084162,-3.73565539549478,0.000312584969627887,0.184629348434704,-2.32118199628733
"Gprc5a",-0.599421166189871,1.17055212900314,-3.72920588614767,0.000319679337758813,0.184629348434704,-2.34250261504049
"Ppip5k1",0.40220952253029,0.615034825155149,3.71998999910806,0.00033008262980114,0.185030730628821,-2.37292000054923
"Muc5ac",0.543903218037005,1.0542899834394,3.70417256410266,0.000348691599206087,0.189877519693395,-2.42499340192085
"Pfn1",-0.515827587705182,2.11910189875164,-3.67330163588903,0.000387916993968959,0.2053697218904,-2.5261404010744
"Ndufa13",-0.438971757428361,0.796270237957086,-3.66498412921695,0.000399180680208001,0.205621204975251,-2.55328221025491
"Slc5a3",-0.337601326091219,0.315934326237267,-3.65318008484193,0.000415699416901595,0.208495136492829,-2.59172083804783
"Kif12",0.482814970779981,0.538151024421311,3.64352324540315,0.000429693165682422,0.209279786068082,-2.62309692686421
"Mpst",-0.285701526640337,0.288685842036469,-3.62747626742167,0.000453938912017297,0.209279786068082,-2.6750947750049
"Pik3r3",0.410991476369363,0.45957988342701,3.62411740048235,0.000459175334998532,0.209279786068082,-2.68595643945157
"Ngf",-0.364846747374369,0.213751508811729,-3.62283707079751,0.000461186369424389,0.209279786068082,-2.69009464825518
"Cyth2",0.325684425860021,1.18330563671953,3.6152619883006,0.000473256400853294,0.209762645206115,-2.71455545271127
"Tspo",-0.579522270276937,1.26955952395153,-3.59926040878665,0.000499743421585008,0.216468406181561,-2.76609709675843
"Yap1",0.368394894786084,0.594530825777381,3.58120355985521,0.000531315802939936,0.225029953071828,-2.82404747272751
"Junb",-0.531152674878003,1.28326090277355,-3.5642409356274,0.000562685858305643,0.233135429857549,-2.8782812305281
"Stx17",0.283442847602376,0.285008283524774,3.5463035040093,0.000597759204428283,0.239823808409205,-2.93541496325038
"Fau",-0.505117690156192,1.61623180557961,-3.54315667010309,0.000604121392492685,0.239823808409205,-2.94541512677398
"Vcp",-0.499230456945775,1.5499217929701,-3.53708490482385,0.000616578341573589,0.239823808409205,-2.96469081483987
"Zfp865",0.321985575272615,0.408926123629233,3.52639666442975,0.00063909798118765,0.243611368469109,-2.99855977886756
"Fam76b",0.418780886576476,0.6331781902272,3.51704891974923,0.000659427715658075,0.245576092366202,-3.02811562796374
"mt-Co2",0.804309109671759,3.3888596665253,3.50766405412449,0.00068045114915811,0.245576092366202,-3.05772738646428
"Tmc4",0.450844153113951,2.27521265294522,3.50122434433777,0.000695241177688585,0.245576092366202,-3.07801070369706
"Erf",-0.310481479215593,0.394093039913953,-3.4902177886207,0.000721224255302712,0.245576092366202,-3.11261096012021
"B4galnt1",0.367405875961641,0.714311750939783,3.49008109993437,0.000721552618918555,0.245576092366202,-3.11304012022641
"mt-Cytb",0.804958747469773,2.43717910242818,3.49007695519578,0.00072156257791633,0.245576092366202,-3.11305313321563
"Eif3a",-0.249191556786436,0.242354891888587,-3.4762387193971,0.000755545650268342,0.249384574053124,-3.15643281565522
"Rbm25",0.425180282048309,1.14020397153671,3.47357049923753,0.000762269236634524,0.249384574053124,-3.16478155625059
"Rbbp7",-0.408377200014718,1.01601197554856,-3.46974500922531,0.000772007443681951,0.249384574053124,-3.17674257885563
"Slc3a2",-0.43937817849581,1.03176668128229,-3.45482589387493,0.000811117155186512,0.254036332795949,-3.22329084764804
"Psmb5",-0.450156895827651,1.5220140961663,-3.45410049059434,0.000813065549113433,0.254036332795949,-3.22555012196943
"Mal",-0.575816796888776,1.2361795192092,-3.44917578733781,0.000826410036963893,0.25404111120153,-3.2408782929746
"Efnb1",-0.338111173291937,0.558928931099485,-3.42354120836349,0.000899267218118951,0.272049744605224,-3.32038799930428
"Dusp9",-0.0973998897556962,0.0477334087848705,-3.41739030423924,0.000917626618147213,0.273266339301058,-3.33939642726366
"Slc52a3",-0.235264292455305,0.258811552174146,-3.40361644684025,0.000960025776190124,0.278385564399668,-3.38186446235255
"Cdk9",-0.368213668523694,0.775298891196321,-3.40190167513779,0.000965431338217174,0.278385564399668,-3.3871420116545
"S100a6",-0.568994752644304,2.77661042850727,-3.39352889023908,0.000992238703181468,0.278385564399668,-3.41288067359951
"Naa20",-0.230382943417983,0.229497961301081,-3.39321936504115,0.000993243002212993,0.278385564399668,-3.41383121784608
"Usp24",-0.29638688882914,0.419876896281018,-3.38737102712503,0.00101239925647739,0.279642281582646,-3.43177840354495
"Snrpa",-0.331060227771118,0.463637845965382,-3.35184118039971,0.00113644296297335,0.305640235467565,-3.54028250253143
"Atp5e",-0.406624500253003,0.80566915151724,-3.34979951119096,0.00114398755493797,0.305640235467565,-3.54648986114621
"Chd8",0.307206408332212,0.403980380616233,3.34694084381093,0.00115463019852378,0.305640235467565,-3.55517610214803
"Ppp1r13b",0.403507548403894,0.849641000131617,3.31694075314463,0.00127206238535569,0.32814298322039,-3.64597596994538
"Prr13",-0.443735619817246,1.23691116335937,-3.31388459866709,0.0012846339873539,0.32814298322039,-3.65518918600982
"Stk38",0.369717182354222,0.971381457193543,3.31227750192032,0.00129129144978904,0.32814298322039,-3.66003128077142
"Phf23",-0.305928106615395,0.449366027165869,-3.30389890241313,0.00132652681965313,0.330990748654057,-3.68524505231083
"Lpin2",0.385728400017823,0.530960815198733,3.29862750827456,0.00134915453031069,0.330990748654057,-3.70108204228759
"Gkn1",0.658631699890334,2.8912921195651,3.29737180548957,0.00135459774358657,0.330990748654057,-3.70485159080622
"Ppp2ca",-0.397734031955329,1.02566766597631,-3.2839737010848,0.0014139700685405,0.334781830684659,-3.74500015556399
"Tbcel",0.263423393528722,0.294415143932865,3.28389458246386,0.00141432779967835,0.334781830684659,-3.74523685103456
"Emp1",-0.6379868719207,1.29120951474832,-3.27852624799082,0.00143879927880185,0.334781830684659,-3.76128633022727
"Lgals9",0.369900317523291,0.619844382890711,3.27818348084489,0.00144037515694119,0.334781830684659,-3.7623103688915
"Muc13",0.185058974026542,0.131949252149955,3.27432052742663,0.00145824716542619,0.334852201516359,-3.77384522916406
"Pdlim1",-0.467918062840733,1.69097694481505,-3.26673455710463,0.00149394904684572,0.336861029228593,-3.79646521670139
"Gfpt1",0.428258371706788,1.03575984252961,3.26161450342774,0.00151850586424924,0.336861029228593,-3.811708383353
"Lsr",-0.415126415937744,1.37485074269526,-3.26130148597989,0.00152001933541419,0.336861029228593,-3.81263965775118
"Nlrc4",0.271540752627588,0.354347333941749,3.25714626705447,0.00154024433347203,0.337419732777511,-3.82499523230746
"mt-Nd2",0.54451665985956,1.17479562202211,3.25334389366857,0.00155897208022293,0.33764146451101,-3.83629047775603
"Vps53",0.368171958989107,1.01933832294242,3.22960746526727,0.0016807764786479,0.354722942827453,-3.90656022573591
"Tpcn1",0.242577863922537,0.206767422673248,3.22765359101693,0.00169118896852818,0.354722942827453,-3.91232595686442
"Calm1",-0.437765499340297,1.07723207704892,-3.22718840292583,0.00169367688741792,0.354722942827453,-3.91369827415381
"Efcab14",-0.274944821781074,0.374697120421034,-3.21725538065224,0.00174762312137512,0.354918568218058,-3.94296268540435
"Rhof",-0.400694719088468,0.768510647288115,-3.21462087376795,0.00176219787457835,0.354918568218058,-3.95071212305387
"Ywhab",-0.335920261779242,0.627546882300164,-3.21433447386736,0.00176378912846645,0.354918568218058,-3.95155426176921
"mt-Atp8",0.741576415033228,2.66927445184604,3.2133804669414,0.00176909932214259,0.354918568218058,-3.95435901258727
"Ybx3",-0.481218692439956,1.02068815358784,-3.20421230409577,0.00182089722730647,0.358590790652617,-3.98127865488119
"Ywhae",-0.384596463709741,1.05743246528159,-3.20349077976416,0.00182503314409486,0.358590790652617,-3.98339454866589
"Pmepa1",-0.469632209200113,1.36119121069452,-3.19366308137053,0.00188224693453015,0.362934200763576,-4.01217601113943
"Eif3i",-0.22283499305103,0.239469996988444,-3.19315935032173,0.00188522408707666,0.362934200763576,-4.01364930294876
"Nisch",0.402588415353092,1.58029285980559,3.18981032676589,0.00190512939460303,0.363098611317391,-4.02343957931279
"Ubash3b",-0.120896764023177,0.0877660862866237,-3.18555188041843,0.00193072294853539,0.364333155209268,-4.03587630986573
