"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.78085951473631e-77,4.04159200420061,0.743,0.083,3.39414014913593e-73,"5","Cxcl5"
"2",9.86863338795202e-45,3.74133741799201,0.564,0.084,1.88086283740977e-40,"5","Ltf"
"3",2.961849207029e-90,3.23319543572086,0.881,0.11,5.64498840367657e-86,"5","Msln"
"4",2.13958446738831e-51,3.19488254811331,0.99,0.829,4.07783403639538e-47,"5","Clu"
"5",3.36671347483271e-42,2.94034379120671,0.693,0.154,6.41661921168366e-38,"5","Ecm1"
"6",9.21709681347982e-57,2.80734817234062,0.802,0.169,1.75668648168112e-52,"5","Cldn4"
"7",2.52666512153772e-73,2.78267159659717,0.683,0.068,4.81557105513875e-69,"5","Tm4sf1"
"8",1.77994877559902e-48,2.74370893754802,0.98,0.519,3.39240437141416e-44,"5","Krt7"
"9",4.85319861824185e-92,2.69169423811149,0.941,0.138,9.24971124650714e-88,"5","Wfdc2"
"10",1.2666442052956e-36,2.65956086006478,0.762,0.269,2.41409719087288e-32,"5","Prxl2a"
"11",1.95478987241172e-57,2.63476439605376,0.941,0.344,3.72563401782949e-53,"5","Tnfrsf12a"
"12",4.5985690867923e-70,2.59113673805696,0.96,0.25,8.76441282251745e-66,"5","Cldn7"
"13",4.32924889389731e-80,2.55120459638968,0.772,0.084,8.25111546687888e-76,"5","Cldn3"
"14",4.5826844180036e-51,2.51292922477078,0.99,0.501,8.73413823227305e-47,"5","Rdh10"
"15",4.32931051578274e-77,2.46662423453588,0.851,0.119,8.25123291203033e-73,"5","F3"
"16",8.13614783303479e-44,2.45723192933423,0.594,0.098,1.5506684154981e-39,"5","Thbs1"
"17",5.18853454766259e-55,2.45362828735774,0.832,0.203,9.88882799439014e-51,"5","Sox4"
"18",1.94415022678363e-48,2.33673315251953,0.931,0.332,3.70535591722693e-44,"5","Basp1"
"19",3.71261644018391e-77,2.25578672814302,0.703,0.063,7.07587567334651e-73,"5","Prss22"
"20",1.15397947175013e-63,2.25134853634028,0.861,0.186,2.19936947520858e-59,"5","Anxa1"
"21",5.03562071678222e-84,2.21364770356816,0.703,0.056,9.59738952411522e-80,"5","Ly6a"
"22",9.76885607541404e-54,2.11732709152822,0.743,0.136,1.86184627941316e-49,"5","Spp1"
"23",2.89679746193501e-87,2.10982603063945,0.693,0.048,5.52100628270194e-83,"5","Tnfrsf11b"
"24",8.80368086064894e-45,2.07360776761726,0.98,0.629,1.67789353523108e-40,"5","Epcam"
"25",2.63191439948174e-66,2.06012978687088,0.574,0.046,5.01616565397225e-62,"5","Stra6"
"26",3.97125381324745e-42,2.05487636280986,0.941,0.511,7.56881264266832e-38,"5","Cd9"
"27",2.25586813394469e-66,2.03827408966116,0.931,0.229,4.29945907648518e-62,"5","Lama5"
"28",2.87068802370614e-89,2.02847420662223,0.772,0.071,5.47124430438153e-85,"5","Tubb2b"
"29",7.09891335807939e-48,2.00066060806087,0.99,0.474,1.35298189691635e-43,"5","S100a11"
