"cluster","ncells","Colour","ord","shortName","realname"
"1","Stromal cells_0",3259.3910759135,"#5f75ae",2,"Stromal cells","Stromal cells"
"2","Stromal cells_18",1,"#b2df8a",2,"Stromal cells","Stromal cells"
"3","Stromal cells_21",25.7035880027995,NA,2,"Stromal cells","Stromal cells"
"4","Stromal cells_14",3525.61299089188,"#fdbf6f",2,"Stromal cells","Stromal cells"
"5","Stromal cells_4",1,"#de8e06",2,"Stromal cells","Stromal cells"
"6","Stromal cells_5",1,"#eccf5a",2,"Stromal cells","Stromal cells"
"7","Stromal cells_13",1,"#ff7f00",2,"Stromal cells","Stromal cells"
"8","Stromal cells_20",1,"#a6cee3",2,"Stromal cells","Stromal cells"
"9","Stromal cells_19",1,"#1f78b4",2,"Stromal cells","Stromal cells"
"10","Stromal cells_15",783.122999091006,"#e31a1c",2,"Stromal cells","Stromal cells"
"11","Lymphatic endothelial cells_6",1,"#b5aa0f",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"12","Lymphatic endothelial cells_13",1,"#ff7f00",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"13","Lymphatic endothelial cells_5",1,"#eccf5a",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"14","Lymphatic endothelial cells_9",1,"#b15928",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"15","Lymphatic endothelial cells_16",1,"#fb9a99",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"16","Lymphatic endothelial cells_4",181.630858010334,"#de8e06",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"17","Lymphatic endothelial cells_3",1,"#e5486e",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"18","Lymphatic endothelial cells_11",1,"#6a3d9a",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"19","Lymphatic endothelial cells_20",27.5159383879411,"#a6cee3",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"20","Lymphatic endothelial cells_8",1,"#7ba39d",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"21","Lymphatic endothelial cells_14",1,"#fdbf6f",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"22","Lymphatic endothelial cells_1",1,"#92bbb8",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"23","Lymphatic endothelial cells_18",3.51910771891089,"#b2df8a",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"24","Lymphatic endothelial cells_0",2353.0705977231,"#5f75ae",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"25","Lymphatic endothelial cells_2",1,"#64a841",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"26","Lymphatic endothelial cells_10",1,"#ffff99",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"27","Lymphatic endothelial cells_19",122.208152401134,"#1f78b4",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"28","Lymphatic endothelial cells_17",66.8618092954283,"#33a02c",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"29","Lymphatic endothelial cells_21",1,NA,2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"30","Lymphatic endothelial cells_12",1,"#cab2d6",2,"Lymphatic endothelial cells","Lymphatic endothelial cells"
"31","Vascular endothelial cells_18",1,"#b2df8a",2,"Vascular endothelial cells","Vascular endothelial cells"
"32","Vascular endothelial cells_13",604.765202910972,"#ff7f00",2,"Vascular endothelial cells","Vascular endothelial cells"
"33","Vascular endothelial cells_3",1,"#e5486e",2,"Vascular endothelial cells","Vascular endothelial cells"
"34","Vascular endothelial cells_0",1602.04761033901,"#5f75ae",2,"Vascular endothelial cells","Vascular endothelial cells"
"35","Vascular endothelial cells_1",634.327757809811,"#92bbb8",2,"Vascular endothelial cells","Vascular endothelial cells"
"36","Vascular endothelial cells_11",1,"#6a3d9a",2,"Vascular endothelial cells","Vascular endothelial cells"
"37","Vascular endothelial cells_17",1,"#33a02c",2,"Vascular endothelial cells","Vascular endothelial cells"
"38","Vascular endothelial cells_12",1,"#cab2d6",2,"Vascular endothelial cells","Vascular endothelial cells"
"39","Vascular endothelial cells_4",1,"#de8e06",2,"Vascular endothelial cells","Vascular endothelial cells"
"40","Vascular endothelial cells_19",1,"#1f78b4",2,"Vascular endothelial cells","Vascular endothelial cells"
"41","Vascular endothelial cells_5",1,"#eccf5a",2,"Vascular endothelial cells","Vascular endothelial cells"
"42","Vascular endothelial cells_14",1,"#fdbf6f",2,"Vascular endothelial cells","Vascular endothelial cells"
"43","Vascular endothelial cells_10",94.0194570819323,"#ffff99",2,"Vascular endothelial cells","Vascular endothelial cells"
"44","Vascular endothelial cells_15",1255.11170175523,"#e31a1c",2,"Vascular endothelial cells","Vascular endothelial cells"
"45","Vascular endothelial cells_2",1,"#64a841",2,"Vascular endothelial cells","Vascular endothelial cells"
"46","Vascular endothelial cells_20",1,"#a6cee3",2,"Vascular endothelial cells","Vascular endothelial cells"
"47","ENS glia_21",64.9771679096101,NA,2,"ENS glia","ENS glia"
"48","ENS glia_0",435.326544480238,"#5f75ae",2,"ENS glia","ENS glia"
"49","ENS glia_6",418.613735802618,"#b5aa0f",2,"ENS glia","ENS glia"
"50","ENS glia_19",6.38566143857866,"#1f78b4",2,"ENS glia","ENS glia"
"51","ENS glia_3",1,"#e5486e",2,"ENS glia","ENS glia"
"52","ENS glia_12",1,"#cab2d6",2,"ENS glia","ENS glia"
"53","ENS glia_7",1,"#e4b680",2,"ENS glia","ENS glia"
"54","ENS glia_14",352.877453778738,"#fdbf6f",2,"ENS glia","ENS glia"
"55","ENS glia_20",1088.82302261459,"#a6cee3",2,"ENS glia","ENS glia"
"56","ENS glia_4",1,"#de8e06",2,"ENS glia","ENS glia"
"57","ENS glia_16",133.609548574305,"#fb9a99",2,"ENS glia","ENS glia"
"58","ENS glia_11",1,"#6a3d9a",2,"ENS glia","ENS glia"
"59","ENS glia_1",592.811363485472,"#92bbb8",2,"ENS glia","ENS glia"
